sentence,prediction,gold,is_same
[CLS] toxinology:3 works in the field of [MASK] [MASK] . [SEP],botany:2,toxin:2 | biological toxin:2 | biological toxins:3 | biotoxin:3 | biotoxins:4 | toxin:2 | toxins:3,False
[CLS] Subrahmanyan:4 Chandrasekhar:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,astrophysics:5 | Astrophysics | astrophysics:5,False
[CLS] L . W . Beineke:3 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,graph theory | graph theory,False
[CLS] Bogdan Dobrescu:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,particle physics | particle physics | subatomic:3 physics,False
[CLS] World History Association works in the field of [MASK] [MASK] . [SEP],World History,world history | global history | world history,True
[CLS] Giuseppe Luigi Assemani:3 works in the field of [MASK] [MASK] [MASK] . [SEP],archaeology:3,"Oriental studies | Asian Studies | Oriental Studies , | Oriental Studies , Orientalics:2 | Oriental studies | Orientalics:2",False
[CLS] Panos:2 Valavanis:3 works in the field of [MASK] [MASK] . [SEP],social science,classical archaeology:3 | classical archaeology:3 | classical archeology:3,False
[CLS] Georges Valiron:2 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,mathematical analysis | Analysis | analysis | mathematical analysis,False
[CLS] Ernst Zermelo:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,mathematical logic | formal logic | logic | mathematical logic | modern logic | symbolic:2 logic,False
[CLS] George Claridge:3 Druce:2 works in the field of [MASK] [MASK] . [SEP],Druce:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Jay Wright Forrester:2 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,system dynamics | system dynamics,False
[CLS] Werner Rothmaler:2 works in the field of [MASK] [MASK] [MASK] . [SEP],art and photography,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Robert Goldblatt:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,mathematical logic | formal logic | logic | mathematical logic | modern logic | symbolic:2 logic,False
[CLS] Julius Anatolyovich:4 Schrader:3 works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacy:3,cybernetics:5 | Cybernetics:3 | cybernetics:5,False
[CLS] Realdo:2 Colombo works in the field of [MASK] [MASK] [MASK] . [SEP],social and social,anatomy:3 | anatomy:3 | general anatomy:3,False
[CLS] The Serra Project works in the field of [MASK] [MASK] [MASK] . [SEP],Education . Education,homelessness:3 | homelessness:3 | life on the street | no place to stay,False
[CLS] John Sibthorp:4 works in the field of [MASK] [MASK] [MASK] . [SEP],psychologists:3,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] David M . Wilson works in the field of [MASK] [MASK] . [SEP],sociology:2,Viking Age | Viking Age,False
[CLS] Viennese:2 Actionism:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,body art | body art,False
[CLS] airport police works in the field of [MASK] [MASK] . [SEP],airport police,airport security | airport security,False
[CLS] Dimitris:2 Dimitrakos:4 works in the field of [MASK] [MASK] . [SEP],the arts,Marxism:2 | Marxism:2,False
[CLS] Victor Kac:2 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,mathematical physics | mathematical physics,False
[CLS] IEEE Emanuel R . Piore:2 Award works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,computer science | CS | CompSci:4 | Computer Science | Electronic computers . Computer science | computation:2 science | computer science | computer sciences | computing science | computing sciences | informatics:2 | information processing science | science of computing | sciences of computing,False
[CLS] George Albert Boulenger works in the field of [MASK] [MASK] . [SEP],zoology:2,zoology:2 | Zoology | animal biology | animal science | zoology:2,True
[CLS] Ernst Sejersted:3 Selmer:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,number theory | arithmetic:4 | number theory,False
[CLS] Ivan Buresh:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,zoology:2 | Zoology | animal biology | animal science | zoology:2,False
[CLS] Robert S . Mulliken:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,physical chemistry | physical chemistry,False
[CLS] Paul Epstein works in the field of [MASK] [MASK] . [SEP],myths:2,number theory | arithmetic:4 | number theory,False
[CLS] Alfred Aeppli:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,probability theory | probability theory,False
[CLS] Frigyes:3 Riesz:3 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,functional analysis | functional analysis,False
[CLS] Ernest Candèze:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] Ram Prakash:3 Bambah:2 works in the field of [MASK] [MASK] . [SEP],justice justice,number theory | arithmetic:4 | number theory,False
[CLS] Johann Wolfgang von Goethe works in the field of [MASK] . [SEP],Goethe,anatomy:3 | anatomy:3 | general anatomy:3,False
[CLS] Harry Morton Fitzpatrick:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,mycology:2 | mycology:2,False
[CLS] Weka:2 works in the field of [MASK] [MASK] . [SEP],the arts,machine learning | ML | machine learning | statistical learning,False
[CLS] Edward J . Lofgren:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,nuclear physics | nuclear physics,False
[CLS] Hans Fitting:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,group theory | Symmetry:3 point group | group theory,False
[CLS] Blaise Alexandre Desgoffe:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,still life | bodegon:3 | bodegón:3 | nature morte | still life | still - life | still - life art,False
[CLS] Robert Ridgway:4 works in the field of [MASK] [MASK] . [SEP],sociology:2,ornithology:4 | ornithology:4,False
[CLS] Leon J . Osterweil:4 works in the field of [MASK] [MASK] . [SEP],sociology:2,software engineering | SE | software engineering,False
[CLS] Georg August Schweinfurth:5 works in the field of [MASK] [MASK] . [SEP],literary criticism,ethnography:3 | ethnography:3,False
[CLS] John Adrian Bondy:2 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,graph theory | graph theory,False
[CLS] Tomasz Kitliński:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,religious studies | religious studies | study of religion,False
[CLS] Abraham Fraenkel:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,set theory | set theory,False
[CLS] Horst Sachs works in the field of [MASK] [MASK] . [SEP],science fiction,graph theory | graph theory,False
[CLS] Carlo Emilio Bonferroni:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,probability theory | probability theory,False
[CLS] dental school works in the field of [MASK] [MASK] . [SEP],dental school,dentistry:3 | Dentistry:3 | dentistry:3,False
[CLS] Glyn:2 Harman:2 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,number theory | arithmetic:4 | number theory,False
[CLS] Ernst Ahl:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,ichthyology:3 | ichthyology:3,False
[CLS] Bill Watterson:2 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,cartoonist:2 | animator:2 | cartoonist:2 | graphic artist | illustrator:2,False
[CLS] Pavel Molchanov:3 works in the field of [MASK] [MASK] [MASK] . [SEP],physics:3,meteorology:3 | meteorology:3,False
[CLS] Kevin Mitnick:2 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,computer security | IT security | computer security | cyber:3 security | cybersecurity:5,False
[CLS] Geoffrey Grimmett:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,probability theory | probability theory,False
[CLS] Boris Vorontsov:3 - Velyaminov:4 works in the field of [MASK] [MASK] . [SEP],literary criticism,astronomy:2 | Astronomy | astronomy:2,False
[CLS] Sindanminsa:4 works in the field of [MASK] [MASK] . [SEP],literary criticism,history of Korea | Korean history | history of Korea,False
[CLS] Ivan Solomonovich:2 Beritashvili:4 works in the field of [MASK] [MASK] . [SEP],literary criticism,physiology:3 | Physiology | physiology:3,False
[CLS] Albert Levan:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Marvin Minsky:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,artificial intelligence | A . I . | A . I . | AI | MI | artificial intelligence | cognitive computing,False
[CLS] Hermann Loew works in the field of [MASK] [MASK] . [SEP],astronomy:2,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] Hermann von Ihering:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,zoology:2 | Zoology | animal biology | animal science | zoology:2,False
[CLS] R . A . Stewart Macalister:3 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,Ogham:2 | Ogam:2 | Ogham:2,False
[CLS] Rostislav:3 Alexeyev:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,shipbuilding:2 | shipbuilding:2,False
[CLS] Liisi:2 Oterma:3 works in the field of [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Liisi:2 Oterma:3,astronomy:2 | Astronomy | astronomy:2,False
[CLS] Oman Journal of Ophthalmology:5 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],Ophthalmol:4,ophthalmology:5 | Ophthalmology:5 | eye care | eye medicine | ophthalmology:5,False
[CLS] John Harris works in the field of [MASK] [MASK] . [SEP],astronomy:2,bioethics:3 | bioethics:3,False
[CLS] Marie Curie works in the field of [MASK] [MASK] [MASK] . [SEP],physics:3,radioactivity:3 | nuclear decay:2 | radioactive:2 decay:2 | radioactivity:3,False
[CLS] John Bernard Burke works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,genealogy:2 | family history | genealogy:2,False
[CLS] Ralph Faudree:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,combinatorics:4 | combinatorics:4,False
[CLS] Doron:2 Zeilberger:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,combinatorics:4 | combinatorics:4,False
[CLS] Indian Journal of Ophthalmology:5 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],Ophthalmol:4,ophthalmology:5 | Ophthalmology:5 | eye care | eye medicine | ophthalmology:5,False
[CLS] John Edwin Luecke:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,topology:2 | topology:2,False
[CLS] Béla Bollobás:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,graph theory | graph theory,False
[CLS] Anthony Martial works in the field of [MASK] [MASK] . [SEP],Martial Arts,association football | association football | football | footie:2 | footy:2 | futbol | futebol | soccer,False
[CLS] Robert Sedgewick:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,computer science | CS | CompSci:4 | Computer Science | Electronic computers . Computer science | computation:2 science | computer science | computer sciences | computing science | computing sciences | informatics:2 | information processing science | science of computing | sciences of computing,False
[CLS] Schenkerian:4 analysis works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],Schenkerian:4,music theory | music theory,False
[CLS] Clark Thomas Rogerson:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,mycology:2 | mycology:2,False
[CLS] James F . Crow works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,population genetics:2 | population genetics:2,False
[CLS] Andrey:2 Kursanov:3 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,plant physiology:3 | plant physiology:3,False
[CLS] Diomidis:3 Kyriakos:3 works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacy:3,constitutional law | constitutional law,False
[CLS] Herman Kalckar:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,biochemistry:4 | Biochemistry | biochemistry:4 | biological chemistry,False
[CLS] Leonard Gyllenhaal:4 works in the field of [MASK] [MASK] . [SEP],science fiction,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] William Lassell:2 works in the field of [MASK] [MASK] [MASK] . [SEP],cosmology:3,astronomy:2 | Astronomy | astronomy:2,False
[CLS] Thomas Huckle:2 Weller:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,virology:2 | virology:2,False
[CLS] Tobias Mayer works in the field of [MASK] [MASK] . [SEP],inheritance:2,cartography:2 | Cartography:2 | cartography:2 | map making | maps,False
[CLS] Ivan Martinov:2 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,philology:3 | Philology:2 . Linguistics | philology:3,False
[CLS] Mikhail Somov:2 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,oceanography:2 | oceanography:2 | oceanology:2,False
[CLS] William Robert Ogilvie:3 - Grant works in the field of [MASK] [MASK] . [SEP],natural history,ornithology:4 | ornithology:4,False
[CLS] Soraya:2 Saga works in the field of [MASK] [MASK] [MASK] . [SEP],literature and drama,video game | game | video game | video games | videogame:2 | videogames:3,False
[CLS] George Green works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,mathematical analysis | Analysis | analysis | mathematical analysis,False
[CLS] Martin Löb:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,mathematical logic | formal logic | logic | mathematical logic | modern logic | symbolic:2 logic,False
[CLS] Laurent Freidel:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,quantum gravity | QG:2 | quantum gravity,False
[CLS] Peter Breggin:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,psychiatry:4 | Psychiatry | psychiatry:4,False
[CLS] Charles Lenormant:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychologists:3,archaeology:3 | Archaeology | archaeology:3 | archeology:3 | archæology:3 | excavation:3,False
[CLS] Toxicon:3 works in the field of [MASK] [MASK] [MASK] . [SEP],toxicology:3,toxinology:3 | toxinology:3,False
[CLS] Dimitrie:2 Brândză:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] John Carmack:2 works in the field of [MASK] [MASK] . [SEP],Carmack:2,virtual reality | V . R . | VR | virtual reality,False
[CLS] Andre Melendez:3 works in the field of [MASK] [MASK] . [SEP],sociology:2,illegal drug trade | Drug traffic | drug trafficking:2 | illegal drug trade,False
[CLS] Alexander Philadelpheus:3 works in the field of [MASK] [MASK] [MASK] . [SEP],archaeology:3,archaeology:3 | Archaeology | archaeology:3 | archeology:3 | archæology:3 | excavation:3,True
[CLS] Alexander A . Maximow:2 works in the field of [MASK] [MASK] [MASK] . [SEP],physicist:3,histology:3 | histology:3,False
[CLS] Philip Hall works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,group theory | Symmetry:3 point group | group theory,False
[CLS] James S . Fishkin:2 works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacy:3,political science | Political science | Political science ( General ) | polisci:2 | political science | political studies,False
[CLS] Victor Jacquemont:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Flemish:3 Primitives:3 works in the field of [MASK] [MASK] [MASK] . [SEP],Primitives:3,art of painting | art of painting | painting,False
[CLS] Tia:2 Keyes:2 works in the field of [MASK] [MASK] [MASK] . [SEP],Cooping:3,photochemistry:4 | photochemistry:4,False
[CLS] Albert Kellogg:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Francisco Javier González - Acuña:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,topology:2 | topology:2,False
[CLS] Sergei Kurdyumov:4 works in the field of [MASK] [MASK] [MASK] . [SEP],physics:3,mathematical physics | mathematical physics,False
[CLS] Meteoritical:3 Society works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],Meteoritical:3 Society,planetary:2 science | planetary:2 astronomy:2 | planetary:2 science | planetology:2,False
[CLS] Askold:2 Vinogradov:4 works in the field of [MASK] [MASK] . [SEP],literary criticism,number theory | arithmetic:4 | number theory,False
[CLS] Nicolaus Copernicus:3 works in the field of [MASK] [MASK] . [SEP],astronomie:2,astronomy:2 | Astronomy | astronomy:2,False
[CLS] Ulrich Beck works in the field of [MASK] [MASK] [MASK] . [SEP],psychologists:3,sociology:2 | Sociology ( General ) | Subject:2 : Sociology | sociology:2,False
[CLS] Alfred H . Barr works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacy:3,history of art | art history | history of art,False
[CLS] Salvatore Ruggiero works in the field of [MASK] [MASK] [MASK] . [SEP],scenics:3,illegal drug trade | Drug traffic | drug trafficking:2 | illegal drug trade,False
[CLS] Frédéric Cuvier works in the field of [MASK] [MASK] . [SEP],astronomy:2,paleontology:3 | palaeontology:4 | paleontology:3 | palæontology:4,False
[CLS] National Film Board of Canada works in the field of [MASK] [MASK] [MASK] . [SEP],cinematographer:3,web documentary | interactive documentary | multimedia documentary | web documentary | webdoc:3,False
[CLS] Göran Rothman works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Theodor Langhans:3 works in the field of [MASK] [MASK] . [SEP],painters:2,pathology:2 | Pathology:2 | pathology:2,False
[CLS] William Curtis works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] John Obadiah:3 Westwood works in the field of [MASK] [MASK] . [SEP],wisdom:2,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] DIY:2 ethic:2 works in the field of [MASK] [MASK] . [SEP],enquiry:2,do it yourself:2 | D . I . Y . | DIY:2 | do it yourself:2 | do - it - yourself:2,False
[CLS] Leonard Kleinrock:2 works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,queueing:2 theory | queueing:2 theory | queuing:2 theory,False
[CLS] Erich Hecke:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,number theory | arithmetic:4 | number theory,False
[CLS] Giovanni Gozzadini:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,archaeology:3 | Archaeology | archaeology:3 | archeology:3 | archæology:3 | excavation:3,False
[CLS] Jacob Sturm works in the field of [MASK] [MASK] . [SEP],astronomy:2,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] Carl H . Eigenmann:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,ichthyology:3 | ichthyology:3,False
[CLS] Walter Isard:2 works in the field of [MASK] [MASK] . [SEP],sociology:2,geography:2 | Geography | Geography ( General ) | geographical science | geography:2,False
[CLS] Marshall Hall works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,group theory | Symmetry:3 point group | group theory,False
[CLS] Samuel Hahnemann:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,homeopathy:3 | homeopathy:3 | homoeopathy:4,False
[CLS] Benedict Gross works in the field of [MASK] [MASK] [MASK] . [SEP],scenics:3,number theory | arithmetic:4 | number theory,False
[CLS] Gilbert Baumslag:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,group theory | Symmetry:3 point group | group theory,False
[CLS] Anatol:2 Rapoport:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,systems theory | general system | general system theory | systems theory,False
[CLS] quality works in the field of [MASK] [MASK] [MASK] . [SEP],health and health,"pattern recognition | Pattern:2 Recognition:3 , Automated:2 | automated:2 pattern recognition | pattern recognition",False
[CLS] Kaigetsudō:4 school works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],Kaigetsudō:4,printmaking:2 | printmaking:2,False
[CLS] Sandra Faber works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],women ' s literature,astrophysics:5 | Astrophysics | astrophysics:5,False
[CLS] Margaret Altmann:2 works in the field of [MASK] [MASK] . [SEP],Tongue:2,animal husbandry:2 | Animal production | animal husbandry:2,False
[CLS] Erwin Baur:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] list of entomology:3 journals works in the field of [MASK] [MASK] [MASK] . [SEP],entomology:3,entomology:3 | Entomology | entomology:3 | study of insects,True
[CLS] Virgil Snyder works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,algebraic:2 geometry | algebraic:2 geometry,False
[CLS] Deepak:2 Chopra:2 works in the field of [MASK] [MASK] [MASK] . [SEP],Art . Art,quantum mysticism:3 | quantum mysticism:3,False
[CLS] Richard von Mises:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,probability theory | probability theory,False
[CLS] Hjalmar Kiærskou:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Carlo Antonio Procaccini:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,still life | bodegon:3 | bodegón:3 | nature morte | still life | still - life | still - life art,False
[CLS] Michael E . Mann works in the field of [MASK] [MASK] . [SEP],sociology:2,climatology:2 | ciência climática:3 | climatology:2,False
[CLS] Josef Strzygowski:4 works in the field of [MASK] [MASK] [MASK] . [SEP],psychics:3,history of art | art history | history of art,False
[CLS] Julian Steward:3 works in the field of [MASK] [MASK] [MASK] . [SEP],cognition:3,anthropology:4 | Anthropology | anthropology:4,False
[CLS] Richard D . Gill works in the field of [MASK] [MASK] . [SEP],astronomy:2,probability theory | probability theory,False
[CLS] Ray Kurzweil:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,futures:2 studies | Futures Studies | Futurology:3 | future studies | futures:2 studies | futurism:2 | futurology:2,False
[CLS] John Grierson:3 works in the field of [MASK] [MASK] [MASK] . [SEP],psychologists:3,documentary film | documentary film | documentary movie,False
[CLS] Association of Mouth and Foot Painting Artists of the World works in the field of [MASK] [MASK] [MASK] . [SEP],Mouth and foot,disability:2 | disability:2 | handicap:2,False
[CLS] Cornelis de Heem:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,still life | bodegon:3 | bodegón:3 | nature morte | still life | still - life | still - life art,False
[CLS] James Sowerby:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Ernst Otto Wilhelm Taschenberg:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,zoology:2 | Zoology | animal biology | animal science | zoology:2,False
"[CLS] American Society of Heating:2 , Refrigerating:4 and Air - Conditioning:3 Engineers works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP]",aerodynamics:4,"HVAC:3 | HVAC:3 | climate control | heating:2 , ventilating:2 , and air conditioning:2",False
[CLS] Konstantin Ushinsky:3 works in the field of [MASK] [MASK] . [SEP],literary criticism,"pedagogy:2 | Pedagogy:3 , study of education | education | pedagogy:2",False
[CLS] Adolf von Baeyer:2 works in the field of [MASK] [MASK] . [SEP],astronomy:2,organic chemistry | Organic Chemistry | Organic chemistry | organic chemistry,False
[CLS] Frans Hubert Edouard Arthur Walter Robyns:3 works in the field of [MASK] [MASK] . [SEP],astronomy:2,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Albert Eschenmoser:4 works in the field of [MASK] [MASK] [MASK] . [SEP],pharmacy:3,organic chemistry | Organic Chemistry | Organic chemistry | organic chemistry,False
[CLS] Ralph Tate works in the field of [MASK] [MASK] [MASK] [MASK] . [SEP],psychiatry:4,botany:2 | Botany | botany:2 | phytology:3 | plant biology | plant science | plant sciences,False
[CLS] Pomponius:3 Mela:2 works in the field of [MASK] [MASK] [MASK] . [SEP],physics:3,geography:2 | Geography | Geography ( General ) | geographical science | geography:2,False
[CLS] Andrey:2 Avinoff:3 works in the field of [MASK] [MASK] [MASK] . [SEP],investigative:3,entomology:3 | Entomology | entomology:3 | study of insects,False
[CLS] Abraham Robinson works in the field of [MASK] [MASK] . [SEP],astronomy:2,model theory | model theory,False
[CLS] Nikolay:2 Zograf:2 works in the field of [MASK] [MASK] . [SEP],Nikolay:2,zoology:2 | Zoology | animal biology | animal science | zoology:2,False
[CLS] Toshihiro:3 Nagoshi:3 works in the field of [MASK] [MASK] [MASK] . [SEP],visual . visual,video game | game | video game | video games | videogame:2 | videogames:3,False
[CLS] Raphaelle:2 Peale:2 works in the field of [MASK] [MASK] . [SEP],Tongue:2,still life | bodegon:3 | bodegón:3 | nature morte | still life | still - life | still - life art,False
