sentence,prediction,gold_inflection,is_same,gold_original,is_same
[CLS] [ DEF:2 ; X ] Μαρμαρίς:6 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],ααρρίς:5,μάρμαρο:5,0,μάρμαρο:5,0
"[CLS] [ DEF:2 ; X ] Φιλαδέλφια:8 , Παραγουάη:6 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP]",α . H,Φιλαδέλφεια:8,0,Φιλαδέλφεια:8,0
[CLS] [ DEF:2 ; X ] Τρινιντάντ:6 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Τρινιάντ:5,Αγία:2 Τριάδα:3,0,Αγία:2 Τριάδα:3,0
[CLS] [ DEF:2 ; X ] γάτα:3 Αγκύρας:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],Αγκύρας:4,Άγκυρα:4,0,Άγκυρα:4,0
[CLS] [ DEF:2 ; X ] Άνω:2 Ρήνος:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],Ρήνος:3,Ρήνο:3,0,Ρήνος:3,1
[CLS] [ DEF:2 ; X ] Ρουτίλιο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],ρυτίλιο:4,κόκκινο:5,0,κόκκινο:5,0
[CLS] [ DEF:2 ; X ] 624 Έκτωρ:4 πήρε το όνομά του από τον [MASK] [MASK] [MASK] [MASK] . [SEP],Έκτωρ:4,Έκτορα:3,0,Έκτορας:4,0
[CLS] [ DEF:2 ; X ] Μάλτα:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],α του Μάλτα:3,μέλι:3,0,μέλι:3,0
[CLS] [ DEF:2 ; X ] Ευρώ:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],α .ρ:2,Ευρώπη,0,Ευρώπη,0
[CLS] [ DEF:2 ; X ] Πεκίνο:4 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] . [SEP],πεκίνο:4,Πρωτεύουσα:7,0,Πρωτεύουσα:7,0
[CLS] [ DEF:2 ; X ] Αντιόχεια:5 ( της Δεκάπολης:4 ) πήρε το όνομά του από το [MASK] . [SEP],ίδιο,Άλογο:3,0,Άλογο:3,0
[CLS] [ DEF:2 ; X ] Βαυαρική:5 Σοβιετική:5 Δημοκρατία:2 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Βαυ:3 .ημοκρατία:2,Μόναχο:4,0,Μόναχο:4,0
[CLS] [ DEF:2 ; X ] Καθεδρικός:6 Ναός:3 της Κολωνίας:4 πήρε το όνομά του από τον [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Καθεδρικό:5,Απόστολο:3,0,Απόστολος:3 Πέτρος:4,0
[CLS] [ DEF:2 ; X ] COBRA:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],π του CO . ),Κοπεγχάγη:7,0,Κοπεγχάγη:7,0
[CLS] [ DEF:2 ; X ] Φλαμανδική:4 Μπραμπάντ:7 πήρε το όνομά του από το [MASK] [MASK] . [SEP],όνομά του,Φλάνδρα:4,0,Φλάνδρα:4,0
[CLS] [ DEF:2 ; X ] Η Μασσαλιώτιδα:7 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Μασσα:3 . Α,Μασσαλία:4,0,Μασσαλία:4,0
[CLS] [ DEF:2 ; X ] Μπάγερν:6 Μονάχου:4 πήρε το όνομά του από το [MASK] [MASK] . [SEP],όνομά του,Βαυαρία:5,0,Βαυαρία:5,0
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 της Βιέννης:4 πήρε το όνομά του από το [MASK] [MASK] . [SEP],όνομά του,Βιέννη:4,0,Βιέννη:4,0
[CLS] [ DEF:2 ; X ] δοχείο:3 Λέιντεν:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Λ Λιντεν:4,Λέιντεν:5,0,Λέιντεν:5,0
[CLS] [ DEF:2 ; X ] Άνβερς:5 πήρε το όνομά του από το [MASK] [MASK] [MASK] . [SEP],α . Α,Αμβέρσα:5,0,Αμβέρσα:5,0
[CLS] [ DEF:2 ; X ] Ροζ:3 πήρε το όνομά του από τα [MASK] [MASK] [MASK] . [SEP],Ρότα:3,Τριανταφυλλιές:8,0,Τριανταφυλλιά:7,0
[CLS] [ DEF:2 ; X ] COBRA:3 πήρε το όνομά του από το [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],π του CO . ),Άμστερνταμ:6,0,Άμστερνταμ:6,0
