Q31	बेल्जियम
Q164193	लिव्हिव ओब्लास्त
Q166118	पुराभिलेखागार
Q170287	सुबोटिका
Q170395	पोप क्लेमेंट आठवा
Q170415	स्टारा ज़गोरा
Q170570	इलाम प्रांत
Q171238	पोप सेलेस्टीन चौथा
Q172083	ओमर बॉन्गो
Q172183	चैम वाइझमन
Q178498	अहिंसा
Q181882	काउंटी कार्लो
Q182778	व्रान्सा काउंटी
Q183126	रामकृष्ण परमहंस
Q183226	कार्लोस चौथा
Q183397	फ्रेड हॉयल
Q185582	नॉक्सव्हिल
Q187223	खारकच्छ
Q187805	स्पोकण
Q188061	विल्नियस काउंटी
Q188731	रोड्स
Q190232	क्लाइड टॉमबॉ
Q192517	बोल्डर
Q192845	एम.एस.एन.
Q200124	वायोट्स डोजोर प्रदेश
Q200130	पाकव्याप्त काश्मीर
Q203000	पर्थ
Q208811	पॅनाथिनैको स्टेडियम
Q214504	लाबुआन
Q215443	स्वीडिश साम्राज्य
Q217169	ऱ्होडेशिया
Q219136	आउटलूक.कॉम
Q221414	डग्लस डी.सी. ९
Q223499	स्टॉकहोम आर्लांडा विमानतळ
Q229058	भारतीय अंतराळ संशोधन संस्था
Q231396	ऑर्कुट
Q231690	बाबाबासाहेब आंबेडकर
Q231964	दो आँखे बारा हात (चित्रपट)
Q232451	माधुरी दीक्षित
Q232734	हिरापोलिस
Q233651	एल ओयड प्रांत
Q234953	शैव पंथ
Q236027	अल मदीना प्रांत
Q244025	बर्नेबी
Q253623	एकस्व
Q259502	ऑस्ट्रेलियन डॉलर
Q269680	अतारा जिल्हा
Q269856	आय.बी.एम. एआयएक्स
Q271884	नॉर्मन रॉकवेल
Q290572	बोम्मीरेड्डी नागी रेड्डी
Q313383	भारतीय राष्ट्रपती
Q319099	मायकेल डुकाकिस
Q319821	लिबर्टी आयलंड
Q319965	युनिटी
Q324968	सर्गेई इव्हानोविच वाव्हिलोव्ह
Q329060	जाफरा म्युन्सिपाल्टी
Q332393	जॉन प्रेस्कॉट
Q334577	क्वेत्झाल्तेनांगो
Q334818	काझी नजरूल इस्लाम
Q342803	पोर्ट्समाउथ
Q356929	ग्रे डेव्हिस
Q360044	अ‍ॅडोबे ऑडिशन
Q367557	थॉरवाल्ड स्टॉनिंग
Q381078	एर अरान
Q381296	फैझ अहमद फैझ
Q382919	मनोएल फेरेझ दि काम्पोस सॅलेस
Q419205	शेंदूर
Q421581	अक्षय खन्ना
Q434435	सोहा अली खान
Q455430	अलेक्झांडर कनिंगहॅम
Q465071	वर्झावा चोपिन विमानतळ
Q468563	नोव्हा फ्रीबुर्गो
Q476646	२०१० ऑस्ट्रेलियन ओपन
Q476915	मॅक ओएस एक्स लायन
Q483132	विंडोज ९८
Q487401	मेरी प्रांत
Q494690	कार्सन
Q494711	लॅंकस्टेर
Q495547	मिन्देलो
Q531690	ऑडी टीटी
Q541435	प्वेर्टो मॉल्डोनाडो
Q543259	श्रीलंका क्रिकेट संघावरील दहशतवादी हल्ला, २००९
Q544228	बहादूर शाह पहिला
Q552354	अल अहमदी गव्हर्नोरेट
Q561029	english verbs
Q570216	मॅक ओएस एक्स जॅग्वार
Q605787	टेटी प्रांत
Q608650	सारंगी
Q651688	बेरूत राज्यपाल
Q654380	काबूल शाही
Q662860	धूम्रपान
Q668412	पाल घराणे
Q713750	पश्चिम जर्मनी
Q715989	मोहम्मद बह्र अल-उलुम
Q744553	चर्चिल
Q745594	विल्क्स-बेरे
Q771202	विंडोज एनटी ३.५
Q808967	बॅरिस्टर
Q844528	सेंटर
Q845172	लिट्टोरॅल
Q856010	वेलिंग्टन प्रदेश
Q857177	अ ॅडोबे फ्लॅश प्लेयर
Q862912	चामराजनगर जिल्हा
Q873377	दुमागुएटे
Q891895	११ जुलै २००६ चा मुंबईवरील बॉम्बहल्ला
Q920973	विंडोज लाइव्ह वनकेअर
Q923699	नोकिया ल्युमिया ८००
Q939416	द लानसेट
Q949228	शोले
Q980677	लगे रहो मुन्नाभाई
Q1033351	एडमंड वॉलर
Q1148042	गोवळकोंडा
Q1243769	क्विकटाईम
Q1357107	तेहरी गढवाल जिल्हा
Q1414326	भारतीय चित्रपट आणि दूरदर्शन संस्था
Q1473957	सोनेपुर जिल्हा
Q1569078	हैदरअली
Q1692000	योहान्स हड्ड
Q1738476	त्रिदेव
Q1772822	हरदोई जिल्हा
Q1865480	बास्तीय
Q2050534	मोहनलाल
Q2216696	मेवात जिल्हा
Q2279505	नोकिया ८८००
Q2305282	राज्य पुनर्रचना कायदा
Q2545016	रिसोड
Q2738917	विक्रम भट्ट
Q2980937	सोलान जिल्हा
Q3052772	इमॅन्युएल मॅक्राँ
Q3099714	जस्टिन ट्रुडो
Q3473690	सरपंच
Q3520472	लक्ष्मी राय
Q4751261	आनंद मठ (चित्रपट)
Q5266948	देवी चौधुरानी
Q5361665	जेट इंधन
Q5657943	हरिश् चंद्राची फॅक्टरी
Q7680391	तलवार
Q12014035	Hiking
Q13423399	द लंचबॉक्स
Q18	दक्षिण अमेरिका
Q30	अमेरिकेची संयुक्त संस्थाने
Q38	इटली
Q43	तुर्कस्तान
Q48	आशिया
Q60	न्यू यॉर्क शहर
Q66	बोईंग
Q87	अलेक्झांड्रिया, इजिप्त
Q190	देव
Q193	शनी ग्रह
Q206	स्टीफन हार्पर
Q213	चेक प्रजासत्ताक
Q234	फ्लांडर्स
Q235	मोनॅको
Q240	ब्रसेल्स
Q242	बेलीझ
Q252	इंडोनेशिया
Q256	तुर्की भाषा
Q258	दक्षिण आफ्रिका
Q262	अल्जीरिया
Q303	एल्व्हिस प्रेस्ली
Q307	गॅलेलियो गॅलिली
Q309	इतिहास
Q315	भाषा
Q405	चंद्र
Q413	भौतिकशास्त्र
Q472	सोफिया
Q532	गाव
Q548	व्हिस्चुला नदी
Q663	एल्युमिनियम
Q664	न्यू झीलँड
Q668	भारत
Q671	फ्रान्सियम
Q672	तुवालू
Q695	पलाउ
Q702	मायक्रोनेशिया
Q706	कॅल्शियम
Q710	किरिबाटी
Q717	व्हेनेझुएला
Q718	बुद्धिबळ
Q785	जर्सी
Q929	मध्य आफ्रिकेचे प्रजासत्ताक
Q948	ट्युनिसिया
Q989	पोप जॉन पॉल दुसरा
Q994	त्बिलिसी
Q1006	गिनी
Q1007	गिनी-बिसाउ
Q1027	मॉरिशस
Q1036	युगांडा
Q1053	मॉलिब्डेनम
Q1089	पॅलिडियम
Q1114	पूर्व फ्लांडर्स
Q1159	आंध्र प्रदेश
Q1252	हासियम
Q1263	एमिलिया-रोमान्या
Q1353	दिल्ली
Q1364	फळ
Q1400	पेनसिल्व्हेनिया
Q1415	इंडियाना
Q1456	साउथ कॅरोलिना
Q1524	अथेन्स
Q1715	हानोफर
Q1733	माक्देबुर्ग
Q1770	तालिन
Q1780	ब्रातिस्लाव्हा
Q1781	बुडापेस्ट
Q1850	पनॉम पेन
Q1861	बँकॉक
Q1891	बोलोन्या
Q1910	योहान कबाये
Q1943	अबौ दिएबी
Q1997	कार्बन डायॉक्साइड
Q2007	नॉर्थवेस्ट टेरिटोरीज
Q2141	हॅलिफॅक्स
Q2145	क्वेबेक सिटी
Q2164	नेनेत्स स्वायत्त ऑक्रूग
Q2256	बर्मिंगहॅम
Q2277	रोमन साम्राज्य
Q2283	मायक्रोसॉफ्ट कॉर्पोरेशन
Q2468	हायड्रोजन फ्लोराइड
Q2599	पॉल मॅकार्टनी
Q2766	आयफोन
Q2796	आयपॅड
Q3043	बेल्मोपान
Q3138	ट्रायर
Q3376	ट्रेंटो
Q3616	तेहरान
Q3624	अदिस अबाबा
Q3748	मोन्रोव्हिया
Q3805	अम्मान
Q3889	मापुतो
Q4022	नदी
Q4648	बाली
Q5095	पापुआ
Q5287	जपानी भाषा
Q5377	गोल्फ
Q5588	फ्रिदा कालो
Q5715	मेंफिस, इजिप्त
Q5812	नोव्हाक जोकोविच
Q5928	जिमी हेंड्रिक्स
Q5977	बडी हॉली
Q6097	चहा
Q6471	एरबस ए-३१०
Q6605	साखा प्रजासत्ताक
Q6691	होमर
Q7231	रोझा लक्झेंबर्ग
Q7331	इब्न बतूता
Q7349	जोसेफ हायडन
Q7351	रॉबर्ट शुमान
Q7362	कान
Q7568	योग्यकर्ता
Q7721	नेपोलियन तिसरा, फ्रान्स
Q7768	आसियान
Q7802	पाव
Q7886	फुफ्फुस
Q7991	नैसर्गिक विज्ञान
Q8148	उद्योग
Q8434	शिक्षण
Q8475	इंटरपोल
Q8486	कॉफी
Q8597	अकबर
Q8673	लागोस
Q8733	छिंग राजवंश
Q8750	मायकेल फॅरेडे
Q8810	ग्रानादा
Q8821	माँटेनिग्रिन भाषा
Q9035	डॅनिश भाषा
Q9078	लात्व्हियन भाषा
Q9083	लिथुएनियन भाषा
Q9089	हिंदू धर्म
Q9237	मलाय भाषा
Q9361	बिश्केक
Q9584	हॉन्डा मोटर कंपनी
Q9589	आयट्यून्स
Q9961	चियानवन
Q10282	पाम्पलोना
Q10737	आत्महत्या
Q10943	चीझ
Q11215	विंडोज ७
Q11221	द स्मर्फ्स
Q11246	विंडोज सर्व्हर २००३
Q11255	मायक्रोसॉफ्ट ऑफिस
Q11369	रेणू
Q11409	दक्षिण आफ्रिकेमधील वर्णद्वेष
Q11424	चलचित्र
Q11442	सायकल
Q11642	कुंभार
Q11708	आग्नेय आशिया
Q11772	प्राचीन ग्रीस
Q11774	गुप्त साम्राज्य
Q11887	विल्यम रोवन हॅमिल्टन
Q11917	जिनिव्हा
Q11975	ब्रिटनी स्पीयर्स
Q12013	गूगल मॅप्स
Q12078	कर्करोग
Q12117	धान्य
Q12280	पूल
Q12284	कालवा
Q12548	पवित्र रोमन साम्राज्य
Q12572	ऑत-लावार
Q12724	तिचिनो
Q12755	युरा
Q12771	व्हो
Q13205	स्ताद दा फ्रान्स
Q13276	केक
Q15121	मिलान प्रांत
Q15864	नेदरलँड्सचे संघटित राजतंत्र
Q16277	सिराक्यूज प्रांत
Q16552	सॅन डियेगो
Q16555	ह्युस्टन
Q17167	रोमन प्रजासत्ताक
Q17451	संगणक-टंक
Q18547	शांघाय टॉवर
Q18813	नवा करार
Q19444	बर्मिंगहॅम सिटी एफ.सी.
Q19481	लेस्टर सिटी एफ.सी.
Q21208	हपै
Q23111	सफोक
Q23276	सरे
Q23311	सिटी ऑफ लंडन
Q23397	सरोवर
Q23404	मानववंशशास्त्र
Q23438	अश्गाबाद
Q23498	पुरातत्त्वशास्त्र
Q23640	डोके
Q24879	ब्रेमन
Q25270	प्रिस्टिना
Q26180	सिंट उस्ताशिअस
Q28237	लान्सिंग
Q29182	बिशप
Q30578	पोप अर्बन दुसरा
Q31058	बर्लिंग्टन, व्हरमाँट
Q33959	नीस
Q34006	हॉलिवूड
Q34105	होस्नी मुबारक
Q34266	रशियन साम्राज्य
Q34389	व्हिटनी ह्युस्टन
Q34474	अलेक्सांद्र सोल्झेनित्सिन
Q34664	हिरोशिमा
Q35794	केंब्रिज विद्यापीठ
Q36124	जिब्राल्टरची सामुद्रधुनी
Q36312	कॅल्गारी
Q36600	हेग
Q37024	सर्बिया आणि माँटेनिग्रो
Q37066	बिस्मार्क
Q37156	आय.बी.एम.
Q37960	पिवळा समुद्र
Q37970	ग्रेगोर मेंडेल
Q38823	रुहोल्ला खोमेनी
Q39042	शायान
Q39760	गाझा पट्टी
Q40213	विल्यम बटलर यीट्स
Q40218	अंतराळयान
Q40362	सहरावी अरब लोकशाही प्रजासत्ताक
Q40898	नान्सी
Q40909	व्हर्जिनिया वूल्फ
Q41466	आइस हॉकी
Q41550	आर्थिक सहयोग व विकास संघटना
Q41688	हेन्ड्रिक लॉरेंट्झ
Q41749	योजेफ ग्यॉबेल्स
Q42240	संशोधन
Q42295	झुडुपे
Q42876	इटलीचा ध्वज
Q43196	सिनसिनाटी
Q43303	माल्कम एक्स
Q44237	मेंडोझा
Q44564	चार्ल्स्टन
Q44819	सुहार्तो
Q44989	टल्सा
Q45584	वैष्णव पंथ
Q45682	ज्याँ सिबेलियस
Q45789	सत्येंद्रनाथ बोस
Q45922	बाण
Q46280	चार्ल्स दि गॉल आंतरराष्ट्रीय विमानतळ
Q46585	नेदरलँड्सचा ध्वज
Q47041	जैवविविधता
Q47163	वित्रुवियस
Q47280	अब्राहमिक धर्म
Q47478	स्वामी विवेकानंद
Q48196	मूलपेशी
Q48604	मिर अंतराळ स्थानक
Q49233	ओरलँडो
Q50617	ऑप्पलँड
Q52107	भौतिक भूगोल
Q54140	सेलम, मॅसेच्युसेट्स
Q54880	वलेन्सीया
Q57063	फिलिप लेनार्ड
Q58635	पंजाबी भाषा
Q60052	गुस्टाफ किर्शहोफ
Q60974	ओटावा नदी
Q62943	मौर्य साम्राज्य
Q63659	गॅब्रियल हाइन्झ
Q66485	जयपूर
Q69808	विशी फ्रान्स
Q72259	पोर्टस्मथ
Q76904	केरोसीन
Q77746	माधेपुरा जिल्हा
Q79857	कोंनया
Q79923	पेब्ला
Q80083	मानव्यविद्या
Q80290	प्रतिबंधित शहर
Q80389	कुरिल द्वीपसमूह
Q80541	सुल्तान अहमद मशीद
Q80702	स्पॅनिश साम्राज्य
Q81046	चार्लेरोई
Q81130	अँडर्स सेल्सियस
Q81398	अकापुल्को
Q82205	आयर्लंडच्या प्रजासत्ताकाचा ध्वज
Q83093	मशरूम
Q83370	विंडोज ९५
Q83476	आल्फ्रिड
Q83572	शीख साम्राज्य
Q102139	मार्ग्रेथे दुसरी, डेन्मार्क
Q104668	व्हिताली जिन्झबर्ग
Q107450	फ्रँक विल्चेक
Q120730	क्योतो
Q122723	ओसाका
Q127254	पोप अलेक्झांडर सातवा
Q127513	कनागावा
Q128069	सिरॅक्युज
Q128323	त्रिनिदाद
Q128361	ओडेसा
Q128633	विल्यम ल्योन मॅकेन्झी किंग
Q128686	जॉन स्पॅरो डेव्हिड थॉम्पसन
Q129793	अ‍ॅडोबे फोटोशॉप
Q130191	नॉर्विच
Q130206	लंडन ब्रिज
Q130754	२००४ हिंदी महासागर भूकंप व त्सुनामी
Q130774	आर्जेन्टिनाचा ध्वज
Q131402	म्युनिक विमानतळ
Q131491	ब्रायटन
Q131587	पोप क्लेमेंट चौदावा
Q133396	क्नेसेट
Q140147	ब्रेस्त, बेलारूस
Q141488	जाल,
Q155794	हान्स बेथ
Q155961	पोप क्लेमेंट नववा
Q160493	इन्वरनेस
Q160554	मोहम्मद अली जिन्ना
Q160609	पोप इनोसंट चौथा
Q160627	आल्फ्रेड रसेल वॉलेस
Q160791	सायमन रोल्फ्स
Q161376	मिस युनिव्हर्स
Q161443	पोप सिरिसियस
Q162753	सोफी मार्सू
Q165561	पोप बॉनिफेस नववा
Q168431	इग्नात्चियो सिलोने
Q168497	डॅनियल डी रोस्सी
Q168691	दुसरा वित्तोरियो इमानुएले
Q169288	पोप इनोसंट सहावा
Q169470	भौतिकशास्त्रज्ञ
Q170297	पोप बॉनिफेस तिसरा
Q170863	पोप क्लेमेंट सहावा
Q171852	ओदेसा ओब्लास्त
Q175124	नोवोक्यबिशेहेवस्क
Q175963	ज्यो थाइसमान
Q177310	बोरीस स्पास्की
Q177320	हुलागू खान
Q178032	विद्युत चुंबक
Q179266	जे. कृष्णमूर्ती
Q179538	अब्बीरॉन जिल्हा
Q179815	डरहम
Q180573	दक्षिण व्हियेतनाम
Q180987	स्तूप
Q181278	२०२० उन्हाळी ऑलिंपिक
Q181557	काऊशुंग शहर
Q182343	नायगारा नदी
Q182692	अपॉकॅलिप्स नाऊ
Q183445	पहिला जस्टिन
Q183498	ब्रॅटिस्लावा प्रदेश
Q184594	काउंटी वॉटरफोर्ड
Q186894	विंडोज लाइव्ह मेल
Q188509	उपनगर
Q189546	बिझर्टे
Q190211	डग्लस डी.सी. ३
Q191123	लेव्हि एश्कॉल
Q193266	लिबरेक प्रदेश
Q193439	दुबई आंतरराष्ट्रीय विमानतळ
Q193814	हीनयान
Q196546	सय्यद अहमद खान
Q200397	आब्राम द म्वाव्र
Q201705	ख्मेर साम्राज्य
Q205683	स्कूबी डू
Q207639	चिचेस्टर
Q207902	अ‍ॅडोबे अ‍ॅक्रोबॅट
Q208487	इस्रायलचे पंतप्रधान
Q210069	मिल्टन ओबोटे
Q210944	तियागो मेंदेस
Q210985	चेल्‍म्‍सफर्ड
Q212761	अल मुतांबाना गव्हर्नोरेट
Q215327	हेलसिंकी विमानतळ
Q215474	कालु उचे
Q215477	मक्तूम बिन रशीद अल मक्तूम
Q218924	अ‍ॅडोबे इनडिझाइन
Q219656	मॅकॉन
Q219691	नोकिया ३३१०
Q227694	पोप ग्रेगोरी बारावा
Q227719	पोप मार्टिन चौथा
Q228409	कलि युग
Q229411	दिल्ली सल्तनत
Q230003	लोकसभा
Q234167	मक्का प्रांत
Q234803	रोल्स-रॉइस
Q235727	ग्वाल्मा प्रांत
Q236788	एल तारफ प्रांत
Q239870	कोलंबस
Q252785	कोनोसुके मात्सुशिता
Q261898	२००२ ऑस्ट्रेलियन ओपन
Q262589	ट्युवोड्रोस दुसरा, इथियोपिया
Q271529	सॅम्युट प्रकाण
Q273080	पॅट्सी क्लाइन
Q277422	मुकेश
Q294578	एदुआर्दो दुहाल्दे
Q295141	चैम हेर्झॉग
Q302176	हेन्री दे ला बेचे
Q311213	ग्लायसेटेड हिमोग्लोबिन
Q312209	बुएआ
Q312976	तुलसीदास
Q319813	सिडल्स्
Q325611	होमी भाभा
Q330015	डेन्व्हर आंतरराष्ट्रीय विमानतळ
Q330531	कोटा
Q334923	अबू बक्र
Q357821	गुओ मोरुओ
Q360187	अ‍ॅडोबे फायरवर्क्स
Q360419	अ‍ॅडोबे प्रिमीयर एलिमेंट्स
Q460835	मारूगॅमे
Q464213	एमी ग्रँट
Q466835	वॉशिंग्टन डलेस आंतरराष्ट्रीय विमानतळ
Q483040	साम्सुन प्रांत
Q483931	सत्य साईबाबा
Q484892	विंडोज एमई
Q485683	आणंद जिल्हा
Q491114	हेवर्ड
Q494720	मोरेनो व्हॅली
Q499169	टायलर
Q527157	कुवेत आंतरराष्ट्रीय विमानतळ
Q570358	मसाया विभाग
Q591243	औसा
Q593644	रसायनशास्त्रज्ञ
Q606340	मान गोव्हर्नोरेट
Q626608	आयुर्विमा
Q637639	बहरैन आंतरराष्ट्रीय विमानतळ
