Q31	Бельгия
Q9366	Поиск Google
Q9372	Сыма Цянь
Q9377	почка
Q9394	кролики
Q9458	Мухаммед
Q9513	Абдул Калам
Q9620	нерв
Q9655	артерия
Q9688	Берлин-Тегель
Q9694	Схипхол
Q9964	W
Q10000	нидерландская Википедия
Q10090	индуист
Q10151	Евровидение-2005
Q10184	Frankfurter Allgemeine Zeitung
Q10686	Белфаст
Q10829	А63
Q10833	А65
Q10844	А73
Q11272	Microsoft Excel
Q11341	Internet Information Services
Q11378	Шива
Q11425	мультипликация
Q11436	воздушное судно
Q11463	Adobe Systems
Q11633	фотография
Q11890	Tocotronic
Q12009	Ell & Nikki
Q12029	аддикция
Q12134	небесная сфера
Q12193	Брест
Q12325	Джеймс Бьюкенен
Q12461	Le Monde
Q12512	собор Святого Петра
Q12544	Византийская империя
Q12560	Османская империя
Q12567	Викинги
Q12584	Мен и Луара
Q12661	Нор
Q12751	Верхняя Савойя
Q12779	Тарн и Гаронна
Q12821	Отбивная по-милански
Q12861	дымный порох
Q12892	Антверпен
Q13275	сомалийский язык
Q13353	Монтсеррат
Q13669	Центральные Висайи
Q13855	Вик
Q13972	Тарту
Q13974	NBC
Q13982	Альберто Байо
Q14277	Уильям Гершель
Q14974	Владимир Святославич
Q15090	Льейда
Q15174	Шэньчжэнь
Q15196	Тхени
Q15373	Каримнагар
Q15975	Шарль де Монтескьё
Q16052	Зельце
Q16310	Венеция
Q16413	Teredo
Q16559	Остин
Q16572	Гуанчжоу
Q16766	Лау, Энди
Q16867	Эдгар По
Q16869	Константинополь
Q16917	больница
Q16967	Чжэцзян
Q17019	А113
Q18097	Корея
Q18127	лейбл звукозаписи
Q18428	Амаркорд
Q18492	Стэмфорд
Q18594	Sony Interactive Entertainment
Q18608	Эксплицитная память
Q18661	Мидлсбро
Q19616	RAI
Q19837	Стив Джобс
Q20709	Swedish House Mafia
Q20716	Samsung
Q20717	Себастьян Ингроссо
Q20937	Кёнгидо
Q21319	Парраматта
Q22424	Пенджаб
Q22438	Энтсайм
Q22660	Ийкирш-Граффанштадан
Q22690	Мец
Q22857	лазание
Q23066	Камбрия
Q23082	Дарем
Q23090	Линкольншир
Q23169	Оксфордшир
Q23220	Беркшир
Q23240	Эссекс
Q23310	Коссоньо
Q23406	Красное море
Q23522	Балканский полуостров
Q23556	Атланта
Q23766	Говард, Эбенизер
Q23800	Валлетта
Q23831	Офис
Q24603	Индепенденс
Q25227	Нидерландские Антильские острова
Q25956	орбитальная станция
Q25973	Герман Гессе
Q26540	искусственный спутник Земли
Q26876	Тейлор Свифт
Q26931	Эваристо Феличе даль Абако
Q27224	Bentley Motors
Q27275	Центральная Азия
Q27302	Немецкая национальная библиотека
Q27433	Центральная Африка
Q27449	Южная Европа
Q27550	Delage
Q27686	гостиница
Q27939	пение
Q28161	экономика труда
Q28206	Огаста
Q28260	Линкольн
Q28271	Аннаполис
Q28428	Пэкче
Q28725	Правда жизни
Q28747	никотинамидадениндинуклеотидфосфат
Q28823	текстиль
Q28848	Сент-Пол
Q29330	jaffa cakes
Q29339	Манише
Q29558	президент Финляндии
Q29570	Chevrolet
Q30461	президент
Q31722	Лефевр де Шеверю, Жан-Луи
Q32635	доменное имя
Q32724	современный венетский язык
Q32816	Приключения Сары Джейн
Q33231	фотограф
Q33486	Хартфорд
Q33673	каннада
Q33866	Теодор Рузвельт
Q33881	Тур де Франс
Q34370	Роттердам
Q34486	вертолёт
Q34600	Киото
Q34624	Джованни Габриели
Q34647	Йоханнесбург
Q34692	Кингстон
Q34726	древнегреческая мифология
Q34755	Kickstarter
Q35056	Хворост
Q35484	Медина
Q35591	Тигр
Q35715	Южная Австралия
Q35874	юмор
Q35962	Maserati
Q36033	Mitsubishi Motors
Q36105	Чарльз Бронсон
Q36633	проституция
Q36947	Салвадор
Q37062	Иоанн VIII Палеолог
Q37407	.af
Q37562	Донателло
Q37615	Лучано Паваротти
Q37643	Война в Персидском заливе
Q37736	Северный Кавказ
Q37756	сплав
Q37813	экосистема
Q38383	Английский бульдог
Q38484	Романо Проди
Q38559	Португальская водяная собака
Q38610	Ньюфаундленд
Q38807	Сува
Q39645	семантика
Q40110	Мухаммад Джамалуль Алам II
Q40325	Спрингфилд
Q40348	адвокат
Q40722	Дилма Русеф
Q40763	семя
Q40971	Packard
Q41064	Псалтирь
Q41483	Хороший, плохой, злой
Q41657	Роман III Аргир
Q41746	Ахилл
Q41921	Паркс, Роза
Q42369	Каннский кинофестиваль
Q42731	Торрес, Фернандо
Q42985	Иван Петрович Павлов
Q43010	кварц
Q43070	Донецк
Q43175	флаг Японии
Q43193	Грузовой автомобиль
Q43269	Сулия
Q43290	Талмуд
Q43292	султан
Q43482	франки
Q43627	Mac OS
Q43689	Амвросий Медиоланский
Q43749	Ныч, Казимеж
Q43919	Сейлем
Q43922	Лев XIII
Q43932	Янг, Ангус
Q44209	Music & Me
Q44271	Риона Хазуки
Q44428	Льюис, Рэй
Q44527	Фрейзер, Райан
Q44571	GNU
Q44624	Канизий, Пётр
Q44626	Меловой период
Q44842	Ре, Джованни Баттиста
Q45294	Рот, Ойген
Q45341	Восточно-Китайское море
Q45610	Акер Билк
Q45713	титан
Q46087	Анук
Q46277	Романо-д'Эццелино
Q46479	Леандер, Цара
Q46830	Роберт Гук
Q46942	Летувос Ритас
Q47002	Карлтон
Q47092	изнасилование
Q47097	Гуйчжоу
Q47146	интерфейс пользователя
Q47149	Сильвестр I
Q47151	Казань
Q47243	Эльфрида Елинек
Q47264	Хассан
Q47488	Международный уголовный суд
Q47716	Чарлстон
Q47853	Сан-Джованни-Лупатото
Q47995	Каваллино-Трепорти
Q48280	Фейтфулл, Марианна
Q48296	Тфилин
Q48544	Козимо Медичи Старый
Q48777	Уолтоны
Q48848	Лоппа
Q49019	Чёрная Гадюка
Q49162	Лоуэлл
Q49179	Вустер
Q49222	Чесапик
Q49229	Дарем
Q49448	Робер Нивель
Q49546	ацетон
Q49718	Коленчатый вал
Q49744	Виктор Орта
Q50615	Акерсхус
Q50656	Захария Аструк
Q50719	Центральный вокзал Амстердама
Q51490	Стивенс, Джордж
Q52062	Скандинавские страны
Q52636	Менорка
Q53097	Acura
Q53294	Арвид Линдман
Q53381	Тольмеццо
Q53484	Сясь
Q53668	Lovex
Q54801	Политика может быть другой
Q55405	Бимал Рой
Q55453	Аугусто Дженина
Q55502	Иерусалимское королевство
Q56045	Основной закон ФРГ
Q56152	Олстер
Q56228	Бруно I Великий
Q57164	Василий Яковлевич Струве
Q57306	Талабани, Джаляль
Q57336	Али Хаменеи
Q57386	Курт Тухольский
Q57601	Роланд Фрейслер
Q57674	София Шарлотта Ганноверская
Q57806	Самарас, Антонис
Q57864	Несодден
Q57932	Хенкель фон Доннерсмарк, Флориан
Q58290	Наталегава, Марти
Q58573	Климент II
Q58586	Гуссерль, Эдмунд
Q58711	Явапаи
Q58917	Штольня
Q60024	Герман Гельмгольц
Q60149	Флаг Дании
Q60351	Себастьян Брант
Q60735	Аксель Хоннет
Q60866	Мартин Генрих Лихтенштейн
Q61043	Френкель, Абрахам
Q61205	Заваллиш, Вольфганг
Q61396	Сыктывкар
Q62246	Поликарбонаты
Q62272	Подмосковные вечера
Q62288	Rolex
Q62633	Великое княжество Финляндское
Q62879	Рождественская песнь в прозе
Q63138	Альфред Геттнер
Q63206	Отто Брунфельс
Q64418	артиллерия
Q64783	Гайсель, Иоганн фон
Q65854	Фишенталь
Q65943	теорема
Q65955	Девонский период
Q66123	Карл Бегас
Q66369	Хольм, Густав Фредерик
Q66616	Индаур
Q66960	Дросте цу Вишеринг, Клеменс Август
Q67005	Литтен, Ганс
Q67314	Фрусторфер, Ханс
Q67477	Иоганн Герхард
Q67575	Айзенменгер, Иоганн Андреас
Q67612	Пауль Бонац
Q67963	Эдвард Даннройтер
Q68213	Орб
Q68316	Нойбер, Фредерика Каролина
Q69041	Мендризио
Q69149	Мельхерс, Пауль Лудольф
Q69257	Шульце-Наумбург, Пауль
Q69339	Натаниэль Готорн
Q69488	MDMA
Q69525	Пайерн
Q69962	Иоганн Эрнст II Саксен-Веймарский
Q70326	Пьер Огюстен Бомарше
Q71903	Отто Брам
Q72790	Окампо, Виктория
Q72813	Туле
Q73473	Рейхерт, Карл Богуслав
Q75248	Annuario Pontificio
Q75350	Гейгер, Лазарь
Q75845	Фридрих Вильгельм Бессель
Q76167	Абдуррахман Вахид
Q76425	Эмиль Адольф фон Беринг
Q76473	Саутгемптонский университет
Q76483	Райнер Мария Рильке
Q76490	Хельге Шнайдер
Q76514	Альфред Вебер
Q76539	Ганс Фаллада
Q76753	Тим Боровски
Q77242	Теодор Бильрот
Q77288	Чирнхаус, Эренфрид Вальтер фон
Q77507	Флоер, Андреас
Q77517	Гельмут Кнезер
Q77659	Гребнер, Фриц
Q78477	Шумпетер, Йозеф
Q78540	Зуйтнер, Отмар
Q78646	Альфред Грдличка
Q78685	Грегор фон Реццори
Q79459	Мельбурн
Q79602	циклон
Q79838	аккордеон
Q79849	Палмер
Q80011	Тиба
Q80217	Пенсильвания-авеню, 1600
Q80232	циклобутан
Q80250	циклопропан
Q80370	ил Батман
Q80484	Патна
Q80557	Сиятельные трупы
Q80911	Microsoft Outlook
Q80914	Табаско
Q80962	животноводство
Q81230	Сименс
Q81307	Гринпис
Q81851	бастион
Q82207	Индигирка
Q82746	Таня Лопер
Q82842	Скандиччи
Q83041	Анаксагор из Клазомен
Q83102	Эдирне
Q83203	кентавр
Q83222	Мезозой
Q83320	азотная кислота
Q83389	Турецкая телерадиокомпания
Q83459	сборная Бразилии по футболу
Q83494	Каттермол, Ли
Q83958	Древняя Македония
Q84133	миокард
Q84177	Менгер, Карл
Q84258	Капра, Фритьоф
Q84488	Краузе, Вильгельм
Q84827	Губерт Маришка
Q86458	Кронекер, Гуго
Q86557	Швертзик, Курт
Q87620	Пачоли, Лука
Q88462	Эммануэль Вирт
Q89540	Шульгоф, Эрвин
Q89764	Томас Фритш
Q91228	Монтериджони
Q91598	Симрот, Генрих
Q92928	Метрополис, Николас Константин
Q93181	Ольмерт, Эхуд
Q93195	Ольстер
Q95030	Уоррен Битти
Q95569	Музей истории искусств
Q100937	Фред Астер
Q101244	акроним
Q101286	Иннокентий XI
Q101294	Александр VIII
Q102231	Роза
Q102865	Дарий III
Q102911	Голландия
Q103163	аббат
Q103423	Марин II
Q103431	Анастасий III
Q103717	Рованиеми
Q104154	Урбен Жан Жозеф Леверье
Q105092	Мерсия
Q105522	мочевая кислота
Q105527	джаз-фьюжн
Q106016	Генотип
Q106225	Янн, Жан
Q106326	Бриали, Жан-Клод
Q107008	Каунт Бэйси
Q108510	Джеймс Гарнер
Q108543	Чужой 3
Q109612	Телониус Монк
Q110079	Шахматная доска
Q110299	Ансгар
Q110477	Эддерли, Кэннонболл
Q110910	антигерой
Q113246	Аль-Ахмади, Карим
Q115551	Игл
Q115841	Шмид, Самуэль
Q116008	Зимлер, Иосия
Q116480	Принцесса-квотербек
Q117186	Понтекорво
Q117305	Войцех Рубинович
Q118018	Кукарача
Q122462	флаг Мексики
Q123014	Альфред Вернер
Q123089	Констан, Бенжамен
Q123389	Робер Пенже
Q123603	Эрнест Ансерме
Q123646	Франц Яковлевич Лефорт
Q123867	Маркиз де Сад
Q124919	Киурувеси
Q125384	Лусон
Q126742	Иван Дмитриевич Василенко
Q126842	философия права
Q127330	Заппа, Фрэнк
Q127861	Египетский хедиват
Q127980	жиры
Q128011	Большие Антильские острова
Q128306	Дентон
Q128347	Флаг Пакистана
Q128499	Ялта
Q128758	сатира
Q128788	Калиджури, Даниэль
Q128894	Ицхак Бен-Цви
Q128967	Хит, Эдвард
Q129031	Тапенада
Q130346	Пустое гнездо
Q130760	турбина
Q131101	1-е послание Иоанна
Q131162	Дионисий
Q131214	антенна
Q131346	Пандора
Q131479	Доминиканцы
Q131737	Книга Товита
Q131761	Дэви, Гемфри
Q131818	Оран
Q132020	Xbox
Q132137	икона
Q132711	Павел V
Q132821	убийство
Q133116	Гамильтон
Q133123	Патры
Q133516	моносахариды
Q133566	Джузеппе Меацца
Q134627	флаг Филиппин
Q134646	Бонифаций VIII
Q134737	дворянство
Q134817	Абдул-Хамид II
Q134942	Уильям Сомерсет Моэм
Q135171	Кори, Элайс Джеймс
Q135615	Спрингфилд
Q137097	Алевиты
Q138367	Камден
Q140083	Марлборо
Q142348	Le Parisien
Q144327	Невадо-дель-Толима
Q144491	Альберто Герреро
Q144858	Adobe Digital Editions
Q145903	египтология
Q147787	Анна Каренина
Q149016	Батурин
Q149727	Святой Эгидий
Q149805	Королевство Ирак
Q149806	культура Азии
Q150323	iPad (3-го поколения)
Q150767	Бенджамин Бриттен
Q150804	Пианист
Q150820	Playboy
Q151838	Аксель Витсель
Q151895	Носферату. Симфония ужаса
Q152044	Восток
Q152057	«Би-Пи»
Q152232	Свет женщины
Q152292	Ванесса Бикрофт
Q152299	Нидерландский языковой союз
Q152503	Михаил Борисович Ходорковский
Q153122	Берлинский пакт
Q153183	Грейам
Q153620	Аманулла-хан
Q154020	Elle
Q154815	Billy Talent
Q154895	Герберт фон Караян
Q155476	Форсаж
Q155626	Сарджент, Джон Сингер
Q155643	Виктория
Q155790	Юджин Вигнер
Q155914	Петер Симон Паллас
Q155957	(624) Гектор
Q156203	Bild
Q157367	Бранденбург-Пруссия
Q157546	Virgin Killer
Q157814	Саймон Рэттл
Q158370	Хайтинк, Бернард
Q158465	Анатолий Тимофеевич Фоменко
Q158888	Yamaha Motor Company
Q158932	Edguy
Q159535	теория заговора
Q159538	флаг Сомали
Q159592	Джон Непер
Q159609	Клаус фон Амсберг
Q159675	приток
Q159736	Ленстер
Q159856	Брабант
Q159915	Гидон Маркусович Кремер
Q160374	Норберт Ксантенский
Q160514	Евсевий
Q160544	Ираклион
Q160742	аббатство
Q161048	Зенефельдер, Иоганн Алоиз
Q161841	Эдвард Гиббон
Q162317	Локомотив
Q162475	Корк
Q162848	Баркаускас, Витаутас
Q163829	синтезатор
Q163861	Джеймс, Гарри
Q164004	Александр Порфирьевич Бородин
Q164193	Львовская область
Q165419	Иван Степанович Мазепа
Q165783	Британская антарктическая территория
Q166118	архив
Q166585	Рунге, Филипп Отто
Q167475	Риветт, Жак
Q167546	Далла, Лучо
Q168400	Телебашня Гуанчжоу
Q168579	Джо Луис-арена
Q168904	Фехте
Q169794	Ранавалуна I
Q170071	Джозеф Альберс
Q170114	Летние Паралимпийские игры 1972
Q170287	Суботица
Q170395	Климент VIII
Q170415	Стара-Загора
Q170477	дымовая труба
Q170570	Илам
Q170877	бомбардировщик
Q171238	Целестин IV
Q171277	Аида
Q171485	Томсен, Вильгельм
Q171877	пероксид водорода
Q172083	Эль Хадж Омар Бонго Ондимба
Q172183	Хаим Вейцман
Q172470	Нерюнгри
Q172517	Флаг Ямайки
Q172523	Арибо
Q172742	Nintendo Entertainment System
Q172748	антипапа
Q172755	Renault R26
Q173637	Ice Cube
Q173790	Roxette
Q174002	Коломб
Q174647	Пятка
Q174723	Кодеин
Q175482	финская Википедия
Q177005	вычислительная биология
Q177229	Артур Бенджамин
Q177364	The Tremeloes
Q178076	Книга пророка Михея
Q178470	нетбук
Q178498	Ахимса
Q178806	Средненидерландский язык
Q178819	Книга пророка Ионы
Q179110	Дон Карлос
Q180341	метионин
Q180554	Кимика Ёсино
Q180937	тоскский диалект албанского языка
Q181059	восточноармянский язык
Q181489	Евсевий из Верчелли
Q181619	глутамин
Q181882	Карлоу
Q182452	Геннадий Андреевич Зюганов
Q182778	Вранча
Q182849	гидроксид кальция
Q183061	фасад
Q183126	Рамакришна
Q183226	Карл IV
Q183231	Банк Англии
Q183259	Super Nintendo Entertainment System
Q183397	Фред Хойл
Q183509	Пригожин, Илья Романович
Q184116	Гэри
Q184395	морская вода
Q184425	Тихоокеанский театр военных действий Второй мировой войны
Q184579	Болтон
Q184623	Жорж Жак Дантон
Q185000	Boeing B-17 Flying Fortress
Q185325	Сердечно-лёгочная реанимация
Q185488	Волжская Булгария
Q185582	Ноксвилл
Q186350	Бог Отец
Q186380	аутосома
Q186561	Кинси, Альфред
Q187223	лагуна
Q187745	Bohemian Rhapsody
Q187805	Спокан
Q187890	Керченский пролив
Q188061	Вильнюсский уезд
Q188313	Блэкберн
Q188449	нейрохирургия
Q188731	Родос
Q189592	Антрим
Q189863	Герцеговина
Q190232	Томбо, Клайд Уильям
Q190928	верфь
Q191095	Сепир, Эдвард
Q191231	Мануэл I
Q192155	Котка
Q192276	мера
Q192348	Кроче, Бенедетто
Q192435	Триполитания
Q192443	Fairchild Republic A-10 Thunderbolt II
Q192454	дезоксирибоза
Q192517	Боулдер
Q192759	Западная Финляндия
Q192845	MSN
Q193375	Тейт Модерн
Q193572	салициловая кислота
Q193701	SpaceX
Q194064	Иезекииль
Q194103	Авентин
Q194297	Гиннесс
Q194302	сцепление
Q195522	Ахмад Захир
Q196113	камуфляж
Q198621	Капю, Альфред
Q199585	Let It Be
Q199894	Томас Кранмер
Q200124	Вайоцдзорская область
Q200130	Азад Кашмир
Q200183	Википедия на упрощённом английском языке
Q200606	AppleTalk
Q201149	Файф
Q201410	Второканонические книги
Q201433	Дороти Хьюитт
Q201484	Ди, Джон
Q201773	Футбольный стадион Хункоу
Q201823	Варта
Q201873	Свадьба Фигаро
Q201948	снайпер
Q202177	Ангус
Q202246	Моррисси
Q202712	IBM PC
Q203000	Перт
Q203519	Барнет, Борис Васильевич
Q203889	Лутон
Q204714	Хлорид цинка
Q204964	Хлорид олова(II)
Q205319	Дюсеп, Жиль
Q205451	лопастной винт
Q206249	New Left Review
Q206422	Disc-Overy
Q207365	Самайн
Q207421	Тунгурауа
Q207448	Монреале
Q208081	Ането
Q208172	французский багет
Q208491	BBC World News
Q208531	Актеон
Q208582	Торияма, Акира
Q208811	Панатинаикос
Q209086	Пантен
Q209282	Фрейзьер
Q209619	ОФК
Q209972	Счастливого Рождества, Дрейк и Джош
Q210329	Юань Шикай
Q210740	Уилки Коллинз
Q211436	Висайские острова
Q211787	Жюль Борде
Q211827	Пётр I Карагеоргиевич
Q211891	азотистая кислота
Q212793	Шарантон-ле-Пон
Q212803	алгебраическая топология
Q212886	Стивен Кольбер
Q213107	премьер-министр Бельгии
Q213220	Альд Мануций
Q213531	Теракты в Мадриде
Q213794	Густав фон Струве
Q214260	Пулльман, Симон
Q214276	MacBook Pro
Q214473	Стив Бико
Q214504	Лабуан
Q214665	Нино Рота
Q214768	Чулым
Q214924	Рейнский водопад
Q215443	Шведская империя
Q215461	Гофман, Ганс
Q215646	Эдо
Q215652	Росталь, Макс
Q215654	Норберт Брайнин
Q217142	Сноудон
Q217169	Родезия
Q217457	Шхара
Q217629	Q
Q217838	Стерлинг
Q218281	Зоуи 101
Q219136	Outlook.com
Q219407	Финансовая пирамида
Q219477	миссионер
Q219960	Scania
Q220072	ITV
Q220577	Google Analytics
Q220726	Kid A
Q220768	Джамбаттиста Бодони
Q221254	Como ama una mujer
Q221414	McDonnell Douglas DC-9
Q221457	Царство Польское
Q221602	АИК
Q221824	Скоко, Йосип
Q223499	Стокгольм-Арланда
Q223604	Итало-греческая война
Q223694	боевые слоны
Q223732	Декларация независимости Израиля
Q225729	Харзевинкель
Q225904	Уэбстер, Джон
Q228649	Иоанн XV
Q229058	Индийская организация космических исследований
Q229179	Тебальди, Рената
Q229366	Наумова, Мария
Q229840	Энни Пру
Q230898	Фредегонда
Q231396	Orkut
Q231690	Бхимрао Рамджи Амбедкар
Q231964	Два глаза, двенадцать рук
Q232214	Хульета Венегас
Q232255	Алисия де Ларроча
Q232451	Мадхури Дикшит
Q232734	Памуккале
Q233181	Анна Мария Луиза Медичи
Q233651	Эль-Уэд
Q233858	неевклидова геометрия
Q234683	Ледуайен, Виржини
Q234953	шиваизм
Q235880	Ева Ривас
Q236027	Медина
Q237271	Колбрук, Генри Томас
Q237886	Адела Нормандская
Q238498	5 центов с изображением Джефферсона
Q239419	Саския Сассен
Q239533	Ма Рейни
Q240136	Норма Алеандро
Q241731	Большой Лиссабон
Q243543	Toyota Corolla
Q244025	Бернаби
Q244764	Хасэкура Цунэнага
Q245068	комик
Q245248	Двенадцать малых пророков
Q245282	Незаменимые аминокислоты
Q246517	Деламбр, Жан-Батист Жозеф
Q248770	Ревентадор
Q248784	Пирс Доэрти
Q248911	Наньчан Хэнъюань
Q249454	Кеймбридж
Q252087	Ас-Саффах
Q252131	Фальк, Антон Рейнгард
Q253068	Шайбс
Q253302	Леголанд
Q253623	патент
Q255461	Honda CR-V
Q255492	Уэйкфилд, Эдвард
Q256778	Йозефштадт
Q257493	Франко, Вероника
Q258131	Rai 1
Q258896	банджо
Q259201	IBM Lotus Symphony
Q259502	австралийский доллар
Q260037	Гузенбауэр, Альфред
Q261595	Windows Communication Foundation
Q262199	Маргит Сандему
Q262771	Михаэль Вольгемут
Q263434	Audi V8
Q263686	Юго-Восточная Европа
Q263791	Хафса бинт Умар
Q265152	Щит
Q265452	Сюзанна Харкер
Q266049	Лепот, Николь-Рейн
Q266416	Бетси Блэр
Q266995	Грааф, Ренье де
Q267335	Шуламит Алони
Q268917	Ли Аарон
Q269680	Астаринский район
Q269792	Ferrero
Q269856	AIX
Q270146	Муглалис, Анна
Q270309	Universal Media Disc
Q270724	Люкке Ли
Q271021	Цефалоспорины
Q271254	Парвин Этесами
Q271884	Норман Роквелл
Q273233	Робсон, Поль
Q274306	Агурбаш, Анжелика Анатольевна
Q275718	9-я танковая дивизия (Германия)
Q275914	90-я лёгкая пехотная дивизия (Третий рейх)
Q275953	Mermaid Melody Pichi Pichi Pitch
Q276038	Мути, Риккардо
Q276091	Коке
Q276310	Эдвардс, Дункан
Q276415	История Золушки
Q276690	Эта девушка
Q277045	Supersister
Q277354	DeltaWing
Q277818	Монтемитро
Q278245	Ледник Ламберта
Q279382	Дани Робен
Q279979	Office Open XML
Q280445	Жансак, Клод
Q280838	Маунтрейл
Q282551	Палладино, Раффаэле
Q284092	Джон Кемп
Q284103	Капли дождя на раскалённых скалах
Q284140	SRGB
Q284451	Дианетика
Q284649	Пуэнт-дю-Ок
Q284694	Кашкашьян, Ким
Q288782	Аконитовая кислота
Q289577	Химьяр
Q290572	Б. Наги Редди
Q291205	Фонтен, Анн
Q294153	Ричард Аркрайт
Q295271	AMR 33
Q295919	Кук, Сэм
Q296666	Ходдл, Гленн
Q297190	Джолитти, Джованни
Q297515	Помпоний Мела
Q297565	Джакомо да Виньола
Q298384	Яков Михайлович Свердлов
Q298403	Умар ибн Абдул-Азиз
Q298850	Алкман
Q299650	Жуан V
Q300608	А-Вер-у-Мар
Q300859	IPhone 3GS
Q302403	Каллас навсегда
Q305026	Велосипедные педали
Q305760	Рав (Амора)
Q308141	Абдиэль
Q308705	France Football
Q309135	Коррьере делла сера
Q309625	We Can’t Dance
Q310332	Робинсон, Смоки
Q310439	Фокс, Джордж
Q310476	Уоллер, Фэтс
Q310870	Марселу Каэтану
Q311070	Крокетт, Дэви
Q311276	Поль Брока
Q311820	Уот Тайлер
Q312656	Чейни, Лон
Q312827	Маки, Фумихико
Q312930	Копауэ
Q312952	Мирза Гулам Ахмад
Q313383	президент Индии
Q313449	Яндарбиев, Зелимхан Абдулмуслимович
Q313528	Нерви, Пьер Луиджи
Q313529	Дорси, Томми
Q313639	Майкл Найман
Q313697	Перо, Росс
Q313698	Паутер, Дэниел
Q314135	Ожеро, Пьер-Франсуа-Шарль
Q314440	Соуза, Паулу
Q314471	Гофман, Ирвинг
Q315347	Пётр Ломбардский
Q315747	Жорж Буланже
Q316422	Эктор Гимар
Q316600	Вунибальд
Q316733	Паулу Бенту
Q316864	Третьяк, Владислав Александрович
Q317475	Шариати, Али
Q317668	Ребергер, Тобиас
Q318693	Организация Договора о коллективной безопасности
Q318943	Корнелий Янсений
Q318968	Малипьеро, Джан Франческо
Q318991	Гад Эльмалех
Q319099	Дукакис, Майкл
Q319320	Kyau & Albert
Q319578	Шри Чинмой
Q319671	Трансантарктические горы
Q319773	Харкет, Мортен
Q319821	Либерти
Q319965	Эль-Вахда
Q321150	Теоретическая химия
Q321207	премия Альфреда Бауэра
Q321249	прикладная лингвистика
Q321747	Салаберри, Шарль-Мишель де
Q322341	Мариетт, Пьер-Жан
Q324968	Сергей Иванович Вавилов
Q326220	Монреальский кинофестиваль
Q326359	Пфальц
Q326497	Морфео, Доменико
