Q31	Belgique
Q57164	Friedrich Georg Wilhelm von Struve
Q57306	Jalal Talabani
Q57336	Ali Khamenei
Q57386	Kurt Tucholsky
Q57601	Roland Freisler
Q57674	Sophie-Charlotte de Hanovre
Q57806	Antónis Samarás
Q57864	Nesodden
Q57932	Florian Henckel von Donnersmarck
Q58267	Youssef al-Alawi Abdullah
Q58290	Marty Natalegawa
Q58573	Clément II
Q58586	Edmund Husserl
Q58711	comté de Yavapai
Q58917	galerie de mine
Q60024	Hermann Ludwig von Helmholtz
Q60149	drapeau du Danemark
Q60351	Sébastien Brant
Q60735	Axel Honneth
Q60866	Hinrich Lichtenstein
Q61043	Abraham Adolf Fraenkel
Q61205	Wolfgang Sawallisch
Q62246	polycarbonate
Q62272	Les Nuits de Moscou
Q62288	Rolex
Q62633	Grand-duché de Finlande
Q62879	Un chant de Noël
Q63138	Alfred Hettner
Q63206	Otto Brunfels
Q63618	Dominique Perben
Q64418	artillerie
Q64783	Johannes von Geissel
Q65414	Lena Valaitis
Q65854	Fischenthal
Q65943	théorème
Q65955	Dévonien
Q66123	Carl Joseph Begas
Q66369	Gustav Frederik Holm
Q66616	Indore
Q66960	Clément-Auguste Droste zu Vischering
Q67005	Hans Litten
Q67314	Hans Fruhstorfer
Q67477	Johann Gerhard
Q67575	Johann Andreas Eisenmenger
Q67612	Paul Bonatz
Q67963	Edward Dannreuther
Q68213	Orbe
Q68316	Friederike Caroline Neuber
Q69037	Collonge-Bellerive
Q69041	Mendrisio
Q69149	Paul Melchers
Q69257	Paul Schultze-Naumburg
Q69339	Nathaniel Hawthorne
Q69488	MDMA
Q69525	Payerne
Q69962	Jean-Ernest II de Saxe-Weimar
Q70326	Pierre-Augustin Caron de Beaumarchais
Q71903	Otto Brahm
Q72790	Victoria Ocampo
Q72813	Culture de Thulé
Q73473	Karl Bogislaus Reichert
Q73973	Hinrich Wilhelm Kopf
Q75248	Annuario pontificio
Q75350	Lazarus Geiger
Q75845	Friedrich Wilhelm Bessel
Q76167	Abdurrahman Wahid
Q76269	aéroport d'Oslo-Fornebu
Q76425	Emil Adolf von Behring
Q76473	université de Southampton
Q76483	Rainer Maria Rilke
Q76490	Helge Schneider
Q76514	Alfred Weber
Q76539	Hans Fallada
Q76753	Tim Borowski
Q77242	Theodor Billroth
Q77288	Ehrenfried Walther von Tschirnhaus
Q77507	Andreas Floer
Q77517	Hellmuth Kneser
Q77659	Fritz Graebner
Q78477	Joseph Schumpeter
Q78540	Otmar Suitner
Q78646	Alfred Hrdlicka
Q78685	Gregor von Rezzori
Q79459	Melbourne
Q79602	cyclone
Q79838	accordéon
Q79849	Palmer
Q80011	Chiba
Q80217	1600 Penn
Q80232	Cyclobutane
Q80250	cyclopropane
Q80370	Batman
Q80484	Patna
Q80557	Cadavres exquis
Q80911	Microsoft Outlook
Q80914	Tabasco
Q80962	élevage
Q81230	Siemens
Q81307	Greenpeace
Q81851	bastion
Q82207	Indiguirka
Q82746	Tanya Lopert
Q82842	Scandicci
Q83041	Anaxagore de Clazomènes
Q83102	Edirne
Q83203	centaure
Q83222	mésozoïque
Q83320	acide nitrique
Q83389	Radio-télévision de Turquie
Q83459	équipe du Brésil de football
Q83494	Lee Cattermole
Q83958	Royaume de Macédoine
Q84133	myocarde
Q84177	Carl Menger
Q84258	Fritjof Capra
Q84488	Wilhelm Krause
Q84827	Hubert Marischka
Q86300	Hans Peter Luhn
Q86458	Hugo Kronecker
Q86557	Kurt Schwertsik
Q87620	Luca Pacioli
Q88462	Emanuel Wirth
Q89540	Erwin Schulhoff
Q89764	Thomas Fritsch
Q91228	Monteriggioni
Q91417	Henry Villard
Q91598	Heinrich Simroth
Q92661	Bob Wallace
Q92923	Charles Goldfarb
Q92928	Nicholas Metropolis
Q93181	Ehud Olmert
Q93195	Ulster
Q94526	Alois Hudal
Q95030	Warren Beatty
Q95569	musée d'Histoire de l'art de Vienne
Q95852	Alfred Kubel
Q96830	Salentin d'Isenburg
Q99064	Simon Gosejohann
Q100937	Fred Astaire
Q101244	acronyme
Q101286	Innocent XI
Q101294	Alexandre VIII
Q102231	rose
Q102865	Darius III
Q102911	Hollande
Q103163	abbé
Q103423	Marin II
Q103431	Anastase III
Q103717	Rovaniemi
Q104154	Urbain Le Verrier
Q105092	Mercie
Q105340	Johann Freiherr von Berenberg-Gossler
Q105522	Acide urique
Q105527	jazz fusion
Q106016	génotype
Q106225	Jean Yanne
Q106326	Jean-Claude Brialy
Q107008	Count Basie
Q108510	James Garner
Q108543	Alien 3
Q109612	Thelonious Monk
Q110079	échiquier
Q110299	Anschaire de Brême
Q110477	Julian Cannonball Adderley
Q110910	antihéros
Q113246	Karim El Ahmadi
Q115551	comté d'Eagle
Q115841	Samuel Schmid
Q116008	Josias Simmler
Q117186	Pontecorvo
Q117305	Wojciech Rubinowicz
Q117448	Luigi Snozzi
Q118018	La Cucaracha
Q122462	drapeau du Mexique
Q123014	Alfred Werner
Q123089	Benjamin Constant
Q123389	Robert Pinget
Q123603	Ernest Ansermet
Q123646	François Lefort
Q123867	marquis de Sade
Q124919	Kiuruvesi
Q125384	Luçon
Q126842	philosophie du droit
Q127330	Frank Zappa
Q127861	Khédivat d'Égypte
Q127980	graisse
Q128011	Grandes Antilles
Q128306	Denton
Q128347	drapeau du Pakistan
Q128499	Yalta
Q128758	satire
Q128788	Daniel Caligiuri
Q128894	Yitzhak Ben-Zvi
Q128929	MTU Aero Engines
Q128967	Edward Heath
Q129031	Tapenade
Q130760	turbine
Q131101	Première épître de Jean
Q131162	Denys
Q131214	antenne radioélectrique
Q131346	Pandore
Q131479	ordre des Prêcheurs
Q131737	Livre de Tobie
Q131761	Humphry Davy
Q131818	Oran
Q132020	Xbox
Q132137	icône
Q132711	Paul V
Q132821	meurtre
Q133116	Hamilton
Q133123	Patras
Q133516	ose
Q133566	stade Giuseppe-Meazza
Q134627	drapeau des Philippines
Q134646	Boniface VIII
Q134737	noblesse
Q134817	Abdülhamid II
Q134942	William Somerset Maugham
Q135171	Elias James Corey
Q135615	Springfield
Q137097	Alévisme
Q138367	Camden
Q138558	Marcus Rojas
Q140083	Marlborough
Q142348	Le Parisien
Q143493	Vingt-et-un
Q144327	Nevado del Tolima
Q144491	Alberto Guerrero
Q144858	Adobe Digital Editions17350
Q145903	égyptologie
Q145935	Zampa
Q146291	Ardeshir Cowasjee
Q147787	Anna Karénine
Q149016	Batouryn
Q149727	Gilles l'Ermite
Q149805	Royaume d'Irak
Q150323	iPad
Q150767	Benjamin Britten
Q150804	Le Pianiste
Q150820	Playboy
Q151838	Axel Witsel
Q151895	Nosferatu le vampire
Q152044	lac Vostok
Q152057	BP
Q152232	Clair de femme
Q152292	Vanessa Beecroft
Q152299	Union de la langue néerlandaise
Q152503	Mikhaïl Khodorkovski
Q153122	Pacte tripartite
Q153183	Graham
Q153620	Amānullāh Khān
Q154020	Elle
Q154815	Billy Talent
Q154895	Herbert von Karajan
Q155476	Fast and Furious
Q155626	John Singer Sargent
Q155643	Victoria Harbour
Q155790	Eugène Wigner
Q155914	Peter Simon Pallas
Q155957	(624) Hector
Q156203	Bild
Q157367	Brandebourg-Prusse
Q157546	Virgin Killer
Q157814	Simon Rattle
Q158225	Aruna Irani
Q158370	Bernard Haitink
Q158465	Anatoli Fomenko
Q158888	Yamaha
Q158932	Edguy
Q159535	théorie du complot
Q159538	drapeau de la Somalie
Q159592	John Napier
Q159609	Claus von Amsberg
Q159675	affluent
Q159736	Leinster
Q159856	Duché de Brabant
Q159915	Gidon Kremer
Q160374	Norbert de Xanten
Q160514	Eusèbe
Q160544	Héraklion
Q160742	abbaye
Q161048	Aloys Senefelder
Q161841	Edward Gibbon
Q162317	1. FC Lokomotive Leipzig
Q162475	Cork
Q162848	Vytautas Barkauskas
Q163829	synthétiseur
Q163861	Harry James
Q164004	Alexandre Borodine
Q164193	Lviv
Q165419	Ivan Mazepa
Q165752	Chambre des délégués du Maryland
Q165783	Territoire antarctique britannique
Q166118	archives
Q166127	Rotterdam
Q166585	Philipp Otto Runge
Q166819	Carol Welsman
Q166922	Michael Gerard Bauer
Q167475	Jacques Rivette
Q167546	Lucio Dalla
Q168400	Tour Canton
Q168579	Aréna Joe Louis
Q168904	Overijsselse Vecht
Q169794	Ranavalona Ire
Q170071	Josef Albers
Q170114	Jeux paralympiques d'été de 1972
Q170287	Subotica
Q170395	Clément VIII
Q170415	Stara Zagora
Q170477	cheminée
Q170570	Ilam
Q170877	bombardier
Q171238	Célestin IV
Q171277	Aida
Q171485	Vilhelm Thomsen
Q171877	peroxyde d'hydrogène
Q172083	Omar Bongo
Q172183	Chaim Weizmann
Q172470	Nerioungri
Q172517	drapeau de la Jamaïque
Q172523	Aribon de Freising
Q172705	Ferrari D246
Q172742	Nintendo Entertainment System
Q172748	antipape
Q172755	Renault R26
Q173637	Ice Cube
Q173790	Roxette
Q174002	Colombes
Q174647	talon
Q174723	codéine
Q175482	Wikipédia en finnois
Q176375	Weekendavisen
Q177005	biologie computationnelle
Q177229	Arthur Benjamin
Q177364	The Tremeloes
Q178028	Vinnie Burke
Q178076	Livre de Michée
Q178470	Netbook
Q178498	Ahiṃsā
Q178806	moyen néerlandais
Q178819	Livre de Jonas
Q179110	Don Carlos
Q179686	Chaparral Cars
Q180341	Méthionine
Q180554	Kimika Yoshino
Q180937	tosque
Q181059	arménien oriental
Q181489	Eusèbe de Verceil
Q181619	glutamine
Q181882	Carlow
Q182452	Guennadi Ziouganov
Q182470	Spessart
Q182778	Vrancea
Q182849	Hydroxyde de calcium
Q183061	façade
Q183126	Râmakrishna
Q183226	Charles IV d'Espagne
Q183231	banque d'Angleterre
Q183259	Super Nintendo
Q183397	Fred Hoyle
Q183509	Ilya Prigogine
Q184116	Gary
Q184395	eau de mer
Q184425	guerre du Pacifique
Q184579	Bolton
Q184623	Georges Jacques Danton
Q185000	Boeing B-17 Flying Fortress
Q185325	réanimation cardio-pulmonaire
Q185488	Khanat bulgare de la Volga
Q185582	Knoxville
Q186350	Dieu le Père
Q186380	autosome
Q186561	Alfred Kinsey
Q187223	lagune
Q187745	Bohemian Rhapsody
Q187805	Spokane
Q187890	Détroit de Kertch
Q188061	Vilnius
Q188313	Blackburn
Q188449	neurochirurgie
Q188731	Rhodes
Q189592	comté d'Antrim
Q189863	Herzégovine
Q190232	Clyde William Tombaugh
Q190928	chantier naval
Q191095	Edward Sapir
Q191231	Manuel Ier de Portugal
Q192155	Kotka
Q192276	mesure
Q192348	Benedetto Croce
Q192435	Tripolitaine
Q192443	Fairchild A-10 Thunderbolt II
Q192454	désoxyribose
Q192517	Boulder
Q192759	Finlande occidentale
Q192845	MSN
Q193375	Tate Modern
Q193572	acide salicylique
Q193701	SpaceX
Q194064	Ézéchiel
Q194103	Aventin
Q194297	Guinness
Q194302	embrayage
Q195522	Ahmad Zahir
Q196113	camouflage
Q198621	Alfred Capus
Q199585	Let It Be
Q199894	Thomas Cranmer
Q200124	Vayots Dzor
Q200130	Azad Cachemire
Q200183	Wikipédia en anglais simple
Q200606	AppleTalk
Q201149	Fife
Q201410	Livres deutérocanoniques
Q201433	Dorothy Hewett
Q201484	John Dee
Q201773	stade de Hongkou
Q201823	Warta
Q201873	Le nozze di Figaro
Q201948	tireur embusqué
Q202177	Angus
Q202246	Morrissey
Q202615	FC Anker Wismar
Q202685	Terrence Prendergast
Q202712	IBM PC
Q203000	Perth
Q203519	Boris Barnet
Q203889	Luton
Q204714	Chlorure de zinc
Q204964	Chlorure d'étain(II)
Q205319	Gilles Duceppe
Q205451	hélice
Q206249	New Left Review
Q206422	Disc-Overy
Q207365	Samain
Q207421	Tungurahua
Q207448	Monreale
Q208081	Aneto
Q208172	baguette
Q208491	BBC World News
Q208531	Actéon
Q208582	Akira Toriyama
Q208811	stade panathénaïque
Q209086	Pantin
Q209282	Frasier
Q209619	OFK Belgrade
Q209972	Merry Christmas, Drake & Josh
Q210329	Yuan Shikai
Q210740	Wilkie Collins
Q211436	Visayas
Q211787	Jules Bordet
Q211827	Pierre Ier de Serbie
Q211891	Acide nitreux
Q212793	Charenton-le-Pont
Q212803	topologie algébrique
Q212886	Stephen Colbert
Q213101	Javier
Q213107	Premier ministre de Belgique
Q213220	Alde l'Ancien
Q213531	Attentats du 11 mars 2004 à Madrid
Q213794	Gustav Struve
Q214260	Simon Pullman
Q214276	MacBook Pro
Q214473	Steve Biko
Q214504	Labuan
Q214531	Bendix Hallenstein
Q214665	Nino Rota
Q214768	Tchoulym
Q214924	Chutes du Rhin
Q215443	empire suédois
Q215461	Hans Hofmann
Q215646	Edo
Q215652	Max Rostal
Q215654	Norbert Brainin
Q217142	mont Snowdon
Q217169	Rhodésie
Q217457	Chkhara
Q217629	Q
Q217838	Stirling
Q218281	Zoé
Q219136	Outlook.com
Q219407	chaîne de Ponzi
Q219477	missionnaire chrétien
Q219960	Scania
Q220072	ITV
Q220577	Google Marketing Platform
Q220726	Kid A
Q220768	Giambattista Bodoni
Q221254	Como ama una mujer
Q221414	McDonnell Douglas DC-9
Q221457	Royaume du Congrès
Q221602	AIK Solna
Q221824	Josip Skoko
Q223499	aéroport de Stockholm-Arlanda
Q223604	Guerre italo-grecque
Q223694	éléphant de guerre
Q223732	Déclaration d'indépendance de l'État d'Israël
Q224965	Grimus
Q225729	Harsewinkel
Q225904	John Webster
Q228649	Jean XV
Q229058	Indian Space Research Organisation
Q229179	Renata Tebaldi
Q229366	Marija Naumova
Q229840	Annie Proulx
Q230898	Frédégonde
Q231396	Orkut
Q231690	Bhimrao Ramji Ambedkar
Q232214	Julieta Venegas
Q232255	Alicia de Larrocha
Q232451	Madhuri Dixit
Q232734	Pamukkale
Q233181	Anna Maria Luisa de Médicis
Q233651	El Oued
Q233721	Carla Bley
Q233858	géométrie non euclidienne
Q234683	Virginie Ledoyen
Q234953	Shivaïsme
Q235880	Eva Rivas
Q236027	Médine
Q237271	Henry Thomas Colebrooke
Q237886	Adèle de Blois
Q238498	Nickel
Q238817	Raymond Flynn
Q239419	Saskia Sassen
Q239533	Ma Rainey
Q239599	Grianan d'Aileach
Q240136	Norma Aleandro
Q241731	Grand Lisbonne
Q243543	Toyota Corolla
Q244025	Burnaby
Q244764	Hasekura Tsunenaga
Q245068	humoriste
Q245248	petits prophètes
Q245282	acide aminé essentiel
Q246517	Jean-Baptiste Joseph Delambre
Q248770	Reventador
Q248784	Pearse Doherty
Q248911	Shanghai Shenxin
Q249454	Cambridge
Q251311	Milbertshofen-Am Hart
Q252087	Al-Saffah
Q252131	Antoine Reinhard Falck
Q252350	Rosa diamante
Q253068	District de Scheibbs
Q253302	Legoland
Q253623	brevet
Q253640	Maud Olofsson
Q255461	Honda CR-V
Q255492	Edward Gibbon Wakefield
Q255665	Mircea Florian
Q256778	Josefstadt
Q257493	Veronica Franco
Q258131	Rai 1
Q258896	banjo
Q258932	prison d'État de Floride
Q259201	IBM Lotus Symphony
Q259502	dollar australien
Q259550	Vin cuit
Q260037	Alfred Gusenbauer
Q261595	Windows Communication Foundation
Q262199	Margit Sandemo
Q262771	Michael Wolgemut
Q263434	Audi V8
Q263686	Europe du Sud-Est
Q263791	Hafsa bint Omar
Q265152	The Shield
Q265299	Maurice De Waele
Q265452	Susannah Harker
Q266049	Nicole-Reine Lepaute
Q266416	Betsy Blair
Q266566	Artnet
Q266655	Cesare Terranova
Q266995	Reinier de Graaf
Q267335	Shulamit Aloni
Q268878	manufacture de porcelaine de Nymphenburg
Q268917	Lee Aaron
Q269680	Astara
Q269792	Ferrero
Q269856	AIX
Q270146	Anna Mouglalis
Q270309	Universal Media Disc
Q270724	Lykke Li
Q271021	céphalosporine
Q271254	Parvin E'tesami
Q271884	Norman Rockwell
Q273233	Paul Robeson
Q274306	Angelica Agurbash
Q275718	9e Panzerdivision
Q275914	90e Panzergrenadier Division
Q275953	Mermaid Melody
Q276038	Riccardo Muti
Q276091	Jorge Resurrección Merodio
Q276310	Duncan Edwards
Q276415	Comme Cendrillon
Q277045	Supersister
Q277354	DeltaWing
Q277818	Montemitro
Q278245	glacier Lambert
Q278261	Mendelssohn Inlet
Q279329	Headbangers Ball
Q279382	Dany Robin
Q279979	Office Open XML
Q280445	Claude Gensac
Q280838	comté de Mountrail
Q282551	Raffaele Palladino
Q284033	Audi R15 TDI
Q284092	John Kemp
Q284103	Gouttes d'eau sur pierres brûlantes
Q284140	sRGB
Q284451	Dianétique
Q284649	Pointe du Hoc
Q284694	Kim Kashkashian
Q284787	Lias
Q286596	The Upsetters
Q288782	Acide aconitique
Q289577	Himyar
Q290572	B. Nagi Reddy
Q291205	Anne Fontaine
Q294153	Richard Arkwright
Q295271	Char Renault AMR 33
Q295919	Sam Cooke
Q296666	Glenn Hoddle
Q297190	Giovanni Giolitti
Q297515	Pomponius Mela
Q297565	Vignole
Q298384	Iakov Sverdlov
Q298403	ʿUmar II
Q298850	Alcman
Q299650	Jean V de Portugal
Q300608	A Ver-o-Mar
Q300859	IPhone 3GS
Q302403	Callas Forever
Q304395	Kelly Hrudey
Q305026	pédale
Q305760	Rav
Q308141	Abdiel
Q308705	France Football
Q309135	Corriere della Sera
Q309625	We Can't Dance
Q310332	Smokey Robinson
Q310439	George Fox
Q310476	Fats Waller
Q310870	Marcelo Caetano
Q311070	Davy Crockett
Q311276	Paul Broca
Q311820	Wat Tyler
Q312656	Lon Chaney
Q312827	Fumihiko Maki
Q312930	Copahue
Q312952	Mirza Ghulam Ahmad
Q313383	président de l'Inde
Q313449	Zelimkhan Iandarbiev
Q313528	Pier Luigi Nervi
Q313529	Tommy Dorsey
Q313639	Michael Nyman
Q313697	Ross Perot
Q313698	Daniel Powter
Q314135	Pierre Augereau
Q314440	Paulo Sousa
Q314471	Erving Goffman
