sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] Leszek:2 Borysiewicz:4 is a member of Royal College of Physicians:3 . [SEP],Royal College of Physicians:3,Royal College of Physicians:3,1,Royal College of Physicians:3,1,-0.81924
[CLS] Psylocke:3 is a member of X - Men . [SEP],X - Men,X - Men,1,X - Men,1,-0.15759
[CLS] Gustav Richter is a member of Schutzstaffel:3 . [SEP],Schutzstaffel:3,Schutzstaffel:3,1,Schutzstaffel:3,1,-0.49797
[CLS] John Byrom:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.02353
[CLS] Thomas Phillips is a member of Royal Academy of Arts . [SEP],Royal Academy of Arts,Royal Academy of Arts,1,Royal Academy of Arts,1,-2.42781
[CLS] Charles Causley:3 is a member of Royal Society of Literature . [SEP],Royal Society of Literature,Royal Society of Literature,1,Royal Society of Literature,1,-2.19942
[CLS] Lawrence Rooke:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.01193
[CLS] R . John Ellis is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.75342
[CLS] Stanley Hooker is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.90435
[CLS] Richard Waller:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.38080
[CLS] Cornelis Jacobsz:2 Schout:2 is a member of Haarlem schutterij:4 . [SEP],Haarlem schutterij:4,Haarlem schutterij:4,1,Haarlem schutterij:4,1,-1.95903
[CLS] John Hughlings:2 Jackson is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.89832
[CLS] Thomas Smith is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-5.69575
[CLS] David Masser:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.09432
[CLS] Jay Harris is a member of Alpha Phi Alpha . [SEP],Alpha Phi Alpha,Alpha Phi Alpha,1,Alpha Phi Alpha,1,-1.47808
[CLS] Joxe:2 Azurmendi:2 is a member of Euskaltzaindia:3 . [SEP],Euskaltzaindia:3,Euskaltzaindia:3,1,Euskaltzaindia:3,1,-1.07042
[CLS] Patrick Moore is a member of Greenpeace:3 . [SEP],Greenpeace:3,Greenpeace:3,1,Greenpeace:3,1,-1.24777
[CLS] Sunye:2 is a member of Wonder Girls . [SEP],Wonder Girls,Wonder Girls,1,Wonder Girls,1,-4.30877
[CLS] Rick Davies is a member of Supertramp:3 . [SEP],Supertramp:3,Supertramp:3,1,Supertramp:3,1,-2.16648
[CLS] Stephen O ' Rahilly:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.28751
[CLS] John Peter Bernard is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.64288
[CLS] William Creech:3 is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.19362
[CLS] Trevor Wooley:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.30362
[CLS] Max Cavalera:3 is a member of Soulfly:2 . [SEP],Soulfly:2,Soulfly:2,1,Soulfly:2,1,-3.78145
[CLS] Robert Hunt is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.48420
[CLS] John Matear:2 is a member of The Salvation:2 Army . [SEP],The Salvation:2 Army,The Salvation:2 Army,1,The Salvation:2 Army,1,-1.15299
[CLS] James Clerk Maxwell is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-0.98396
[CLS] Richard Weston is a member of Inner Temple . [SEP],Inner Temple,Inner Temple,1,Inner Temple,1,-3.22492
[CLS] Thomas Young is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.76397
[CLS] David Bercuson:4 is a member of Royal Society of Canada . [SEP],Royal Society of Canada,Royal Society of Canada,1,Royal Society of Canada,1,-2.67653
[CLS] Norman Davies is a member of Royal Historical Society . [SEP],Royal Historical Society,Royal Historical Society,1,Royal Historical Society,1,-3.23269
[CLS] Philip Powell is a member of Royal Academy of Arts . [SEP],Royal Academy of Arts,Royal Academy of Arts,1,Royal Academy of Arts,1,-2.18616
[CLS] Cyril James Stubblefield:4 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.58357
[CLS] Olof Tempelman:2 is a member of Royal Swedish Academy of Fine Arts . [SEP],Royal Swedish Academy of Fine Arts,Royal Swedish Academy of Fine Arts,1,Royal Swedish Academy of Fine Arts,1,-1.65991
[CLS] Jean Cooke is a member of Royal Academy of Arts . [SEP],Royal Academy of Arts,Royal Academy of Arts,1,Royal Academy of Arts,1,-2.13447
[CLS] Sydney Camm:2 is a member of Royal Aeronautical Society . [SEP],Royal Aeronautical Society,Royal Aeronautical Society,1,Royal Aeronautical Society,1,-3.39874
[CLS] Thomas Bayes:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.51674
[CLS] William Alfred is a member of Dramatists:3 Guild of America . [SEP],Dramatists:3 Guild of America,Dramatists:3 Guild of America,1,Dramatists:3 Guild of America,1,-1.71407
[CLS] Malaysian Amateur Radio Transmitters:3 ' Society is a member of International Amateur Radio Union . [SEP],International Amateur Radio Union,International Amateur Radio Union,1,International Amateur Radio Union,1,-2.51741
[CLS] William Gilbert Chaloner:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.27376
[CLS] Dorothy Hill is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.95626
[CLS] Azores:2 Geopark:2 is a member of Global Geoparks:3 Network . [SEP],Global Geoparks:3 Network,Global Geoparks:3 Network,1,Global Geoparks:3 Network,1,-1.88298
[CLS] Park Yoo - chun is a member of JYJ:3 . [SEP],JYJ:3,JYJ:3,1,JYJ:3,1,-3.44397
[CLS] Carlos Arthur Nuzman:3 is a member of International Olympic Committee . [SEP],International Olympic Committee,International Olympic Committee,1,International Olympic Committee,1,-3.14651
[CLS] Edward J . Russell is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.32395
[CLS] James Hook is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.99458
[CLS] Ian Page is a member of Secret Affair . [SEP],Secret Affair,Secret Affair,1,Secret Affair,1,-9.12507
[CLS] Norwegian Football Federation is a member of Union of European Football Associations . [SEP],Union of European Football Associations,Union of European Football Associations,1,Union of European Football Associations,1,-0.16820
[CLS] Desert Biosphere:3 Reserve is a member of Man and the Biosphere:3 Programme . [SEP],Man and the Biosphere:3 Programme,Man and the Biosphere:3 Programme,1,Man and the Biosphere:3 Programme,1,-3.29281
[CLS] Josef Kollmer:3 is a member of Schutzstaffel:3 . [SEP],Schutzstaffel:3,Schutzstaffel:3,1,Schutzstaffel:3,1,-0.43595
[CLS] Robert Latham:2 is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-4.61681
[CLS] Elaine Weyuker:3 is a member of Institute of Electrical and Electronics Engineers . [SEP],Institute of Electrical and Electronics Engineers,Institute of Electrical and Electronics Engineers,1,Institute of Electrical and Electronics Engineers,1,-0.82803
[CLS] Jacob Cornelisz:2 Schout:2 is a member of Haarlem schutterij:4 . [SEP],Haarlem schutterij:4,Haarlem schutterij:4,1,Haarlem schutterij:4,1,-2.09211
"[CLS] Sir William Smyth:2 , 1st Baronet is a member of Cavalier:2 Parliament . [SEP]",Cavalier:2 Parliament,Cavalier:2 Parliament,1,Cavalier:2 Parliament,1,-2.38124
[CLS] Bingo:2 Little is a member of Drones:2 Club . [SEP],Drones:2 Club,Drones:2 Club,1,Drones:2 Club,1,-3.80919
[CLS] Organ Pipe:2 Cactus:2 National Monument is a member of Man and the Biosphere:3 Programme . [SEP],Man and the Biosphere:3 Programme,Man and the Biosphere:3 Programme,1,Man and the Biosphere:3 Programme,1,-3.12033
[CLS] Michael Hutchings:3 is a member of American Mathematical Society . [SEP],American Mathematical Society,American Mathematical Society,1,American Mathematical Society,1,-2.65300
[CLS] Belgium is a member of Organisation for Economic Co - operation and Development . [SEP],Organisation for Economic Co - operation and Development,Organisation for Economic Co - operation and Development,1,Organisation for Economic Co - operation and Development,1,-0.86663
[CLS] John Collingwood:3 Bruce is a member of Society of Antiquaries:3 of London . [SEP],Society of Antiquaries:3 of London,Society of Antiquaries:3 of London,1,Society of Antiquaries:3 of London,1,-0.53120
[CLS] Germany is a member of European Space Agency . [SEP],European Space Agency,European Space Agency,1,European Space Agency,1,-1.37889
[CLS] Aaron Siskind:3 is a member of Photo League . [SEP],Photo League,Photo League,1,Photo League,1,-9.47300
[CLS] Amy Adams is a member of 51st:2 New Zealand Parliament . [SEP],51st:2 New Zealand Parliament,51st:2 New Zealand Parliament,1,51st:2 New Zealand Parliament,1,-2.51412
[CLS] Lille North of France University is a member of TEAM2:4 ecotechnology:4 cluster . [SEP],TEAM2:4 ecotechnology:4 cluster,TEAM2:4 ecotechnology:4 cluster,1,TEAM2:4 ecotechnology:4 cluster,1,-3.03464
[CLS] Thorkell:2 the Tall is a member of Jomsvikings:4 . [SEP],Jomsvikings:4,Jomsvikings:4,1,Jomsvikings:4,1,-5.98904
[CLS] Mauritania:3 is a member of African Development Bank . [SEP],African Development Bank,African Development Bank,1,African Development Bank,1,-3.95532
"[CLS] George Greville:3 , 2nd Earl of Warwick is a member of Royal Society . [SEP]",Royal Society,Royal Society,1,Royal Society,1,-2.00783
[CLS] Șerban:3 Țițeica:4 is a member of Romanian Academy . [SEP],Romanian Academy,Romanian Academy,1,Romanian Academy,1,-4.90834
"[CLS] Sir Farquhar:3 Buzzard:2 , 1st Baronet is a member of Royal College of Physicians:3 . [SEP]",Royal College of Physicians:3,Royal College of Physicians:3,1,Royal College of Physicians:3,1,-0.72862
[CLS] Carlos Calvo is a member of Institut de Droit:2 International . [SEP],Institut de Droit:2 International,Institut de Droit:2 International,1,Institut de Droit:2 International,1,-1.88783
[CLS] G . P . Wells is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.45056
[CLS] John Waterhouse:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.22322
[CLS] Percy Henry Winfield:2 is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-5.35430
[CLS] Herman Teodor Holmgren:2 is a member of Royal Swedish Academy of Fine Arts . [SEP],Royal Swedish Academy of Fine Arts,Royal Swedish Academy of Fine Arts,1,Royal Swedish Academy of Fine Arts,1,-1.63002
[CLS] University of Durham is a member of Russell Group . [SEP],Russell Group,Russell Group,1,Russell Group,1,-6.00018
[CLS] Harbin:2 Institute of Technology is a member of C9:2 League . [SEP],C9:2 League,C9:2 League,1,C9:2 League,1,-5.76661
[CLS] Frederick Walker Mott:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.93582
[CLS] Louis Tomlinson:3 is a member of One Direction . [SEP],One Direction,One Direction,1,One Direction,1,-3.12415
[CLS] Ulf von Euler is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.21484
[CLS] Jean - Baptiste Leschenault:3 de La Tour is a member of Baudin:2 expedition to Australia . [SEP],Baudin:2 expedition to Australia,Baudin:2 expedition to Australia,1,Baudin:2 expedition to Australia,1,-3.92310
[CLS] Thomas Anderson is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.80810
[CLS] Joseph Huddart:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.60161
[CLS] Edward Maufe:2 is a member of Royal Institute of British Architects . [SEP],Royal Institute of British Architects,Royal Institute of British Architects,1,Royal Institute of British Architects,1,-0.37288
[CLS] Augustus Egg is a member of Royal Academy of Arts . [SEP],Royal Academy of Arts,Royal Academy of Arts,1,Royal Academy of Arts,1,-2.22559
[CLS] John Eccles:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.65173
[CLS] Frederic William Howay:2 is a member of Royal Geographical Society . [SEP],Royal Geographical Society,Royal Geographical Society,1,Royal Geographical Society,1,-1.86486
[CLS] Sergei Winogradsky:4 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-3.66465
[CLS] Colin Chisholm:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.18391
[CLS] Hans Trippel:2 is a member of Sturmabteilung:2 . [SEP],Sturmabteilung:2,Sturmabteilung:2,1,Sturmabteilung:2,1,-1.64495
[CLS] Brian Hoskins:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.77768
[CLS] Joseph Bancroft:2 Reade:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.96244
[CLS] Anastas:2 Mikoyan:3 is a member of Politburo:4 of the Central Committee of the Communist Party of the Soviet Union . [SEP],Politburo:4 of the Central Committee of the Communist Party of the Soviet Union,Politburo:4 of the Central Committee of the Communist Party of the Soviet Union,1,Politburo:4 of the Central Committee of the Communist Party of the Soviet Union,1,-0.25594
[CLS] Mike Archer is a member of Australian Academy of Science . [SEP],Australian Academy of Science,Australian Academy of Science,1,Australian Academy of Science,1,-2.59342
[CLS] Scott Smith is a member of Loverboy:2 . [SEP],Loverboy:2,Loverboy:2,1,Loverboy:2,1,-4.23818
[CLS] Albert Kwesi:3 Ocran:3 is a member of National Liberation Council . [SEP],National Liberation Council,National Liberation Council,1,National Liberation Council,1,-5.14635
[CLS] John Couch:2 Adams is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.67306
[CLS] Philipp Schmitt is a member of Schutzstaffel:3 . [SEP],Schutzstaffel:3,Schutzstaffel:3,1,Schutzstaffel:3,1,-0.70604
[CLS] Herbert Mackworth:2 is a member of Inner Temple . [SEP],Inner Temple,Inner Temple,1,Inner Temple,1,-2.76234
[CLS] University of Leeds is a member of N8:2 Research Partnership . [SEP],N8:2 Research Partnership,N8:2 Research Partnership,1,N8:2 Research Partnership,1,-5.95430
[CLS] James Dewar:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.13844
[CLS] Lancelot:2 Sanderson:2 is a member of Inner Temple . [SEP],Inner Temple,Inner Temple,1,Inner Temple,1,-3.55461
[CLS] John Arch is a member of Fates:2 Warning . [SEP],Fates:2 Warning,Fates:2 Warning,1,Fates:2 Warning,1,-0.86982
[CLS] Corey Taylor is a member of Slipknot:4 . [SEP],Slipknot:4,Slipknot:4,1,Slipknot:4,1,-0.04676
[CLS] Jang Wooyoung:3 is a member of 2PM:2 . [SEP],2PM:2,2PM:2,1,2PM:2,1,-2.68052
[CLS] Mark Boyce:2 is a member of Royal Society of Canada . [SEP],Royal Society of Canada,Royal Society of Canada,1,Royal Society of Canada,1,-3.11121
[CLS] Ecuador is a member of World Trade Organization . [SEP],World Trade Organization,World Trade Organization,1,World Trade Organization,1,-1.56775
[CLS] Jack Beatson:2 is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-5.41144
[CLS] Peru is a member of International Centre for Settlement of Investment Disputes:3 . [SEP],International Centre for Settlement of Investment Disputes:3,International Centre for Settlement of Investment Disputes:3,1,International Centre for Settlement of Investment Disputes:3,1,-3.13649
[CLS] Denis Donaldson:2 is a member of Provisional Irish Republican Army . [SEP],Provisional Irish Republican Army,Provisional Irish Republican Army,1,Provisional Irish Republican Army,1,-4.81397
[CLS] Constantine Dafermos:3 is a member of American Mathematical Society . [SEP],American Mathematical Society,American Mathematical Society,1,American Mathematical Society,1,-2.50759
[CLS] Alexandre Defaux:2 is a member of Barbizon:3 school . [SEP],Barbizon:3 school,Barbizon:3 school,1,Barbizon:3 school,1,-2.44751
[CLS] H . T . Cadbury:3 - Brown is a member of Royal Academy of Arts . [SEP],Royal Academy of Arts,Royal Academy of Arts,1,Royal Academy of Arts,1,-1.98940
[CLS] Harold Munro Fox is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.78800
[CLS] James Jago:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.94267
[CLS] John Macquarrie:4 is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-5.27200
[CLS] Walter Brown is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.12265
[CLS] Jason McCaslin:5 is a member of Sum:2 41 . [SEP],Sum:2 41,Sum:2 41,1,Sum:2 41,1,-1.64016
[CLS] Robert Lougher:3 is a member of New Inn Hall . [SEP],New Inn Hall,New Inn Hall,1,New Inn Hall,1,-8.48735
[CLS] Kim Tae - yeon:2 is a member of Girls ' Generation - TTS:2 . [SEP],Girls ' Generation - TTS:2,Girls ' Generation - TTS:2,1,Girls ' Generation - TTS:2,1,-3.46349
[CLS] Cambodia is a member of International Finance Corporation . [SEP],International Finance Corporation,International Finance Corporation,1,International Finance Corporation,1,-4.27632
[CLS] Alexander Aitken:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.05586
[CLS] Archibald Macallum:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.87280
[CLS] Tahsin:3 Özgüç:4 is a member of German Archaeological Institute . [SEP],German Archaeological Institute,German Archaeological Institute,1,German Archaeological Institute,1,-5.22117
[CLS] Didier Bourdon:2 is a member of Les Inconnus:3 . [SEP],Les Inconnus:3,Les Inconnus:3,1,Les Inconnus:3,1,-1.93368
[CLS] Gerhard Klopfer:3 is a member of Sturmabteilung:2 . [SEP],Sturmabteilung:2,Sturmabteilung:2,1,Sturmabteilung:2,1,-1.73743
[CLS] Latvia is a member of Council of the Baltic Sea States . [SEP],Council of the Baltic Sea States,Council of the Baltic Sea States,1,Council of the Baltic Sea States,1,-3.07496
[CLS] Joseph Davison:2 is a member of Orange Order . [SEP],Orange Order,Orange Order,1,Orange Order,1,-7.01410
[CLS] Brandan:2 Schieppati:4 is a member of Bleeding:3 Through . [SEP],Bleeding:3 Through,Bleeding:3 Through,1,Bleeding:3 Through,1,-1.92845
[CLS] John George Miles is a member of Royal Geographical Society . [SEP],Royal Geographical Society,Royal Geographical Society,1,Royal Geographical Society,1,-1.74455
[CLS] Ecologist:2 Greens:2 is a member of European Green Party . [SEP],European Green Party,European Green Party,1,European Green Party,1,-3.47514
[CLS] John Charles Bucknill:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.65283
[CLS] Lóránt:3 Hegedüs:3 is a member of Kisfaludy:4 Society . [SEP],Kisfaludy:4 Society,Kisfaludy:4 Society,1,Kisfaludy:4 Society,1,-3.71383
[CLS] Vaughan Jones is a member of Australian Academy of Science . [SEP],Australian Academy of Science,Australian Academy of Science,1,Australian Academy of Science,1,-2.45454
[CLS] Charles Sutherland Elton is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.35352
[CLS] Shula:2 Marks is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-4.98514
[CLS] Gummo:3 Marx is a member of Marx Brothers . [SEP],Marx Brothers,Marx Brothers,1,Marx Brothers,1,-2.47175
[CLS] Marc Fumaroli:3 is a member of American Philosophical Society . [SEP],American Philosophical Society,American Philosophical Society,1,American Philosophical Society,1,-1.33109
[CLS] Édouard Brézin:3 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.42669
[CLS] Jack Crawford is a member of Behavioral:2 Science Unit . [SEP],Behavioral:2 Science Unit,Behavioral:2 Science Unit,1,Behavioral:2 Science Unit,1,-3.17138
[CLS] Cicely:3 Saunders is a member of Royal College of Physicians:3 . [SEP],Royal College of Physicians:3,Royal College of Physicians:3,1,Royal College of Physicians:3,1,-0.66693
[CLS] James H . Wilkinson is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-1.19334
[CLS] Anatoly:3 Vershik:2 is a member of American Mathematical Society . [SEP],American Mathematical Society,American Mathematical Society,1,American Mathematical Society,1,-2.66899
[CLS] Mandy Capristo:2 is a member of Monrose:2 . [SEP],Monrose:2,Monrose:2,1,Monrose:2,1,-7.29299
[CLS] Pelle:2 Almqvist:3 is a member of The Hives:2 . [SEP],The Hives:2,The Hives:2,1,The Hives:2,1,-3.36659
[CLS] D . B . Wyndham:3 - Lewis is a member of Royal Society of Literature . [SEP],Royal Society of Literature,Royal Society of Literature,1,Royal Society of Literature,1,-2.04837
[CLS] Henri Filhol:2 is a member of French Academy of Sciences . [SEP],French Academy of Sciences,French Academy of Sciences,1,French Academy of Sciences,1,-1.56459
[CLS] Syria is a member of Organisation of Islamic Cooperation . [SEP],Organisation of Islamic Cooperation,Organisation of Islamic Cooperation,1,Organisation of Islamic Cooperation,1,-2.70420
[CLS] Arthur Herbert Church is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.82508
[CLS] James Drever:2 is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.20197
[CLS] Olaus:2 Henrici:2 is a member of Royal Society . [SEP],Royal Society,Royal Society,1,Royal Society,1,-2.20521
[CLS] Rudi Studer:2 is a member of Karlsruhe Institute of Technology . [SEP],Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,1,Karlsruhe Institute of Technology,1,-1.61034
[CLS] Tim Ingold:2 is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.41657
[CLS] Tim O ' Riordan:2 is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-4.89933
[CLS] Michelle Kosinski:3 is a member of White House press corps . [SEP],White House press corps,White House press corps,1,White House press corps,1,-4.80695
[CLS] Emil Grunzweig:5 is a member of Peace Now . [SEP],Peace Now,Peace Now,1,Peace Now,1,-6.36158
[CLS] Chevalier de Saint - George is a member of freemasonry:4 . [SEP],freemasonry:4,freemasonry:4,1,freemasonry:4,1,-1.51846
[CLS] Thomas Brisbane is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-1.23921
[CLS] Steve Rothery:2 is a member of Marillion:2 . [SEP],Marillion:2,Marillion:2,1,Marillion:2,1,-0.83242
[CLS] France Bleu Roussillon is a member of France Bleu . [SEP],France Bleu,France Bleu,1,France Bleu,1,-0.16401
[CLS] Sweden is a member of African Development Bank . [SEP],African Development Bank,African Development Bank,1,African Development Bank,1,-5.64957
[CLS] Gaahl:2 is a member of God Seed . [SEP],God Seed,God Seed,1,God Seed,1,-7.87824
[CLS] Minamoto:2 no Sanetomo:3 is a member of Kamakura:3 shogunate:3 . [SEP],Kamakura:3 shogunate:3,Kamakura:3 shogunate:3,1,Kamakura:3 shogunate:3,1,-0.34934
"[CLS] John Cadman:2 , 1st Baron Cadman:2 is a member of Royal Society . [SEP]",Royal Society,Royal Society,1,Royal Society,1,-1.82757
[CLS] Aurél:2 Dessewffy:3 is a member of Hungarian Academy of Sciences . [SEP],Hungarian Academy of Sciences,Hungarian Academy of Sciences,1,Hungarian Academy of Sciences,1,-1.01051
[CLS] Pirate Party Luxembourg is a member of Pirate Parties:2 International . [SEP],Pirate Parties:2 International,Pirate Parties:2 International,1,Pirate Parties:2 International,1,-3.18074
[CLS] Jabulani:3 Dubazana:3 is a member of Ladysmith:2 Black Mambazo:3 . [SEP],Ladysmith:2 Black Mambazo:3,Ladysmith:2 Black Mambazo:3,1,Ladysmith:2 Black Mambazo:3,1,-5.44270
[CLS] John Andrew Gallagher is a member of British Academy . [SEP],British Academy,British Academy,1,British Academy,1,-4.92320
[CLS] John Joseph Haldane:2 is a member of Royal Society of Edinburgh . [SEP],Royal Society of Edinburgh,Royal Society of Edinburgh,1,Royal Society of Edinburgh,1,-0.91544
[CLS] Merle Allin:2 is a member of The Murder Junkies:2 . [SEP],The Murder Junkies:2,The Murder Junkies:2,1,The Murder Junkies:2,1,-3.48877
