Relation	Label	Desc	Type	Vietnamese Template	English Template
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events	N-1	[X] nằm trong khu vực quản lý hành chính của [Y] .	[X] is located in [Y] .
P1412	languages spoken, written or signed	language(s) that a person speaks or writes, including the native language(s)	N-M	[X] thường giao tiếp bằng [Y] .	[X] used to communicate in [Y] .
P108	employer	person or organization for which the subject works or worked	N-M	[X] làm việc cho [Y] .	[X] works for [Y] .
P136	genre	creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic	N-1	[X] chơi nhạc [Y] .	[X] plays [Y] music .
P17	country	sovereign state of this item; don't use on humans	N-1	[X] nằm ở [Y] .	[X] is located in [Y] .
P39	position held	subject currently or formerly holds the object position or public office	N-M	[X] giữ chức vụ [Y] .	[X] has the position of [Y] .
P264	record label	brand and trademark associated with the marketing of subject music recordings and music videos	N-1	[X] là ca sĩ của hãng thu âm [Y] .	[X] is represented by music label [Y] .
P276	location	location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	N-1	[X] nằm trong [Y] .	[X] is located in [Y] .
P937	work location	location where persons were active	N-M	[X] từng làm việc ở [Y] .	[X] used to work in [Y] .
P140	religion	religion of a person, organization or religious building, or associated with this subject	N-1	[X] là hội viên của [Y] .	[X] is affiliated with the [Y] religion .
P1303	instrument	musical instrument that a person plays	N-M	[X] chơi [Y] .	[X] plays [Y] .
P127	owned by	owner of the subject	N-1	[Y] sở hữu [X] .	[X] is owned by [Y] .
P103	native language	language or languages a person has learned from early childhood	N-1	[Y] là ngôn ngữ bản địa của [X] .	The native language of [X] is [Y] .
P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	N-M	[X] là thành phố kết nghĩa của [Y] .	[X] and [Y] are twin cities .
P1001	applies to jurisdiction	the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	N-M	[X] là một thuật ngữ pháp lý trong [Y] .	[X] is a legal term in [Y] .
P31	instance of	that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead	N-M	[X] là một [Y] .	[X] is a [Y] .
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)	N-1	[X] được tạo ra ở [Y] .	[X] was created in [Y] .
P159	headquarters location	specific location where an organization's headquarters is or has been situated. Inverse property of "occupant" (P466).	N-1	Trụ sở của [X] được đặt ở [Y] .	The headquarter of [X] is in [Y] .
P36	capital	primary city of a country, state or other type of administrative territorial entity	1-1	Thủ đô của [X] là [Y] .	The capital of [X] is [Y] .
P740	location of formation	location where a group or organization was formed	N-1	[X] được thành lập ở [Y] .	[X] was founded in [Y] .
P361	part of	object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of "has part" (P527, see also "has parts of the class" (P2670)).	N-1	[X] là một phần của [Y] .	[X] is part of [Y] .
