Q2	पृथ्वी
Q176	क्वेबेक
Q177	पिझ्झा
Q180	विकिमीडिया फाउंडेशन
Q183	जर्मनी
Q184	बेलारूस
Q185	लॅरी सॅंगर
Q188	जर्मन भाषा
Q189	आइसलँड
Q190	देव
Q191	एस्टोनिया
Q192	डेव्हिड कॅमेरॉन
Q193	शनी ग्रह
Q195	चॉकलेट
Q206	स्टीफन हार्पर
Q207	जॉर्ज डब्ल्यू. बुश
Q209	आयत
Q211	लात्व्हिया
Q212	युक्रेन
Q213	चेक प्रजासत्ताक
Q214	स्लोव्हाकिया
Q215	स्लोव्हेनिया
Q216	व्हिल्नियस
Q217	मोल्दोव्हा
Q218	रोमेनिया
Q219	बल्गेरिया
Q220	रोम
Q221	उत्तर मॅसिडोनिया
Q222	आल्बेनिया
Q223	ग्रीनलँड
Q224	क्रोएशिया
Q225	बॉस्निया आणि हर्झगोव्हिना
Q226	नूक
Q227	अझरबैजान	अझरबैजान प्रजासत्ताक
Q228	अँडोरा
Q229	सायप्रस
Q230	जॉर्जिया
Q231	वालोनी
Q232	कझाकस्तान
Q233	माल्टा
Q234	फ्लांडर्स
Q235	मोनॅको
Q236	माँटेनिग्रो
Q237	व्हॅटिकन सिटी
Q238	सान मारिनो
Q239	ब्रसेल्स
Q240	ब्रसेल्स	ब्रसेल्स-राजधानी प्रदेश
Q241	क्युबा
Q242	बेलीझ
Q243	आयफेल टॉवर
Q244	बार्बाडोस
Q248	इंटेल कॉर्पोरेशन
Q251	जावा
Q252	इंडोनेशिया
Q254	वोल्फगांग आमाडेउस मोझार्ट
Q255	लुडविग फान बीथोव्हेन
Q256	तुर्की भाषा
Q258	दक्षिण आफ्रिका
Q261	लिंकिन पार्क
Q262	अल्जीरिया
Q265	उझबेकिस्तान
Q268	पोझ्नान
Q269	ताश्कंद
Q270	वर्झावा
Q279	मोडेना
Q282	वाईन
Q286	चामडे
Q287	लाकूड
Q288	तुर, फ्रान्स
Q289	दूरचित्रवाणी
Q294	इस्लेन्स्का भाषा
Q296	क्लोद मोने
Q298	चिली
Q302	येशू ख्रिस्त
Q303	एल्व्हिस प्रेस्ली
Q307	गॅलेलियो गॅलिली
Q309	इतिहास
Q312	ॲपल
Q313	शुक्र ग्रह
Q318	दीर्घिका
Q319	गुरू ग्रह
Q324	युरेनस ग्रह
Q329	निकोला सार्कोझी
Q332	नेपच्यून ग्रह
Q333	खगोलशास्त्र
Q334	सिंगापूर
Q336	विज्ञान
Q340	माँत्रियाल
Q341	मुक्त आज्ञावली	मुक्त सॉफ्टवेअर
Q345	मारिया
Q346	नववा लुई, फ्रान्स
Q347	लिश्टनस्टाइन
Q350	केंब्रिज
Q352	ॲडॉल्फ हिटलर
Q355	Facebook	फेसबूक
Q361	पहिले महायुद्ध
Q362	दुसरे महायुद्ध
Q365	क्योल्न
Q381	उबुंटू
Q384	स्कोप्ये
Q385	गडिन्या
Q388	लिनक्स
Q392	Bob Dylan	बॉब डिलन
Q393	श्टेचिन
Q395	गणित
Q397	लॅटिन भाषा
Q398	बहरैन
Q399	आर्मेनिया
Q403	सर्बिया
Q405	चंद्र
Q406	इस्तंबूल
Q408	ऑस्ट्रेलिया
Q410	कार्ल सेगन
Q413	भौतिकशास्त्र
Q414	आर्जेन्टिना
Q419	पेरू
Q420	जीवशास्त्र
Q423	उत्तर कोरिया
Q424	कंबोडिया
Q428	कुराण
Q431	प्राणिशास्त्र
Q432	इस्लाम धर्म
Q437	लियुब्लियाना
Q440	साल्व्हादोर आयेंदे
Q441	वनस्पतीशास्त्र
Q456	ल्यों
Q458	युरोपियन संघ	🇪🇺
Q459	प्लॉव्हडिव्ह
Q462	स्टार वॉर्स
Q463	रोन-आल्प
Q472	सोफिया
Q480	डॉन क्विक्झोट
Q482	कविता
Q485	संगणकीय विषाणू
Q490	मिलान
Q495	तोरिनो
Q506	फूल
Q513	एव्हरेस्ट
Q514	शरीररचनाशास्त्र
Q515	शहर
Q517	नेपोलियन बोनापार्ट
Q521	शरीरक्रियाशास्त्र
Q523	तारा
Q525	सूर्य
Q532	गाव
Q535	व्हिक्तोर युगो
Q538	ओशनिया
Q544	सूर्यमाला
Q545	बाल्टिक समुद्र
Q546	त्रिएस्ते
Q556	H	हायड्रोजन
Q565	विकिमीडिया कॉमन्स
Q567	आंगेला मेर्केल
Q568	Li	लिथियम
Q574	पूर्व तिमोर
Q580	वूत्श
Q583	माँट ब्लॅंक
Q584	ऱ्हाइन नदी
Q585	ओस्लो
Q586	बॉन
Q588	कातोवित्सा
Q592	गे
Q597	लिस्बन
Q598	झेशुफ
Q607	मायकेल ब्लूमबर्ग
Q612	दुबई
Q615	लायोनेल मेस्सी
Q617	पादोव्हा
Q618	B	बोरॉन
Q619	निकोलस कोपर्निकस
Q621	व्हर्साय
Q623	C	कार्बन
Q626	वोल्गा नदी
Q627	N	नत्रवायू
Q628	बर्गमो
Q629	O	ऑक्सिजन
Q631	इंटर मिलान
Q638	संगीत
Q641	व्हेनिस
Q647	ऱ्हेन
Q648	लील
Q649	मॉस्को
Q650	F	फ्लोरिन
Q652	इटालियन भाषा
Q655	चिवावा
Q656	सेंट पीटर्सबर्ग
Q657	चाड
Q658	Na	सोडियम
Q660	Mg	मॅग्नेशियम
Q663	Al	एल्युमिनियम
Q664	न्यू झीलँड
Q668	भरतवर्ष	भारत
Q670	Si	सिलिकॉन
Q671	फ्रान्सियम
Q672	तुवालू
Q674	м	स्फुरद
Q677	Fe	लोखंड
Q678	टोंगा
Q680	अलेस्सांद्रो व्होल्टा
Q682	S	गंधक
Q683	सामोआ
Q685	सॉलोमन द्वीपसमूह
Q686	व्हानुआतू
Q688	Cl	क्लोरिन
Q690	डेल्फ़्ट
Q691	पापुआ न्यू गिनी
Q692	विल्यम शेक्सपियर
Q694	झाउड-हॉलंड
Q695	पलाउ
Q697	नौरू
Q701	नूर्द-हॉलंड
Q702	मायक्रोनेशिया	मायक्रोनेशियाची फेडरल राज्ये
Q703	K	पलाश
Q705	झीलंड
Q707	फ्लेव्होलांड
Q709	मार्शल द्वीपसमूह
Q710	किरिबाटी
Q711	मंगोलिया
Q712	फिजी
Q715	हाईलब्रॉन
Q716	Ti	टायटॅनियम
Q717	व्हेनेझुएला
Q718	बुद्धिबळ
Q722	V	व्हेनेडियम
Q724	मेन
Q726	घोडा
Q727	ॲम्स्टरडॅम
Q730	सुरिनाम
Q733	पेराग्वे
Q734	गयाना
Q735	कला
Q736	EC	ECU	Ecuador	República del Ecuador	ec	ecu	इक्वेडोर
Q739	कोलंबिया
Q740	Co	कोबाल्ट
Q743	टंग्स्टन
Q744	Ni	निकेल
Q748	बौद्ध	बौद्ध धर्म
Q749	ग्रोनिंगन
Q750	बोलिव्हिया
Q752	ग्रोनिंगन
Q753	Cu	तांबे
Q754	त्रिनिदाद व टोबॅगो
Q757	सेंट व्हिन्सेंट आणि ग्रेनेडीन्स
Q758	Zn	जस्त
Q759	न्यू हॅम्पशायर
Q760	सेंट लुसिया
Q761	ब्याविस्तोक
Q762	लिओनार्दो दा विंची
Q763	सेंट किट्स आणि नेव्हिस
Q766	जमैका
Q769	ग्रेनेडा
Q770	फ्रीसलंड
Q771	मॅसेच्युसेट्स
Q772	द्रेंथ
Q773	ओव्हराईजल
Q774	ग्वातेमाला
Q775	गेल्डरलांड
Q778	बहामास
Q779	कनेटिकट
Q781	अँटिगा आणि बार्बुडा
Q782	हवाई
Q783	होन्डुरास
Q784	डॉमिनिका
Q785	जर्सी
Q786	डॉमिनिकन प्रजासत्ताक
Q788	आर्क्टिक महासागर
Q790	हैती
Q792	एल साल्व्हाडोर
Q793	झ्वोला
Q794	इराण
Q796	इराक
Q797	अलास्का
Q798	आसेन
Q800	कोस्टा रिका
Q801	इस्रायल
Q803	उट्रेख्त
Q804	पनामा
Q805	येमेनचे प्रजासत्ताक
Q807	लोझान
Q808	विषाणू
Q809	पोलिश भाषा
Q810	जॉर्डन
Q811	निकाराग्वा
Q812	फ्लोरिडा
Q813	किर्गिझस्तान
Q816	ॲरिझोना
Q817	कुवेत
Q819	लाओस
Q822	लेबेनॉन
Q824	ओरेगन
Q826	मालदीव
Q828	अमेरिका
Q829	युटा
Q833	मलेशिया
Q834	व्हाले
Q835	मिखाइल बुल्गाकोव्ह
Q836	म्यानमार
Q837	नेपाळ
Q842	ओमान
Q843	पाकिस्तान
Q846	कतार
Q847	टेनिस
Q851	सौदी अरेबिया
Q854	श्रीलंका
Q855	स्टॅलिन
Q858	सीरिया
Q859	प्लेटो
Q861	Ga	गॅलियम
Q863	ताजिकिस्तान
Q865	चीनचे प्रजासत्ताक
Q867	Ge	जर्मेनियम
Q868	ॲरिस्टॉटल
Q869	थायलंड
Q871	As	आर्सेनिक
Q873	मेरिल स्ट्रीप
Q874	तुर्कमेनिस्तान
Q875	अबाकान
Q876	Se	सेलेनियम
Q878	संयुक्त अरब अमिराती
Q879	Br	ब्रोमिन
Q881	व्हियेतनाम
Q882	चार्ली चॅप्लिन
Q883	नोवोसिबिर्स्क
Q884	दक्षिण कोरिया
Q886	सिम्पसन्स
Q887	येकातेरिनबुर्ग
Q888	Kr	क्रिप्टॉन
Q889	अफगाणिस्तान
Q891	निज्नी नॉवगोरोद
Q894	समारा
Q895	Rb	रुबिडियम
Q898	ओम्स्क
Q900	कझान
Q901	शास्त्रज्ञ
Q902	बांगलादेश
Q905	फ्रांत्स काफ्का
Q906	चेलियाबिन्स्क
Q908	रोस्तोव दॉन	रोस्तोव-ऑन-दॉन
Q909	होर्हे लुइस बोर्गेस
Q911	उफा
Q912	माली
Q913	सॉक्रेटिस
Q914	वोल्गोग्राद
Q916	अँगोला
Q917	भूतान
Q919	क्रास्नोयार्स्क
Q921	ब्रुनेई
Q924	टांझानिया
Q925	पारा
Q926	रोआल्ड आमुंडसन
Q928	फिलिपाईन्स
Q929	मध्य आफ्रिकेचे प्रजासत्ताक
Q935	आयझॅक न्यूटन
Q937	अल्बर्ट आइनस्टाइन
Q942	बिस्मथ
Q944	पुंज यामिकी
Q945	टोगो
Q948	ट्युनिसिया
Q949	जॉन बार्डीन
Q953	झांबिया
Q954	झिंबाब्वे
Q956	बीजिंग
Q958	दक्षिण सुदान
Q959	व्लादिवोस्तॉक
Q960	तुवा प्रजासत्ताक
Q962	बेनिन
Q963	बोत्स्वाना
Q965	बर्किना फासो
Q967	बुरुंडी
Q970	कोमोरोस
Q971	काँगोचे प्रजासत्ताक
Q974	काँगोचे लोकशाही प्रजासत्ताक
Q975	सॅन अँटोनियो
Q976	तोम्स्क
Q977	जिबूती
Q980	बायर्न
Q983	इक्वेटोरीयल गिनी
Q985	बाडेन व्युर्टेंबर्ग	बाडेन व्युर्टेनबर्ग	बाडेन-व्युर्टेंबर्ग	बाडेन-व्युर्टेंबुर्ग
Q986	इरिट्रिया
Q987	नवी दिल्ली
Q989	पोप जॉन पॉल दुसरा
Q991	फ्योदर दस्तयेवस्की
Q994	त्बिलिसी
Q1000	गॅबन
Q1001	गांधी	गांधीजी	बापू	बापूजी	भारताचे राष्ट्रपिता	महात्मा गांधी	मोहनदास करमचंद गांधी	राष्ट्रपिता महात्मा गांधी
Q1005	गांबिया
Q1006	गिनी
Q1007	गिनी-बिसाउ
Q1008	कोत द'ईवोआर
Q1009	कामेरून
Q1010	मारिबोर
Q1011	केप व्हर्दे
Q1013	लेसोथो
Q1014	लायबेरिया
Q1015	कूपर
Q1016	लीबिया
Q1017	आखन
Q1019	मादागास्कर
Q1020	मलावी
Q1022	श्टुटगार्ट
Q1025	मॉरिटानिया
Q1027	मॉरिशस
Q1028	मोरोक्को
Q1029	मोझांबिक
Q1030	नामिबिया
Q1032	नायजर
Q1033	नायजेरिया
Q1035	चार्ल्स डार्विन
Q1036	युगांडा
Q1037	रवांडा
Q1039	साओ टोमे आणि प्रिन्सिप
Q1040	कार्ल्सरुहे	कार्ल्सरूह
Q1041	सेनेगाल
Q1042	सेशेल्स
Q1043	कार्ल लिनेयस
Q1044	सियेरा लिओन
Q1045	सोमालिया
Q1046	Cb	Nb	नायोबियम
Q1047	जवाहरलाल नेहरू	पंडित नेहरू
Q1048	जुलियस सीझर
Q1049	सुदान
Q1050	स्वाझीलँड
Q1054	Tc	टेक्नेटियम
Q1055	हांबुर्ग
Q1058	नरेंद्र मोदी
Q1061	गुजरात
Q1062	ऑन्टारियो सरोवर
Q1063	उत्क्रांती
Q1065	संयुक्त राष्ट्रे
Q1066	सुपिरियर सरोवर
Q1069	भूगर्भशास्त्र
Q1070	अमदाबाद
Q1071	भुगोल	भूगोल
Q1073	मेंदू
Q1083	सालेर्नो
Q1084	नाम
Q1085	प्राग	प्राहा
Q1087	Rh	र्होडियम
Q1092	स्टार ट्रेक
Q1093	लिमबर्ग
Q1094	In	इंडियम
Q1095	लिमबर्ग
Q1096	Sn	टिन
Q1098	युरेनियम
Q1101	नूर्द-ब्राबांत
Q1103	I	आयोडिन
Q1106	Xe	झेनॉन
Q1108	Cs	सिझियम
Q1112	Ba	बेरियम
Q1113	पश्चिम फ्लांडर्स
Q1114	पूर्व फ्लांडर्स
Q1116	अँटवर्प
Q1118	फ्लाम्स ब्राबांत
Q1122	ब्राबांत वालों
Q1123	Ta	टांटालम
Q1124	विल्यम जेफरसन क्लिंटन
Q1126	लक्झेंबर्ग
Q1128	रेडियम
Q1129	एनो
Q1142	अल्सास
Q1149	इंदिरा गांधी
Q1151	एक्तॉर बर्लियोझ
Q1152	ऑव्हेर्न्य
Q1156	मुंबई
Q1159	आंध्र प्रदेश
Q1162	अरुणाचल प्रदेश
Q1164	आसाम
Q1165	बिहार
Q1166	मिशिगन
Q1168	छत्तीसगड
Q1169	मिशिगन सरोवर
Q1171	गोवा
Q1173	बूर्गान्य
Q1174	हरियाणा
Q1177	हिमाचल प्रदेश
Q1179	अॅकितेन
Q1180	जम्मू आणि काश्मीर
Q1183	पोर्तो रिको
Q1184	झारखंड
Q1185	कर्नाटक
Q1186	केरळ
Q1188	मध्य प्रदेश
Q1191	महाराष्ट्र
Q1193	मणिपूर
Q1194	श्लेस्विग-होल्श्टाइन
Q1195	मेघालय
Q1196	मेक्लेनबुर्ग-फोरपोमेर्न
Q1197	नीडर जाक्सन
Q1198	नोर्डऱ्हाइन-वेस्टफालन
Q1199	हेसेन
Q1200	र्हाइनलांड-फाल्त्स
Q1202	जाक्सन
Q1203	जॉन लेनन
Q1204	इलिनॉय
Q1205	थ्युरिंगेन
Q1206	जाक्सन-आनहाल्ट
Q1207	नॉर्थ डकोटा
Q1208	ब्रांडेनबुर्ग
Q1209	ब्रेमन	ब्रेमन चे फ्री हॅन्सियाटिक शहर (राज्य)
Q1210	लोंबार्दिया
Q1211	साउथ डकोटा
Q1212	मोंटाना
Q1214	वायोमिंग
Q1216	प्यिमाँत
Q1218	जेरुसलेम
Q1220	ज्योर्जिओ नापोलितानो
Q1221	आयडाहो
Q1222	व्हाले दाओस्ता
Q1223	वॉशिंग्टन
Q1225	ब्रुस स्प्रिंग्स्टीन
Q1227	नेव्हाडा
Q1230	फ्रांसिस्को कॉसिगा
Q1231	कोसोव्हो
Q1239	हिंदी महासागर
Q1243	व्हेनेतो
Q1246	कोसोव्हो
Q1247	कॅरिबियन समुद्र
Q1250	फ्रुली-व्हेनेझिया जुलिया
Q1253	बान की-मून
Q1254	कोफी अन्नान
Q1256	लिगुरिया
Q1257	बुट्रोस बुट्रोस-घाली
Q1258	माइट्नरियम
Q1261	कॉलोराडो
Q1263	एमिलिया-रोमान्या
Q1264	उ थांट
Q1267	दाग हामारहोएल्ड
Q1273	तोस्काना
Q1280	अंब्रिया
Q1282	लात्सियो
Q1284	आब्रुत्सो
Q1286	आल्प्स
Q1289	ग्रेनोबल
Q1290	ब्लेझ पास्काल
Q1295	डॉर्टमुंड	डोर्टमुंड
Q1296	गेंट
Q1297	शिकागो
Q1299	बीटल्स
Q1308	कोमो
Q1309	मास्ट्रिख्ट
Q1310	आर्नहेम
Q1316	सद्दाम हुसेन
Q1317	ओसामा बिन लादेन
Q1321	स्पॅनिश भाषा
Q1335	मोन्तेविदेओ
Q1336	रिमूस्की
Q1339	योहान सेबास्टियन बाख
Q1340	अँतोनियो विवाल्डी
Q1341	तोल्याटी
Q1342	पिट्सबर्ग
Q1344	ऑपेरा
Q1345	फिलाडेल्फिया
Q1348	कोलकाता
Q1352	चेन्नई	मद्रास
Q1353	दिल्ली
Q1354	ढाका
Q1355	बंगलोर	बंगळूर
Q1356	पश्चिम बंगाल
Q1361	हैदराबाद	हैद्राबाद
Q1362	इस्लामाबाद
Q1363	त्रिपुरा
Q1364	फळ
Q1370	व्हर्जिनिया
Q1371	वेस्ट व्हर्जिनिया
Q1382	पिरान
Q1383	ह्युरॉन सरोवर
Q1384	न्यू यॉर्क
Q1387	र्होड आयलंड
Q1388	Nd	नियोडायमियम
Q1391	मेरीलँड
Q1393	डेलावेर
Q1394	व्लादिमिर इलिच लेनिन
Q1397	ओहायो
Q1398	व्हर्जिल
Q1400	पेनसिल्व्हेनिया
Q1405	ऑगस्टस
Q1406	मायक्रोसॉफ्ट विंडोज	विंडोज
Q1408	न्यू जर्सी
Q1409	कॅलिगुला
Q1410	जिब्राल्टर
Q1412	फिनिश भाषा
Q1413	नीरो
Q1415	इंडियाना
Q1418	नोकिया
Q1420	मोटारवाहन
Q1421	टायटस
Q1422	युव्हेन्टस एफ.सी.
Q1425	ट्राजान
Q1428	जॉर्जिया
Q1431	केडीई
Q1434	कोमॉडस
Q1435	झाग्रेब
Q1437	राजस्थान
Q1438	कांपानिया
Q1439	टेक्सास
Q1442	सेप्टिमियस सेव्हेरस
Q1443	मोलीझ
Q1445	तमिळनाडू
Q1447	पुलीया
Q1449	जेनोवा
Q1452	बाझिलिकाता
Q1454	नॉर्थ कॅरोलिना
Q1456	साउथ कॅरोलिना
Q1457	यु.सी. संपदोरिया
Q1458	कालाब्रिया
Q1460	सिचिल्या
Q1461	मनिला
Q1462	सार्दिनिया
Q1463	फेर्दिनांद मार्कोस
Q1464	बेनिनो आक्विनो ३ रा
Q1467	सेबु शहर
Q1469	लाऊआर नदी
Q1473	दवओ शहर
Q1475	केझॉन शहर	क्वेझॉन शहर
Q1476	ले मां
Q1478	कॅलोकॅन
Q1479	बोर्दू
Q1480	कोराझोन एक्विनो
Q1482	क्वेट शहर
Q1486	बुएनोस आइरेस
Q1489	मेक्सिको शहर	मेक्सिको सिटी
Q1490	तोक्यो
Q1491	ला पाझ
Q1492	बार्सिलोना
Q1494	मिसिसिपी
Q1498	उत्तर प्रदेश
Q1499	उत्तराखंड
Q1502	मिझोरम
Q1505	सिक्किम
Q1508	मकाती
Q1509	टेनेसी
Q1511	रिचर्ड वॅग्नर
Q1515	आबिजान
Q1519	अबु धाबी
Q1520	अस्ताना
Q1522	न्यू मेक्सिको
Q1524	अथेन्स
Q1527	मिनेसोटा
Q1530	बगदाद
Q1533	केरकस
Q1537	विस्कॉन्सिन
Q1538	पुणे	महाराष्ट्र राज्याची सांस्कृतिक राजधानी
Q1543	ए.सी. मिलान
Q1546	आयोवा
Q1553	Nebraska	नेब्रास्का
Q1555	ग्वातेमाला शहर	ग्वातेमाला सिटी
Q1558	कॅन्सस
Q1563	हवाना
Q1566	तंबाखू
Q1568	हिंदी भाषा
Q1571	मराठी	मराठी भाषा
Q1575	Internet Explorer	इंटरनेट एक्सप्लोरर
Q1581	मिसूरी
Q1588	लुईझियाना
Q1599	नागालँड
Q1603	केंटकी
Q1612	आर्कान्सा
Q1615	नील आर्मस्ट्राँग
Q1617	उर्दू भाषा
Q1623	वलेन्झ्वेला
Q1624	पासिग
Q1636	अँन्टिपोलो
Q1640	ओस्जेक
Q1644	एल्ब नदी
Q1647	रियेका
Q1649	ओक्लाहोमा
Q1663	स्प्लिट
Q1693	उत्तर समुद्र
Q1697	मॉस्को ओब्लास्त
Q1707	कील
Q1709	श्वेरिन
Q1711	पोट्सडाम
Q1715	हानोफर
Q1718	ड्युसेलडॉर्फ
Q1719	बलांगा सिटी
Q1720	माइंत्स
Q1721	वीसबाडेन
Q1722	दुब्रोव्हनिक
Q1723	बटांगस शहर
Q1724	जारब्र्युकन
Q1726	म्युन्शेन
Q1727	समारा ओब्लास्त
Q1729	एरफुर्ट
Q1731	ड्रेस्डेन
Q1733	माक्देबुर्ग
Q1735	इन्सब्रुक
Q1737	ब्रेगेन्झ
Q1741	व्हियेना
Q1748	कोपनहेगन
Q1749	कालिनिनग्राद ओब्लास्त
Q1754	स्टॉकहोम
Q1757	हेलसिंकी
Q1759	मुर्मान्स्क ओब्लास्त
Q1761	डब्लिन
Q1763	मुर्मान्स्क
Q1764	रेक्याविक
Q1770	तालिन
Q1773	रिगा
Q1774	झांझिबार
Q1780	ब्रातिस्लाव्हा
Q1781	बुडापेस्ट
Q1792	गदान्स्क
Q1794	फ्रांकफुर्ट
Q1799	व्रोत्सवाफ
Q1800	कोची
Q1822	बागुईओ
Q1823	आचे
Q1826	टॅगबिलेरॉन
Q1829	कालिनिनग्राद
Q1835	झिनेदिन झिदान
Q1841	कॅथलिक धर्म
Q1844	फाडुट्स
Q1845	बायबल
Q1848	सॅन मरीनो
Q1849	Er	अर्बियम
Q1850	पनॉम पेन
Q1851	अर्खांगेल्स्क
Q1854	हो चि मिन्ह शहर	हो चि मिन्ह सिटी
Q1858	हनोई
Q1860	इंग्लिश भाषा
Q1861	बँकॉक
Q1863	अँडोरा ला व्हेल्या
Q1865	क्वालालंपूर
Q1867	ताइपेइ
Q1874	ओदेसा
Q1875	अर्खांगेल्स्क ओब्लास्त
Q1880	कन्सेप्सियान
Q1886	अटलांटा बी.सी.
Q1890	बेंकुलू	बेंकुलू प्रांत
Q1891	बोलोन्या
Q1895	पेट्रोझेवोडस्क
Q1897	काग्लियारी
Q1899	क्यीव
Q1903	कातानिया
Q1904	ऑन्टारियो
Q1912	करीम बेन्झेमा
Q1914	कॅरेलिया प्रजासत्ताक
Q1919	मॅथियु वल्बुएना
Q1929	गेल क्लिची
Q1930	ओटावा
Q1947	जुबा
Q1948	मॅनिटोबा
Q1951	आल्बर्टा
Q1952	नोव्हा स्कॉशिया
Q1953	येरेव्हान
Q1957	वोलोग्डा
Q1960	दार एस सलाम
Q1963	खार्टूम
Q1965	न्यू ब्रुन्सविक
Q1974	ब्रिटिश कोलंबिया
Q1979	प्रिन्स एडवर्ड आयलंड
Q1989	सास्काचेवान
Q1997	कार्बन डायॉक्साइड
Q2003	न्यू फाउंडलंड आणि लाब्राडोर
Q2007	नॉर्थवेस्ट टेरिटोरीज
Q2009	युकॉन
Q2023	नुनाव्हुत
Q2025	कार्बन मोनॉक्साईड
Q2028	व्हेरोना
Q2030	इक्वाल्युईत
Q2039	लिव्ही टायटस
Q2042	चार्ल्स दि गॉल
Q2044	फ्लोरेन्स
Q2051	जांबी	जांबी प्रांत
Q2052	ए.सी.एफ. फियोरेंतिना
Q2061	यलोनाइफ
Q2066	एसेन
Q2073	कोमी प्रजासत्ताक
Q2074	जेनोवा सी.एफ.सी.
Q2079	लाइपझिश
Q2090	न्युर्नबर्ग
Q2096	एडमंटन
Q2100	डुइसबुर्ग
Q2103	बोखुम
Q2105	जाक शिराक
Q2107	वुपर्टाल
Q2110	लांपुंग	लांपुंग प्रांत
Q2119	मानहाइम
Q2123	रेजिना, कॅनडा
Q2127	शार्लटटाउन
Q2132	व्हिक्टोरिया
Q2135	विनिपेग
Q2138	फ्रेडरिक्टन
Q2140	उत्तर सुमात्रा	उत्तर सुमात्रा प्रांत
Q2141	हॅलिफॅक्स
Q2142	गोकु
Q2143	सायक्टिव्हकार
Q2145	क्वेबेक शहर	क्वेबेक सिटी
Q2153	सुभाषचंद्र बोस
Q2164	नेनेत्स स्वायत्त ऑक्रूग
Q2166	मौल प्रदेश
Q2175	रियाउ	रियाउ प्रांत
Q2178	लॉस लागोस प्रदेश
Q2184	रशियाचे सोव्हियेत साम्यवादी संघीय प्रजासत्ताक
Q2185	जोर्ज पाँपिदु
Q2187	मेक्यूअन
Q2191	लेनिनग्राद ओब्लास्त
Q2193	सॅन जोस डेल मोंन्टे
Q2200	ट्युगुगारोवो
Q2203	एरिका
Q2214	प्सकोव
Q2246	निज्नी नॉवगोरोद ओब्लास्त
Q2256	बर्मिंगहॅम
Q2271	दक्षिण सुमात्रा
Q2277	रोमन साम्राज्य
Q2280	मिन्स्क
Q2283	मायक्रोसॉफ्ट कॉर्पोरेशन
Q2288	टीव्हर
Q2292	त्वेर ओब्लास्त
Q2306	पिंक फ्लॉइड
Q2329	रसायनशास्त्र
Q2331	लेड झेपेलिन
Q2339	रॉबिन फां पेर्सी
Q2348	न्यूट्रॉन
Q2415	क्रिस्टियनसँड
Q2423	यारोस्लाव
Q2448	यारोस्लाव ओब्लास्त
Q2449	मोगादिशू
Q2462	हायड्रोजन आयोडाइड
Q2467	नासाउ
Q2471	साना
Q2494	पोप बेनेडिक्ट सोळावा
Q2496	लुडविग एर्हार्ड
Q2516	हेल्मुट श्मिट
Q2539	यंत्र शिक्षण
Q2592	कोस्ट्रोमा
Q2596	कोस्त्रोमा ओब्लास्त
Q2599	पॉल मॅकार्टनी
Q2604	पोप पायस बारावा
Q2609	एस.एस. लाझियो
Q2630	इवानोवो
Q2632	रिंगो स्टार
