Q2	Daga
Q298	Chile
Q302	Hesús
Q303	Elvis Presley
Q307	Galileo Galilei
Q309	Pakasaritaan
Q313	Benus
Q318	ariwanas
Q319	Hupiter
Q324	Urano
Q329	Nicolas Sarkozy
Q332	Neptuno
Q333	Astronomia
Q334	Singapur
Q336	Siensia
Q341	Nawaya a sopwer
Q345	Maria
Q347	Liechtenstein
Q352	Adolf Hitler
Q355	Facebook
Q361	Umuna a Sangalubongan a Gubat
Q362	Maikadua a Sangalubongan a Gubat
Q381	Ubuntu
Q388	Linux
Q392	Bob Dylan
Q393	Szczecin
Q395	Matematika
Q397	Latin
Q398	Bahrain
Q399	Armenia
Q403	Serbia
Q405	Bulan
Q406	Istanbul
Q408	Australia
Q413	Pisika
Q414	Arhentina
Q419	Peru
Q420	Biology	Biolohia
Q423	Amianan a Korea
Q424	Cambodia
Q428	Koran
Q431	soolohia
Q432	Islam
Q437	Ljubljana
Q441	Botanika
Q458	Kappon ti Europa	🇪🇺
Q461	Internet Archive	archive.org
Q472	Sofia
Q482	dandaniw
Q490	Milan
Q506	sabong
Q513	Bantay Everest	Everest
Q514	Anatomia
Q515	siudad
Q517	Napoleon Bonaparte
Q523	bituen
Q525	Init
Q532	purok
Q535	Victor Hugo
Q538	Oceania
Q544	Sistema a Solar
Q545	Baybay Baltiko
Q556	H	hidroheno
Q565	Wikimedia Commons
Q567	Angela Dorothea Merkel	Angela Merkel
Q574	Daya a Timor
Q583	Mont Blanc
Q584	Rin
Q597	Lisbon
Q612	Dubai
Q619	Nicolaus Copernicus
Q623	C	karbon
Q626	Karayan Volga
Q627	N	nitroheno
Q629	O	oksiheno
Q638	musika	samiweng
Q649	Moscow
Q652	Italiano
Q655	Chihuahua
Q656	San Petersburgo
Q657	Chad
Q663	Al	aluminio
Q664	Baro a Selanda
Q668	India
Q672	Tuvalu
Q678	Tonga
Q683	Samoa
Q685	Is-isla ti Solomon
Q686	Vanuatu
Q691	Papua Baro a Guinea
Q692	Shakespeare	William Shakespeare
Q695	Palau
Q697	Nauru
Q702	Pederado nga Es-estado ti Mikronesia
Q709	Is-isla ti Marshall
Q710	Kiribati
Q711	Mongolia
Q712	Fiji
Q717	Venezuela
Q718	ahedres
Q724	Maine
Q726	kabalio	kabalyo	kabayo
Q727	Amsterdam
Q730	Surinam
Q733	Paraguay
Q734	Guyana
Q735	Arte
Q736	EC	ECU	Ecuador	ec	ecu
Q739	Colombia
Q748	Budismo
Q750	Bolivia
Q753	Cu	gambang
Q754	Trinidad ken Tobago
Q757	San Vicente ken dagiti Grenadito
Q759	New Hampshire
Q760	Santa Lucia
Q762	Leonardo da Vinci
Q763	San Kristobal ken Niebes
Q765	Dario Fo
Q766	Hamaika
Q769	Grenada
Q771	Massachusetts
Q774	Guatemala
Q778	Bahamas
Q779	Connecticut
Q781	Antigua ken Barbuda
Q782	Hawai'i
Q783	Honduras
Q784	Dominica
Q786	Republika a Dominikano
Q788	Taaw Artiko
Q790	Haiti
Q792	El Salvador
Q794	Iran
Q796	Irak
Q797	Alaska
Q800	CRC	Costa Rica
Q801	Israel
Q804	Panama
Q805	Yemen
Q808	birus
Q809	Polako
Q810	Hordania
Q811	Nicaragua
Q812	Florida
Q813	Kirgistan
Q816	Arizona
Q817	Kuwait
Q819	Laos
Q822	Lebanon
Q824	Oregon
Q826	Maldibas
Q828	Kaamerikaan
Q829	Utah
Q833	Malaysia
Q834	Valais
Q836	Myanmar
Q837	Nepal
Q842	Oman
Q843	Pakistan
Q846	Katar
Q847	tenis
Q851	Saudi Arabia
Q854	Sri Lanka
Q855	Joseph Stalin	Stalin
Q858	Siria
Q859	Plato
Q863	Tayikistan
Q865	Taiwan
Q868	Aristoteles
Q869	Tailandia
Q873	Mary Louise Streep	Meryl Streep
Q874	Turkmenistan
Q878	Dagiti Nagkaykaysa nga Emirato nga Arabo
Q881	Bietnam
Q882	Charlie Chaplin
Q884	Abagatan a Korea
Q889	Apganistan
Q902	Banglades
Q905	Franz Kafka
Q909	Jorge Luis Borges
Q912	Mali
Q913	Socrates
Q916	Angola
Q917	Butan
Q921	Brunei
Q924	Tanzania
Q926	Roald Amundsen
Q928	Filipinas	Pilipinas	Republika ti Filipinas
Q929	Republika ti Tengnga nga Aprika
Q935	Isaac Newton
Q937	Albert Einstein
Q945	Togo
Q948	Tunisia
Q953	Zambia
Q954	Zimbabwe
Q956	Beijing
Q958	Abagatan a Sudan
Q962	Benin
Q963	Botswana
Q965	Burkina Faso
Q967	Burundi
Q970	Komoros
Q971	Republika iti Kongo
Q974	Demokratiko a Republika iti Kongo
Q975	San Antonio
Q977	Djibouti
Q980	Bavaria
Q983	Guinea Ekuatorial
Q985	Baden-Württemberg
Q986	Eritrea
Q987	New Delhi
Q989	Papa Juan Pablo II
Q991	Fyodor Dostoyevsky
Q994	Tbilisi	Tiflis
Q1000	Gabon
Q1001	Gandhi	Mahatma Gandhi	Mohandas Karamchand Gandhi
Q1005	Gambia
Q1006	Guinea
Q1007	Guinea-Bissau
Q1008	Pantar ti Marpil
Q1009	Kamerun
Q1011	Kabo Berde
Q1013	Lesoto
Q1014	Liberia
Q1016	Libya
Q1019	Madagascar
Q1020	Malawi
Q1025	Mauritania
Q1027	Maurisio
Q1028	Morocco	Pagarian ti Morocco
Q1029	Mosambike
Q1030	Namibia
Q1032	Niger
Q1033	Nigeria
Q1035	Charles Darwin
Q1036	Uganda
Q1037	Rwanda
Q1039	Santo Tomas ken Prinsipe
Q1041	Senegal
Q1042	Seychelles
Q1043	Carolus Linnaeus
Q1044	Sierra Leone
Q1045	Somalia
Q1047	Jawaharlal Nehru
Q1048	Julius Caesar
Q1049	Sudan
Q1050	Eswatini
Q1055	Hamburg
Q1063	ebolusion
Q1065	Dagiti Nagkaykaysa a Pagilian
Q1069	heolohia
Q1071	Geography	Heografia	Heograpia
Q1073	utek
Q1085	Prague
Q1124	Bill Clinton
Q1151	Hector Berlioz
Q1156	Mumbai
Q1166	Michigan
Q1183	Puerto Rico
Q1196	Mecklenburg-Vorpommern
Q1198	Amianan a Renania-Wespalia
Q1199	Hesse
Q1204	Illinois
Q1207	North Dakota
Q1208	Brandenburg
Q1210	Lombardia
Q1211	South Dakota
Q1212	Montana
Q1214	Wyoming
Q1218	Herusalem
Q1221	Idaho
Q1222	Ginget ti Aosta
Q1223	Washington
Q1227	Nevada
Q1239	Taaw Indiano
Q1247	Baybay Karibe
Q1257	Boutros Boutros-Ghali
Q1261	Colorado
Q1284	Abruzzo
Q1286	Alpes
Q1297	Chicago
Q1299	The Beatles
Q1321	Espaniol	Kastila
Q1339	Johann Sebastian Bach
Q1340	Antonio Vivaldi
Q1342	Pittsburgh
Q1344	opera
Q1345	Philadelphia
Q1348	Kolkata
Q1353	Delhi
Q1354	Dhaka
Q1362	Islamabad
Q1364	bunga	prutas
Q1370	Virginia
Q1371	West Virginia
Q1384	New York
Q1387	Rhode Island
Q1391	Maryland
Q1393	Delaware
Q1394	Lenin	Vladimir Lenin
Q1397	Ohio
Q1398	Virgilio
Q1400	Pennsylvania
Q1403	Luigi Pirandello
Q1405	Augusto
Q1406	Microsoft Windows	Windows
Q1408	New Jersey
Q1412	Pinlandes
Q1415	Indiana
Q1418	Nokia
Q1428	Georgia
Q1435	Zagreb
Q1439	Texas
Q1447	Apulia
Q1450	Bruno Mars
Q1452	Basilicata
Q1454	North Carolina
Q1456	South Carolina
Q1458	Calabria
Q1460	Sicilia
Q1461	Manila
Q1463	Ferdinand Marcos
Q1464	Benigno Aquino III
Q1467	Siudad ti Cebu
Q1473	Siudad ti Davao
Q1475	Siudad ti Quezon
Q1478	Caloocan
Q1480	Corazon Aquino
Q1482	Siudad ti Cavite
Q1486	Buenos Aires
Q1489	Siudad ti Mehiko
Q1490	Tokyo
Q1492	Barcelona
Q1494	Mississippi
Q1508	Makati
Q1509	Tennessee
Q1511	Richard Wagner
Q1520	Astana	Nur-Sultan
Q1522	New Mexico
Q1524	Atenas
Q1527	Minnesota
Q1530	Baghdad
Q1533	Caracas
Q1537	Wisconsin
Q1546	Iowa
Q1553	Nebraska
Q1558	Kansas
Q1566	tabako
Q1568	Hindi
Q1581	Missouri
Q1588	Louisiana
Q1603	Kentucky
Q1612	Arkansas
Q1615	Neil Armstrong
Q1623	Valenzuela
Q1624	Pasig
Q1636	Antipolo
Q1649	Oklahoma
Q1693	Baybay Amianan
Q1719	Balanga
Q1723	Siudad ti Batangas
Q1726	Munich
Q1735	Innsbruck
Q1741	Vienna
Q1748	Copenhagen
Q1754	Estokolmo
Q1757	Helsinki
Q1761	Dublin
Q1764	Reykjavik	Reykjavík
Q1773	Riga
Q1779	Louis Armstrong
Q1822	Baguio	Baguio City	City of Baguio
Q1823	Aceh
Q1826	Tagbilaran
Q1841	Katolisismo
Q1845	Biblia
Q1850	Phnom Penh
Q1854	Ho Chi Minh
Q1858	Hanoi
Q1860	Ingles
Q1861	Bangkok
Q1863	Andorra la Vella
Q1865	Kuala Lumpur
Q1867	Taipei
Q1880	Concepción
Q1890	Bengkulu
Q1899	Kiev	Київ
Q1953	Yerevan
Q2023	Nunavut
Q2042	Charles de Gaulle
Q2051	Jambi
Q2110	Lampung
Q2140	Amianan a Sumatra
Q2145	Siudad ti Quebec
Q2166	Rehion ti Maule
Q2175	Riau
Q2178	Rehion ti Los Lagos
Q2185	Georges Pompidou
Q2187	Meycauayan
Q2193	San Jose del Monte
Q2200	Tuguegarao
Q2203	Arica
Q2209	Siudad ti Roxas
Q2271	Abagatan a Sumatra
Q2277	Imperio a Romano
Q2283	Microsoft
Q2329	Kímika
Q2471	Sana'a
Q2494	Papa Benedicto XVI
Q2496	Ludwig Erhard
Q2516	Helmut Schmidt
Q2594	Theodor Heuss
Q2599	Paul McCartney
Q2604	Papa Pio XII
Q2736	putbol
Q2763	Holokausto
Q2772	Laud a Sumatra
Q2807	Madrid
Q2811	submarino
Q2813	Coca-Cola
Q2831	Michael Jackson
Q2840	trangkaso
Q2841	Bogotá
Q2887	Santiago
Q2900	Quito
Q2907	Sucre
Q3004	Ingolstadt
Q3037	Katmandu
Q3044	Karlomagno
Q3070	San José, Costa Rica
Q3130	Sydney
Q3141	Melbourne
Q3206	Akinlaud nga Australia
Q3335	George Orwell
Q3392	Karayan Nilo	Nilo
Q3503	Karayan Kongo
Q3540	Banten
Q3542	Karayan Niger
Q3557	Tengnga a Java
Q3561	Arhel
Q3586	Daya a Java
Q3616	Tehran
Q3630	Jakarta
Q3640	Ankara
Q3692	Riyadh
Q3703	Bamako
Q3724	Laud a Java
Q3741	Espesial a Rehion ti Yogyakarta
Q3757	Java
Q3766	Damascus
Q3777	Ouagadougou
Q3783	Karayan Amasona
Q3799	Porto-Novo
Q3805	Amman
Q3820	Beirut
Q3825	Libreville
Q3826	Muscat
Q3838	Kinshasa
Q3854	Bujumbura
Q3856	Nicosia
Q3859	Kigali
Q3861	Doha
Q3863	asteroid
Q3870	Nairobi
Q3882	Manama
Q3897	Luanda
Q3899	Daya a Kalimantan
Q3903	Amianan a Kalimantan
Q3906	Abagatan a Kalimantan
Q3916	Laud a Kalimantan
Q3918	Unibersidad
Q3957	ili
Q3960	Australia
Q3968	alhebra
Q4022	Karayan
Q4035	Osasco
Q4191	Lucerna
Q4235	Miley Cyrus
Q4361	Curitiba
Q4412	Akinlaud nga Aprika	Laud nga Aprika	Laud ti Aprika
Q4421	bakir	kabakiran
Q4433	Zichyújfalu
Q4443	Papa Pio VIII
Q4448	Papa Benedicto XV
Q4496	Mitt Romney
Q4604	Confucius	Kong Qiu
Q4612	Marie Magdalene Dietrich	Marlene Dietrich
Q4614	University of Southern California
Q4627	Aimara
Q4648	Bali
Q4724	Le Corbusier
Q4918	Baybay Mediteraneo
Q5043	Christianity	Cristianidad	Kristianidad
Q5065	Tengnga a Sulawesi
Q5068	Amianan a Sulawesi
Q5075	Abagatan a daya a Sulawesi
Q5078	Abagatan a Sulawesi
Q5083	Seattle
Q5090	bagas
Q5092	Baltimore
Q5107	Continent	kontinente
Q5111	Abhasio
Q5113	Aves	Billit	Bird	billit
Q5119	Capital	Capitalio	Capitolio	Kapitolio
Q5123	Monzón
Q5146	ISO 639:pt	Pagsasao a Portugés	Portuges	Portuguese language
Q5217	Bacolod
Q5285	Siudad ti Tarlac
Q5287	Hapon	ISO 639:ja	Nihongo	Pagsasao a Japones
Q5372	basketbol
Q5375	kriket
Q5378	rugby
Q5383	David Bowie	David Jones	David Robert Jones
Q5389	Olimpiada
Q5401	Eurasia
Q5413	Karayan Yangtze	Yangtze
Q5432	Francisco Goya
Q5451	Himalaya
Q5456	Andes
Q5463	Nabato a Banbantay
Q5465	Cape Town
Q5505	Danaw Victoria
Q5582	Vincent van Gogh
Q5586	Hokusai
Q5589	Henri Matisse	Henri Émile Benoît Matisse
Q5592	Michelangelo
Q5593	Pablo Picasso
Q5597	Rafael Sanzio
Q5598	Rembrandt
Q5599	Peter Paul Rubens
Q5682	Miguel de Cervantes
Q5683	Geoffrey Chaucer
Q5806	Meka
Q5816	Mao	Mao Zedong
Q5838	Kabul
Q5879	Johann Wolfgang von Goethe
Q5885	Tamil
Q5891	Pilosopia
Q5933	Westminster Abbey
Q5994	piano
Q6101	Marco Polo
Q6250	Akinlaud a Sahara
Q6256	Pagilian
Q6279	Joe Biden
Q6346	Indianapolis	Indianapolis, Indiana
Q6512	Søren Kierkegaard
Q6527	Jean-Jacques Rousseau
Q6534	Pranses a Rebolusion
Q6583	Sahara
Q6607	gitara
Q6654	Kroata
Q6691	Homero
Q6722	Carl Friedrich Gauss
Q6882	James Joyce
Q7026	Katalan
Q7066	ateismo
Q7071	Li Bai
Q7085	Niels Bohr	Niels Henrik David Bohr
Q7094	biokimika
Q7150	ekolohia
Q7159	Kappon ti Aprika
Q7163	Politika
Q7164	Banko ti Lubong
Q7172	Liga ti Arabo
Q7174	demokrasia
Q7176	Naguib Mahfouz
Q7178	Sangalubongan a Tignay ti Nalabbasit a Krus ken Nalabbasit nga Immindayon
Q7184	Gunglo ti Tulagan ti Amianan nga Atlantiko	NATO
Q7186	Marie Curie
Q7188	Gobierno
Q7191	Premio Nobel
Q7193	Mikrobiolohia
Q7197	Simone de Beauvoir
Q7198	Ovidio
Q7199	Marcel Proust
Q7200	Alexander Pushkin
Q7204	Tengnga a Daya
Q7207	Isabel I iti Inglatera
Q7209	Dinastia a Han	Dinastia ti Han
Q7226	Juana ti Arko
Q7231	Rosa Luxemburg
Q7235	Sopokles
Q7239	Organismo
Q7243	Leo Tolstoy
Q7251	Alan Turing
Q7252	Peminismo
Q7264	Marxismo
Q7270	Republika
Q7272	Sosialismo
Q7278	Partido politiko
Q7281	propaganda
Q7283	terorismo
Q7294	Johannes Brahms
Q7296	Bantay Kilimanjaro	Kilimanjaro
Q7298	Antonín Dvořák
Q7304	Gustav Mahler
Q7311	Giacomo Puccini
Q7312	Franz Schubert
Q7315	Pyotr Ilyich Tchaikovsky
Q7317	Giuseppe Verdi
Q7318	Nazi nga Alemania
Q7322	Christopher Columbus
Q7324	James Cook
Q7325	Tattao a Hudio
Q7331	Ibn Battuta
Q7347	Nalatak a Dandanaw
Q7349	Joseph Haydn
Q7350	Kanal Panama
Q7362	lapayag
Q7371	Federico Fellini
Q7397	sopwer
Q7411	Olandes
Q7430	deoksiribonukleiko nga asido
Q7432	sebbangan
Q7439	Richard Stallman
Q7540	Tarong
Q7546	Ingmar Bergman
Q7604	Leonhard Euler
Q7737	Ruso
Q7742	Ari ti Init	Luis XIV ti Pransia	Luis ti Natan-ok
Q7747	Vladimir Putin
Q7748	linteg
Q7755	Konstitusion	batay-linteg
Q7768	Gunglo ti Pagpagilian ti Abagatan a daya nga Asia
Q7779	Mankomunidad dagiti Nawaya nga Estado
Q7785	Mankomunidad ti Pagpagilian
Q7795	GPAP	Gunglo ti Pagpagilian nga Agiluluwas ti Petrolio	OPEC
Q7801	Sangalubongan a Korte ti Hustisia
Q7802	tinapay
Q7804	Sangalubongan a Pundo ti Panguartaan
Q7809	Gunglo ti Nagkaykaysa a Pagpagilian para iti Edukasion, Siensia ken Kultura	UNESCO
Q7817	Gunglo ti Salun-at ti Lubong
Q7825	Gunglo ti Komersio ti Lubong	WTO
Q7838	Swahili
Q7850	Insik
Q7913	Rumano
Q7918	Bulgaro
Q7930	Malagasi
Q7944	gingined
Q7946	mineral
Q7953	Zen
Q8007	FDR	Franklin D. Roosevelt
Q8011	Avicenna
Q8016	Winston Churchill
Q8018	Agustin ti Hipona
Q8023	Nelson Mandela
Q8047	ensima
Q8054	protina
Q8072	bulkan
Q8074	ulep
Q8078	Lohika
Q8084	trigonometria
Q8087	heometria
Q8091	gramatika
Q8092	tropikal nga alipugpog
Q8108	Georgiano
Q8134	ekonomika
Q8162	lingguistika
Q8196	alpabeto nga Arabiko
Q8201	Karkarakter nga Insik
Q8216	abesedario a Griego	alpabeto a Griego
Q8242	kurditan	literatura
Q8265	Tagtagainep ti Nalabbasit a Kamara
Q8272	Epiko ni Gilgamesh
Q8276	Mahabharata
Q8279	Shahnameh
Q8356	Valladolid
Q8366	algoritmo
Q8371	Tselo
Q8409	Alehandro ti Natan-ók
Q8413	Konstantino I	Konstantino ti Natan-ok	San Konstantino
Q8434	Edukasion
Q8442	Otto von Bismarck
Q8454	Dusa iti patay
Q8458	dagiti karbengan ti tao
Q8461	rasismo
Q8467	Umar
Q8479	Pedro I	Pedro ti Natan-ok	Pyotr Alexeyevich Romanov
Q8486	kape
Q8495	gatas
Q8502	bantay
Q8514	desierto
Q8573	Sun Yat-sen
Q8589	Ashoka
Q8597	Akbar
Q8612	Andrew Johnson
Q8620	Kwame Nkrumah
Q8641	Yidis
Q8646	Hong Kong
Q8660	Karachi
Q8673	Lagos
Q8676	Sibil a Gubat ti Amerikano
Q8678	Rio de Janeiro
Q8680	Imperio a Britaniko
Q8683	Nalamiis a Gubat
Q8684	Seoul
Q8686	Shanghai
Q8704	Walt Disney
Q8733	Qing a Dinastia
Q8736	Tulag ti Versailles
Q8740	Gubat ti Bietnam
Q8747	Euklides
Q8748	Albanes
Q8750	Michael Faraday
Q8752	Basko
Q8753	Enrico Fermi
Q8765	Aragones
Q8768	Henry Ford
Q8785	Armenio
Q8798	Ukraniano
Q8821	Pagsasao a Montenegrino
Q8861	City of Malabon	Malabon	Malabon City
Q8877	Steven Spielberg
Q8958	Johannes Gutenberg
Q8962	James Prescott Joule
Q8963	Johannes Kepler
Q8969	Cancun	Cancún
Q8998	Guan Moye	Mo Yan
Q9005	Bruselas
Q9021	Max Planck
Q9022	Guadalajara
Q9027	Sueko
Q9035	Danes
Q9036	Nikola Tesla
Q9043	Norwego
Q9047	Gottfried Wilhelm Leibniz
Q9049	Avram Noam Chomsky	Noam Chomsky
Q9056	Tseko
Q9058	Eslobako
Q9061	Karl Marx
Q9063	Eslobeno
Q9067	Hungaro
Q9068	Voltaire
Q9072	Estonio
Q9078	Leton
Q9083	Lituano
Q9085	Mandaluyong
Q9089	Hinduismo
Q9091	Bieloruso
Q9121	Atomo
Q9123	Ernest Rutherford
Q9129	Griego
Q9134	mitolohia
Q9135	Sistema ti panangpaandar
Q9142	Irlandes
Q9143	Lengguahe ti panangprograma
Q9159	monoteismo
Q9166	Maltes
Q9168	Persiano
Q9176	Koreano
Q9186	Kantones	Pagalagadan a Kantones
Q9192	Insik a Mandarin	Mandarin
Q9199	Bietnamis
Q9200	Pablo ti Apostol
Q9205	Khmer
Q9211	Lao
Q9215	Sigmund Freud
Q9217	Tailandes
Q9228	Birmano
Q9232	Hainismo
Q9235	Georg Wilhelm Friedrich Hegel
Q9237	Malayo
Q9240	Indones
Q9248	Baku
Q9255	Kirgistan
Q9259	Lugar a Tawid ti Lubong
Q9268	Hudaismo	Judaismo
Q9270	Thimphu
Q9279	Bandar Seri Begawan
Q9288	Hebreo
Q9296	Masedonio
Q9299	Serbio
Q9301	Serbo-Kroata
Q9303	Bosnio
Q9307	Galego
Q9309	Gales
Q9310	Dili
Q9316	Sikhismo
Q9317	John Maynard Keynes
Q9326	Vientiane
Q9350	Yoga
Q9361	Bishkek
Q9364	Jean-Paul Sartre
Q9365	Dushanbe
Q9372	Sima Qian
Q9387	Max Weber
Q9391	Ludwig Wittgenstein
Q9404	sistema ti nerbios
Q9418	sikolohia
Q9441	Sidarta Gautama Buddha
Q9458	Mahoma
Q9465	Etika
Q9471	epistomolohia
Q9492	probabilidad
Q9546	Al-Ghazali
Q9554	Martin Luther
Q9570	Amitabh Bachchan	Amitabh Harivansh Bachchan
Q9582	Gerald Ford
Q9585	Shia nga Islam
Q9588	Richard Nixon
Q9592	Simbaan a Katoliko
Q9595	Trimurti
Q9598	Taoismo
Q9601	Soroastrianismo
Q9603	Supismo
Q9610	Bengali
Q9616	Chelsea FC
Q9640	Lyndon B. Johnson
Q9682	Isabel II
Q9683	Dinastia a Tang
Q9684	The New York Times
Q9696	John F. Kennedy
Q9759	Blues
Q9903	Ming a Dinastia
Q9916	Dwight D. Eisenhower
Q9960	Ronald Reagan
Q10179	Zulu
Q10305	Zaragoza
Q10693	Periodiko a lamisaan dagiti elemento
Q10737	panagpakamatay
Q10876	Bakteria
Q10943	keso
Q10978	ubas
Q10998	patatas
Q11002	asukar
Q11004	nateng
Q11006	Glycine max	soya
Q11012	robot
Q11024	komunikasion	pannakisinnarita
Q11042	Kultura
Q11059	Sanskrito
Q11063	astronomo
Q11090	bassit a bagbagis	silet
Q11148	The Guardian
Q11184	kalendario a Huliano
Q11190	kinamangngagas	medicina	medisina
Q11194	Sarajevo
Q11211	Siiigam a Buyot iti Estados Unidos
Q11215	Windows 7
Q11230	Windows Vista
Q11237	Nelson Rockefeller
Q11248	Windows XP
Q11256	Fidel Alejandro Castro Ruz	Fidel Castro
Q11264	Rebolusion ti Kuba
Q11344	Kimiko nga elemento
Q11358	karbohidrato
Q11368	UNIX
Q11369	molekula
Q11391	ultrabioleta
Q11403	samba
Q11404	bombo	tambor
Q11424	cine	pelicula	pelikula	sine
Q11425	animasion
Q11442	bisikleta
Q11451	agricultura	agrikultura	panagtalon	talonen
Q11452	Sapasap a relatibidad
Q11467	metalurhia
Q11468	nanoteknolohia
Q11473	termodinamika
Q11613	Harry S. Truman
Q11629	pinintaan
Q11633	potograpia
Q11634	eskultura	panagkitikit
Q11635	teatro
Q11639	sala
Q11642	bangbanga	damdamili
Q11660	arpisial a sirib	artipisial a sirib	artipisial nga intelihensia	parbo a saririt	parbo a sirib
Q11696	Presidente iti Estados Unidos
Q11699	Bise Presidente iti Estados Unidos
Q11701	Kamara dagiti Pannakabagi ti Estados Unidos
Q11708	Abagatan a daya nga Asia	Akin-abagatan a daya nga Asia
Q11751	Nagoya
Q11761	Panawen ti Bronse
Q11764	Panawen ti Landok
Q11768	Taga-ugma nga Ehipto
Q11772	Taga-ugma a Gresia
Q11806	John Adams
Q11812	Thomas Jefferson
Q11813	James Madison
Q11815	James Monroe
Q11816	John Quincy Adams
Q11817	Andrew Jackson
Q11820	Martin Van Buren
Q11881	John Tyler
Q11891	James K. Polk
Q11896	Zachary Taylor
Q11911	Berna
Q11917	Hinebra
Q11922	Glarus
Q11925	Graubünden
Q11929	Solothurn
Q11933	Zug
Q11943	Zurich
Q11972	Aargau
Q11975	Britney Spears
Q11982	potosintesis
Q11998	Kylie Minogue
Q12003	Cher	Cherilyn Sarkisian
Q12078	Kanser
Q12094	Appenzell Innerrhoden
Q12099	Secale cereale	senteno
Q12107	Breton
Q12121	Lucerna
Q12136	sakit
Q12138	Kalendario a Gregoriano
Q12146	Basel-Landschaft
Q12190	penisilina
Q12191	Nantes
Q12204	TB	daig	sarut	tuberkulosis
Q12271	Arkitektura
Q12280	rangtay
Q12306	Millard Fillmore
Q12312	Franklin Pierce
Q12325	James Buchanan
Q12404	Uri
Q12418	Mona Lisa
Q12431	Pirineo	Pirineos
Q12433	Schwyz
Q12439	Detroit
Q12506	Hagia Sophia	Santa Sofia
Q12514	Penned ti Tallo a Baw-ang
Q12516	piramida
Q12536	Abasida a Kalipato
Q12544	Imperio a Bisantino
Q12548	Nasantuan nga Imperio a Romano
Q12557	Imperio a Mongol
Q12560	Imperio nga Otomano
Q12567	Viking
Q12573	Obwalden
Q12585	Latin nga Amerika
Q12592	Nidwalden
Q12630	Golpo ti Mehiko
Q12640	Friburgo
Q12681	kaligrapia
Q12684	moda	uso
Q12713	Thurgau
Q12724	Ticino
Q12738	Neuchâtel
Q12741	Ilocos Sur	Probinsia ti Ilocos
Q12755	Jura	Kanton ti Jura
Q12771	Vaud
Q12861	polbora
Q13160	Jalisco
Q13218	Xhosa
Q13248	Akinngato a Sorabo
Q13307	Nauruano
Q13330	Mirandes
Q13580	Metro Manila	Metropolitano a Manila	NCR	Nailian a Kapitolio a Rehion
Q13669	Rehion VII	Tengnga a Visayas
