Q2	ځمکه
Q1250	فریولي ونتزیا جولیا
Q1261	کلراډو
Q1263	امیلیا-رومانیا
Q1273	توسکاني
Q1286	آلپ غرونه
Q1290	بلیز پاسکال
Q1297	شیکاګو
Q1309	ماستریخت
Q1310	آرنهم
Q1317	اسامه بن لادن
Q1321	هسپاني
Q1344	اوپرا
Q1348	کلکته
Q1352	چينای
Q1353	ډېلي
Q1355	بنگلور
Q1356	مغربي بنگال
Q1361	حيدراباد، هند
Q1362	اسلام آباد
Q1363	تريپوره
Q1364	میوه
Q1370	ویرجینیا
Q1371	لویدیځه ویرجینیا
Q1384	نيويارک
Q1387	روډ ایسلنډ
Q1391	مریلنډ
Q1394	ولادمير ايليچ لېنين
Q1397	اوهایو
Q1400	پنسلوانیا
Q1406	Windows	مايکروسافټ وېنډوز	وېنډوز
Q1408	نیو جرسي
Q1412	فنلنډي ژبه
Q1435	زګريب
Q1437	راجستهان
Q1439	تکزاس
Q1445	تامل ناډو
Q1447	پولیا
Q1452	باسیلیکاتا
Q1454	شمالي کارولینا
Q1456	سویلي کارولینا
Q1460	سيسيلي	سيسيليا
Q1461	مانيلا
Q1486	بوئنوس آيرز
Q1490	توکيو
Q1492	بارسلونا
Q1494	میسیسیپی
Q1498	اتر پرديش
Q1499	اتر کنډ
Q1502	ميزورام
Q1505	سيکيم
Q1509	تینسي
Q1515	ابیجان
Q1519	ابوظبی
Q1520	استانه
Q1522	نیو مکسیکو
Q1527	مینه سوتا
Q1530	بغداد
Q1537	ویسکانسین
Q1538	پونی
Q1546	آیووا
Q1553	نبراسکا
Q1558	کانزاس
Q1568	هندي
Q1581	میسوري آیالات
Q1588	لویزیانا
Q1599	ناگالېډ
Q1603	کنتاکي
Q1615	نيل ارمسټرانگ
Q1617	اوردو ژبه
Q1649	اوکلاهوما
Q1675	آری سیند
Q1729	ارفورت
Q1735	اینسبروک
Q1741	وين
Q1761	ډبلن
Q1773	ریګا
Q1780	براتیسلاوا
Q1781	بوډاپسټ
Q1800	کوچين
Q1844	وادوڅ
Q1845	مقدس کتاب
Q1850	پنوم پن
Q1851	ارخانګلسک
Q1858	هانوی
Q1860	انگليسي
Q1861	بانګکوک
Q1865	کوالالامپور
Q1899	کيېف
Q1904	آنټاریو
Q1930	آټاوا
Q1947	جوبا
Q1960	دارالسلام
Q1963	خرطوم
Q1997	کـاربن ډای اکسايد
Q2066	آسِن
Q2203	آریکا
Q2254	تلمارک
Q2277	د روم ټولواکمني
Q2280	مینسک
Q2283	مايکروسافټ
Q2329	کيميا
Q2348	نيوټرون
Q2415	کريستيانساند
Q2449	موګادیشو	مکاديشو	مګ ديشو	مګاديشو
Q2471	صنعا
Q2678	ګومل
Q2685	آرنولد شوارڅنېګر
Q2736	فوټبال
Q2766	آيفون
Q2807	مادريد
Q2810	بریانسک
Q2814	هاله
Q2831	مايکل جېکسن
Q2887	سانتیاګو
Q2907	سوکره
Q3037	کاتماندو
Q3110	سان سلوادور
Q3114	کانبیرا
Q3130	سیدنی
Q3142	سور
Q3183	پرت
Q3206	لویدیځه اسټرالیا
Q3224	نیو ساوټ ولز
Q3230	هوا
Q3235	د اسټرالیا شمالي سیمه
Q3238	تګوسیګالپا
Q3258	د اسټرالیا مرکزي سیمه
Q3329	بلګورود
Q3392	نیل سیند
Q3503	کانګو سیند
Q3551	ربات
Q3561	الجزيره
Q3572	تونس ښار
Q3579	ترابلس
Q3616	تهران
Q3624	آدیس آبابا
Q3630	جکارتا
Q3640	انقره
Q3642	اسمره
Q3659	انجامنا
Q3674	نیامی
Q3688	نواکشوت
Q3692	رياض
Q3703	باماکو
Q3718	داکار
Q3726	بانجول
Q3733	کوناکری
Q3739	بیساو
Q3748	مونروویا
Q3751	پرایا
Q3761	آکرا
Q3766	د مشق
Q3768	یاموسوکرو
Q3777	آواګادوګو
Q3780	فری ټاون
Q3783	آمازوناس آیالات
Q3787	آبوجا
Q3792	لوم
Q3799	پورتو نووو
Q3805	آمان
Q3818	مالابو
Q3825	لیبرویل
Q3826	مسقط
Q3832	بانګویی
Q3838	کینشاسا
Q3844	برازاویل
Q3854	بوجومبورا
Q3856	نيکوزيا
Q3859	کیګالی
Q3861	دوها
Q3866	دودوما
Q3870	نایروبی
Q3876	لیلونګوه
Q3881	لوساکا
Q3882	منامه
Q3884	امازون
Q3894	کامپالا
Q3897	لوآندا
Q3904	مبابانه
Q3909	ماسرو
Q3915	آنتاناناریوو
Q3918	پوهنتون
Q3919	ګابورون
Q3921	هراره
Q3926	پرتوریا
Q3927	استراخان
Q3929	پورت لویس
Q3932	سایوتومه
Q3935	ویندهوک
Q3960	آسټراليا
Q3968	الجبر
Q4022	سيند
Q4093	ګلاسګو
Q4191	لوزرن
Q4361	كوريتيبا
Q4421	ځنګل
Q4478	پنجاب
Q4604	كنفيوشيوس
Q5043	عيسويت	عیسویت
Q5083	سیاتل
Q5107	لويه وچه
Q5112	ایډلایډ
Q5113	مرغه
Q5119	د وټه پور ولسوالي	پلازمېنه
Q5137	ګجراتي
Q5187	چيچنيا
Q5264	بقراط
Q5287	د ياماتو ژبه
Q5295	RAM
Q5322	کانډنسر
Q5372	باسکټبال
Q5375	کرېکټ
Q5401	اوراسيا
Q5406	د هېتیانو واکمنۍ
Q5465	کيپ ټاؤن
Q5469	قراقرم
Q5593	پيکاسو
Q5641	ټرام
Q5684	بابل
Q5690	سپارتا
Q5705	کاتالونیا
Q5753	سمرقند
Q5764	بخارا
Q5776	بیت لحم
Q5788	پټرا
Q5823	سیوتا
Q5826	شيان
Q5831	ملیلیه
Q5838	کابل
Q5879	ګوېټه
Q5891	فلسفه
Q5971	التای جمهوریت
Q6256	هېواد
Q6373	د برتانيې موزيم
Q6527	ژان ژاك روسو
Q6583	د افریقا صحرا
Q6607	ګټار
Q6636	همنوګپالنه
Q6654	کرواسیایي ژبه
Q6691	هومر
Q6694	الكساندر هومبولدت
Q6718	کوارک
Q6886	آمور
Q7042	آمبرگ
Q7066	اتيزم
Q7085	نيلز بوهر
Q7094	ژونکيميا
Q7100	ژونپنځپوهنه
Q7150	چاپېريالپوهنه
Q7156	د بارسلونا فوټبال کلب
Q7163	سياست
Q7164	نړیوال بانک
Q7172	عربي ټولنه
Q7174	ولسواکي
Q7176	نجيب محفوظ
Q7178	د سره صليب او سرې مياشتې نړيوال غورځنګ
Q7184	ناټو
Q7186	ماري کیوري
Q7187	جين
Q7188	حکومت
Q7191	نوبل جايزه
Q7193	مایکرو بیولوژي
Q7204	منځنی ختيځ
Q7208	رنځپوهنه
Q7243	لېو نيكولايوويچ تولستوى
Q7252	فیمینزم
Q7264	مارکسيزم
Q7270	ولسمشريزه
Q7272	سوسیالیزم
Q7278	سياسي گوند
Q7325	يهودان
Q7331	ابن بطوطه
Q7349	فرانز جوزیف هایدن
Q7362	غوږ
Q7397	ساوتری
Q7411	نېدرلنډي	نېدرلنډي ژبه
Q7414	ډيسني
Q7416	مارگريت تاچر
Q7430	ډي ان اې
Q7432	توکمونه
Q7540	بانجان
Q7737	روسي
Q7747	ولادمير پوتين
Q7748	حقوق
Q7755	اساسي قانون
Q7795	اوپک
Q7802	ډوډۍ
Q7804	د پیسو نړیوال صندق
Q7817	د روغتيا نړيوال سازمان
Q7825	د سوداګرۍ نړيوال سازمان
Q7835	کريميا
Q7838	سواحلي ژبه
Q7850	چيني
Q7867	سادرملنه
Q7913	رومانيايي ژبه
Q7918	بلغاريايي ژبه
Q7922	روزنپوهنه
Q7930	مالاګاسي ژبه
Q7944	رېږدله
Q8011	ابن سينا بلخي
Q8016	وېنسټون چرچل
Q8023	نېلسن مانډېلا
Q8047	انزايم
Q8066	امينو اسيد
Q8074	ورېځ
Q8078	سولپوهنه
Q8087	مېچپوهنه
Q8097	تېلوګو
Q8108	گرجی ژبه
Q8134	وټپوهنه
Q8162	ژبپوهنه
Q8201	چينايي	چيني ليکنښې
Q8216	يوناني ابېڅې
Q8242	ادبيات
Q8341	جَز
Q8385	اوستراوا
Q8409	مقدوني سکندر
Q8434	زده کړه
Q8458	وګړنيز حقوق
Q8461	توکمپالنه
Q8467	عمر بن خطاب
Q8486	قهوه
Q8495	شيدې
Q8502	غر
Q8589	اشوک
Q8597	جلال الدين محمد اکبر
Q8646	هانګ کانګ
Q8660	کراچۍ
Q8673	لاګوس
Q8682	د ريال مادريد فوټبال کلب
Q8684	سيول
Q8686	شانګهای
Q8747	اقليدس
Q8752	باسکي ژبه
Q8768	هنري فورډ
Q8880	اروپايي کمېسیون
Q8886	اروپايي شورا
Q8889	اروپايي پارلمان
Q8896	اروپايي ټولنې شورا
Q8963	یوهانس کپلر
Q9009	شاف هاوزن
Q9027	سویډني ژبه
Q9035	ډنمارکي ژبه
Q9043	ناروېژي ژبه
Q9049	نوم چومسكي
Q9056	چيکی ژبه
Q9058	سلواکیایي ژبه
Q9061	کارل مارکس
Q9067	هنګري ژبه
Q9083	لتوانیایي ژبه
Q9089	هندويزم
Q9121	اټوم
Q9129	يوناني ژبه
Q9135	چليز غونډال
Q9142	آیرلنډي ژبه
Q9143	بريشليک ژبه
Q9168	پارسي
Q9215	سېګمونډ فرايډ
Q9219	د متحده ایالاتو پوځي اکاډمي
Q9232	جاينيزم
Q9235	گيورگ ويلهېلم فرېدرېش هېگل
Q9240	اندونیزیایي ژبه
Q9246	مغولي ژبه
Q9248	باکو
Q9259	د یونېسکو نړیوال میراث
Q9260	تاجکي ژبه
Q9264	اوزبکي ژبه
Q9267	ترکمني ژبه
Q9268	يهوديت
Q9270	تیمفو
Q9279	سری بګاوان بندر
Q9292	آزربايجاني
Q9296	مکدونسکا کامنیکا
Q9303	بوسنیایي ژبه
Q9310	دیلی
Q9316	سکهيزم
Q9326	وینتیان
Q9361	بشکیک
Q9365	دوشنبه
Q9377	پښتورګی
Q9418	ساپوهنه
Q9422	مهاوېرا
Q9439	ملکه وېکټوريا
Q9441	گوتاما بودا
Q9458	محمد
Q9465	اخلاق
Q9471	پوهنپوهنه
Q9531	بي بي سي
Q9535	شاهرخ خان
Q9546	محمد الغزالي
Q9570	اميتاببچن
Q9585	شيعه
Q9601	زرتشتيت
Q9603	تصوف
Q9620	رگ
Q9682	دوهمه ملکه الیزابت
Q9683	ټانگ كورنۍ
Q9733	نومیا
Q9885	کويمبتور
Q9902	مېو
Q9920	هارلم (هالنډ)
Q9960	رونالد رېگن
Q10001	دِوِنتِر
Q10179	زولو
Q10288	بارثنون
Q10379	زړه پوهنه
Q10686	بلفاست
Q10693	بابل	سم
Q10737	ځان وژنه
Q10876	باکټريا
Q10943	پوڅه
Q10978	انګور
Q10998	کچالو
Q11002	بوره
Q11004	سابه
Q11042	هڅوب
Q11059	سانسګریت ژبه
Q11148	ګارډيان
Q11149	انډيپېنډنټ
Q11190	درملګري
Q11204	مقننه قوه
Q11220	د امریکا متحده آیالاتونو سمندري ځواک
Q11254	مالګه
Q11255	مايکروسافټ آفېس
Q11256	فیډل کاسټرو
Q11299	منهټن
Q11303	لوړه ودانۍ
Q11344	کيمياوي توکی
Q11362	ابن باجه
Q11420	جودو
Q11424	فلم
Q11425	ساهيالي
Q11451	کرهڼه
Q11468	نانو تکنالوژي
Q11473	ترمودینامیک
Q11571	کرېسټيانو رونالډو
Q11629	انځورکښنه
Q11631	تشیالیونی
Q11633	انځوراخيستنه
Q11635	نندارغالی
Q11696	د متحده ایالاتو ولسمشر
Q11739	لاهور
Q11746	ووهان
Q11768	لرغونی مصر
Q11854	راج کوټ
Q11925	ګراو بوندن
Q11972	آرګاو
Q12013	ګوګل مېپس
Q12078	سرطان
Q12097	پاچا
Q12136	ناروغي
Q12138	ګریګوري کلیز
Q12146	بازل
Q12187	انټيبايوټيک
Q12190	پنسلين
Q12204	نری رنځ
Q12323	ډېم
Q12404	اوري (کانتون)
Q12418	مونالیزا
Q12483	سرشمیرنه
Q12516	هرم
Q12557	د مغولو امپراتوري
Q12560	عثماني پېر
Q12573	اوب والدن
Q12592	نید والدن
Q12713	تورګاو
Q12735	یان آموس کمېنسکي
Q12738	نوین بورګ
Q12771	وادت
Q12791	توره
Q12802	هستوي وسلې
Q12919	ماجورو
Q12983	هرمان ون رومپوې
Q13187	ناريال
Q13218	خوسایي ژبه
Q13275	سومالیایي ژبه
Q13298	گراڅ
Q13307	ناورویي ژبه
Q13371	هروارد پوهنتون
Q13955	عربي
Q14196	افریکانس ژبه
Q14960	برنو
Q15028	د معيار نړيوال تنظيم
Q15029	هوجينتاو
Q15180	د شوروي سوسياليستي جمهوريتونو اتحاد
Q16010	اش-سور-الزت
Q16554	ډنور
Q16644	شمالي ماریانا ټاپوګان
Q17063	مایوت
Q17070	ریونیون
Q17167	د روم جمهوريت
Q17714	استیون هاوکینگ
Q18426	برانکس
Q18808	پيونګيانګ
Q18973	گرجی خلگ
Q19020	اسکار
Q19557	القلي فلزات
Q19660	بخارست
Q19689	تیرانا
Q19837	سټيف جوبز
Q19943	لومړی خوان کارلوس
Q20716	سامسونګ
Q21197	کیشیناو
Q21198	سولګرپوهنه
Q21201	ټولنپوهنه
Q22048	اوړېشه
Q22424	پنجاب
Q22676	بوټونه	پڼې
Q22686	ډونلډ ټرمپ
Q22687	بانک
Q23215	اډېل
Q23404	وګړپوهنه
Q23406	سور سمندر
Q23413	کلا
Q23434	ارنېست مېلر هېمېنگوې
Q23438	عشق آباد
Q23498	لرغونپوهنه
Q23526	سلاوي ژبې	سلاوۍ ژبه
Q23548	ناسا
Q23564	پودګوریتسا
Q23640	سر
Q23661	ولینګتون
Q23691	ملي سرود	ولسي ترانه	ولسي لاره
Q23768	لاس ویګاس
Q23800	والتا
Q23810	الفرېډ نوبل
Q24489	ډبرين سکاره
Q24826	لیورپول
Q25164	نينورشک
Q25231	سوالبرد
Q25270	پریشتینا
Q25271	نړېوال تشيال تمځای
Q25275	ISO 3166-1
Q25338	كوچنى شاهزاده
Q25409	کوشیتسه ښار
Q25416	ستوانګر
Q25797	جیلینا
Q25804	تروندهايم
Q26087	ترومسو
Q26175	ترناوا
Q26397	نیترا ښار
Q26540	سپوږمکۍ
Q26793	برګين
Q27275	منځنۍ آسيا
Q27381	شمالي افريقا
Q27433	مرکزي افريقا
Q27468	ختيځه اروپا
Q27496	لوېديځه اروپا
Q27509	منځنۍ اروپا
Q27686	هوټل
Q27827	کرسټالففینډ
Q28054	جودي دنچ
Q28179	چوسون كورنۍ
Q28208	گوریو
Q28244	امهري ژبه
Q28389	سکرين ليکوال
Q28892	اسلامي کليز	اهل البيت	سپوږميز ليږديز کليز
Q29496	ليوکېمي
Q29552	ديموکراتيک ګوند
Q29919	مصري عربي
Q30185	ښاروال
Q30461	ولسمشر
Q30966	الوفي
Q30971	د فرانسې پولینزي
Q31002	ماتا اوتو
Q31519	د کارل پوهنتون
Q32342	سونالی بيندره
Q32500	پینځم چارلز
Q32815	اهل البيت	جومات
Q33081	ژونگخا
Q33146	بانتو ژبې
Q33296	د مغل سلطنت	د مغولو پاچايي
Q33384	ګړدود
Q33573	رواندایي ژبه
Q33776	پالایویي ژبه
Q33790	نیویي ژبه
Q33890	شمالي سوتویي ژبه
Q33935	تل آویو
Q33954	سانګو ژبه
Q33997	سيندي ژبه
Q33999	لوبگر
Q34006	Hollywood	هاليووډ
Q34011	ساموایي ژبه
Q34020	نیوی
Q34055	تووالویي ژبه
Q34094	تونګایي ژبه
Q34124	تګرینیایي ژبه
Q34125	تتوم ژبه
Q34126	فونافوتي
Q34137	تسوانایي ژبه
Q34178	دينپوهنه
Q34216	موساد
Q34274	انجيل
Q34327	شنګاني ژبه
Q34340	سوتي ژبه
Q34362	ستورپېژندنه
Q34366	تاسماني
Q34370	روتردام
Q34374	کرت
Q34379	ساز
Q34389	ويټني هيوسټن
Q34424	شکيرا
Q34442	سړک	واټ
Q34448	محمود احمدي نژاد
Q34467	كېښكلى ټيكلى	ټيكلى	ټيګلى
Q34486	چورلکه
Q34490	القاعده
Q34497	سنت هلن
Q34503	محمد فاتح
Q34589	فرات
Q34647	ژوهانسبورگ
Q34675	د فارس خليج	د فارس خلیج
Q34713	سالڅبورګ
Q34735	قطب نما
Q34749	ټولنيزې پوهنې
Q34754	سومالیالاند
Q34770	ژبه
Q34932	بریزبن
Q34943	بطلمیوس
Q34990	تورات
Q35225	لرغونې پاړسي	پخوانی پارسي
Q35245	آرپوهنه
Q35323	عرب	عربان
Q35381	کولمبو
Q35493	الماته
Q35497	يوناني لهجه
Q35518	اکدي ژبه
Q35555	والیس او فوتونا
Q35672	پیت کرن ټاپوګان
Q35715	سویلي اسټرالیا آیالات
Q35765	اوساکا
Q35794	د کېمبرېج پوهنتون
Q35997	ازمير
Q36074	کوینزلنډ
Q36107	محمد علي کلي
Q36180	ليکوال
Q36215	مارک زوکربرگ
Q36236	مالايم
Q36260	اپیا
Q36281	روسو
Q36322	جېن آسټن
Q36368	کوردي ژبه
Q36526	پورټ مورسب
Q36600	دِن هاخ
Q36661	هنرېک ايبسن
Q36687	ویکتوریا آیالات
Q36704	یوګسلاویا
Q36810	څلورڅنډی
Q36823	توکلاو
Q36855	د سرکوزي والګی	سرکوزي والګی
Q36933	اوزون
Q37049	فيلمفیر جايزه
Q37093	یاهو!
Q37100	اوکلنډ
Q37110	فرعون
Q37211	سند	سنډ
Q37400	نایپیداو
Q37643	ګولف وار
Q37731	عثمان بن عفان
Q37732	وګړشمېرنه
Q37806	پورت ویلا
Q37868	اوبړۍ
Q38076	مکډونالډز
Q38283	يوکوهوما
Q38311	ګړپوهنه
Q38545	آدانا
Q38799	د حماس اسلامي غورځنګ	د حماس اسلامی غورڅنګ
Q38807	سووا
Q38867	ليزر
Q39072	کوچنی وټه	کوچنې وټه
Q39286	خزدکپوهنه
Q39510	اشتاراک
Q39619	علي بن ابي طالب
Q39680	لويه وټه	لویه وټه
Q39837	ابن رشد
Q40171	نيانډرټال
Q40185	الهي کمېډي
Q40191	هوبارټ
Q40398	توتنگ ولسوالۍ
Q40495	پروېز مشرف
Q40715	جنیفرلوپز
Q40722	دیلما روسف
Q40738	بورصه
Q40802	چنگاښ
Q40811	سوخومي
Q40821	جراحي
Q40888	اندامان او نیکوبار ټاپو
Q40921	هونیارا
Q40930	نفرتيتي	نفرتیتي
Q40984	سکايپ
Q40998	غږپوهنه
Q41053	د حزب الله اسلامی غورځنګ
Q41083	باو	سيفيلس
Q41112	سکیزفرینیا
Q41137	د آشور واکمني
Q41183	حلب
Q41187	سوني
Q41207	ايکۍ
Q41254	گرمي جایزه
Q41329	لینڅ
Q41370	داوود
Q41415	ښوروا
Q41466	د یخ هاکي	کنگل هاکي
Q41470	کردستان	کوردستان
Q41710	توکمډله
Q41861	د وینې لوړ فشار
Q41914	منموهن سينګ
Q41975	مغول
Q42007	سمباتهي
Q42247	سولي پرودممه
Q42365	زړه انگليسي
Q42418	د طالبانو اسلامي تحریک	طالبان
Q42585	بوهمیایي واکمني
Q42941	آگره
Q43054	نيورون
Q43210	بورګن لاند
Q43229	تنظيم
Q43387	ادیرنه
Q43433	چندي گړ
Q43595	کوتونو
