Q2	כדור הארץ
Q393	שצ'צ'ין
Q394	מטרולוגיה
Q395	מתמטיקה
Q396	U2
Q397	לטינית
Q398	בחריין
Q399	ארמניה
Q403	סרביה
Q405	הירח
Q406	איסטנבול
Q408	אוסטרליה
Q413	פיזיקה
Q414	ארגנטינה
Q419	פרו
Q420	ביולוגיה
Q423	קוריאה הצפונית
Q424	קמבודיה
Q428	הקוראן
Q431	זואולוגיה
Q432	אסלאם
Q435	הספרייה הגדולה של אלכסנדריה
Q437	ליובליאנה
Q440	סלבדור איינדה
Q441	בוטניקה
Q456	ליון
Q457	פואסי
Q458	האיחוד האירופי
Q459	פלובדיב
Q461	ארכיון האינטרנט
Q463	רון-אלפ
Q472	סופיה
Q482	שירה
Q490	מילאנו
Q492	זיכרון
Q495	טורינו
Q503	בננה
Q506	פרח
Q514	אנטומיה
Q515	עיר
Q517	נפוליאון בונפרטה
Q521	פיזיולוגיה
Q525	השמש
Q529	לואי פסטר
Q532	כפר
Q538	אוקיאניה
Q543	צנזורה
Q544	מערכת השמש
Q546	טריאסטה
Q548	ויסלה
Q556	מימן
Q557	פטי סמית'
Q567	אנגלה מרקל
Q568	ליתיום
Q569	בריליום
Q574	מזרח טימור
Q580	לודז'
Q582	וילרבאן
Q583	מון בלאן
Q584	ריין
Q585	אוסלו
Q586	בון
Q588	קטוביץ
Q592	גיי
Q595	מחוברים לחיים
Q597	ליסבון
Q598	ז'שוב
Q600	אישירו סוזוקי
Q607	מייקל בלומברג
Q612	דובאי
Q613	דובאי
Q615	ליונל מסי
Q617	פדובה
Q618	בור
Q619	ניקולאוס קופרניקוס
Q621	ורסאי
Q623	פחמן
Q627	חנקן
Q628	ברגמו
Q629	חמצן
Q633	ניל יאנג
Q634	כוכב לכת
Q636	קייט בוש
Q638	מוזיקה
Q641	ונציה
Q645	נייבה
Q647	רן
Q648	ליל
Q649	מוסקבה
Q650	פלואור
Q652	איטלקית
Q655	צ'יוואווה
Q656	סנקט פטרבורג
Q657	צ'אד
Q658	נתרן
Q660	מגנזיום
Q663	אלומיניום
Q664	ניו זילנד
Q668	הודו
Q670	צורן
Q671	פרנציום
Q672	טובאלו
Q674	זרחן
Q676	פרוזה
Q677	ברזל
Q678	טונגה
Q682	גופרית
Q683	סמואה
Q685	איי שלמה
Q686	ונואטו
Q688	כלור
Q690	דלפט
Q691	פפואה גינאה החדשה
Q694	דרום הולנד
Q695	פלאו
Q697	נאורו
Q701	צפון הולנד
Q702	מיקרונזיה
Q703	אשלגן
Q705	זיילנד
Q706	סידן
Q708	עופרת
Q709	איי מרשל
Q710	קיריבטי
Q711	מונגוליה
Q712	פיג'י
Q714	סטיבי וונדר
Q716	טיטניום
Q717	ונצואלה
Q718	שחמט
Q722	ונדיום
Q724	מיין
Q725	כרום
Q726	סוס הבית
Q727	אמסטרדם
Q730	סורינאם
Q731	מנגן
Q733	פרגוואי
Q734	גיאנה
Q735	אמנות
Q736	אקוודור
Q739	קולומביה
Q740	קובלט
Q742	ז'אן רסין
Q743	טונגסטן
Q744	ניקל
Q748	בודהיזם
Q749	חרונינגן
Q750	בוליביה
Q751	אוסמיום
Q752	חרונינגן
Q753	נחושת
Q754	טרינידד וטובגו
Q756	צומח
Q757	סנט וינסנט והגרנדינים
Q758	אבץ
Q759	ניו המפשייר
Q760	סנט לוסיה
Q761	ביאליסטוק
Q762	לאונרדו דה וינצ'י
Q763	סנט קיטס ונוויס
Q766	ג'מייקה
Q769	גרנדה
Q770	פריסלנד
Q771	מסצ'וסטס
Q772	דרנתה
Q773	אוברייסל
Q774	גואטמלה
Q775	חלדרלנד
Q777	גוגל כרום
Q778	איי בהאמה
Q779	קונטיקט
Q780	תרנגול הבית
Q781	אנטיגואה וברבודה
Q782	הוואי
Q783	הונדורס
Q784	דומיניקה
Q785	ג'רזי
Q786	הרפובליקה הדומיניקנית
Q787	חזיר הבית
Q790	האיטי
Q792	אל סלוודור
Q793	זוולה
Q794	איראן
Q796	עיראק
Q797	אלסקה
Q800	קוסטה ריקה
Q801	ישראל
Q803	אוטרכט
Q804	פנמה
Q805	תימן
Q807	לוזאן
Q808	נגיף
Q809	פולנית
Q810	ירדן
Q811	ניקרגואה
Q812	פלורידה
Q813	קירגיזסטן
Q816	אריזונה
Q817	כווית
Q819	לאוס
Q822	לבנון
Q824	אורגון
Q826	האיים המלדיביים
Q828	אמריקה
Q829	יוטה
Q830	בקר הבית
Q831	הלו
Q833	מלזיה
Q834	ואלה
Q836	מיאנמר
Q837	נפאל
Q842	עומאן
Q843	פקיסטן
Q846	קטר
Q847	טניס
Q851	ערב הסעודית
Q854	סרי לנקה
Q858	סוריה
Q859	אפלטון
Q861	גליום
Q862	יוסף ברודסקי
Q863	טג'יקיסטן
Q865	טאיוואן
Q866	יוטיוב
Q867	גרמניום
Q868	אריסטו
Q869	תאילנד
Q870	רכבת
Q871	ארסן
Q874	טורקמניסטן
Q876	סלניום
Q878	איחוד האמירויות הערביות
Q879	ברום
Q880	פלטינה
Q881	וייטנאם
Q883	נובוסיבירסק
Q884	קוריאה הדרומית
Q886	משפחת סימפסון
Q887	יקטרינבורג
Q889	אפגניסטן
Q891	ניז'ני נובגורוד
Q894	סמרה
Q895	רובידיום
Q898	אומסק
Q900	קאזאן
Q901	מדען
Q902	בנגלדש
Q905	פרנץ קפקא
Q908	רוסטוב על הדון
Q909	חורחה לואיס בורחס
Q911	אופה
Q912	מאלי
Q914	וולגוגרד
Q916	אנגולה
Q917	בהוטן
Q919	קרסנויארסק
Q921	ברוניי
Q923	אלכסנדר
Q924	טנזניה
Q925	כספית
Q928	הפיליפינים
Q929	הרפובליקה המרכז-אפריקאית
Q932	תליום
Q935	אייזק ניוטון
Q937	אלברט איינשטיין
Q938	סטרונציום
Q941	איטריום
Q942	ביסמוט
Q943	צהוב
Q945	טוגו
Q948	תוניסיה
Q953	זמביה
Q954	זימבבואה
Q956	בייג'ינג
Q958	דרום סודאן
Q959	ולדיווסטוק
Q960	טובה
Q962	בנין
Q963	בוטסואנה
Q965	בורקינה פאסו
Q967	בורונדי
Q970	קומורו
Q971	הרפובליקה של קונגו
Q974	הרפובליקה הדמוקרטית של קונגו
Q975	סן אנטוניו
Q977	ג'יבוטי
Q979	פולוניום
Q980	בוואריה
Q983	גינאה המשוונית
Q985	באדן-וירטמברג
Q986	אריתריאה
Q987	ניו דלהי
Q989	יוחנן פאולוס השני
Q994	טביליסי
Q1000	גבון
Q1001	מוהנדס קרמצ'נד גנדי
Q1005	גמביה
Q1006	גינאה
Q1007	גינאה ביסאו
Q1008	חוף השנהב
Q1009	קמרון
Q1010	מריבור
Q1011	כף ורדה
Q1012	צליה
Q1013	לסוטו
Q1014	ליבריה
Q1016	לוב
Q1017	אאכן
Q1019	מדגסקר
Q1020	מלאווי
Q1022	שטוטגרט
Q1025	מאוריטניה
Q1026	פולנים
Q1027	מאוריציוס
Q1028	מרוקו
Q1029	מוזמביק
Q1030	נמיביה
Q1032	ניז'ר
Q1033	ניגריה
Q1034	ביל/ביין
Q1035	צ'ארלס דרווין
Q1036	אוגנדה
Q1037	רואנדה
Q1038	זירקוניום
Q1039	סאו טומה ופרינסיפה
Q1040	קרלסרוהה
Q1041	סנגל
Q1042	סיישל
Q1043	קארולוס ליניאוס
Q1044	סיירה לאון
Q1045	סומליה
Q1046	ניאוביום
Q1047	ג'ווהרלל נהרו
Q1049	סודאן
Q1050	אסוואטיני
Q1053	מוליבדן
Q1055	המבורג
Q1057	מטבוליזם
Q1060	האוניברסיטה הטכנית של המבורג
Q1061	גוג'ראט
Q1063	אבולוציה
Q1065	האומות המאוחדות
Q1069	גאולוגיה
Q1070	אחמדאבאד
Q1071	גאוגרפיה
Q1072	לב
Q1073	מוח
Q1079	שובר שורות
Q1083	סלרנו
Q1084	שם עצם
Q1085	פראג
Q1088	כחול
Q1089	פלדיום
Q1090	כסף
Q1093	לימבורג
Q1094	אינדיום
Q1095	לימבורג (בלגיה)
Q1096	בדיל
Q1098	אורניום
Q1099	אנטימון
Q1100	טלור
Q1101	צפון בראבנט
Q1103	יוד
Q1105	נפטוניום
Q1106	קסנון
Q1107	אנימה
Q1108	צסיום
Q1112	בריום
Q1114	פלנדריה המזרחית
Q1115	תוריום
Q1118	ברבנט הפלמית
Q1119	הפניום
Q1123	טנטלום
Q1126	לוקסמבורג
Q1127	לייז'
Q1137	לורן
Q1142	אלזס
Q1145	ז'אן-פיליפ ראמו
Q1156	מומבאי
Q1158	התאחדות האתלטיקה הבינלאומית
Q1159	אנדרה פרדש
Q1162	ארונאצ'ל פרדש
Q1164	אסאם
Q1165	ביהר
Q1166	מישיגן
Q1168	צ'האטיסגאר
Q1171	גואה
Q1173	בורגון
Q1174	הריאנה
Q1177	הימאצ'ל פרדש
Q1179	אקיטן
Q1180	ג'אמו וקשמיר
Q1183	פוארטו ריקו
Q1184	ג'הרקאנד
Q1185	קרנאטקה
Q1186	קרלה
Q1188	מאדהיה פרדש
Q1191	מהאראשטרה
Q1192	ז'אן-בטיסט לולי
Q1193	מניפור
Q1194	שלזוויג-הולשטיין
Q1195	מגהלאיה
Q1196	מקלנבורג-מערב פומרניה
Q1197	סקסוניה התחתונה
Q1198	נורדריין-וסטפאליה
Q1199	הסן
Q1200	ריינלנד-פפאלץ
Q1202	סקסוניה
Q1204	אילינוי
Q1205	תורינגיה
Q1206	סקסוניה-אנהלט
Q1207	דקוטה הצפונית
Q1208	ברנדנבורג
Q1209	ברמן
Q1210	לומברדיה
Q1211	דקוטה הדרומית
Q1212	מונטנה
Q1214	ויומינג
Q1216	פיימונטה
Q1218	ירושלים
Q1221	איידהו
Q1222	ואל ד'אוסטה
Q1223	וושינגטון
Q1224	קרלו אזליו צ'אמפי
Q1225	ברוס ספרינגסטין
Q1227	נבדה
Q1231	קוסובו
Q1237	טרנטינו-אלטו אדיג'ה
Q1239	האוקיינוס ההודי
Q1243	ונטו
Q1246	קוסובו
Q1252	האסיום
Q1256	ליגוריה
Q1260	קורט ולדהיים
Q1261	קולורדו
Q1263	אמיליה-רומאניה
Q1273	טוסקנה
Q1276	לאונרד כהן
Q1279	מארקה
Q1282	לאציו
Q1284	אברוצו
Q1286	הרי האלפים
Q1288	הרי הקרפטים
Q1289	גרנובל
Q1290	בלז פסקל
Q1295	דורטמונד
Q1296	גנט
Q1297	שיקגו
Q1299	הביטלס
Q1301	ניהוניום
Q1308	קומו
Q1310	ארנהם
Q1321	ספרדית
Q1335	מונטווידאו
Q1339	יוהאן סבסטיאן באך
Q1340	אנטוניו ויוואלדי
Q1341	טוליאטי
Q1342	פיטסבורג
Q1344	אופרה
Q1345	פילדלפיה
Q1348	קולקטה
Q1352	צ'נאי
Q1353	דלהי
Q1354	דאקה
Q1355	בנגלור
Q1356	מערב בנגל
Q1361	היידראבאד
Q1362	אסלאמאבאד
Q1363	טריפורה
Q1364	פרי
Q1370	וירג'יניה
Q1371	וירג'יניה המערבית
Q1382	פיראן
Q1384	ניו יורק
Q1387	רוד איילנד
Q1391	מרילנד
Q1393	דלאוור
Q1394	ולדימיר איליץ' לנין
Q1397	אוהיו
Q1398	ורגיליוס
Q1400	פנסילבניה
Q1402	ג'ובאני בוקאצ'ו
Q1406	Microsoft Windows
Q1408	ניו ג'רזי
Q1410	גיברלטר
Q1412	פינית
Q1415	אינדיאנה
Q1418	נוקיה
Q1420	מכונית
Q1425	טראיאנוס
Q1428	ג'ורג'יה
Q1435	זאגרב
Q1437	ראג'סטאן
Q1438	קמפניה
Q1439	טקסס
Q1444	עוגב
Q1445	טאמיל נאדו
Q1447	פוליה
Q1449	ג'נובה
Q1452	בזיליקטה
Q1454	קרוליינה הצפונית
Q1456	קרוליינה הדרומית
Q1458	קלבריה
Q1460	סיציליה
Q1461	מנילה
Q1462	סרדיניה
Q1467	סבו סיטי
Q1469	לואר
Q1471	סן
Q1475	קזון סיטי
Q1476	לה מאן
Q1479	בורדו
Q1484	מאיון
Q1486	בואנוס איירס
Q1489	מקסיקו סיטי
Q1490	טוקיו
Q1491	לה פאס
Q1492	ברצלונה
Q1494	מיסיסיפי
Q1498	אוטר פרדש
Q1499	אוטראקהאנד
Q1502	מיזוראם
Q1505	סיקים
Q1508	מקאטי
Q1509	טנסי
Q1511	ריכרד וגנר
Q1515	אביג'אן
Q1519	אבו דאבי
Q1520	נור-סולטן
Q1522	ניו מקסיקו
Q1523	רעמסס השני
Q1524	אתונה
Q1527	מינסוטה
Q1530	בגדאד
Q1533	קראקס
Q1537	ויסקונסין
Q1538	פונה
Q1546	איווה
Q1553	נברסקה
Q1555	גואטמלה סיטי
Q1558	קנזס
Q1563	הוואנה
Q1566	טבק
Q1568	הינדי
Q1571	מראטהית
Q1575	אינטרנט אקספלורר
Q1581	מיזורי
Q1588	לואיזיאנה
Q1599	נאגאלנד
Q1603	קנטקי
Q1612	ארקנסו
Q1617	אורדו
Q1640	אוסייק
Q1643	טאגיג
Q1644	אלבה
Q1647	רייקה
Q1649	אוקלהומה
Q1653	דנובה
Q1663	ספליט
Q1666	ז'אק ברל
Q1697	מחוז מוסקבה
Q1698	סרז' גינסבורג
Q1707	קיל
Q1709	שוורין
Q1711	פוטסדאם
Q1715	הנובר
Q1718	דיסלדורף
Q1720	מיינץ
Q1721	ויסבאדן
Q1722	דוברובניק
Q1724	זארבריקן
Q1726	מינכן
Q1729	ארפורט
Q1731	דרזדן
Q1733	מגדבורג
Q1734	כדורעף
Q1735	אינסברוק
Q1741	וינה
Q1748	קופנהגן
Q1754	סטוקהולם
Q1757	הלסינקי
Q1761	דבלין
Q1763	מורמנסק
Q1764	רייקיאוויק
Q1768	אלה פיצג'רלד
Q1770	טאלין
Q1773	ריגה
Q1779	לואי ארמסטרונג
Q1780	ברטיסלאבה
Q1781	בודפשט
Q1785	שארל אזנבור
Q1792	גדנסק
Q1794	פרנקפורט
Q1799	ורוצלב
Q1800	קוצ'י
Q1803	גורדיאנוס השני
Q1805	בלבינוס
Q1813	סן טרופה
Q1823	אצ'ה
Q1827	יין אדום
Q1829	קלינינגרד
Q1834	מחברת המוות
Q1835	זינדין זידאן
Q1841	נצרות קתולית
Q1842	לוקסמבורג
Q1844	ואדוץ
Q1845	ביבליה
Q1846	הולמיום
Q1850	פנום פן
Q1854	הו צ'י מין סיטי
Q1858	האנוי
Q1860	אנגלית
Q1861	בנגקוק
Q1863	אנדורה לה ולה
Q1865	קואלה לומפור
Q1867	טאיפיי
Q1874	אודסה
Q1880	קונספסיון
Q1889	דיפלומטיה
Q1891	בולוניה
Q1895	פטרוזבודסק
Q1897	קליארי
Q1899	קייב
Q1903	קטניה
Q1904	אונטריו
Q1910	יוהאן קבאי
Q1914	קרליה
Q1928	חאתם בן ערפה
Q1930	אוטווה
Q1943	אבו דיאבי
Q1948	מניטובה
Q1951	אלברטה
Q1952	נובה סקוטיה
Q1953	ירוואן
Q1957	וולוגדה
Q1960	דאר א-סלאם
Q1963	ח'רטום
Q1965	ניו ברנזוויק
Q1974	קולומביה הבריטית
Q1979	אי הנסיך אדוארד
Q1980	סטאד דה ז'רלן
Q1989	ססקצ'ואן
Q1997	פחמן דו-חמצני
Q2003	ניופאונדלנד ולברדור
Q2007	הטריטוריות הצפון-מערביות
Q2009	יוקון
Q2022	צ'זארה פבזה
Q2023	נונאווט
Q2025	פחמן חד-חמצני
Q2028	ורונה
Q2044	פירנצה
Q2066	אסן
Q2073	רפובליקת קומי
Q2079	לייפציג
Q2090	נירנברג
Q2096	אדמונטון
Q2100	דיסבורג
Q2103	בוכום
Q2107	וופרטל
Q2119	מנהיים
Q2123	רג'יינה
Q2131	מטרופולין סנטיאגו
Q2132	ויקטוריה
Q2135	ויניפג
Q2140	צפון סומטרה
Q2141	הליפקס
Q2145	קוויבק סיטי
Q2161	טקיטוס
Q2164	הניינץ
Q2167	לונד
Q2184	רוסיה הסובייטית
Q2185	ז'ורז' פומפידו
Q2190	קולוש
Q2203	אריקה
Q2254	טלמרק
Q2256	ברמינגהאם
Q2270	בנזן
Q2277	האימפריה הרומית
Q2280	מינסק
Q2283	מיקרוסופט
Q2306	פינק פלויד
Q2329	כימיה
Q2331	לד זפלין
Q2346	כימיה אנליטית
Q2347	סמולנסק
Q2409	חומצת מימן כלורי
Q2423	ירוסלבל
Q2449	מוגדישו
Q2462	מימן יודי
Q2467	נסאו
Q2471	צנעא
Q2492	קונרד אדנאואר
Q2494	בנדיקטוס השישה עשר
Q2514	וילי ברנדט
Q2516	הלמוט שמידט
Q2518	הלמוט קוהל
Q2539	למידת מכונה
Q2546	אשלגן ברומי
Q2598	ווטפורד
Q2599	פול מקרטני
Q2604	פיוס השנים עשר
Q2628	ולטר אולבריכט
Q2630	איוואנובו
Q2634	נאפולי
Q2643	ג'ורג' האריסון
Q2656	פלרמו
Q2678	הומל
Q2683	פארמה
Q2684	ולדימיר
Q2704	פסקארה
Q2706	ברמרהאפן
Q2736	כדורגל
Q2742	מינסטר
Q2743	מחזמר
Q2746	ריאזאן
Q2749	אאוגסבורג
Q2750	בורביל
Q2751	סיינה
Q2758	מנשנגלדבך
Q2765	גלזנקירכן
Q2766	אייפון
Q2768	טורינו
Q2773	בראונשווייג
Q2790	אודינה
Q2792	טולה
Q2795	קמניץ
Q2796	IPad
Q2801	בריאנסק
Q2805	קרפלד
Q2807	מדריד
Q2810	מחוז בריאנסק
Q2811	צוללת
Q2814	האלה
Q2831	מייקל ג'קסון
Q2833	פרייבורג
Q2837	קלוגה
Q2841	בוגוטה
Q2842	מחוז קלוגה
Q2843	ליבק
Q2844	ברזיליה
Q2861	רוסטוק
Q2865	קאסל
Q2868	לימה
Q2871	האגן
Q2879	הפרובינציות והטריטוריות של קנדה
Q2887	סנטיאגו דה צ'ילה
Q2895	הרפובליקה הסובייטית הסוציאליסטית הבלארוסית
Q2899	מילהיים על הרוהר
Q2900	קיטו
Q2907	סוקרה
Q2910	לודוויגסהאפן
Q2933	אסונסיון
Q2936	אולדנבורג
Q2938	לברקוזן
Q2966	היידלברג
Q2971	פדרבורן
Q2973	דרמשטאדט
Q2977	קתדרלה
Q2978	רגנסבורג
Q2999	וירצבורג
Q3001	פרמריבו
Q3002	פאלאס
Q3004	אינגולשטאדט
Q3012	אולם
Q3013	iCarly
Q3014	וולפסבורג
Q3033	גטינגן
Q3037	קטמנדו
Q3042	אופנבך
Q3043	בלמופן
Q3044	קרל הגדול
Q3046	פפורצהיים
Q3048	שארל מוראס
Q3068	הלואר האטלנטי
Q3070	סן חוסה
Q3083	אן
Q3085	רויטלינגן
Q3110	סן סלוודור
Q3114	קנברה
Q3118	אוריול
Q3125	האלפים העליונים
Q3129	מחוז אוריול
Q3130	סידני
Q3131	האלפים של פרובאנס עילית
Q3133	ירוק
Q3138	טריר
Q3139	האלפים הימיים
Q3141	מלבורן
Q3142	אדום
Q3150	ינה
Q3167	זיגן
Q3183	פרת'
Q3184	ארייז'
Q3185	הילדסהיים
Q3200	זלצגיטר
Q3203	הירחים הגליליאניים
Q3206	אוסטרליה המערבית
Q3207	אוד
Q3224	ניו סאות' ויילס
Q3230	אטמוספירת כדור הארץ
Q3235	הטריטוריה הצפונית
Q3238	טגוסיגלפה
Q3258	טריטוריית הבירה האוסטרלית
Q3274	מנגואה
Q3302	טראבה
Q3306	פנמה סיטי
Q3323	בלגורוד
Q3327	לורד
Q3337	הרובע הראשון של ליון
Q3344	הרובע השני של ליון
Q3348	הרובע השלישי של ליון
Q3351	הרובע הרביעי של ליון
Q3354	הרובע החמישי של ליון
Q3358	הרובע השישי של ליון
Q3360	הרובע השביעי של ליון
Q3364	דרום
Q3366	הרובע התשיעי של ליון
Q3368	אסון
Q3375	צוגשפיצה
Q3376	טרנטו
Q3388	גרוסגלוקנר
Q3392	נילוס
Q3409	סיריוס
Q3410	הרטפורדשייר
Q3415	אנקונה
Q3426	וורונז'
Q3428	בונסברג
Q3437	פרוג'ה
Q3492	סומטרה
Q3497	קמפובאסו
Q3519	בארי
Q3532	המל המפסטיד
Q3540	באנטן
Q3542	ניז'ר
Q3543	פוטנצה
Q3551	רבאט
Q3557	יאוה המרכזית
Q3559	שביט
Q3561	אלג'יר
Q3572	תוניס
Q3579	טריפולי
Q3581	רואן
Q3586	מזרח ג'אווה
Q3604	ג'יבוטי
Q3616	טהראן
Q3617	קרלובץ
Q3624	אדיס אבבה
Q3630	ג'קרטה
Q3640	אנקרה
Q3642	אסמרה
Q3659	נג'מנה
Q3674	ניאמיי
Q3680	מחוז קרסנודאר
Q3685	קלמה
Q3688	נואקשוט
Q3692	ריאד
Q3703	במקו
Q3711	בלגרד
Q3718	דקר
Q3724	מערב ג'אווה
Q3726	בנג'ול
Q3733	קונאקרי
Q3734	אדיגיה
Q3739	ביסאו
Q3748	מונרוביה
Q3750	גרה
Q3751	פראיה
Q3757	ג'אווה
Q3761	אקרה
Q3764	ויטן
Q3766	דמשק
Q3769	גיאנה הצרפתית
Q3777	ואגאדוגו
Q3778	צוויקאו
Q3783	אמזונאס
Q3787	אבוג'ה
Q3792	לומה
Q3798	פלנסבורג
Q3799	פורטו נובו
Q3805	עמאן
Q3806	טיבינגן
Q3816	ז'ורז' סאנד
Q3818	מלאבו
Q3820	ביירות
Q3825	ליברוויל
Q3826	מסקט
Q3827	איי מאלוקו
Q3838	קינשאסה
Q3840	פלברט
Q3844	ברזוויל
Q3852	וורמס
Q3856	ניקוסיה
Q3859	קיגאלי
Q3861	דוחה
Q3863	אסטרואיד
Q3866	דודומה
Q3869	מרבורג
Q3870	ניירובי
Q3876	לילונגווה
Q3881	לוסקה
Q3882	מנאמה
Q3884	אמזון
Q3889	מפוטו
Q3894	קמפלה
Q3897	לואנדה
Q3898	קאסטרופ-ראוקסל
Q3904	מבבנה
Q3907	דלמנהורסט
Q3908	גליסיה
Q3911	אלברט השני, מלך הבלגים
Q3915	אנטננריבו
Q3916	מערב קלימנטן
Q3918	אוניברסיטה
Q3919	גאבורון
Q3921	הארארה
Q3922	דטמולד
Q3926	פרטוריה
Q3927	אסטרחן
Q3929	פור לואי
Q3930	טניס שולחן
Q3931	ברנדנבורג
Q3932	סאו טומה
Q3934	אסטוריאס
Q3935	וינדהוק
Q3940	ויקטוריה
Q3942	אשאפנבורג
Q3949	אונה
Q3950	וילה
Q3953	קלמיקיה
Q3955	ויימאר
Q3957	עיירה
Q3960	אוסטרליה
Q3962	מחשב נייד
Q3968	אלגברה
Q3992	לייז'
Q3994	קאמפטן
Q3995	חבל הבסקים
Q4007	רוזנהיים
Q4018	נווארה
Q4021	אנטומיה של הצמח
Q4022	נהר
Q4024	פרנקפורט על האודר
Q4030	דיוק אלינגטון
Q4037	שוואביש גמונד
Q4040	אראגון
Q4051	פרידריכסהאפן
Q4061	וודי גאת'רי
Q4065	שטרלזונד
Q4077	גרליץ
Q4082	האטינגן
Q4087	אמוניה
Q4091	פוג'יירה
Q4093	גלאזגו
Q4098	גרייפסוואלד
Q4118	חומצה גופרתית
Q4119	אדם קרולה
Q4122	וולפנביטל
Q4127	ימת קונסטנץ
Q4128	לואי אראגון
Q4130	מסלול כבידתי
Q4131	המילטון
Q4165	באד הומבורג
Q4169	חלל
Q4176	קתדרלת קלן
Q4178	וצלר
Q4182	מכון ויצמן למדע
Q4191	לוצרן
Q4213	טלסקופ
Q4261	מישל פלאטיני
Q4264	מרקוסור
Q4287	מרגרינה
Q4295	פייר אבלר
Q4341	פרימוריה
Q4361	קוריטיבה
Q4396	סבובודה
Q4398	פנגיאה
Q4409	סינקלייר (חברה)
Q4421	יער
Q4425	אייגר
Q4443	פיוס השמיני
Q4454	חברובסק
Q4508	חיל ים
