sentence,prediction,gold_inflection,is_same,gold_original,is_same,log_prob
[CLS] [ DEF:2 ; X ] 65 Κυβέλη:5 πήρε το όνομά του από την Κυβέλη:5 . [SEP],Κυβέλη:5,Κυβέλη:5,1,Κυβέλη:5,1,-0.02323
[CLS] [ DEF:2 ; X ] 1309 Υπερβορεία:5 πήρε το όνομά του από το Υπερβορεία:5 . [SEP],Υπερβορεία:5,Υπερβορεία:5,1,Υπερβορεία:5,1,-0.04816
[CLS] [ DEF:2 ; X ] Πανεπιστήμιο Ζαν:2 Μουλέν:4 Λυών:3 3 πήρε το όνομά του από τον Ζαν:2 Μουλέν:4 . [SEP],Ζαν:2 Μουλέν:4,Ζαν:2 Μουλέν:4,1,Ζαν:2 Μουλέν:4,1,-0.00936
[CLS] [ DEF:2 ; X ] Λαβή:4 Χάιμλιχ:6 πήρε το όνομά του από τον Χένρι:3 Χάιμλιχ:6 . [SEP],Χένρι:3 Χάιμλιχ:6,Χένρι:3 Χάιμλιχ:6,1,Χένρι:3 Χάιμλιχ:6,1,-0.15913
[CLS] [ DEF:2 ; X ] Κήποι:4 Φαρνέζε:6 πήρε το όνομά του από τον Αλεσσάντρο:6 Φαρνέζε:6 . [SEP],Αλεσσάντρο:6 Φαρνέζε:6,Αλεσσάντρο:6 Φαρνέζε:6,1,Αλεσσάντρο:6 Φαρνέζε:6,1,-0.92067
[CLS] [ DEF:2 ; X ] Κλίμακα:5 Μερκάλι:4 πήρε το όνομά του από τον Τζουζέπε:6 Μερκάλι:4 . [SEP],Τζουζέπε:6 Μερκάλι:4,Τζουζέπε:6 Μερκάλι:4,1,Τζουζέπε:6 Μερκάλι:4,1,-1.39554
[CLS] [ DEF:2 ; X ] Άμποτ:4 πήρε το όνομά του από τον Τσαρλς:5 Άμποτ:4 . [SEP],Τσαρλς:5 Άμποτ:4,Τσαρλς:5 Άμποτ:4,1,Τσαρλς:5 Άμποτ:4,1,-0.62634
[CLS] [ DEF:2 ; X ] Κολλέγιο:6 Τσόρτσιλ:5 πήρε το όνομά του από τον Ουίνστον:5 Τσώρτσιλ:6 . [SEP],Ουίνστον:5 Τσώρτσιλ:6,Ουίνστον:5 Τσώρτσιλ:6,1,Ουίνστον:5 Τσώρτσιλ:6,1,-0.93291
[CLS] [ DEF:2 ; X ] θόριο:3 πήρε το όνομά του από τον Θωρ:3 . [SEP],Θωρ:3,Θωρ:3,1,Θωρ:3,1,-6.85873
[CLS] [ DEF:2 ; X ] 260 Ουμβέρτα:6 πήρε το όνομά του από τον Ουμβέρτο:6 . [SEP],Ουμβέρτο:6,Ουμβέρτο:6,1,Ουμβέρτος:6,0,-0.53283
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Αντνάν:4 Μεντερές:4 πήρε το όνομά του από τον Αντνάν:4 Μεντερέ:4 . [SEP],Αντνάν:4 Μεντερέ:4,Αντνάν:4 Μεντερέ:4,1,Αντνάν:4 Μεντερές:4,0,-1.00978
[CLS] [ DEF:2 ; X ] Τάγμα:3 του Αγίου Αυγουστίνου:5 πήρε το όνομά του από τον Αυγουστίνο:5 . [SEP],Αυγουστίνο:5,Αυγουστίνο:5,1,Αυγουστίνος:5 Ιππώνος:5,0,-0.19530
[CLS] [ DEF:2 ; X ] νόμος:3 του Χαμπλ:5 πήρε το όνομά του από τον Έντγουιν:4 Χαμπλ:5 . [SEP],Έντγουιν:4 Χαμπλ:5,Έντγουιν:4 Χαμπλ:5,1,Έντγουιν:4 Χαμπλ:5,1,-0.79665
[CLS] [ DEF:2 ; X ] USS Wasp:2 πήρε το όνομά του από το USS Wasp:2 ( CV - 7 ) . [SEP],USS Wasp:2 ( CV - 7 ),USS Wasp:2 ( CV - 7 ),1,USS Wasp:2 ( CV - 7 ),1,-0.62284
[CLS] [ DEF:2 ; X ] Κύμα:3 Rayleigh:2 πήρε το όνομά του από τον Τζον:3 Ουίλιαμ:5 Στρατ:3 . [SEP],Τζον:3 Ουίλιαμ:5 Στρατ:3,Τζον:3 Ουίλιαμ:5 Στρατ:3,1,Τζον:3 Ουίλιαμ:5 Στρατ:3,1,-0.92645
[CLS] [ DEF:2 ; X ] δημοτική:4 ενότητα:2 Ολύμπου:5 Ελασσόνας:5 πήρε το όνομά του από το Όλυμπος:5 . [SEP],Όλυμπος:5,Όλυμπος:5,1,Όλυμπος:5,1,-1.32099
[CLS] [ DEF:2 ; X ] Κέλυφος:5 Τόμσον:4 πήρε το όνομά του από τον Κεν:2 Τόμσον:4 . [SEP],Κεν:2 Τόμσον:4,Κεν:2 Τόμσον:4,1,Κεν:2 Τόμσον:4,1,-1.27720
[CLS] [ DEF:2 ; X ] Κρουασί:5 - συρ:3 - Σεν:2 πήρε το όνομά του από το Σηκουάνα:6 . [SEP],Σηκουάνα:6,Σηκουάνα:6,1,Σηκουάνας:6,0,-3.27665
[CLS] [ DEF:2 ; X ] Διοφαντική:5 εξίσωση:5 πήρε το όνομά του από τον Διόφαντο:6 . [SEP],Διόφαντο:6,Διόφαντο:6,1,Διόφαντος:6,0,-0.67647
[CLS] [ DEF:2 ; X ] βραβείο:2 Ρομπέρ:5 Σουμάν:4 πήρε το όνομά του από τον Ρομπέρ:5 Σουμάν:4 . [SEP],Ρομπέρ:5 Σουμάν:4,Ρομπέρ:5 Σουμάν:4,1,Ρομπέρ:5 Σουμάν:4,1,-0.00511
[CLS] [ DEF:2 ; X ] αεροπλανοφόρο:9 κλάσης:3 Midway πήρε το όνομά του από το USS Midway . [SEP],USS Midway,USS Midway,1,USS Midway,1,-1.64408
[CLS] [ DEF:2 ; X ] Γκρίνουιτς:6 πήρε το όνομά του από το Γκρίνουιτ:6 . [SEP],Γκρίνουιτ:6,Γκρίνουιτ:6,1,Γκρίνουιτς:6,0,-0.77260
[CLS] [ DEF:2 ; X ] Linux πήρε το όνομά του από το Πυρήνας:4 Linux . [SEP],Πυρήνας:4 Linux,Πυρήνας:4 Linux,1,Πυρήνας:4 Linux,1,-1.11325
[CLS] [ DEF:2 ; X ] Λοτ:3 πήρε το όνομά του από το Λοτ:3 . [SEP],Λοτ:3,Λοτ:3,1,Λοτ:3,1,-0.27829
[CLS] [ DEF:2 ; X ] 363 Πάδουα:4 πήρε το όνομά του από το Πάντοβα:4 . [SEP],Πάντοβα:4,Πάντοβα:4,1,Πάντοβα:4,1,-3.42004
[CLS] [ DEF:2 ; X ] 1991 Δαρβίνος:5 πήρε το όνομά του από τον Κάρολο:4 . [SEP],Κάρολο:4,Κάρολο:4,1,Κάρολος:4 Δαρβίνος:5,0,-0.19601
[CLS] [ DEF:2 ; X ] Καλίνινγκραντ:9 πήρε το όνομά του από τον Μιχαήλ:4 Καλίνιν:6 . [SEP],Μιχαήλ:4 Καλίνιν:6,Μιχαήλ:4 Καλίνιν:6,1,Μιχαήλ:4 Καλίνιν:6,1,-0.02604
[CLS] [ DEF:2 ; X ] Επιστημονικό:6 Κέντρο:3 Κοπέρνικος:6 πήρε το όνομά του από τον Νικόλαο:4 . [SEP],Νικόλαο:4,Νικόλαο:4,1,Νικόλαος:4 Κοπέρνικος:6,0,-0.39700
[CLS] [ DEF:2 ; X ] Πον:2 ντε Νεϊγί:5 πήρε το όνομά του από το Γέφυρα:5 τουϊγί:4 . [SEP],Γέφυρα:5 τουϊγί:4,Γέφυρα:5 τουϊγί:4,1,Γέφυρα:5 του Νεϊγί:5,0,-2.09365
[CLS] [ DEF:2 ; X ] νιόβιο:5 πήρε το όνομά του από την Νιόβη:4 . [SEP],Νιόβη:4,Νιόβη:4,1,Νιόβη:4,1,-1.42158
[CLS] [ DEF:2 ; X ] Θεώρημα:4 Άροου:3 πήρε το όνομά του από τον Κένεθ:4 Άροου:3 . [SEP],Κένεθ:4 Άροου:3,Κένεθ:4 Άροου:3,1,Κένεθ:4 Άροου:3,1,-1.63463
[CLS] [ DEF:2 ; X ] Γκαιτίτης:5 πήρε το όνομά του από τον Γιόχαν:4 Βόλφγκαν:6 . [SEP],Γιόχαν:4 Βόλφγκαν:6,Γιόχαν:4 Βόλφγκαν:6,1,Γιόχαν:4 Βόλφγκανγκ:7 Γκαίτε:4,0,-1.70502
[CLS] [ DEF:2 ; X ] Αεροδρόμιο:6 Νις:2 Κωνσταντίνος:5 ο Μέγας:4 πήρε το όνομά του από τον Κωνσταντίνος:5 Α΄ . [SEP],Κωνσταντίνος:5 Α΄,Κωνσταντίνος:5 Α΄,1,Κωνσταντίνος:5 Α΄,1,-0.64680
[CLS] [ DEF:2 ; X ] Κένταυρος:5 πήρε το όνομά του από το Κένταυρο:5 . [SEP],Κένταυρο:5,Κένταυρο:5,1,Κένταυρος:5,0,-0.50034
[CLS] [ DEF:2 ; X ] Νόμος:3 του Μπερνούλι:5 πήρε το όνομά του από τον Ντάνιελ:4 Μπερνούλι:5 . [SEP],Ντάνιελ:4 Μπερνούλι:5,Ντάνιελ:4 Μπερνούλι:5,1,Ντάνιελ:4 Μπερνούλι:5,1,-0.62725
[CLS] [ DEF:2 ; X ] 2060:2 Χείρων:3 πήρε το όνομά του από τον Χείρων:3 . [SEP],Χείρων:3,Χείρων:3,1,Χείρων:3,1,-0.09916
[CLS] [ DEF:2 ; X ] Οσάκα:4 πήρε το όνομά του από το Οσάκα:4 . [SEP],Οσάκα:4,Οσάκα:4,1,Οσάκα:4,1,-0.07345
[CLS] [ DEF:2 ; X ] Επαρχία:3 Νιάσα:3 πήρε το όνομά του από το Λίμνη:4 Νιάσα:3 . [SEP],Λίμνη:4 Νιάσα:3,Λίμνη:4 Νιάσα:3,1,Λίμνη:4 Νιάσα:3,1,-0.88614
[CLS] [ DEF:2 ; X ] Λουάρ:4 - Ατλαντίκ:5 πήρε το όνομά του από το Ατλαντικό:4 . [SEP],Ατλαντικό:4,Ατλαντικό:4,1,Ατλαντικός:4 Ωκεανός:4,0,-0.49194
[CLS] [ DEF:2 ; X ] 2606:2 Οδησσός:5 πήρε το όνομά του από το Οδησσό:4 . [SEP],Οδησσό:4,Οδησσό:4,1,Οδησσός:5,0,-0.01918
[CLS] [ DEF:2 ; X ] 1980 Τεζκατλιπόκα:9 πήρε το όνομά του από τον Τεζκατλιπόκα:9 . [SEP],Τεζκατλιπόκα:9,Τεζκατλιπόκα:9,1,Τεζκατλιπόκα:9,1,-0.02598
[CLS] [ DEF:2 ; X ] Τάγμα:3 της Αγίας:2 Άννης:3 πήρε το όνομά του από την Αγία:2 Άννα:3 . [SEP],Αγία:2 Άννα:3,Αγία:2 Άννα:3,1,Αγία:2 Άννα:3,1,-0.94568
[CLS] [ DEF:2 ; X ] Ακτινοβολία:6 Χώκινγκ:5 πήρε το όνομά του από τον Στήβεν:4 Χόκινγκ:5 . [SEP],Στήβεν:4 Χόκινγκ:5,Στήβεν:4 Χόκινγκ:5,1,Στήβεν:4 Χόκινγκ:5,1,-1.01367
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 Ντάλες:3 της Ουάσινγκτον:7 πήρε το όνομά του από το Ουάσινγκτον:7 . [SEP],Ουάσινγκτον:7,Ουάσινγκτον:7,1,Ουάσινγκτον:7,1,-0.00513
[CLS] [ DEF:2 ; X ] Ωδείο:3 του Καζάν:4 πήρε το όνομά του από τον Νατζίπ:6 Τσιχάνοφ:6 . [SEP],Νατζίπ:6 Τσιχάνοφ:6,Νατζίπ:6 Τσιχάνοφ:6,1,Νατζίπ:6 Τσιχάνοφ:6,1,-2.31139
[CLS] [ DEF:2 ; X ] madame:3 tussads:3 πήρε το όνομά του από την Μαρί:4 Τισό:3 . [SEP],Μαρί:4 Τισό:3,Μαρί:4 Τισό:3,1,Μαρί:4 Τισό:3,1,-3.32661
[CLS] [ DEF:2 ; X ] Περιοχή:4 Ρήνου:3 - Μάιν:3 πήρε το όνομά του από το Ρήνο:3 . [SEP],Ρήνο:3,Ρήνο:3,1,Ρήνος:3,0,-0.46278
[CLS] [ DEF:2 ; X ] Ομηρικοί:4 Ύμνοι:4 πήρε το όνομά του από τον Όμηρος:3 . [SEP],Όμηρος:3,Όμηρος:3,1,Όμηρος:3,1,-1.68098
[CLS] [ DEF:2 ; X ] Αρπάγη:5 του Αρχιμήδη:6 πήρε το όνομά του από τον Αρχιμήδη:6 . [SEP],Αρχιμήδη:6,Αρχιμήδη:6,1,Αρχιμήδης:6,0,-0.01052
[CLS] [ DEF:2 ; X ] HMS King George V πήρε το όνομά του από τον Γεώργιος Ε΄:2 του Ηνωμένου:3 Βασιλείου:4 . [SEP],Γεώργιος Ε΄:2 του Ηνωμένου:3 Βασιλείου:4,Γεώργιος Ε΄:2 του Ηνωμένου:3 Βασιλείου:4,1,Γεώργιος Ε΄:2 του Ηνωμένου:3 Βασιλείου:4,1,-0.49508
[CLS] [ DEF:2 ; X ] Θεώρημα:4 Gauss - Markov:2 πήρε το όνομά του από τον Αντρέι:5 Μάρκοφ:5 . [SEP],Αντρέι:5 Μάρκοφ:5,Αντρέι:5 Μάρκοφ:5,1,Αντρέι:5 Μάρκοφ:5,1,-0.68981
[CLS] [ DEF:2 ; X ] 2094:2 Μαγκνίτκα:7 πήρε το όνομά του από το Μαγκνιτογκόρσκ:10 . [SEP],Μαγκνιτογκόρσκ:10,Μαγκνιτογκόρσκ:10,1,Μαγκνιτογκόρσκ:10,1,-2.28280
[CLS] [ DEF:2 ; X ] Σταθμός:3 Γκαρ:3 ντε Λυών:3 πήρε το όνομά του από το Γκαρ:3 ντε Λυών:3 . [SEP],Γκαρ:3 ντε Λυών:3,Γκαρ:3 ντε Λυών:3,1,Γκαρ:3 ντε Λυών:3,1,-0.02276
[CLS] [ DEF:2 ; X ] Σαν:2 Κάρλο:4 άλλε:3 Κουάτρο:4 Φοντάνε:4 πήρε το όνομά του από τον Κάρλο:4 Μπορρομέο:7 . [SEP],Κάρλο:4 Μπορρομέο:7,Κάρλο:4 Μπορρομέο:7,1,Κάρλο:4 Μπορρομέο:7,1,-1.66500
[CLS] [ DEF:2 ; X ] Καθεδρικός:6 του Ουίντσεστερ:7 πήρε το όνομά του από το Αγία:2 Τριάδα:3 . [SEP],Αγία:2 Τριάδα:3,Αγία:2 Τριάδα:3,1,Αγία:2 Τριάδα:3,1,-0.44421
[CLS] [ DEF:2 ; X ] HMS Nelson πήρε το όνομά του από τον Οράτιος:4 Νέλσον:4 . [SEP],Οράτιος:4 Νέλσον:4,Οράτιος:4 Νέλσον:4,1,Οράτιος:4 Νέλσον:4,1,-2.49874
[CLS] [ DEF:2 ; X ] Toyota πήρε το όνομά του από τον Τογιόντα:5 Κιιχίρο:6 . [SEP],Τογιόντα:5 Κιιχίρο:6,Τογιόντα:5 Κιιχίρο:6,1,Τογιόντα:5 Κιιχίρο:6,1,-3.81696
[CLS] [ DEF:2 ; X ] Καντόνι:4 της Μπάζελ:5 - Στατ:2 πήρε το όνομά του από το Βασιλεία:4 . [SEP],Βασιλεία:4,Βασιλεία:4,1,Βασιλεία:4,1,-1.11253
[CLS] [ DEF:2 ; X ] Περιφέρεια:5 Ντοντόμα:4 πήρε το όνομά του από το Ντοντόμα:4 . [SEP],Ντοντόμα:4,Ντοντόμα:4,1,Ντοντόμα:4,1,-0.01209
[CLS] [ DEF:2 ; X ] Γκολό:3 πήρε το όνομά του από το Γκολό:3 . [SEP],Γκολό:3,Γκολό:3,1,Γκολό:3,1,-0.13006
[CLS] [ DEF:2 ; X ] 20461:3 Διόρετσα:7 πήρε το όνομά του από το αστεροειδή:6 . [SEP],αστεροειδή:6,αστεροειδή:6,1,αστεροειδής:7,0,-0.01518
[CLS] [ DEF:2 ; X ] Γεωργιανή:6 αρχιτεκτονική:8 πήρε το όνομά του από το Γεωργιανή:6 εποχή . [SEP],Γεωργιανή:6 εποχή,Γεωργιανή:6 εποχή,1,Γεωργιανή:6 εποχή,1,-1.51796
[CLS] [ DEF:2 ; X ] Βραβεία:4 Γκόγια:3 πήρε το όνομά του από τον Φρανθίσκο:6 Γκόγια:3 . [SEP],Φρανθίσκο:6 Γκόγια:3,Φρανθίσκο:6 Γκόγια:3,1,Φρανθίσκο:6 Γκόγια:3,1,-1.26308
[CLS] [ DEF:2 ; X ] Folk metal πήρε το όνομά του από το Χέβι:4 μέτικμο:5 . [SEP],Χέβι:4 μέτικμο:5,Χέβι:4 μέτικμο:5,1,Χέβι:4 μέταλ:4 μουσική,0,-4.19741
[CLS] [ DEF:2 ; X ] Διεθνές:5 Αεροδρόμιο:6 του Ελσίνκι:6 πήρε το όνομά του από το Βάνταα:3 . [SEP],Βάνταα:3,Βάνταα:3,1,Βάνταα:3,1,-6.24187
[CLS] [ DEF:2 ; X ] Mercedes - Benz πήρε το όνομά του από τον Καρά:2 . [SEP],Καρά:2,Καρά:2,1,Καρλ:4 Μπεντς:4,0,-7.16852
[CLS] [ DEF:2 ; X ] Χιροσίμα:6 ( νομός:3 ) πήρε το όνομά του από το Χιροσίμα:6 . [SEP],Χιροσίμα:6,Χιροσίμα:6,1,Χιροσίμα:6,1,-0.01409
[CLS] [ DEF:2 ; X ] Foch:2 πήρε το όνομά του από τον Φερντινάν:5 . [SEP],Φερντινάν:5,Φερντινάν:5,1,Φερντινάν:5 Φος:2,0,-3.58927
[CLS] [ DEF:2 ; X ] 90482:2 Όρκος:3 πήρε το όνομά του από τον Όρκος:3 . [SEP],Όρκος:3,Όρκος:3,1,Όρκος:3,1,-0.69092
[CLS] [ DEF:2 ; X ] 2797:2 Τεύκρος:5 πήρε το όνομά του από τον Τεύκρο:5 . [SEP],Τεύκρο:5,Τεύκρο:5,1,Τεύκρος:5,0,-0.71395
[CLS] [ DEF:2 ; X ] 1001 Γκαούσια:4 πήρε το όνομά του από τον ΚαρλΓ:5 . [SEP],ΚαρλΓ:5,ΚαρλΓ:5,1,Καρλ:4 Φρίντριχ:6 Γκάους:3,0,-4.32508
[CLS] [ DEF:2 ; X ] Λις:2 πήρε το όνομά του από το Λέιε:4 . [SEP],Λέιε:4,Λέιε:4,1,Λέιε:4,1,-3.06046
[CLS] [ DEF:2 ; X ] σαμάριο:4 πήρε το όνομά του από το Σαμαρσκίτη:8 . [SEP],Σαμαρσκίτη:8,Σαμαρσκίτη:8,1,Σαμαρσκίτης:8,0,-2.57302
[CLS] [ DEF:2 ; X ] Αντωνιάδης:4 πήρε το όνομά του από τον Ευγένιο:5 . [SEP],Ευγένιο:5,Ευγένιο:5,1,Ευγένιος:5 Αντωνιάδης:4,0,-1.65549
[CLS] [ DEF:2 ; X ] Γαλλία του Βισύ:4 πήρε το όνομά του από το Βισύ:4 . [SEP],Βισύ:4,Βισύ:4,1,Βισύ:4,1,-0.02228
[CLS] [ DEF:2 ; X ] Σάρλοτσβιλ:8 πήρε το όνομά του από την Καρλότα:5 του Μέκλενμπουργκ:9 - Στρέλιτζ:7 . [SEP],Καρλότα:5 του Μέκλενμπουργκ:9 - Στρέλιτζ:7,Καρλότα:5 του Μέκλενμπουργκ:9 - Στρέλιτζ:7,1,Καρλότα:5 του Μέκλενμπουργκ:9 - Στρέλιτζ:7,1,-1.47425
[CLS] [ DEF:2 ; X ] Άνω:2 Κορσική:4 πήρε το όνομά του από το Κορσική:4 . [SEP],Κορσική:4,Κορσική:4,1,Κορσική:4,1,-0.03691
[CLS] [ DEF:2 ; X ] LucasArts:3 πήρε το όνομά του από τον Τζορτζύθο:8 . [SEP],Τζορτζύθο:8,Τζορτζύθο:8,1,Τζορτζ:5 Λούκας:3,0,-2.87022
[CLS] [ DEF:2 ; X ] Δήμος:2 Παύλου:3 Μελά:2 πήρε το όνομά των από τον Παύλο:4 . [SEP],Παύλο:4,Παύλο:4,1,Παύλος:4 Μελάς:3,0,-0.12832
[CLS] [ DEF:2 ; X ] Χεττιτική:5 γλώσσα πήρε το όνομά του από το Χετταίοι:5 . [SEP],Χετταίοι:5,Χετταίοι:5,1,Χετταίοι:5,1,-1.96678
[CLS] [ DEF:2 ; X ] Πανεπιστήμιο της Νεμπράσκα:7 - Λίνκολν:6 πήρε το όνομά του από το Λίνκολν:6 . [SEP],Λίνκολν:6,Λίνκολν:6,1,Λίνκολν:6,1,-0.00549
[CLS] [ DEF:2 ; X ] Mac OS πήρε το όνομά του από το Λειτουργικό:5 σύστημα . [SEP],Λειτουργικό:5 σύστημα,Λειτουργικό:5 σύστημα,1,Λειτουργικό:5 σύστημα,1,-1.11368
[CLS] [ DEF:2 ; X ] Μακεδονία:5 πήρε το όνομά του από το Μακεδονία:5 . [SEP],Μακεδονία:5,Μακεδονία:5,1,Μακεδονία:5,1,-0.17827
[CLS] [ DEF:2 ; X ] Bon Jovi πήρε το όνομά του από τον Τζων:3 ΐζοβι:5 . [SEP],Τζων:3 ΐζοβι:5,Τζων:3 ΐζοβι:5,1,Τζων:3 Μπον:3 Τζόβι:5,0,-4.79056
[CLS] [ DEF:2 ; X ] Πυθαγόρειο:7 θεώρημα:4 πήρε το όνομά του από τον Πυθαγόρα:6 . [SEP],Πυθαγόρα:6,Πυθαγόρα:6,1,Πυθαγόρας:6,0,-0.74713
[CLS] [ DEF:2 ; X ] Καλβινισμός:7 πήρε το όνομά του από τον Ιω:2 . [SEP],Ιω:2,Ιω:2,1,Ιωάννης Καλβίνος:5,0,-3.07343
[CLS] [ DEF:2 ; X ] Εθνικό:2 Στρατιωτικό:5 Πανεπιστήμιο Βασίλ:5 Λέφσκι:5 πήρε το όνομά του από τον Βασίλ:5 Λέβσκι:5 . [SEP],Βασίλ:5 Λέβσκι:5,Βασίλ:5 Λέβσκι:5,1,Βασίλ:5 Λέβσκι:5,1,-0.65266
[CLS] [ DEF:2 ; X ] Ferrari Enzo Ferrari πήρε το όνομά του από τον Έντσο:3 Φερράρι:4 . [SEP],Έντσο:3 Φερράρι:4,Έντσο:3 Φερράρι:4,1,Έντσο:3 Φερράρι:4,1,-3.67407
[CLS] [ DEF:2 ; X ] 1524 Γιόενσουου:6 πήρε το όνομά του από το Γιόενσουου:6 . [SEP],Γιόενσουου:6,Γιόενσουου:6,1,Γιόενσουου:6,1,-0.05427
[CLS] [ DEF:2 ; X ] Εταιρεία:3 της Θούλης:3 πήρε το όνομά του από το Θούλη:3 . [SEP],Θούλη:3,Θούλη:3,1,Θούλη:3,1,-0.16722
[CLS] [ DEF:2 ; X ] Λενινισμός:5 πήρε το όνομά του από τον Βλαντίμιρ:6 Λένιν:3 . [SEP],Βλαντίμιρ:6 Λένιν:3,Βλαντίμιρ:6 Λένιν:3,1,Βλαντίμιρ:6 Λένιν:3,1,-0.46483
[CLS] [ DEF:2 ; X ] Πανεπιστήμιο του Γκέτινγκεν:7 πήρε το όνομά του από τον Γεώργιος Β΄ της Μεγάλης:4 Βρετανίας:5 . [SEP],Γεώργιος Β΄ της Μεγάλης:4 Βρετανίας:5,Γεώργιος Β΄ της Μεγάλης:4 Βρετανίας:5,1,Γεώργιος Β΄ της Μεγάλης:4 Βρετανίας:5,1,-0.27284
[CLS] [ DEF:2 ; X ] Δίσκος:4 της Φαιστού:4 πήρε το όνομά του από το Φαιστό:3 . [SEP],Φαιστό:3,Φαιστό:3,1,Φαιστός:4,0,-0.08988
[CLS] [ DEF:2 ; X ] 1289 Κουτάισι:5 πήρε το όνομά του από το Κουτάισι:5 . [SEP],Κουτάισι:5,Κουτάισι:5,1,Κουτάισι:5,1,-0.09297
[CLS] [ DEF:2 ; X ] Δυτική:2 Φραγκία:4 πήρε το όνομά του από το Φράγκοι:4 . [SEP],Φράγκοι:4,Φράγκοι:4,1,Φράγκοι:4,1,-1.06868
[CLS] [ DEF:2 ; X ] 1140 Κριμαία:4 πήρε το όνομά του από το Κριμέα:4 . [SEP],Κριμέα:4,Κριμέα:4,1,Κριμέα:4,1,-1.70919
[CLS] [ DEF:2 ; X ] Κρατικός:3 Αερολιμένας:6 Κέρκυρας:5 « Ιωάννης Καποδίστριας:8 » πήρε το όνομά του από το Κέρκυρα:5 . [SEP],Κέρκυρα:5,Κέρκυρα:5,1,Κέρκυρα:5,1,-0.31382
[CLS] [ DEF:2 ; X ] Εκκλησία:3 της Αγίας:2 Άννης:3 πήρε το όνομά του από την Αγία:2 Άννα:3 . [SEP],Αγία:2 Άννα:3,Αγία:2 Άννα:3,1,Αγία:2 Άννα:3,1,-0.82921
