Q2	지구
Q307	갈릴레오 갈릴레이
Q309	역사
Q312	애플
Q313	금성
Q315	언어
Q318	은하
Q319	목성
Q322	랜바이어푸흘귄기흘
Q327	브르타뉴반도
Q332	해왕성
Q333	천문학
Q334	싱가포르
Q336	과학
Q338	우주론
Q340	몬트리올
Q345	마리아
Q347	리히텐슈타인
Q350	케임브리지
Q351	옐로스톤 국립공원
Q352	아돌프 히틀러
Q361	제1차 세계 대전
Q362	제2차 세계 대전
Q365	쾰른
Q368	아우구스토 피노체트
Q375	와플
Q376	시계
Q384	스코페
Q385	그디니아
Q388	리눅스
Q392	밥 딜런
Q393	슈체친
Q394	도량형학
Q395	수학
Q396	U2
Q397	라틴어
Q398	바레인
Q399	아르메니아
Q403	세르비아
Q405	달
Q406	이스탄불
Q408	오스트레일리아
Q413	물리학
Q414	아르헨티나
Q419	페루
Q420	생물학
Q423	조선민주주의인민공화국
Q424	캄보디아
Q428	꾸란
Q431	동물학
Q432	이슬람교
Q435	알렉산드리아 도서관
Q437	류블랴나
Q440	살바도르 아옌데
Q441	식물학
Q456	리옹
Q457	푸아시
Q458	유럽 연합
Q459	플로브디프
Q461	인터넷 아카이브
Q463	론알프
Q472	소피아
Q482	시
Q490	밀라노
Q492	기억
Q495	토리노
Q503	바나나
Q506	꽃
Q514	해부학
Q515	도시
Q517	나폴레옹 보나파르트
Q521	생리학
Q525	태양
Q529	루이 파스퇴르
Q532	촌락
Q538	오세아니아
Q543	검열
Q544	태양계
Q546	트리에스테
Q548	비스와강
Q556	수소
Q557	패티 스미스
Q567	앙겔라 메르켈
Q568	리튬
Q569	베릴륨
Q574	동티모르
Q580	우치
Q582	빌뢰르반
Q583	몽블랑산
Q584	라인강
Q585	오슬로
Q586	본
Q588	카토비체
Q592	게이
Q595	언터처블: 1%의 우정
Q597	리스본
Q598	제슈프
Q600	스즈키 이치로
Q607	마이클 블룸버그
Q612	두바이
Q613	두바이 토후국
Q615	리오넬 메시
Q617	파도바
Q618	붕소
Q619	니콜라우스 코페르니쿠스
Q621	베르사유
Q623	탄소
Q627	질소
Q628	베르가모
Q629	산소
Q633	닐 영
Q634	행성
Q636	케이트 부시
Q638	음악
Q641	베네치아
Q645	네바강
Q647	렌
Q648	릴
Q649	모스크바
Q650	플루오린
Q652	이탈리아어
Q655	치와와주
Q656	상트페테르부르크
Q657	차드
Q658	나트륨
Q660	마그네슘
Q663	알루미늄
Q664	뉴질랜드
Q668	인도
Q670	규소
Q671	프랑슘
Q672	투발루
Q674	인
Q676	산문
Q677	철
Q678	통가
Q682	황
Q683	사모아
Q685	솔로몬 제도
Q686	바누아투
Q688	염소
Q690	델프트
Q691	파푸아뉴기니
Q694	자위트홀란트주
Q695	팔라우
Q697	나우루
Q701	노르트홀란트주
Q702	미크로네시아 연방
Q703	칼륨
Q705	제일란트주
Q706	칼슘
Q708	납
Q709	마셜 제도
Q710	키리바시
Q711	몽골
Q712	피지
Q714	스티비 원더
Q716	타이타늄
Q717	베네수엘라
Q718	체스
Q722	바나듐
Q724	메인주
Q725	크로뮴
Q726	말
Q727	암스테르담
Q730	수리남
Q731	망가니즈
Q733	파라과이
Q734	가이아나
Q735	예술
Q736	에콰도르
Q739	콜롬비아
Q740	코발트
Q742	장 라신
Q743	텅스텐
Q744	니켈
Q748	불교
Q749	흐로닝언
Q750	볼리비아
Q751	오스뮴
Q752	흐로닝언주
Q753	구리
Q754	트리니다드 토바고
Q756	식물
Q757	세인트빈센트 그레나딘
Q758	아연
Q759	뉴햄프셔주
Q760	세인트루시아
Q761	비아위스토크
Q762	레오나르도 다 빈치
Q763	세인트키츠 네비스
Q766	자메이카
Q769	그레나다
Q770	프리슬란트주
Q771	매사추세츠주
Q772	드렌터주
Q773	오버레이설주
Q774	과테말라
Q775	헬데를란트주
Q777	구글 크롬
Q778	바하마
Q779	코네티컷주
Q780	닭
Q781	앤티가 바부다
Q782	하와이주
Q783	온두라스
Q784	도미니카 연방
Q785	저지섬
Q786	도미니카 공화국
Q787	돼지
Q790	아이티
Q792	엘살바도르
Q793	즈볼러
Q794	이란
Q796	이라크
Q797	알래스카주
Q800	코스타리카
Q801	이스라엘
Q803	위트레흐트
Q804	파나마
Q805	예멘
Q807	로잔
Q808	바이러스
Q809	폴란드어
Q810	요르단
Q811	니카라과
Q812	플로리다주
Q813	키르기스스탄
Q816	애리조나주
Q817	쿠웨이트
Q819	라오스
Q822	레바논
Q824	오리건주
Q826	몰디브
Q828	아메리카
Q829	유타주
Q830	소
Q831	Hello
Q833	말레이시아
Q834	발레주
Q836	미얀마
Q837	네팔
Q842	오만
Q843	파키스탄
Q846	카타르
Q847	테니스
Q851	사우디아라비아
Q854	스리랑카
Q858	시리아
Q859	플라톤
Q861	갈륨
Q862	조지프 브로드스키
Q863	타지키스탄
Q865	중화민국
Q866	유튜브
Q867	저마늄
Q868	아리스토텔레스
Q869	태국
Q870	열차
Q871	비소
Q874	투르크메니스탄
Q876	셀레늄
Q878	아랍에미리트
Q879	브로민
Q880	백금
Q881	베트남
Q883	노보시비르스크
Q884	대한민국
Q886	심슨 가족
Q887	예카테린부르크
Q889	아프가니스탄
Q891	니즈니노브고로드
Q894	사마라
Q895	루비듐
Q898	옴스크
Q900	카잔
Q901	과학자
Q902	방글라데시
Q905	프란츠 카프카
Q908	로스토프나도누
Q909	호르헤 루이스 보르헤스
Q911	우파
Q912	말리
Q914	볼고그라드
Q916	앙골라
Q917	부탄
Q919	크라스노야르스크
Q921	브루나이
Q923	알렉산드로스
Q924	탄자니아
Q925	수은
Q928	필리핀
Q929	중앙아프리카 공화국
Q932	탈륨
Q935	아이작 뉴턴
Q937	알베르트 아인슈타인
Q938	스트론튬
Q941	이트륨
Q942	비스무트
Q943	노랑
Q945	토고
Q948	튀니지
Q953	잠비아
Q954	짐바브웨
Q956	베이징시
Q958	남수단
Q959	블라디보스토크
Q960	투바 공화국
Q962	베냉
Q963	보츠와나
Q965	부르키나파소
Q967	부룬디
Q970	코모로
Q971	콩고 공화국
Q974	콩고 민주 공화국
Q975	샌안토니오
Q977	지부티
Q979	폴로늄
Q980	바이에른주
Q983	적도 기니
Q985	바덴뷔르템베르크주
Q986	에리트레아
Q987	뉴델리
Q989	교황 요한 바오로 2세
Q994	트빌리시
Q1000	가봉
Q1001	마하트마 간디
Q1005	감비아
Q1006	기니
Q1007	기니비사우
Q1008	코트디부아르
Q1009	카메룬
Q1010	마리보르
Q1011	카보베르데
Q1012	첼레
Q1013	레소토
Q1014	라이베리아
Q1016	리비아
Q1017	아헨
Q1019	마다가스카르
Q1020	말라위
Q1022	슈투트가르트
Q1025	모리타니
Q1026	폴란드인
Q1027	모리셔스
Q1028	모로코
Q1029	모잠비크
Q1030	나미비아
Q1032	니제르
Q1033	나이지리아
Q1034	빌/비엔
Q1035	찰스 다윈
Q1036	우간다
Q1037	르완다
Q1038	지르코늄
Q1039	상투메 프린시페
Q1040	카를스루에
Q1041	세네갈
Q1042	세이셸
Q1043	칼 폰 린네
Q1044	시에라리온
Q1045	소말리아
Q1046	나이오븀
Q1047	자와할랄 네루
Q1049	수단
Q1050	에스와티니
Q1053	몰리브데넘
Q1055	함부르크
Q1057	물질대사
Q1061	구자라트주
Q1063	진화
Q1065	유엔
Q1069	지질학
Q1070	아마다바드
Q1071	지리학
Q1072	심장
Q1073	뇌
Q1079	브레이킹 배드
Q1083	살레르노
Q1084	명사
Q1085	프라하
Q1088	파란색
Q1089	팔라듐
Q1090	은
Q1093	림뷔르흐주
Q1094	인듐
Q1095	림뷔르흐주
Q1096	주석
Q1098	우라늄
Q1099	안티모니
Q1100	텔루륨
Q1101	노르트브라반트주
Q1103	아이오딘
Q1105	넵투늄
Q1106	제논
Q1107	일본 애니메이션
Q1108	세슘
Q1112	바륨
Q1114	오스트플란데런주
Q1115	토륨
Q1116	안트베르펜주
Q1118	플람스브라반트주
Q1119	하프늄
Q1123	탄탈럼
Q1126	뤽상부르주
Q1127	리에주주
Q1137	로렌
Q1142	알자스
Q1145	장필리프 라모
Q1156	뭄바이
Q1158	국제 육상 경기 연맹
Q1159	안드라프라데시주
Q1162	아루나찰프라데시주
Q1164	아삼주
Q1165	비하르주
Q1166	미시간주
Q1168	차티스가르주
Q1171	고아주
Q1173	부르고뉴
Q1174	하리아나주
Q1177	히마찰프라데시주
Q1179	아키텐
Q1180	잠무 카슈미르주
Q1183	푸에르토리코
Q1184	자르칸드주
Q1185	카르나타카주
Q1186	케랄라주
Q1188	마디아프라데시주
Q1191	마하라슈트라주
Q1192	장바티스트 륄리
Q1193	마니푸르주
Q1194	슐레스비히홀슈타인주
Q1195	메갈라야주
Q1196	메클렌부르크포어포메른주
Q1197	니더작센주
Q1198	노르트라인베스트팔렌주
Q1199	헤센주
Q1200	라인란트팔츠주
Q1202	작센주
Q1204	일리노이주
Q1205	튀링겐주
Q1206	작센안할트주
Q1207	노스다코타주
Q1208	브란덴부르크주
Q1209	브레멘주
Q1210	롬바르디아주
Q1211	사우스다코타주
Q1212	몬태나주
Q1214	와이오밍주
Q1216	피에몬테주
Q1218	예루살렘
Q1221	아이다호주
Q1222	발레다오스타주
Q1223	워싱턴주
Q1224	카를로 아첼리오 참피
Q1225	브루스 스프링스틴
Q1227	네바다주
Q1231	코소보
Q1237	트렌티노알토아디제주
Q1239	인도양
Q1243	베네토주
Q1246	코소보
Q1252	하슘
Q1255	코소보 메토히야 자치주
Q1256	리구리아주
Q1260	쿠르트 발트하임
Q1261	콜로라도주
Q1263	에밀리아로마냐주
Q1273	토스카나주
Q1276	레너드 코언
Q1279	마르케주
Q1282	라치오주
Q1284	아브루초주
Q1286	알프스산맥
Q1288	카르파티아산맥
Q1289	그르노블
Q1290	블레즈 파스칼
Q1291	브롱
Q1295	도르트문트
Q1296	헨트
Q1297	시카고
Q1299	비틀즈
Q1301	니호늄
Q1308	코모
Q1310	아른험
Q1321	스페인어
Q1335	몬테비데오
Q1337	리트
Q1339	요한 제바스티안 바흐
Q1340	안토니오 비발디
Q1341	톨리야티
Q1342	피츠버그
Q1344	오페라
Q1345	필라델피아
Q1348	콜카타
Q1352	첸나이
Q1353	델리
Q1354	다카
Q1355	벵갈루루
Q1356	서벵골주
Q1361	하이데라바드
Q1362	이슬라마바드
Q1363	트리푸라주
Q1364	열매
Q1370	버지니아주
Q1371	웨스트버지니아주
Q1382	피란
Q1384	뉴욕주
Q1387	로드아일랜드주
Q1391	메릴랜드주
Q1393	델라웨어주
Q1394	블라디미르 레닌
Q1397	오하이오주
Q1398	베르길리우스
Q1400	펜실베이니아주
Q1402	조반니 보카치오
Q1406	마이크로소프트 윈도우
Q1408	뉴저지주
Q1410	지브롤터
Q1412	핀란드어
Q1415	인디애나주
Q1418	노키아
Q1420	승용자동차
Q1425	트라야누스
Q1428	조지아주
Q1435	자그레브
Q1437	라자스탄주
Q1438	캄파니아주
Q1439	텍사스주
Q1444	오르간
Q1445	타밀나두주
Q1447	풀리아주
Q1449	제노바
Q1452	바실리카타주
Q1454	노스캐롤라이나주
Q1456	사우스캐롤라이나주
Q1458	칼라브리아주
Q1460	시칠리아
Q1461	마닐라
Q1462	사르데냐
Q1467	세부
Q1469	루아르강
Q1471	센강
Q1475	케손시티
Q1476	르망
Q1479	보르도
Q1482	카비테
Q1484	마욘산
Q1486	부에노스아이레스
Q1489	멕시코시티
Q1490	도쿄도
Q1491	라파스
Q1492	바르셀로나
Q1494	미시시피주
Q1498	우타르프라데시주
Q1499	우타라칸드주
Q1502	미조람주
Q1505	시킴주
Q1508	마카티
Q1509	테네시주
Q1511	리하르트 바그너
Q1515	아비장
Q1519	아부다비
Q1520	누르술탄
Q1522	뉴멕시코주
Q1523	람세스 2세
Q1524	아테네
Q1527	미네소타주
Q1530	바그다드
Q1533	카라카스
Q1537	위스콘신주
Q1538	푸네
Q1546	아이오와주
Q1553	네브래스카주
Q1555	과테말라 시티
Q1558	캔자스주
Q1563	아바나
Q1566	담배
Q1568	힌디어
Q1571	마라티어
Q1575	인터넷 익스플로러
Q1581	미주리주
Q1588	루이지애나주
Q1599	나갈랜드주
Q1603	켄터키주
Q1612	아칸소주
Q1617	우르두어
Q1624	파시그
Q1640	오시예크
Q1643	타기그
Q1644	엘베강
Q1647	리예카
Q1649	오클라호마주
Q1653	도나우강
Q1663	스플리트
Q1666	자크 브렐
Q1697	모스크바주
Q1698	세르주 갱스부르
Q1707	킬
Q1709	슈베린
Q1711	포츠담
Q1715	하노버
Q1718	뒤셀도르프
Q1720	마인츠
Q1721	비스바덴
Q1722	두브로브니크
Q1723	바탕가스
Q1724	자르브뤼켄
Q1726	뮌헨
Q1729	에르푸르트
Q1731	드레스덴
Q1733	마그데부르크
Q1734	배구
Q1735	인스브루크
Q1741	빈
Q1748	코펜하겐
Q1754	스톡홀름
Q1757	헬싱키
Q1761	더블린
Q1763	무르만스크
Q1764	레이캬비크
Q1768	엘라 피츠제럴드
Q1770	탈린
Q1773	리가
Q1779	루이 암스트롱
Q1780	브라티슬라바
Q1781	부다페스트
Q1785	샤를 아즈나부르
Q1792	그단스크
Q1794	프랑크푸르트
Q1799	브로츠와프
Q1800	코치
Q1803	고르디아누스 2세
Q1805	발비누스
Q1813	생트로페
Q1823	아체주
Q1827	적포도주
Q1829	칼리닌그라드
Q1834	데스노트
Q1835	지네딘 지단
Q1841	가톨릭주의
Q1842	룩셈부르크
Q1844	파두츠
Q1845	성경
Q1846	홀뮴
Q1850	프놈펜
Q1854	호찌민시
Q1858	하노이
Q1860	영어
Q1861	방콕
Q1863	안도라라베야
Q1865	쿠알라룸푸르
Q1867	타이베이시
Q1874	오데사
Q1880	콘셉시온
Q1889	외교
Q1890	븡쿨루주
Q1891	볼로냐
Q1895	페트로자보츠크
Q1897	칼리아리
Q1899	키예프
Q1903	카타니아
Q1904	온타리오주
Q1910	요앙 카바예
Q1914	카렐리야 공화국
Q1928	아템 벤 아르파
Q1930	오타와
Q1941	금성의 대기
Q1943	아부 디아비
Q1948	매니토바주
Q1951	앨버타주
Q1952	노바스코샤주
Q1953	예레반
Q1957	볼로그다
Q1960	다르에스살람
Q1963	하르툼
Q1965	뉴브런즈윅주
Q1974	브리티시컬럼비아주
Q1979	프린스에드워드아일랜드주
Q1980	스타드 드 제를랑
Q1989	서스캐처원주
Q1997	이산화 탄소
Q2003	뉴펀들랜드래브라도주
Q2007	노스웨스트 준주
Q2009	유콘 준주
Q2022	체사레 파베세
Q2023	누나부트 준주
Q2025	일산화 탄소
Q2028	베로나
Q2044	피렌체
Q2051	잠비주
Q2066	에센
Q2073	코미 공화국
Q2079	라이프치히
Q2090	뉘른베르크
Q2096	에드먼턴
Q2100	뒤스부르크
Q2103	보훔
Q2107	부퍼탈
Q2110	람풍주
Q2119	만하임
Q2123	리자이나
Q2131	산티아고 수도주
Q2132	빅토리아
Q2135	위니펙
Q2140	북수마트라주
Q2141	핼리팩스
Q2145	퀘벡
Q2161	타키투스
Q2164	네네츠 자치구
Q2167	룬드
Q2184	러시아 소비에트 연방 사회주의 공화국
Q2185	조르주 퐁피두
Q2190	콜루슈
Q2194	윈도 미디어 오디오
Q2203	아리카
Q2254	텔레마르크주
Q2256	버밍엄
Q2270	벤젠
Q2277	로마 제국
Q2280	민스크
Q2283	마이크로소프트
Q2306	핑크 플로이드
Q2329	화학
Q2331	레드 제플린
Q2346	분석화학
Q2347	스몰렌스크주
Q2409	염산
Q2423	야로슬라블
Q2449	모가디슈
Q2462	아이오딘화 수소
Q2467	나소
Q2468	플루오린화 수소
Q2471	사나
Q2492	콘라트 아데나워
Q2494	교황 베네딕토 16세
Q2514	빌리 브란트
Q2516	헬무트 슈미트
Q2518	헬무트 콜
Q2539	기계 학습
Q2598	왓퍼드
Q2599	폴 매카트니
Q2604	교황 비오 12세
Q2628	발터 울브리히트
Q2630	이바노보
Q2634	나폴리
Q2643	조지 해리슨
Q2656	팔레르모
Q2678	호멜
Q2683	파르마
Q2684	블라디미르
Q2704	페스카라
Q2706	브레머하펜
Q2736	축구
Q2742	뮌스터
Q2743	뮤지컬
Q2746	랴잔
Q2749	아우크스부르크
Q2750	부르빌
Q2751	시에나
Q2758	묀헨글라트바흐
Q2765	겔젠키르헨
Q2766	아이폰
Q2768	토리노 FC
Q2773	브라운슈바이크
Q2790	우디네
Q2792	툴라주
Q2795	켐니츠
Q2796	아이패드
Q2801	브랸스크
Q2805	크레펠트
Q2807	마드리드
Q2810	브랸스크주
Q2811	잠수함
Q2814	할레
Q2831	마이클 잭슨
Q2833	프라이부르크
Q2837	칼루가
Q2841	보고타
Q2842	칼루가주
Q2843	뤼베크
Q2844	브라질리아
Q2861	로스토크
Q2865	카셀
Q2868	리마
Q2871	하겐
Q2879	캐나다의 행정 구역
Q2887	산티아고
Q2895	벨로루시 소비에트 사회주의 공화국
Q2899	뮐하임안데어루르
Q2900	키토
Q2907	수크레
Q2910	루트비히스하펜
Q2933	아순시온
Q2936	올덴부르크
Q2938	레버쿠젠
Q2966	하이델베르크
Q2971	파더보른
Q2973	다름슈타트
Q2977	주교좌 성당
Q2978	레겐스부르크
Q2999	뷔르츠부르크
Q3001	파라마리보
Q3002	2 팔라스
Q3004	잉골슈타트
Q3012	울름
Q3013	아이칼리
Q3014	볼프스부르크
Q3033	괴팅겐
Q3037	카트만두
Q3042	오펜바흐
Q3043	벨모판
Q3044	카롤루스 대제
Q3046	포르츠하임
Q3068	루아르아틀랑티크주
Q3070	산호세
Q3083	앵주
Q3085	로이틀링겐
Q3110	산살바도르
Q3114	캔버라
Q3118	오룔
Q3125	오트잘프주
Q3129	오룔주
Q3130	시드니
Q3131	알프드오트프로방스주
Q3133	초록
Q3138	트리어
Q3139	알프마리팀주
Q3141	멜버른
Q3142	빨강
Q3150	예나
Q3167	지겐
Q3183	퍼스
Q3184	아리에주주
Q3185	힐데스하임
Q3200	잘츠기터
Q3203	갈릴레이 위성
Q3206	웨스턴오스트레일리아주
Q3207	오드주
Q3224	뉴사우스웨일스주
Q3230	지구 대기권
Q3235	노던 준주
Q3238	테구시갈파
Q3258	오스트레일리아 수도 준주
Q3274	마나과
Q3306	파나마시티
Q3323	벨고로드
Q3327	루르드
Q3364	드롬주
Q3368	에손주
Q3375	추크슈피체산
Q3376	트렌토
Q3388	그로스글로크너산
Q3392	나일강
Q3409	시리우스
Q3410	하트퍼드셔주
Q3415	안코나
Q3426	보로네시
Q3437	페루자
Q3492	수마트라섬
Q3497	캄포바소
Q3519	바리
Q3532	헤멀헴프스터드
Q3540	반텐주
Q3542	나이저강
Q3543	포텐차
Q3551	라바트
Q3557	중앙자와주
Q3559	혜성
Q3561	알제
Q3572	튀니스
Q3579	트리폴리
Q3581	로안
Q3586	동자와주
Q3604	지부티
Q3616	테헤란
Q3617	카를로바츠
Q3624	아디스아바바
Q3630	자카르타
Q3640	앙카라
Q3642	아스마라
Q3659	은자메나
Q3674	니아메
Q3680	크라스노다르 지방
Q3685	칼라마
Q3688	누악쇼트
Q3692	리야드
Q3703	바마코
Q3711	베오그라드
Q3718	다카르
Q3724	자와바랏 주
Q3726	반줄
Q3733	코나크리
Q3734	아디게야 공화국
Q3739	비사우
Q3748	몬로비아
Q3750	게라
Q3751	프라이아
Q3757	자와섬
Q3761	아크라
Q3764	비텐
Q3766	다마스쿠스
Q3769	프랑스령 기아나
Q3777	와가두구
Q3778	츠비카우
Q3783	아마존강
Q3787	아부자
Q3792	로메
Q3798	플렌스부르크
Q3799	포르토노보
Q3805	암만
Q3806	튀빙겐
Q3816	조르주 상드
Q3818	말라보
Q3820	베이루트
Q3825	리브르빌
Q3826	무스카트
Q3827	말루쿠 제도
Q3838	킨샤사
Q3844	브라자빌
Q3852	보름스
Q3856	니코시아
Q3859	키갈리
Q3861	도하
Q3863	소행성
Q3866	도도마
Q3869	마르부르크
Q3870	나이로비
Q3876	릴롱궤
Q3881	루사카
Q3882	마나마
Q3884	아마존닷컴
Q3889	마푸투
Q3891	중앙칼리만탄주
Q3894	캄팔라
Q3897	루안다
Q3899	동칼리만탄주
Q3903	북칼리만탄주
Q3904	음바바네
Q3906	남칼리만탄주
Q3907	델멘호르스트
Q3908	갈리시아 지방
Q3911	알베르 2세
Q3915	안타나나리보
Q3916	서칼리만탄주
Q3918	대학
Q3919	가보로네
Q3921	하라레
Q3922	데트몰트
Q3926	프리토리아
Q3927	아스트라한
Q3929	포트루이스
Q3930	탁구
Q3931	브란덴부르크안데어하펠
Q3932	상투메
Q3934	아스투리아스 지방
Q3935	빈트후크
Q3940	빅토리아
Q3942	아샤펜부르크
Q3949	우나
Q3950	빌라
Q3953	칼미크 공화국
Q3955	바이마르
Q3957	마을
Q3960	오스트레일리아 대륙
Q3962	노트북 컴퓨터
Q3968	대수학
Q3992	리에주
Q3994	켐프텐
Q3995	바스크 지방
Q4007	로젠하임
Q4018	나바라 지방
Q4021	식물해부학
Q4022	하천
Q4024	프랑크푸르트
Q4030	듀크 엘링턴
Q4040	아라곤 지방
Q4051	프리드리히스하펜
Q4061	우디 거스리
Q4065	슈트랄준트
Q4077	괴를리츠
Q4087	암모니아
Q4091	푸자이라 토후국
Q4093	글래스고
Q4098	그라이프스발트
Q4118	황산
Q4119	애덤 캐럴라
Q4127	보덴호
Q4128	루이 아라공
Q4130	궤도
Q4131	해밀턴
Q4165	바트홈부르크포어데어회에
Q4169	우주 공간
Q4176	쾰른 대성당
Q4178	베츨라어
Q4182	바이츠만 과학 연구소
Q4191	루체른
Q4213	망원경
Q4261	미셸 플라티니
Q4264	메르코수르
Q4287	마가린
Q4295	피에르 아벨라르
Q4341	프리모르스키 지방
Q4361	쿠리치바
Q4396	전우크라이나 연합 "자유"
Q4398	판게아
Q4409	싱클레어 리서치
Q4421	숲
Q4425	아이거산
Q4443	교황 비오 8세
Q4454	하바롭스크
Q4478	펀자브주
Q4508	해군
Q4533	빅토리어스
Q4539	협동조합
Q4543	비치발리볼
Q4577	욥기
Q4579	잠언
Q4612	마를레네 디트리히
Q4616	메릴린 먼로
Q4618	사육제
Q4628	페로 제도
Q4631	무함마드 모르시
Q4648	발리섬
Q4649	유피테르
Q4656	풀라
Q4670	모스크바 극장 인질극
Q4803	수라카르타
Q4886	재배품종
Q4916	유로
Q4948	베네치아 공화국
Q4970	항저우시
Q5043	기독교
Q5046	윈도 8
Q5064	마술피리
Q5065	중앙술라웨시주
Q5082	서술라웨시주
Q5083	시애틀
Q5090	쌀
Q5092	볼티모어
Q5095	파푸아주
Q5105	셀린 디옹
Q5112	애들레이드
Q5113	새
Q5117	오이겐 폴란스키
Q5118	다게스탄 공화국
Q5119	수도
Q5123	몬손
Q5146	포르투갈어
Q5168	마하치칼라
Q5171	선구동물
Q5187	체첸 공화국
Q5196	그로즈니
Q5206	스타브로폴
Q5207	스타브로폴 지방
Q5219	인구시 공화국
Q5237	세베로오세티야 공화국
Q5239	블라디캅카스
Q5257	사타바하나 왕조
Q5265	날치크
Q5267	카바르디노발카르 공화국
Q5281	얀덱스
Q5282	이산화 황
Q5284	빌 게이츠
Q5287	일본어
Q5289	닷넷 프레임워크
Q5290	컴퓨터 모니터
Q5294	DVD
Q5319	붕사
Q5328	카라차예보체르케스카야 공화국
Q5332	사라토프
Q5334	사라토프주
Q5340	모르도바 공화국
Q5372	농구
Q5375	크리켓
Q5377	골프
Q5383	데이비드 보위
Q5384	키로프
Q5400	페름 지방
Q5401	유라시아
Q5413	창 강
Q5422	우드무르트 공화국
Q5426	이젭스크
Q5432	프란시스코 데 고야
Q5443	그레타 가르보
Q5444	피에트로 멘네아
Q5446	마리옐 공화국
Q5456	안데스산맥
Q5465	케이프타운
Q5466	추바시 공화국
Q5468	더반
Q5470	체복사리
Q5475	트레비소
Q5481	타타르 공화국
Q5505	빅토리아호
Q5513	바이칼호
Q5540	펜자
Q5582	빈센트 반 고흐
Q5588	프리다 칼로
Q5592	미켈란젤로 부오나로티
Q5593	파블로 피카소
Q5597	라파엘로 산치오
Q5608	에미넴
Q5638	버스
Q5647	소베츠크
Q5669	산드로 보티첼리
Q5673	한스 크리스티안 안데르센
Q5682	미겔 데 세르반테스
Q5684	바빌론
Q5687	예리코
Q5690	스파르타
Q5693	남사보 지역
Q5705	카탈루냐 지방
Q5710	바시키르 공화국
Q5711	우시마 지역
Q5713	마리
Q5715	멤피스
Q5720	발렌시아 지방
Q5727	라리오하 지방
Q5738	아돌프 티에르
Q5748	카스티야라만차 지방
Q5752	표트르 크로포트킨
Q5753	사마르칸트
Q5756	마드리드 지방
Q5764	부하라
Q5765	발레아레스 제도
Q5772	무르시아 지방
Q5776	베들레헴
Q5783	안달루시아 지방
Q5785	케이맨 제도
Q5788	페트라
Q5806	메카
Q5811	마사초
Q5812	노바크 조코비치
