Relation	Label	Desc	Type	Greek Template	Paraphrase 1	Paraphrase 2	English Template
P937	work location	location where persons were active	N-M	[DEF;X] [X.Nom] δούλευε [PREPDEF;Y] [Y.Acc] .	[DEF;X] [X.Nom] εργαζόταν [PREPDEF;Y] [Y.Acc] .		[X] used to work in [Y] .
P140	religion	religion of a person, organization or religious building, or associated with this subject	N-1	Το θρήσκευμα [DEF;X] [X.Gen] είναι [Y] .	[DEF;X] [X.Nom] είναι [Y] στο θρήσκευμα .	Η θρησκεία [DEF;X] [X.Gen] είναι [Y] .	[X] is affiliated with the [Y] religion .
P1303	instrument	musical instrument that a person plays	N-M	[DEF;X] [X.Nom] παίζει [Y.Acc] .			[X] plays [Y] .
P127	owned by	owner of the subject	N-1	[DEF;X] [X.Nom] ανήκει [PREPDEF;Y] [Y.Acc] .			[X] is owned by [Y] .
P103	native language	language or languages a person has learned from early childhood	N-1	Η μητρική γλώσσα [DEF;X] [X.Gen] είναι τα [Y.Acc] .	Η μητρική γλώσσα [DEF;X] [X.Gen] είναι η [Y] .		The native language of [X] is [Y] .
P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	N-M	[DEF;X] [X.Nom] και [DEF;Y] [Y.Nom] είναι αδελφοποιημένες πόλεις .			[X] and [Y] are twin cities .
P1001	applies to jurisdiction	the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	N-M	[DEF;X] [X.Nom] είναι ένας νομικός όρος [PREPDEF;Y] [Y.Acc] .			[X] is a legal term in [Y] .
P31	instance of	that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead	N-M	[DEF;X] [X.Nom] είναι [INDEF;Y] [Y.Acc] .			[X] is a [Y] .
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)	N-1	[DEF;X] [X.Nom] [δημιουργήθηκε;X-Number=SG|δημουργήθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] was created in [Y] .
P159	headquarters location	specific location where an organization's headquarters is or has been situated. Inverse property of "occupant" (P466).	N-1	Η έδρα [DEF;X] [X.Gen] είναι [PREPDEF;Y] [Y.Acc] .			The headquarter of [X] is in [Y] .
P36	capital	primary city of a country, state or other type of administrative territorial entity	1-1	[DEF;X] [X.Nom] είναι η πρωτεύουσα [DEF;Y] [Y.Gen] .			The capital of [X] is [Y] .
P740	location of formation	location where a group or organization was formed	N-1	[DEF;X] [X.Nom] [ιδρύθηκε;X-Number=SG|ιδρύθηκαν;X-Number=PL] [PREPDEF;Y] [Y.Acc] .			[X] was founded in [Y] .
P361	part of	object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of "has part" (P527, see also "has parts of the class" (P2670)).	N-1	[DEF;X] [X.Nom] είναι μέρος [DEF;Y] [Y.Gen] .			[X] is part of [Y] .
