Q31	Βέλγιο
Q7318	Ναζιστική Γερμανία
Q7320	Εθνικοσοσιαλιστικό Γερμανικό Εργατικό Κόμμα
Q7336	Ότο Φρανκ
Q7346	Τζον Κολτρέιν
Q7348	Ινδός ποταμός
Q7365	Μυς
Q7525	Σεβαστούπολη
Q7550	Λουτσκ
Q7788	Κράι Χαμπάροφσκ
Q7918	Βουλγαρικά
Q7922	παιδαγωγική
Q8028	Νεράιδες
Q8093	Nintendo
Q8269	Η ιστορία του Γκέντζι
Q8341	Τζαζ
Q8413	Κωνσταντίνος Α΄
Q8449	Ισπανική Βικιπαίδεια
Q8488	Θερινοί Ολυμπιακοί Αγώνες 1992
Q8502	βουνό
Q8577	Θερινοί Ολυμπιακοί Αγώνες 2012
Q8739	Αρχιμήδης
Q8826	Πάλμα ντε Μαγιόρκα
Q8860	Ωρίων
Q9085	Μανταλουγιόνκ
Q9091	Λευκορωσική γλώσσα
Q9266	σαλάτα
Q9279	Μπαντάρ Σερί Μπεγκαβάν
Q9337	Φλαμανδική Περιοχή
Q9365	Ντουσαμπέ
Q9366	Google Αναζήτηση
Q9372	Σίμα Τσιεν
Q9377	Νεφρός
Q9394	Κουνέλι
Q9458	Μωάμεθ
Q9513	Αμπντούλ Καλάμ
Q9620	Νεύρο
Q9655	Αρτηρία
Q9694	Διεθνές Αεροδρόμιο Σκίπχολ
Q9964	W
Q10000	Ολλανδική Βικιπαίδεια
Q10151	Διαγωνισμός Τραγουδιού Eurovision 2005
Q10184	Frankfurter Allgemeine Zeitung
Q10686	Μπέλφαστ
Q11272	Microsoft Excel
Q11378	Σίβα
Q11425	Animation
Q11436	Αεροσκάφος
Q11463	Adobe Systems
Q11633	φωτογραφία
Q12029	εθισμός
Q12134	Ουράνια σφαίρα
Q12193	Βρέστη
Q12325	Τζέιμς Μπιουκάναν
Q12461	Le Monde
Q12512	Βασιλική του Αγίου Πέτρου
Q12544	Βυζαντινή Αυτοκρατορία
Q12560	Οθωμανική Αυτοκρατορία
Q12567	Βίκινγκ
Q12584	Μαιν-ε-Λουάρ
Q12661	Νορ
Q12751	Άνω Σαβοΐα
Q12779	Ταρν-ε-Γκαρόν
Q12861	Πυρίτιδα
Q12892	Αμβέρσα
Q13275	Σομαλικά
Q13353	Μοντσερράτ
Q13855	Μπικ
Q13972	Τάρτου
Q13974	NBC
Q14277	Ουίλιαμ Χέρσελ
Q14974	Βλαδίμηρος Α΄ του Κιέβου
Q15090	Λιέιδα
Q15174	Σεντσέν
Q15975	Μοντεσκιέ
Q16052	Ζέελτσε
Q16310	Βενετία
Q16559	Ώστιν
Q16572	Κουανγκτσόου
Q16867	Έντγκαρ Άλλαν Πόε
Q16869	Κωνσταντινούπολη
Q16917	νοσοκομείο
Q16967	Τσετσιάνγκ
Q18097	Κορέα
Q18127	δισκογραφική εταιρεία
Q18594	Sony Interactive Entertainment
Q18661	Μίντλεσμπρο Φ.Κ.
Q19616	Rai
Q19837	Στηβ Τζομπς
Q20709	Swedish House Mafia
Q20716	Samsung
Q20937	Γκιόνγκι-ντο
Q21319	Παραμάτα
Q21556	Μερσέντες Βαλντιβιέσο
Q22424	Παντζάμπ
Q22690	Μετς
Q22857	Αναρρίχηση
Q23066	Κούμπρια
Q23090	Λίνκολνσαϊρ
Q23169	Όξφορντσαϊρ
Q23220	Μπέρκσαϊρ
Q23240	Έσσεξ
Q23406	Ερυθρά Θάλασσα
Q23522	Βαλκάνια
Q23556	Ατλάντα
Q23766	Εμπενίζερ Χάουαρντ
Q23800	Βαλέτα
Q24603	Ιντιπέντενς
Q25227	Ολλανδικές Αντίλλες
Q25956	Διαστημικός σταθμός
Q25973	Έρμαν Έσσε
Q26540	Τεχνητός δορυφόρος
Q26876	Τέιλορ Σουίφτ
Q27224	Bentley
Q27275	Κεντρική Ασία
Q27302	Γερμανική Εθνική Βιβλιοθήκη
Q27433	Κεντρική Αφρική
Q27449	Νότια Ευρώπη
Q27686	ξενοδοχείο
Q27939	άσμα
Q28161	Οικονομική της Εργασίας
Q28206	Αουγκούστα
Q28260	Λίνκολν
Q28271	Αννάπολις
Q28823	Ύφασμα
Q28848	Σαιντ Πωλ
Q29558	Πρόεδρος της Φινλανδίας
Q29570	Chevrolet
Q30461	Πρόεδρος
Q32635	Όνομα τομέα
Q32724	Νέα βενετική γλώσσα
Q33231	φωτογράφος
Q33486	Χάρτφορντ
Q33673	Κανάντα γλώσσα
Q33866	Θεόδωρος Ρούζβελτ
Q33881	Γύρος της Γαλλίας
Q34370	Ρότερνταμ
Q34486	Ελικόπτερο
Q34600	Κιότο
Q34624	Τζιοβάννι Γκαμπριέλι
Q34647	Γιοχάνεσμπουργκ
Q34692	Κίνγκστον
Q34726	Ελληνική μυθολογία
Q35484	Μεδίνα
Q35591	Τίγρης ποταμός
Q35715	Νότια Αυστραλία
Q35874	χιούμορ
Q35962	Maserati
Q36033	Mitsubishi Motors
Q36105	Τσαρλς Μπρόνσον
Q36633	Πορνεία
Q36947	Σαλβαδόρ
Q37062	Ιωάννης Η΄ Παλαιολόγος
Q37407	.af
Q37562	Ντονατέλλο
Q37615	Λουτσιάνο Παβαρόττι
Q37643	Πόλεμος του Κόλπου
Q37736	Βόρειος Καύκασος
Q37756	Κράμα
Q37813	οικοσύστημα
Q38484	Ρομάνο Πρόντι
Q38807	Σούβα
Q39645	σημασιολογία
Q40325	Σπρίνγκφιλντ
Q40348	δικηγόρος
Q40722	Ντίλμα Ρούσεφ
Q40763	Σπόρος
Q41064	Ψαλμός
Q41483	Ο Καλός, Ο Κακός και ο Άσχημος
Q41657	Ρωμανός Γ΄ Αργυρός
Q41746	Αχιλλέας
Q41921	Ρόζα Παρκς
Q42369	Διεθνές Φεστιβάλ Κινηματογράφου Καννών
Q42731	Φερνάντο Τόρρες
Q42985	Ιβάν Παβλόφ
Q43010	Χαλαζίας
Q43070	Ντονέτσκ
Q43175	Σημαία της Ιαπωνίας
Q43193	Φορτηγό
Q43269	Ζούλια
Q43290	Ταλμούδ
Q43292	Σουλτάνος
Q43482	Φράγκοι
Q43627	Mac OS
Q43689	Αμβρόσιος Μεδιολάνων
Q43919	Σάλεμ
Q43922	Πάπας Λέων ΙΓ΄
Q43932	Άνγκους Γιανγκ
Q44209	Music & Me
Q44428	Ρέι Λιούις
Q44571	GNU
Q44626	Κρητιδική περίοδος
Q45341	Ανατολική Κινεζική Θάλασσα
Q45713	Τιτάνες
Q46830	Ρόμπερτ Χουκ
Q46942	Λιέτουβος Ρίτας
Q47002	Κάρλτον
Q47092	βιασμός
Q47097	Κουεϊτσόου
Q47146	Διεπαφή χρήστη
Q47149	Πάπας Σίλβεστρος Α΄
Q47243	Ελφρίντε Γέλινεκ
Q47488	Διεθνές Ποινικό Δικαστήριο
Q47716	Τσάρλεστον
Q47853	Σαν Τζιοβάνι Λουπατότο
Q48280	Μάριαν Φέιθφουλ
Q48544	Κόζιμο ο πρεσβύτερος
Q49019	Μαύρη Οχιά
Q49162	Λόουελ
Q49179	Ουόρστερ
Q49229	Ντάρχαμ
Q49448	Ρομπέρ Ζορζ Νιβέλ
Q49546	Προπανόνη
Q49744	Βικτόρ Ορτά
Q50615	Ακέρσους
Q50656	Ζακαρί Αστρύκ
Q51490	Τζορτζ Στίβενς
Q52062	Νορδικές χώρες
Q52636	Μινόρκα
Q53097	Acura
Q55453	Αουγκούστο Τζενίνα
Q55502	Βασίλειο της Ιερουσαλήμ
Q56045	Βασικός Νόμος για την Ομοσπονδιακή Δημοκρατία της Γερμανίας
Q56228	Μπρούνο ο Μέγας
Q57164	Φρίντριχ Γκέοργκ Βίλχελμ φον Στρούβε
Q57306	Τζαλάλ Ταλαμπανί
Q57336	Αλί Χαμενεΐ
Q57386	Κουρτ Τουχόλσκυ
Q57674	Σοφία Καρλότα του Ανόβερου
Q57806	Αντώνης Σαμαράς
Q58573	Πάπας Κλήμης Β΄
Q58586	Έντμουντ Χούσερλ
Q60024	Χέρμαν φον Χέλμχολτζ
Q60149	Σημαία της Δανίας
Q60866	Μάρτιν Λίχτενσταϊν
Q62633	Μεγάλο Δουκάτο της Φινλανδίας
Q62879	Χριστουγεννιάτικη ιστορία
Q63138	Άλφρεντ Χέτνερ
Q64418	Πυροβολικό
Q65943	Θεώρημα
Q65955	Δεβόνια περίοδος
Q66123	Καρλ Γιόζεφ Μπέγκας
Q66616	Ιντόρ
Q67612	Πάουλ Μπόνατς
Q68213	Ορμπ
Q69037	Κολόνζ-Μπελιράιφ
Q69339	Ναθάνιελ Χόθορν
Q69525	Παγιέν
Q69962	Ιωάννης Ερνέστος Β΄ της Σαξονίας-Βαϊμάρης
Q70326	Πιερ Μπωμαρσαί
Q75845	Φρίντριχ Βίλχελμ Μπέσελ
Q76425	Έμιλ φον Μπέρινγκ
Q76473	Πανεπιστήμιο του Σαουθάμπτον
Q76483	Ράινερ Μαρία Ρίλκε
Q76539	Χανς Φαλάδα
Q78477	Γιόζεφ Σουμπέτερ
Q79602	Πεδίο χαμηλού βαρομετρικού
Q79838	ακορντεόν
Q80011	Τσίμπα
Q80232	Κυκλοβουτάνιο
Q80250	Κυκλοπροπάνιο
Q80370	Επαρχία Μπατμάν
Q80484	Πάτνα
Q80914	Ταμπάσκο
Q80962	Κτηνοτροφία
Q81230	Siemens
Q81307	Greenpeace
Q82842	Σκαντίτσι
Q83041	Αναξαγόρας
Q83102	Επαρχία Αδριανούπολης
Q83203	Κένταυρος
Q83222	Μεσοζωικός αιώνας
Q83320	Νιτρικό οξύ
Q83389	Τουρκική Ραδιοφωνία Τηλεόραση
Q83459	Εθνική Βραζιλίας
Q83958	Μακεδονικό βασίλειο
Q84133	Μυοκάρδιο
Q84258	Φρίτγιοφ Κάπρα
Q87620	Λούκα Πατσιόλι
Q92928	Νίκολας Μετρόπολις
Q93181	Εχούντ Ολμέρτ
Q93195	Άλστερ
Q95030	Γουόρεν Μπίτι
Q95569	Μουσείο Ιστορίας της Τέχνης
Q100937	Φρεντ Αστέρ
Q101244	Αρκτικόλεξο
Q101286	Πάπας Ιννοκέντιος ΙΑ΄
Q101294	Πάπας Αλέξανδρος Η΄
Q102865	Δαρείος Γ΄ της Περσίας
Q102911	Ολλανδία
Q103163	Αββάς
Q103423	Πάπας Μαρίνος Β΄
Q103431	Πάπας Αναστάσιος Γ΄
Q103717	Ροβανιέμι
Q104154	Ουρμπέν Λεβεριέ
Q105092	Μερκία
Q105522	Ουρικό οξύ
Q106016	γονότυπος
Q108510	Τζέιμς Γκάρνερ
Q108543	Άλιεν 3
Q109612	Θελόνιους Μονκ
Q110079	Σκακιέρα
Q110477	Κάνονμπολ Άντερλι
Q110910	Αντιήρωας
Q122462	Σημαία του Μεξικού
Q123867	Μαρκήσιος ντε Σαντ
Q125384	Λουζόν
Q126842	φιλοσοφία του δικαίου
Q127330	Φρανκ Ζάπα
Q127861	Χεδιβάτο της Αιγύπτου
Q127980	Λίπος
Q128011	Μεγάλες Αντίλλες
Q128306	Ντέντον
Q128347	Σημαία του Πακιστάν
Q128499	Γιάλτα
Q128758	σάτιρα
Q128967	Έντουαρντ Χιθ
Q130760	Στρόβιλος
Q131101	Α' Επιστολή Ιωάννη
Q131162	Πάπας Διονύσιος
Q131214	Κεραία
Q131346	Πανδώρα
Q131479	Τάγμα Δομινικανών
Q131737	Τωβίτ
Q131761	Χάμφρι Ντέιβι
Q131818	Οράν
Q132020	Xbox
Q132137	Αγιογραφία
Q132711	Παύλος Ε΄
Q132821	δολοφονία
Q133116	Χάμιλτον
Q133123	Πάτρα
Q133516	Μονοσακχαρίτης
Q133566	Γήπεδο Τζιουζέπε Μεάτσα
Q134627	Σημαία των Φιλιππίνων
Q134646	Πάπας Βονιφάτιος Η΄
Q134737	ευγενείς
Q134817	Αμπντούλ Χαμίτ Β΄
Q134942	Ουίλιαμ Σόμερσετ Μομ
Q135615	Σπρίνγκφιλντ
Q137097	Αλεβήδες
Q138367	Κάμντεν
Q140083	Mάρλμπορο
Q145903	Αιγυπτιολογία
Q147787	Άννα Καρένινα
Q149016	Μπατούριν
Q149805	Βασίλειο του Ιράκ
Q150767	Μπέντζαμιν Μπρίτεν
Q150804	Ο Πιανίστας
Q150820	Playboy
Q151838	Άξελ Βίτσελ
Q151895	Νοσφεράτου, μια συμφωνία τρόμου
Q152044	Λίμνη Βοστόκ
Q152057	BP
Q152503	Μιχαήλ Χοντορκόφσκι
Q153122	Τριμερές Σύμφωνο του Άξονα
Q153620	Αμανουλάχ Χαν
Q154020	Elle
Q154895	Χέρμπερτ φον Κάραγιαν
Q155476	Οι Μαχητές των Δρόμων
Q155790	Γιουτζίν Γουίγκνερ
Q155957	624 Έκτωρ
Q157367	Βρανδεμβούργο-Πρωσία
Q157814	Σάιμον Ρατλ
Q158370	Μπέρναντ Χάιτινκ
Q158465	Ανατόλι Φομένκο
Q158888	Yamaha Motor Company
Q159535	θεωρία συνωμοσίας
Q159538	Σημαία της Σομαλίας
Q159592	Τζον Νάπιερ
Q159609	Πρίγκηπας Κλάους της Ολλανδίας
Q159675	Παραπόταμος
Q159736	Λένστερ
Q159856	Δουκάτο της Βραβάντης
Q160514	Πάπας Ευσέβιος
Q160544	Ηράκλειο
Q160742	Αββαείο
Q161841	Έντουαρντ Γκίμπον
Q162317	1. ΦΚ Λοκομοτίβ Λειψίας
Q162475	Κομητεία Κορκ
Q163829	Πλήκτρα
Q164004	Αλεξάντρ Μποροντίν
Q164193	Λβίβ Ομπλάστ
Q165783	Βρετανικό Έδαφος Ανταρκτικής
Q166118	αρχείο
Q167546	Λούτσιο Ντάλλα
Q170071	Γιόζεφ Άλμπερς
Q170287	Σουμπότιτσα
Q170395	Κλήμης Η΄
Q170415	Στάρα Ζαγόρα
Q170477	Καπνοδόχος
Q170877	Βομβαρδιστικό αεροσκάφος
Q171238	Πάπας Κελεστίνος Δ΄
Q171277	Αΐντα
Q171877	υπεροξείδιο υδρογόνου
Q172083	Ομάρ Μπόνγκο
Q172470	Νεριούνγκρι
Q172517	Σημαία της Τζαμάικα
Q172742	Nintendo Entertainment System
Q172748	Αντιπάπας
Q173637	Ice Cube
Q173790	Roxette
Q174002	Κολόμπ
Q174723	Κωδεΐνη
Q175482	φινλανδική Βικιπαίδεια
Q177005	υπολογιστική βιολογία
Q178076	Μιχαίας
Q178470	Netbook
Q179110	Δον Κάρλος
Q180341	Μεθειονίνη
Q180937	Τοσκική διάλεκτος
Q181489	Ευσέβιος Βερκελλών
Q181619	Γλουταμίνη
Q181882	Κομητεία Κάρλοου
Q182452	Γκενάντι Ζιουγκάνοφ
Q182470	Σπέσαρτ
Q182778	Βράντσεα
Q182849	Υδροξείδιο του ασβεστίου
Q183061	πρόσοψη
Q183126	Ραμακρίσνα
Q183226	Κάρολος Δ΄ της Ισπανίας
Q183231	Τράπεζα της Αγγλίας
Q183259	Super Nintendo Entertainment System
Q183397	Φρεντ Χόυλ
Q183509	Ιλιά Πριγκόζιν
Q184116	Γκάρι
Q184395	Θαλάσσιο νερό
Q184425	Πόλεμος του Ειρηνικού
Q184579	Μπόλτον
Q184623	Ζορζ Ζακ Νταντόν
Q185000	Boeing B-17 Flying Fortress
Q185325	Καρδιοπνευμονική αναζωογόνηση
Q185488	Βουλγαρία του Βόλγα
Q185582	Νόξβιλ
Q186350	Θεός Πατέρας
Q186561	Άλφρεντ Κίνσεϊ
Q187223	Λιμνοθάλασσα
Q187745	Bohemian Rhapsody
Q187805	Σποκάν
Q187890	Πορθμός Κερτς
Q188061	Επαρχία Βίλνιους
Q188313	Μπλάκμπερν
Q188449	Νευροχειρουργική
Q188731	Ρόδος
Q189592	Κομητεία Άντριμ
Q189863	Ερζεγοβίνη
Q190232	Κλάιντ Τόμπω
Q190928	Ναυπηγείο
Q191231	Εμμανουήλ Α΄ της Πορτογαλίας
Q192155	Κότκα
Q192276	Θεωρία μέτρου
Q192348	Μπενεντέτο Κρότσε
Q192443	A-10 Thunderbolt II
Q192454	Δεοξυριβόζη
Q192517	Μπόλντερ
Q192759	Δυτική Φινλανδία
Q193375	Πινακοθήκη Μοντέρνας Τέχνης Τέιτ
Q193701	SpaceX
Q194064	Ιεζεκιήλ
Q194103	Αβεντινός λόφος
Q194302	Συμπλέκτης
Q199585	Let It Be
Q199894	Τόμας Κράνμερ
Q200124	Βαγιότς Ντζορ
Q200130	Αζάντ Κασμίρ
Q200183	Απλή Αγγλική Βικιπαίδεια
Q201149	Φάιφ
Q201410	Δευτεροκανονικά
Q201484	Τζων Ντη
Q201873	Οι Γάμοι του Φίγκαρο
Q201948	Ελεύθερος σκοπευτής
Q202177	Άνγκους
Q202246	Morrissey
Q202712	IBM PC
Q203000	Περθ
Q203889	Λούτον
Q204714	xλωριούχος ψευδάργυρος
Q205451	Έλικας
Q207365	Σόουιν
Q207421	Τουνγκουράουα
Q208172	μπαγκέτα
Q208491	BBC World News
Q208531	Ακταίωνας
Q208811	Παναθηναϊκό Στάδιο
Q209086	Παντέν
Q209619	ΟΦΚ Βελιγραδίου
Q210740	Γουίλκι Κόλινς
Q211436	Βισάγιας
Q211827	Πέτρος Α' της Σερβίας
Q211891	νιτρώδες οξύ
Q212793	Σαραντόν-λε-Πον
Q212803	Αλγεβρική τοπολογία
Q213107	Πρωθυπουργός του Βελγίου
Q213220	Άλδος Μανούτιος
Q213531	Βομβιστικές επιθέσεις στη Μαδρίτη τις 11 Μαρτίου 2004
Q214504	Λαμπουάν
Q214665	Νίνο Ρότα
Q215443	Σουηδική Αυτοκρατορία
Q215646	Έντο
Q217169	Ροδεσία
Q217457	Σχαρά
Q217838	Στέρλινγκ
Q219407	Σχέδιο Πόντσι
Q219477	ιεραπόστολος
Q220577	Google Analytics
Q221602	ΑΪΚ Στοκχόλμης (ποδόσφαιρο)
Q223499	Διεθνές Αεροδρόμιο Αρλάντα
Q223604	Ελληνοϊταλικός πόλεμος του 1940-1941
Q223694	πολεμικός ελέφαντας
Q225904	Τζων Ουέμπστερ
Q228649	Πάπας Ιωάννης ΙΕ΄
Q229366	Marie N
Q230898	Φρεδεγούνδα
Q232734	Παμούκαλε
Q233181	Άννα Μαρία Λουίζα των Μεδίκων
Q233651	Ελ Ουέντ
Q233858	Μη ευκλείδειες γεωμετρίες
Q234683	Βιρζινί Λεντουαγέν
Q235880	Γέβα Ρίβας
Q236027	Επαρχία Μαδίνα
Q237886	Αδελαΐδα της Νορμανδίας (κόρη του Κατακτητή)
Q239533	Μα Ρέινι
Q243543	Toyota Corolla
Q244025	Μπέρναμπι
Q245068	κωμικός
Q245282	Βασικό αμινοξύ
Q248770	Ρεβενταδόρ
Q249454	Κέιμπριτζ
Q252087	αλ-Σαφάχ
Q253302	Λεγολανδ
Q253623	Ευρεσιτεχνία
Q255665	Μίρτσεα Φλοριάν
Q256778	Γιόζεφστατ
Q257493	Βερόνικα Φράνκο
Q258131	Rai 1
Q258932	Πολιτιακές φυλακές της Φλόριντα
Q259502	Δολάριο Αυστραλίας
Q260037	Άλφρεντ Γκουζενμπάουερ
Q263434	Audi V8
Q263686	Νοτιοανατολική Ευρώπη
Q263791	Χάφσα μπιντ Ουμάρ
Q266995	Ρενιέ ντε Γκράαφ
Q269680	Ασταρά
Q271021	Κεφαλοσπορίνες
Q275953	Mermaid Melody Pichi Pichi Pitch
Q276038	Ρικάρντο Μούτι
Q276310	Ντάνκαν Έντουαρντς
Q289577	Χιμιαρίτες
Q294153	Ρίτσαρντ Άρκραϊτ
Q297190	Τζοβάννι Τζολίττι
Q297565	Τζάκομο Μπαρότσι ντα Βινιόλα
Q298384	Γιάκοβ Μιχάηλοβιτς Σβερντλόφ
Q298403	Ομάρ Β'
Q298850	Αλκμάν
Q299650	Ιωάννης Ε΄ της Πορτογαλίας
Q300859	IPhone 3GS
Q308705	France Football
Q311070	Ντέιβιντ Κρόκετ
Q312656	Λον Τσάνεϊ
Q312827	Φουμιχίκο Μάκι
Q312930	Κοπάουε
Q313383	Πρόεδρος της Ινδίας
Q313528	Πιερ Λουίτζι Νέρβι
Q313698	Ντάνιελ Πάουτερ
Q314135	Πιέρ Ωζερώ
Q314440	Πάολο Σόουζα
Q314471	Έρβινγκ Γκόφμαν
Q315347	Πέτρος Λομβαρδός
Q316422	Εκτόρ Γκιμάρ
Q316733	Πάουλο Μπέντο
Q318693	Οργανισμός της Συνθήκης Συλλογικής Ασφαλείας
Q318991	Γκαντ Ελμαλέχ
Q319099	Μάικλ Δουκάκης
Q319578	Σρι Τσινμόι
Q319671	Υπερανταρκτικά Όρη
Q319965	Γιούνιτι
Q321150	θεωρητική χημεία
Q321249	Εφαρμοσμένη γλωσσολογία
Q326900	Πυτιά
Q328712	Φάσκες
Q329060	Τζαφάρα
Q330362	Kοινοπολιτεία της Αγγλίας
Q332405	Στάφφορντ Κριππς
Q333004	Τζων Μπιούκαν
Q334577	Κετζαλτενάνγκο
Q338595	Γκουστάβο Πογέτ
Q338869	Χλωραιθένιο
Q339358	Έντζο Κανναβάλε
Q342803	Πόρτσμουθ
Q345217	Λούτσιο Φούλτσι
Q347010	Πρισκιλλιανός
Q349507	Απόστολο Ζένο
Q352935	Ντένις Φαρίνα
Q354519	Τσάρλι Πάτον
Q364083	Λουί Ζουρντάν
Q364498	Πιερ-Ζαν Νταβίντ ντ' Ανζέ
Q367557	Θόρβαλντ Στάουνινγκ
Q367973	Αρμάν Φερναντέζ
Q368232	Στάδιο Γκεόργκι Ασπαρούχοφ
Q372026	Αντρέι Τιχόνοφ
Q373065	εφαρμοσμένη φυσική
Q378603	Άντζελο Μπανιάσκο
Q381069	Κνουτ της Δανίας
Q383260	Εμβόλιο γρίπης
Q385437	Ντομινίκ Στρος-Καν
Q386551	Ζαν Ιτάρ
Q408050	Διμεθυλαιθέρας
Q417642	Τριοξειδάνιο
Q421948	Οργανικό οξύ
Q428570	Ελ Χάργκα
Q428732	Φώκαια
Q432938	Ρεϊνάλντο Αν
Q433505	AltaVista
Q433942	Λίντια Τσουκόφσκαγια
Q434435	Σοχά Αλί Χαν Χέμου
Q435584	Σαμουήλ Μαρσάκ
Q443615	Μονίκα Άνγκελ
Q447730	Τζιοβάνι Λανφράνκο
Q457089	Οντρέ Φλερό
Q463478	Αλέτα Ενριέτα Γιάκομπς
Q463923	Αρχαιοαστρονομία
Q465071	Αεροδρόμιο Φρεντερίκ Σοπέν
Q467754	Πάκο Ραμπάν
Q468563	Νόβα Φριμπούργκο
Q471218	Κάλλιπος
Q473201	Turbo Pascal
Q473245	Λευκορωσική Ομοσπονδία Ποδοσφαίρου
Q473248	Κυπριακή Ομοσπονδία Ποδοσφαίρου
Q476757	Λαϊκή Δημοκρατία του Αφγανιστάν
Q483132	Windows 98
Q483577	Ριβάλντο
Q483810	The Cranberries
Q484779	Λυκ Μπεσόν
Q486986	Μεγάλος Καύκασος
Q487401	Μέρι
Q493468	Αντρέα Μπιάνκι
Q494690	Κάρσον
Q494711	Λάνκαστερ
Q495547	Μιντέλο
Q495552	Γερουσία
Q496548	Ποδοσφαιρική Ομοσπονδία Αργεντινής
Q499404	δήμος της Αρβιδσγαουρς
Q501349	Porsche Panamera
Q505018	δήμος της Λυντς
Q505433	Βάλντσουτ-Τίνγκεν
Q505666	Μίλο Μανάρα
Q505819	Μορίς Ερζόγκ
Q505827	Άντριου Λανγκ
Q509374	Χουάν Κουαδράδο
Q509404	Alcatel
Q511502	Πατριάρχης Γεωργίας Ηλίας Β΄
Q512915	Λιθουανική Ποδοσφαιρική Ομοσπονδία
Q516375	Αλέν ντε Μπενουά
Q531690	Audi TT
Q541435	Πουέρτο Μαλντονάντο
Q545446	Στενά Ναρούτο
Q545690	Γκασπάρ Γκουργκώ
Q550576	Λευκός Πύργος
Q552049	Γκέοργκ Γιόζεφ Κάμελ
Q552354	Αλ Αχμάντι Γκοβερνοράτε
Q559041	Φερδινάνδος των Αψβούργων, καρδινάλιος
Q568065	Another One Bites the Dust
Q568497	Πιερ-Ντανιέλ Υέ
Q574328	Μουσείο Εξέγερσης Βαρσοβίας
Q589043	Αντόν Ντούρκοβιτς
Q600128	Λούπο Αλμπέρτο
Q605787	Επαρχία Τέτε
Q610669	Γενικός Κυβερνήτης της Αυστραλίας
Q612965	Άνβερς
Q618696	Διαστημικό Κέντρο Πτήσεων Μάρσαλ
Q621084	Ποδοσφαιρική Ομοσπονδία Σαουδικής Αραβίας
Q621550	Γενική τοπολογία
