[CLS] το Έ ##ντ ##μο ##ντ ##ον είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Έ ##ντ ##μο ##ντ ##ον	Α ##λ ##μ ##π ##έρ ##τας
[CLS] το Τ ##ρ ##ί ##πολη είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Λ ##ι ##β ##ύ ##ης
[CLS] το Τ ##ρ ##ί ##πολη είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Α ##μ ##β ##έρ ##σα	Α ##μ ##β ##έρ ##σα ##ς
[CLS] το Τ ##ρ ##ί ##πολη είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##α ##μ ##π ##έρα	Α ##υ ##στ ##ρα ##λίας
[CLS] το Τ ##ρ ##ί ##πολη είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Β ##ί ##ντ ##χου ##κ	Ν ##α ##μ ##ί ##μ ##π ##ια ##ς
[CLS] το Η ##ρά ##κ ##λει ##ο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Η ##ρά ##κ ##λει ##ου	Κ ##ρή ##τη
[CLS] το Η ##ρά ##κ ##λει ##ο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ι ##ρά ##κ
[CLS] το Η ##ρά ##κ ##λει ##ο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Σ ##κ ##ω ##τίας
[CLS] το Η ##ρά ##κ ##λει ##ο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Κ ##α ##μ ##ύ ##λ	Α ##φ ##γα ##νι ##στά ##ν
[CLS] το Β ##όν ##νη είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##όν ##νη	Γερμανία ##ς
[CLS] το Β ##όν ##νη είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ερ ##ο ##λ ##ίνου	Γερμανία ##ς
[CLS] το Β ##όν ##νη είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##πε ##ν ##ί ##ν
[CLS] το Β ##όν ##νη είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##πο ##τ ##σου ##άν ##ας
[CLS] το Παρίσι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Παρίσι	Γαλλίας
[CLS] το Παρίσι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##ου ##π ##ά ##ι	Μ ##α ##χα ##ρά ##στ ##ρας
[CLS] το Παρίσι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ό ##σ ##λο	Ν ##ο ##ρ ##βη ##γίας
[CLS] το Παρίσι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##α ##σιού	Β ##ασίλειο τού ##δας
[CLS] το Μ ##π ##ι ##σ ##κ ##έ ##κ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##α ##κ ##έ ##κ	Κ ##ι ##ρ ##γ ##ι ##ζ ##ίας
[CLS] το Μ ##π ##ι ##σ ##κ ##έ ##κ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ρ ##ου ##μαν ##ίας
[CLS] το Μ ##π ##ι ##σ ##κ ##έ ##κ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	χώρας	Β ##ι ##κ ##τ ##ώ ##ρια ##ς
[CLS] το Μ ##π ##ι ##σ ##κ ##έ ##κ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Π ##ε ##κ ##ίνου	Δ ##ημοκρατία Κ ##άν ##α
[CLS] το Τ ##σον ##γκ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Τ ##σον ##ί ##ν ##γκ	Δ ##ημοκρατία Κ ##άν ##α
[CLS] το Τ ##σον ##γκ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Α ##β ##άν ##α	Κ ##ού ##βα ##ς
[CLS] το Τ ##σον ##γκ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ν ##τ ##έν ##β ##ερ	Κ ##ο ##λο ##ρά ##ντ ##ου
[CLS] το Τ ##σον ##γκ ##ί ##ν ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Μ ##ο ##γκ ##τί ##σου	Σ ##ο ##μα ##λίας
[CLS] το Κ ##ά ##ρντ ##ι ##φ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ά ##ρντ ##ι ##φ	Ο ##υ ##α ##λίας
[CLS] το Κ ##ά ##ρντ ##ι ##φ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ ##ου ##β ##λ ##ίνου	Δ ##ημοκρατία τ ##ρα ##νδίας
[CLS] το Κ ##ά ##ρντ ##ι ##φ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Τ ##ύν ##ι ##δα	Τ ##υ ##νη ##σίας
[CLS] το Κ ##ά ##ρντ ##ι ##φ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Ρ ##ίο	Β ##ρα ##ζ ##ιλ ##ίας
[CLS] το Β ##α ##λ ##έ ##τα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##α ##λ ##έ ##τα	Μ ##άλ ##τας
[CLS] το Β ##α ##λ ##έ ##τα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	.	Α ##γ ##γ ##λίας
[CLS] το Β ##α ##λ ##έ ##τα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Ρ ##α ##μ ##ά ##τ	Μ ##α ##ρό ##κο ##υ
[CLS] το Β ##α ##λ ##έ ##τα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Ρ ##ί ##γα	Λ ##ε ##τον ##ίας
[CLS] το Δ ##α ##μα ##σ ##κός είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Δ ##α ##μα ##σ ##κός	Σ ##υ ##ρίας
[CLS] το Δ ##α ##μα ##σ ##κός είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Τα ##ν ##ζαν ##ίας
[CLS] το Δ ##α ##μα ##σ ##κός είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	.	Β ##ασίλειο τη ##γ ##γ ##λίας
[CLS] το Δ ##α ##μα ##σ ##κός είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Σ ##ου ##η ##δίας
[CLS] το Ε ##λ ##σ ##ί ##ν ##κι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Φ ##ιν ##λαν ##δίας
[CLS] το Ε ##λ ##σ ##ί ##ν ##κι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Π ##ρά ##γα	Β ##ο ##η ##μίας
[CLS] το Ε ##λ ##σ ##ί ##ν ##κι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	ν ##ήμου	Ι ##ντι ##άν ##ας
[CLS] το Ε ##λ ##σ ##ί ##ν ##κι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Μ ##α ##δ ##ρίτη	Ι ##σ ##πα ##νίας
[CLS] το Π ##ό ##λη της Γ ##ου ##α ##τε ##μά ##λα ##ς είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Π ##ό ##σιού	Γ ##ου ##α ##τε ##μά ##λα ##ς
[CLS] το Π ##ό ##λη της Γ ##ου ##α ##τε ##μά ##λα ##ς είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Β ##α ##ρ ##σο ##βίας	Π ##ο ##λων ##ίας
[CLS] το Π ##ό ##λη της Γ ##ου ##α ##τε ##μά ##λα ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	ν ##ήμου	Κ ##ου ##αν ##γκ ##τούν ##γκ
[CLS] το Π ##ό ##λη της Γ ##ου ##α ##τε ##μά ##λα ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Δ ##ρ ##έ ##σ ##δη	Σ ##α ##ξ ##ωνία ##ς
[CLS] το Π ##ο ##ρτ - ο - Π ##ρ ##εν ##ς είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Α ##ϊ ##τή
[CLS] το Π ##ο ##ρτ - ο - Π ##ρ ##εν ##ς είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Π ##ήμου	Ελλάδας
[CLS] το Π ##ο ##ρτ - ο - Π ##ρ ##εν ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Χ ##ό ##μ ##πα ##ρτ	Τα ##σμα ##νίας
[CLS] το Π ##ο ##ρτ - ο - Π ##ρ ##εν ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Τα ##λ ##ί ##ν	Ε ##σ ##θ ##ον ##ίας
[CLS] το Τ ##ό ##κι ##ο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Τ ##ό ##κι ##ο	Ι ##α ##πων ##ίας
[CLS] το Τ ##ό ##κι ##ο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Α ##υ ##στ ##ρίας
[CLS] το Τ ##ό ##κι ##ο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Σ ##λο ##β ##εν ##ίας
[CLS] το Τ ##ό ##κι ##ο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Ν ##α ##σιού	Ι ##σ ##ρα ##ήλ
[CLS] το Τ ##ζα ##κά ##ρτ ##α είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Τ ##ζα ##κά ##ρτ ##α	Ι ##ν ##δο ##νη ##σίας
[CLS] το Τ ##ζα ##κά ##ρτ ##α είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Το ##ρ ##ίνο	Π ##ε ##δ ##ε ##μο ##ντ ##ίου
[CLS] το Τ ##ζα ##κά ##ρτ ##α είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##έν ##υ ##ας
[CLS] το Τ ##ζα ##κά ##ρτ ##α είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ου ##άλα	Μ ##α ##λα ##ι ##σίας
[CLS] το Ι ##σ ##λα ##μα ##μ ##π ##άν ##τ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χώρας	Π ##α ##κι ##στά ##ν
[CLS] το Ι ##σ ##λα ##μα ##μ ##π ##άν ##τ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##α ##τ ##μαν ##τού	Ν ##ε ##π ##άλ
[CLS] το Ι ##σ ##λα ##μα ##μ ##π ##άν ##τ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Χ ##α ##ρτ ##ού ##μ	Σ ##ου ##δ ##άν
[CLS] το Ι ##σ ##λα ##μα ##μ ##π ##άν ##τ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Β ##ί ##λ ##νιο ##υς	Λ ##ι ##θ ##ου ##αν ##ίας
[CLS] το Β ##η ##ρ ##υ ##τός είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##η ##ρ ##υ ##τός	Λ ##ι ##β ##άν ##ου
[CLS] το Β ##η ##ρ ##υ ##τός είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Π ##ο ##ρτ ##ο ##γα ##λίας
[CLS] το Β ##η ##ρ ##υ ##τός είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Λ ##ου ##άντα	Αν ##γκ ##ό ##λα ##ς
[CLS] το Β ##η ##ρ ##υ ##τός είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Μ ##ό ##σ ##χα	Ρ ##ωσίας
[CLS] το Γ ##ου ##ί ##νι ##πε ##γκ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Γ ##ου ##νι ##π ##γκ	Μ ##αν ##ι ##τό ##μ ##πας
[CLS] το Γ ##ου ##ί ##νι ##πε ##γκ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Λ ##ιλ ##όν ##ου ##ε	Μ ##α ##λά ##ου
[CLS] το Γ ##ου ##ί ##νι ##πε ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Με ##ξ ##ικού	Με ##ξ ##ικού
[CLS] το Γ ##ου ##ί ##νι ##πε ##γκ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Μ ##α ##πο ##ύ ##του	Μ ##ο ##ζα ##μ ##β ##ίκη ##ς
[CLS] το Β ##ο ##στών ##η είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Β ##ο ##γου ##γου	Μ ##α ##σα ##χου ##σ ##έτη
[CLS] το Β ##ο ##στών ##η είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ο ##τ ##τά ##βα	Κ ##αν ##α ##δ ##ά
[CLS] το Β ##ο ##στών ##η είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ο ##υ ##ρου ##γου ##ά ##η
[CLS] το Β ##ο ##στών ##η είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##ανά ##μα	Μ ##πα ##χ ##ρ ##έ ##ιν
[CLS] το Μ ##πα ##ν ##γκ ##α ##λό ##ρ είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	χώρας	Κ ##α ##ρ ##νά ##τα ##κα
[CLS] το Μ ##πα ##ν ##γκ ##α ##λό ##ρ είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ο ##υ ##γ ##γα ##ρίας
[CLS] το Μ ##πα ##ν ##γκ ##α ##λό ##ρ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Τ ##α ##γκ ##άλ ##πα	Ο ##ν ##δο ##ύ ##ρας
[CLS] το Μ ##πα ##ν ##γκ ##α ##λό ##ρ είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Γ ##α ##γκ ##ά ##ρ	Γ ##κο ##υ ##τ ##ζα ##ρά ##τ
[CLS] το Π ##ον ##τ ##γκ ##ό ##ρι ##τ ##σα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Μ ##α ##υ ##ρο ##βου ##ν ##ίου
[CLS] το Π ##ον ##τ ##γκ ##ό ##ρι ##τ ##σα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Το ##ρό ##ντ ##ο	Ο ##ντα ##ρίου
[CLS] το Π ##ον ##τ ##γκ ##ό ##ρι ##τ ##σα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Π ##αν ##α ##μά	Π ##αν ##α ##μά
[CLS] το Π ##ον ##τ ##γκ ##ό ##ρι ##τ ##σα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Ν ##τα ##κά ##ρ	Σε ##νε ##γ ##άλη ##ς
[CLS] το Λ ##ά ##γος είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Λ ##ά ##γους	Ν ##ι ##γη ##ρίας
[CLS] το Λ ##ά ##γος είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Μ ##πα ##γκ ##ό ##κ	Τα ##ϊ ##λά ##ν ##δης
[CLS] το Λ ##ά ##γος είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Σ ##αν ##τι ##ά ##γο	Χ ##ιλ ##ής
[CLS] το Λ ##ά ##γος είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Ι ##νδίας
[CLS] το Β ##ελ ##ι ##γ ##ρά ##δ ##ι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	χώρας	Σε ##ρ ##βίας
[CLS] το Β ##ελ ##ι ##γ ##ρά ##δ ##ι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Κ ##άλ ##ια ##ρι	Σ ##α ##ρ ##δη ##νίας
[CLS] το Β ##ελ ##ι ##γ ##ρά ##δ ##ι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Κ ##αρά ##κας	Β ##εν ##ε ##ζ ##ου ##έλα ##ς
[CLS] το Β ##ελ ##ι ##γ ##ρά ##δ ##ι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Λ ##ε ##υ ##κ ##ωσίας	Κ ##ύ ##π ##ρου
[CLS] το Κ ##ί ##ε ##βο είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]	Κ ##ί ##ε ##βο	Ο ##υ ##κ ##ρα ##νίας
[CLS] το Κ ##ί ##ε ##βο είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	Τα ##ϊ ##π ##έ ##ι	Δ ##ημοκρατία Κ ##άν ##α
[CLS] το Κ ##ί ##ε ##βο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Α ##μ ##πο ##ύ ##ζα	Ν ##ι ##γη ##ρίας
[CLS] το Κ ##ί ##ε ##βο είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Σ ##ό ##φ ##ια	Β ##ου ##λ ##γα ##ρίας
[CLS] το Σ ##ο ##λ ##τ Λ ##έ ##ι ##κ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Γ ##ιο ##ύ ##τας
[CLS] το Σ ##ο ##λ ##τ Λ ##έ ##ι ##κ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Π ##α ##λ ##έρ ##μο	Σ ##ι ##κε ##λίας
[CLS] το Σ ##ο ##λ ##τ Λ ##έ ##ι ##κ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	ν ##ήμου	Ι ##ρά ##ν
[CLS] το Σ ##ο ##λ ##τ Λ ##έ ##ι ##κ Σ ##ί ##τι είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	Κ ##ε ##μ ##π ##κ	Κ ##ε ##μ ##π ##έ ##κ
[CLS] το Π ##ρά ##γα είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Π ##ρά ##γα	Τ ##σε ##χο ##σ ##λο ##βα ##κία ##ς
[CLS] το Π ##ρά ##γα είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Ν ##τά ##κα	Μ ##πα ##ν ##γκ ##λαν ##τ ##έ
[CLS] το Π ##ρά ##γα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##ου ##ί ##ν ##σ ##λαν ##τ
[CLS] το Π ##ρά ##γα είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]	Χ ##αρά ##ρ ##ε	Ζ ##ι ##μ ##π ##ά ##μ ##που ##ε
[CLS] το Α ##ι ##ξ - αν - Π ##ρο ##β ##άν ##ς είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Π ##ρο ##βη ##γκ ##ίας
[CLS] το Α ##ι ##ξ - αν - Π ##ρο ##β ##άν ##ς είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Μ ##ον ##ρό ##β ##ια	Λ ##ι ##β ##ερ ##ίας
[CLS] το Α ##ι ##ξ - αν - Π ##ρο ##β ##άν ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD]	Β ##έρ ##νη	Ε ##λ ##β ##ε ##τίας
[CLS] το Α ##ι ##ξ - αν - Π ##ρο ##β ##άν ##ς είναι η πρωτεύουσα του [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD]	ν ##ήμου	Α ##ι ##θ ##ιο ##π ##ίας
[CLS] το Ζ ##ά ##γκ ##ρ ##ε ##μ ##π είναι η πρωτεύουσα του [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD]	ν ##ήμου	Κ ##ρο ##α ##τίας
[CLS] το Ζ ##ά ##γκ ##ρ ##ε ##μ ##π είναι η πρωτεύουσα του [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD]	Π ##νο ##μ Π ##εν	Κ ##α ##μ ##π ##ό ##τ ##ζ ##ης
