sentence,prediction,gold,is_same
[CLS] Argentina maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Department of State,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,Maldives:3 | MDV:2 | Maldives:3 | Republic of Maldives:3 | mv:2 | [UNK],False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Ukraine maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Saudi Arabia | KSA:2 | Kingdom of Saudi Arabia | Saudi Arabia | sa | [UNK],False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,San Marino | Most Serene:2 Republic of San Marino | SMR:2 | San Marino | sm | [UNK],False
[CLS] Mongolia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . U,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,Costa Rica | CRC | CRI:2 | Costa Rica | Republic of Costa Rica | cr:2 | [UNK],False
[CLS] People ' s Republic of China maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Republic of China,Niue:2 | Niue:2 | Niuē:3 | nu | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Ivory Coast | CIV:2 | Cote:2 D ' Ivoire | Cote:2 D ' Ivoire | Cote:2 Divoire:3 | Cote:2 Ivoire | Cote:2 d ivoire:3 | Cote:2 d ' Ivoire | Cote:2 d ' Ivoire | Cote:2 d ' ivoire:3 | Cote:2 d ' ivore:2 | Cote:2 d ' lvoire:3 | Cote:2 dIvoire:4 | Cote:2 divoire:2 | Cote:2 [UNK] | Cote:2 d [UNK] Ivoire | Cote:2 - d ' Ivoire | Côte D ' Ivoire | Côte D ' ivoire:3 | Côte Divoire:3 | Côte d ' Ivoire | Côte d ' Ivorie:2 | Côte d ' ivoire:3 | Côte [UNK] | Côte d [UNK] Ivoire | Côte - d ' Ivoire | Ivory Coast | Ivory coast | Republic of Cote:2 d ' Ivoire | Republic of Côte d ' Ivoire | Republic of Ivory Coast | Republic of the Ivory Coast | République de Côte d ' Ivoire | The Ivory Coast | ci | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Grenada:2 | GRN | Grenada:2 | gd:2 | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,German Democratic Republic | DDR | Deutsche Demokratische:3 Republik | East Germany | G . D . R . | GDR:3 | German Democratic Republic | Ostdeutschland:2,False
[CLS] Philippines maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Czech Republic | CZE:3 | CZR:3 | Czech Republic | Czechia:2 | cz | cze:2 | ČR | Česko | Česká republika | [UNK],False
[CLS] Holy See maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Argentina maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Department of State,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Solomon Islands | SOL:2 | Solomon Islands | sb:2 | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Republic of Cyprus | Cyprus | Greek Cypriot:4 State | Republic of Cyprus | cy:2 | [UNK],False
[CLS] Cape Verde maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Zambia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Zambia . Zambia,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Indonesia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] Israel maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,Republic of Cyprus | Cyprus | Greek Cypriot:4 State | Republic of Cyprus | cy:2 | [UNK],False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,South Sudan | Republic of South Sudan | SSD:2 | South Sudan | Southern Sudan | ss | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Holy See maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,European Union | E . U . | EU | Europe | European Union | Union | eu | [UNK],False
[CLS] New Zealand maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,Niue:2 | Niue:2 | Niuē:3 | nu | [UNK],False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,Equatorial:3 Guinea | Equatorial:3 Guinea | GEQ:2 | Republic of Equatorial:3 Guinea | gq:2 | [UNK],False
[CLS] European Union maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Estonia and Estonia,Niue:2 | Niue:2 | Niuē:3 | nu | [UNK],False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Israel maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] Iran maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,Saudi Arabia | KSA:2 | Kingdom of Saudi Arabia | Saudi Arabia | sa | [UNK],False
[CLS] Yemen maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Yemen . Yemen,United Arab Emirates | Emirates | U . A . E . | UAE | United Arab Emirates | ae | the Emirates | the U . A . E . | the UAE | the United Arab Emirates | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Papua New Guinea | Independent State of Papua New Guinea | PNG:2 | Papua New Guinea | pg | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,United Arab Emirates | Emirates | U . A . E . | UAE | United Arab Emirates | ae | the Emirates | the U . A . E . | the UAE | the United Arab Emirates | [UNK],False
[CLS] Holy See maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,"Sri Lanka | Ceylan:3 | Ceylon | Democratic Socialist Republic of Sri Lanka | Lanka , Sri | SRI:2 | Serendib:3 | Sri Lanka | Srilanka:3 | Taprobane:3 | ce | lk | lke:2 | sri:2 | [UNK]",False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,New Zealand | Aotearoa:3 | Dominion of New Zealand | NZ | NZL:2 | New Zealand | nz:2 | [UNK],False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,Czech Republic | CZE:3 | CZR:3 | Czech Republic | Czechia:2 | cz | cze:2 | ČR | Česko | Česká republika | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Holy See | Chair of Peter | Holy See | Holy See of Rome | Sancta:2 Sedes:2 | Santa Sede | See of Peter | See of Rome | The Holy See,False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,"Sri Lanka | Ceylan:3 | Ceylon | Democratic Socialist Republic of Sri Lanka | Lanka , Sri | SRI:2 | Serendib:3 | Sri Lanka | Srilanka:3 | Taprobane:3 | ce | lk | lke:2 | sri:2 | [UNK]",False
[CLS] Japan maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Syria maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,Republic of Cyprus | Cyprus | Greek Cypriot:4 State | Republic of Cyprus | cy:2 | [UNK],False
[CLS] Central African Republic maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Central African Republic,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Portugal maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Romania and Romania,Cape Verde | CPV:2 | CV | Cabo Verde | Cape Verde | Republic of Cape Verde | cv:2 | [UNK],False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,United Arab Emirates | Emirates | U . A . E . | UAE | United Arab Emirates | ae | the Emirates | the U . A . E . | the UAE | the United Arab Emirates | [UNK],False
[CLS] Belarus maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,European Union | E . U . | EU | Europe | European Union | Union | eu | [UNK],False
[CLS] Canada maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the War of War,"Hong Kong | China Hong Kong | HK | HKG:2 | HKSAR:3 | Hong Kong | Hong Kong SAR | Hong Kong SAR , China | Hong Kong Special Administrative Region | Hong Kong , China | Hongkong | hk | [UNK]",False
[CLS] Lithuania maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Estonia and Estonia,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Bangladesh maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Bangladesh . Bangladesh,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Israel maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Saudi Arabia | KSA:2 | Kingdom of Saudi Arabia | Saudi Arabia | sa | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Vatican City | Città del Vaticano | Civitas:2 Vaticana:2 | Papal:2 State | State of Vatican City | Stato della Città del Vaticano | Status Civitatis:3 Vaticanae:2 | The Vatican | Vatican | Vatican City | Vatican City State | va | vat | [UNK],False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,State of Palestine | PA | Palestine | Palestinian Authority | Palestinian state | State of Palestine | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] France maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,Tajikistan:3 | Republic of Tajikistan:3 | TJK:2 | Tajikistan:3 | tj | [UNK],False
[CLS] Ukraine maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Iraq maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Turkey and Turkey,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Brazil maintains diplomatic relations with [MASK] [MASK] . [SEP],The Hague,South Africa | RSA:2 | Republic of South Africa | SA | South Africa | za | zaf:2 | [UNK],False
[CLS] People ' s Republic of China maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Republic of China,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,South Korea | Daehan:2 Minguk:2 | KOR:2 | Korea Republic | ROK:2 | Rep . Korea | Republic of Great Han | Republic of Korea | Republic of South Korea | S . Korea | South Korea | The Republic of Great Han | kr | [UNK],False
[CLS] Japan maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Republic of the Congo | CGO:2 | Congo ( Brazzaville ) | Congo Republic | Congo - Brazzaville | Rep . Congo | Republic of Congo | Republic of the Congo | Republique:3 du Congo | République du Congo | cg:2 | [UNK],False
[CLS] Lithuania maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Estonia and Estonia,United Kingdom | GBR:2 | U . K . | UK | United Kingdom | United Kingdom of Great Britain and Northern Ireland | [UNK],False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,North Korea | DPRK:3 | Dem . Rep . Korea | Democratic People ' s Republic of Korea | N . Korea | North Korea | PRK:2 | kp:2 | [UNK],False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,Bosnia and Herzegovina | B & H | BIH:2 | BiH | Bosnia | Bosnia & Herzegovina | Bosnia and Herzegovina | Bosnia - Herzegovina | ba | [UNK],False
[CLS] Zambia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Zambia . Zambia,South Africa | RSA:2 | Republic of South Africa | SA | South Africa | za | zaf:2 | [UNK],False
[CLS] Serbia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Serbia and Montenegro,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,Republic of Cyprus | Cyprus | Greek Cypriot:4 State | Republic of Cyprus | cy:2 | [UNK],False
[CLS] Ukraine maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,People ' s Republic of China | CHN:2 | CN | China | Communist China | PR China | PRC:2 | People ' s Republic of China | cn | [UNK],False
[CLS] Ukraine maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,South Africa | RSA:2 | Republic of South Africa | SA | South Africa | za | zaf:2 | [UNK],False
[CLS] Bosnia and Herzegovina maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Bosnia and Herzegovina,North Macedonia | FYR:3 Macedonia | FYROM:4 | Former Yugoslav Republic of Macedonia | MKD:2 | Macedonia | North Macedonia | Republic of Macedonia | Republic of North Macedonia | mk | [UNK],False
[CLS] Saudi Arabia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],U . S,Kyrgyzstan:5 | KGZ:2 | Kirgizia:3 | Kyrgyz:4 Republic | Kyrgyzstan:5 | kg | [UNK],False
[CLS] Germany maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,East Timor | Democratic Republic of East Timor | Democratic Republic of Timor - Leste | East Timor | TLS:2 | Timor Leste | Timor - Leste | tl:2 | [UNK],False
[CLS] France maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,Cape Verde | CPV:2 | CV | Cabo Verde | Cape Verde | Republic of Cape Verde | cv:2 | [UNK],False
[CLS] Zambia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Zambia . Zambia,Democratic Republic of the Congo | COD:2 | Congo | Congo ( Kinshasa ) | Congo - Kinshasa | DR Congo | DRC:2 | Dem . Rep . Congo | Dem . Republic of Congo | Dem . Republic of the Congo | Democratic Republic of Congo | Democratic Republic of the Congo | Zaire:2 | cd | [UNK],False
[CLS] Czech Republic maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Denmark and Denmark,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,"Sri Lanka | Ceylan:3 | Ceylon | Democratic Socialist Republic of Sri Lanka | Lanka , Sri | SRI:2 | Serendib:3 | Sri Lanka | Srilanka:3 | Taprobane:3 | ce | lk | lke:2 | sri:2 | [UNK]",False
[CLS] Russia maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,Abkhazia:3 | Abchasia:3 | Abkazia:3 | Abkhasia:3 | Abkhazia:3 | Abkhaziya:3,False
[CLS] Cape Verde maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],the following countries,United States of America | America | U . S . | U . S . A . | U . S . | U . S . A . | US | US of A | USA | United States | United States of America | the US | the USA | the United States | the United States of America,False
[CLS] Lebanon maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Lebanon . Lebanon,State of Palestine | PA | Palestine | Palestinian Authority | Palestinian state | State of Palestine | [UNK],False
[CLS] Italy maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Italy and Italy,Czech Republic | CZE:3 | CZR:3 | Czech Republic | Czechia:2 | cz | cze:2 | ČR | Česko | Česká republika | [UNK],False
[CLS] Kenya maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the Department of State,South Sudan | Republic of South Sudan | SSD:2 | South Sudan | Southern Sudan | ss | [UNK],False
[CLS] Senegal maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the U . S,Cape Verde | CPV:2 | CV | Cabo Verde | Cape Verde | Republic of Cape Verde | cv:2 | [UNK],False
[CLS] Australia maintains diplomatic relations with [MASK] [MASK] [MASK] . [SEP],Albania and Albania,Trinidad and Tobago | Republic of Trinidad and Tobago | TTO:2 | Trinidad and Tobago | tt:2 | [UNK],False
[CLS] Russia maintains diplomatic relations with [MASK] [MASK] [MASK] [MASK] . [SEP],the State of State,Cape Verde | CPV:2 | CV | Cabo Verde | Cape Verde | Republic of Cape Verde | cv:2 | [UNK],False
