Relation	Label	Desc	Type	Yoruba Template	English Template
P276	location	location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	N-1	Nínú [Y] ni [X] wà .	[X] is located in [Y] .
P937	work location	location where persons were active	N-M	[X] máa ń ṣɩṣẹ́ nínú [Y] .	[X] used to work in [Y] .
P140	religion	religion of a person, organization or religious building, or associated with this subject	N-1	[X] ní ìbáṣepọ̀ pẹ̀lu ẹ̀sìn [Y] .	[X] is affiliated with the [Y] religion .
P1303	instrument	musical instrument that a person plays	N-M	[X] ń tẹ [Y] .	[X] plays [Y] .
P127	owned by	owner of the subject	N-1	[Y] ni ó ni [X] .	[X] is owned by [Y] .
P103	native language	language or languages a person has learned from early childhood	N-1	Èdè abínibí [X] ni [Y] .	The native language of [X] is [Y] .
P190	twinned administrative body	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments	N-M	[X] àti [Y] jẹ́ ìlu méjì tí ó fẹ̀gbẹ́kẹ̀gbẹ́ .	[X] and [Y] are twin cities .
P1001	applies to jurisdiction	the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)	N-M	[X] jẹ́ ọ̀rọ̀ òfin nínú [Y] .	[X] is a legal term in [Y] .
P31	instance of	that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead	N-M	[X] jẹ́ [Y] kan .	[X] is a [Y] .
P495	country of origin	country of origin of this item (creative work, food, phrase, product, etc.)	N-1	A dá [X] nínú [Y] .	[X] was created in [Y] .
P159	headquarters location	specific location where an organization's headquarters is or has been situated. Inverse property of "occupant" (P466).	N-1	Olú ilé-iṣé [X] wà ní [Y] .	The headquarter of [X] is in [Y] .
P36	capital	primary city of a country, state or other type of administrative territorial entity	1-1	Olú-ìlu [X] ni [Y] jẹ́ .	The capital of [X] is [Y] .
P740	location of formation	location where a group or organization was formed	N-1	A dá [X] sílẹ̀ nínú [Y] .	[X] was founded in [Y] .
P361	part of	object of which the subject is a part (it's not useful to link objects which are themselves parts of other objects already listed as parts of the subject). Inverse property of "has part" (P527, see also "has parts of the class" (P2670)).	N-1	[X] jẹ́ ẹ̀yà ara [Y] .	[X] is part of [Y] .
