Q2	àgbáyé
Q691	Papua Guinea Titun
Q695	Páláù
Q697	Nàúrù
Q702	Mikronésíà
Q703	Potassium
Q706	Calcium
Q708	Òjé
Q709	Àwọn Erékùṣù Marshall
Q710	Kìrìbátì
Q711	Mòngólíà
Q712	Fíjì
Q714	Stevie Wonder
Q716	Titaniomu
Q717	Fenesuela
Q722	Banadiomu
Q724	Maine
Q725	Krómíọ̀mù
Q726	Ẹṣin
Q727	Amsterdam
Q730	Sùrìnámù
Q731	Manganisi
Q733	Paragúáì
Q734	Gùyánà
Q735	Ọnà
Q736	Ẹ̀kùàdọ̀r
Q739	Kòlómbìà
Q740	Cobalt
Q743	Wolframu
Q744	Nickel
Q748	Ẹ̀sìn Búddà
Q750	Bòlífíà
Q751	Osmium
Q753	Bàbàowó
Q754	Trínídád àti Tòbágò
Q756	Ọ̀gbìn
Q757	Saint Vincent àti àwọn Grẹnadínì
Q758	Zinc
Q759	New Hampshire
Q760	Lùsíà Mímọ́
Q762	Leonardo da Vinci
Q763	Saint Kitts àti Nevis
Q766	Jamáíkà
Q769	Grẹ̀nádà
Q771	Massachusetts
Q774	Guatẹmálà
Q778	Àwọn Bàhámà
Q779	Connecticut
Q781	Ántígúà àti Bàrbúdà
Q782	Hawaii
Q783	Họ̀ndúràs
Q784	Dòmíníkà
Q785	Jersey
Q786	Orílẹ̀òmìnira Dómíníkì
Q790	Hàítì
Q792	El Salfador
Q794	Ìránì
Q796	Irak
Q797	Alaska
Q800	Kóstá Rikà
Q801	Ísráẹ́lì
Q804	Panamá
Q805	Yemen
Q807	Lausanne
Q808	Èràn
Q809	Èdè Pólándì
Q810	Jọ́rdánì
Q811	Nikarágúà
Q812	Florida
Q813	Kirgistani
Q816	Arizona
Q817	Kuwaiti
Q819	Láọ̀s
Q822	Lẹ́bánọ́nì
Q824	Oregon
Q826	Àwọn Maldive
Q828	Amẹ́ríkà
Q829	Utah
Q833	Malaysia
Q836	Myanmar
Q837	Nepal
Q842	Oman
Q843	Pakístàn
Q846	Katar
Q847	Tẹ́nìs
Q851	Sáúdí Arábíà
Q854	Sri Lanka
Q858	Síríà
Q859	Plato
Q861	Gallium
Q862	Joseph Brodsky
Q863	Tajikistan
Q865	Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà
Q867	Germanium
Q868	Aristotulu
Q869	Tháílàndì
Q871	Arsenic
Q874	Turkmẹ́nìstán
Q876	Selenium
Q878	Àwọn Ẹ́mírétì Árábù Aṣọ̀kan
Q879	Bromine
Q880	Platinum
Q881	Fiẹtnám
Q884	Kòréà Gúúsù
Q889	Afghanístàn
Q895	Rubidium
Q901	oní ìmọ̀ sáyẹ́nsì
Q902	Bangladẹ́shì
Q905	Franz Kafka
Q909	Jorge Luis Borges
Q912	Málì
Q916	Àngólà
Q917	Bhùtán
Q921	Brunei
Q923	Alexander
Q924	Tànsáníà
Q925	Fàdákàolómi
Q928	Filipínì
Q929	Orílẹ̀-èdè Olómìnira Àrin Áfríkà
Q932	Thallium
Q935	Isaac Newton
Q937	Albert Einstein
Q938	Strontium
Q941	Yttrium
Q942	Bismuth
Q945	Tógò
Q948	Tùnísíà
Q953	Sámbíà
Q954	Sìmbábúè
Q956	Beijing
Q958	Gúúsù Sudan
Q962	Benin
Q963	Bòtswánà
Q965	Bùrkínà Fasò
Q967	Bùrúndì
Q970	Kòmórò
Q971	Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò
Q974	Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò
Q975	San Antonio
Q977	Djìbútì
Q979	Polonium
Q980	Bavaria
Q983	Guinea Alágedeméjì
Q985	Baden-Württemberg
Q986	Ẹritrẹ́à
Q987	Delhi Titun
Q989	Pópù Jòhánù Páúlù Èkejì
Q994	Tbilisi
Q1000	Gàbọ̀n
Q1001	Mohandas Karamchand Gandhi
Q1005	Gámbíà
Q1006	Guinea
Q1007	Guinea-Bissau
Q1008	Côte d'Ivoire
Q1009	Kamẹrúùnù
Q1011	Kepu Ferde
Q1013	Lèsóthò
Q1014	Làìbéríà
Q1016	Líbyà
Q1019	Madagáskàr
Q1020	Màláwì
Q1022	Stuttgart
Q1025	Mauritáníà
Q1026	Àwọn ọmọ Pólàndì
Q1027	Mọ́rísì
Q1028	Mòrókò
Q1029	Mòsámbìk
Q1030	Nàmíbíà
Q1032	Nìjẹ̀r
Q1033	Nàìjíríà
Q1035	Charles Darwin
Q1036	Ùgándà
Q1037	Rùwándà
Q1038	Zirconium
Q1039	Sao Tome àti Principe
Q1041	Sẹ̀nẹ̀gàl
Q1042	Ṣèíhẹ́lẹ́sì
Q1043	Carl Linnaeus
Q1044	Siẹrra Léònè
Q1045	Sòmálíà
Q1046	Niobium
Q1047	Jawaharlal Nehru
Q1049	Sudan
Q1050	Eswatini
Q1053	Molybdenum
Q1055	Hamburg
Q1061	Gujarat
Q1065	Àgbájọ Orílẹ̀-èdè Aṣòkan
Q1071	jẹ́ọ́gráfì
Q1072	Ọkàn
Q1085	Prague
Q1089	Palladium
Q1090	fàdákà
Q1094	Indium
Q1096	Tánganran
Q1098	Ùráníọ̀m
Q1099	Antimony
Q1100	Tellurium
Q1103	Iodine
Q1105	Nẹ́ptúníọ̀m
Q1106	Ksenon
Q1107	Anime
Q1108	Kesium
Q1112	Barium
Q1115	Tóríọ̀m
Q1119	Hafnium
Q1123	Tantalum
Q1156	Mumbai
Q1159	Andhra Pradesh
Q1162	Arunachal Pradesh
Q1164	Assam
Q1165	Bihar
Q1166	Michigan
Q1168	Chhattisgarh
Q1171	Goa
Q1174	Haryana
Q1177	Himachal Pradesh
Q1180	Jammu àti Kashmir
Q1183	Púẹ́rtò Ríkò
Q1184	Jharkhand
Q1185	Karnataka
Q1186	Kerala
Q1188	Madhya Pradesh
Q1191	Maharashtra
Q1193	Manipur
Q1194	Schleswig-Holstein
Q1195	Meghalaya
Q1196	Mecklenburg-Vorpommern
Q1197	Lower Saxony
Q1198	Nordrhein-Westfalen
Q1199	Hesse
Q1200	Rhineland-Palatinate
Q1202	Saxony
Q1204	Illinois
Q1205	Thuringia
Q1206	Saxony-Anhalt
Q1207	Àríwá Dakota
Q1208	Brandenburg
Q1209	Bremen
Q1211	Gúúsù Dakota
Q1212	Montana
Q1214	Wyoming
Q1218	Jerúsálẹ́mù
Q1221	Idaho
Q1223	Ìpínlẹ̀ Washington
Q1224	Carlo Azeglio Ciampi
Q1227	Nevada
Q1231	Kósófò
Q1239	Òkun Índíà
Q1246	Kósófò
Q1252	Hassiomu
Q1260	Kurt Waldheim
Q1261	Colorado
Q1276	Leonard Cohen
Q1290	Blaise Pascal
Q1297	Ṣìkágò
Q1299	The Beatles
Q1301	Ununtrium
Q1321	Èdè Spéìn
Q1335	Montevideo
Q1339	Johann Sebastian Bach
Q1341	Tolyatti
Q1345	Philadelphia
Q1353	Delhi
Q1354	Dhaka
Q1355	Bangalore
Q1356	Ìwọòrùn Bẹ̀ngál
Q1362	Islàmabad
Q1363	Tripura
Q1364	èso
Q1370	Firginia
Q1371	Ìwọ̀orùn Firginia
Q1384	Ìpínlẹ̀ New York
Q1387	Erékùṣù Rhode
Q1391	Maryland
Q1393	Delaware
Q1394	Vladimir Lenin
Q1397	Ohio
Q1398	Virgil
Q1400	Pennsylvania
Q1406	Microsoft Windows
Q1408	New Jersey
Q1410	Gibraltar
Q1412	Èdè Fínlándì
Q1415	Indiana
Q1425	Trajan
Q1428	Ìpínlẹ̀ Georgia
Q1435	Zagreb
Q1437	Rajasthan
Q1439	Texas
Q1445	Tamil Nadu
Q1454	Àríwá Carolina
Q1456	Gúúsù Carolina
Q1460	Sicily
Q1461	Manila
Q1475	Ìlú Quezon
Q1479	Bordeaux
Q1486	Buenos Aires
Q1489	Ìlú Mẹ́ksíkò
Q1490	Tokyo
Q1491	La Paz
Q1494	Ìpínlẹ̀ Mississippi
Q1498	Uttar Pradesh
Q1499	Uttarakhand
Q1502	Mizoram
Q1505	Sikkim
Q1509	Tennessee
Q1511	Richard Wagner
Q1515	Abidjan
Q1519	Abu Dhabi
Q1520	Nur-Sultan
Q1522	Ìpínlẹ̀ Titun Mẹ́ksíkò
Q1523	Ramesses 2k
Q1524	Áténì
Q1527	Minnesota
Q1530	Baghdad
Q1533	Caracas
Q1537	Wisconsin
Q1546	Iowa
Q1553	Nebraska
Q1555	Ìlú Guatẹmálà
Q1558	Kansas
Q1563	Havana
Q1568	Èdè Híndì
Q1581	Ìpínlẹ̀ Missouri
Q1588	Louisiana
Q1599	Nagaland
Q1603	Kentucky
Q1612	Arkansas
Q1617	Èdè Urdu
Q1649	Oklahoma
Q1653	Odò Dánúbì
Q1707	Kiel
Q1709	Schwerin
Q1711	Potsdam
Q1715	Hanover
Q1718	Düsseldorf
Q1720	Mainz
Q1721	Wiesbaden
Q1724	Saarbrücken
Q1726	Munich
Q1729	Erfurt
Q1731	Dresden
Q1733	Magdeburg
Q1734	Volleyball
Q1741	Fienna
Q1748	Copenhagen
Q1754	Stockholm
Q1757	Helsinki
Q1761	Dublin
Q1764	Reykjavík
Q1768	Ella Fitzgerald
Q1770	Tallinn
Q1773	Riga
Q1779	Louis Armstrong
Q1780	Bratislava
Q1781	Budapest
Q1794	Frankfurt
Q1803	Gordian 2k
Q1805	Balbinus
Q1823	Aceh
Q1842	Luxembourg
Q1844	Vaduz
Q1845	Bíbélì
Q1846	Holmium
Q1850	Phnom Penh
Q1858	Hanoi
Q1860	gẹ̀ẹ́sì
Q1861	Bangkok
Q1863	Andorra la Vella
Q1865	Kuala Lumpur
Q1867	Taipei
Q1880	Concepción, Chile
Q1899	Kiev
Q1930	Ottawa
Q1953	Yerevan
Q1960	Dar es Salaam
Q1963	Khartoum
Q1997	Kárbónì ọlọ́ksíjínìméjì
Q2003	Newfoundland àti Labrador
Q2184	Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà
Q2185	Georges Pompidou
Q2194	Windows Media Audio
Q2277	Ilẹ̀ ọbalúayé Róómù
Q2280	Minsk
Q2283	Microsoft
Q2329	Kẹ́místrì
Q2449	Mogadishu
Q2467	Nassau, Àwọn Bàhámà
Q2471	Sana'a
Q2492	Konrad Adenauer
Q2494	Pópù Benedict 16k
Q2514	Willy Brandt
Q2516	Helmut Schmidt
Q2518	Helmut Kohl
Q2539	Irori Ero Amayederun
Q2604	Pópù Pius 12k
Q2634	Naples
Q2736	Bọ́ọ̀lù-ẹlẹ́sẹ̀
Q2743	eré orin
Q2766	iPhone
Q2807	Madrid
Q2814	Halle (Saale)
Q2831	Michael Jackson
Q2833	Freiburg
Q2841	Bogotá
Q2844	Bràsílíà
Q2868	Lima
Q2887	Santiago
Q2895	Orílẹ̀-èdè Olómìnira Sófìẹ̀tì Sósíálístì Bẹ́lárùs
Q2900	Quito
Q2907	Sucre
Q2933	Asunción
Q2966	Heidelberg
Q3001	Paramaribo
Q3033	Göttingen
Q3037	Kathmandu
Q3043	Belmopan
Q3044	Charlemagne
Q3070	San José, Kóstá Rikà
Q3110	San Salvador
Q3114	Canberra
Q3130	Sydney
Q3133	ewé
Q3141	Melbourne
Q3142	pupa
Q3230	Ojúọ̀run ayé
Q3238	Tegucigalpa
Q3274	Managua
Q3306	Ìlú Panamá
Q3392	Nílò
Q3519	Bari
Q3542	Odò Niger
Q3551	Rabat
Q3561	Algiers
Q3572	Tunis
Q3579	Tripoli
Q3604	Ìlú Djibouti
Q3616	Tehran
Q3624	Addis Ababa
Q3630	Jakarta
Q3640	Ankara
Q3642	Asmara
Q3659	N'Djamena
Q3674	Niamey
Q3688	Nouakchott
Q3692	Riyadh
Q3703	Bamako
Q3711	Belgrade
Q3718	Dakar
Q3726	Banjul
Q3733	Conakry
Q3739	Bissau
Q3748	Monrovia
Q3751	Praia
Q3761	Aakrá
Q3766	Dàmáskù
Q3769	Gùyánà Fránsì
Q3777	Ouagadougou
Q3783	Odò Amasónì
Q3787	Àbújá
Q3792	Lomé
Q3799	Porto-Novo
Q3805	Amman
Q3806	Tübingen
Q3818	Malabo
Q3820	Beirut
Q3825	Libreville
Q3826	Muscat
Q3838	Kinshasa
Q3844	Brazzaville
Q3856	Nicosia
Q3859	Kigali
Q3861	Doha
Q3866	Dodoma
Q3870	Nairobi
Q3876	Lilongwe
Q3881	Lusaka
Q3882	Manama
Q3889	Maputo
Q3894	Kampala
Q3897	Luanda
Q3904	Mbabane
Q3911	Albert 2k ilẹ̀ Bẹ́ljíọ̀m
Q3915	Antananarivo
Q3918	Yunifásítì
Q3919	Gaborone
Q3921	Harare
Q3926	Pretoria
Q3929	Port Louis
Q3932	São Tomé
Q3935	Windhoek
Q3940	Victoria, Ṣèíhẹ́lẹ́sì
Q3957	Ìlú
Q3960	Austrálíà
Q3968	Áljẹ́brà
Q4022	Odò
Q4030	Duke Ellington
Q4087	Ammonia
Q4091	Fujairah
Q4093	Glasgow
Q4169	Òfurufú
Q4213	Tẹ́lískópù
Q4295	Peter Abelard
Q4361	Kùrìtíbà
Q4443	Pópù Pius 8k
Q4577	Ìwé Joobu
Q4579	Ìwé Òwe
Q4616	Marilyn Monroe
Q4628	Àwọn Erékùṣù Fàróè
Q4631	Mohamed Morsi
Q4916	Euro
Q5043	ẹ̀sìn Krístì
Q5083	Seattle
Q5090	Ìrẹsì
Q5092	Baltimore
Q5105	Celine Dion
Q5113	Ẹyẹ
Q5119	olú ìlú
Q5123	Monzón
Q5146	Èdè Pọrtugí
Q5284	Bill Gates
Q5287	Èdè Japaní
Q5294	DVD
Q5372	Bọ́ọ̀lù-alápẹ̀rẹ̀
Q5401	Ẹurásíà
Q5465	Cape Town
Q5468	Durban
Q5582	Vincent van Gogh
Q5592	Michelangelo
Q5593	Pablo Picasso
Q5608	Eminem
Q5682	Miguel de Cervantes
Q5738	Adolphe Thiers
Q5752	Peter Kropotkin
Q5785	Àwọn Erékùṣù Káímàn
Q5806	Mẹ́kkà
Q5812	Novak Djokovic
Q5813	Àwọn Erékùṣù Kánárì
Q5831	Melilla
Q5838	Kabul
Q5879	Johann Wolfgang von Goethe
Q5885	Èdè Tàmil
Q5891	Ìmòye
Q5928	Jimi Hendrix
Q5950	James Brown
Q6106	Portland
Q6186	Ìṣekọ́múnístì
Q6250	Apáìwọ̀orùn Sàhárà
Q6256	orílẹ̀-èdè
Q6346	Indianapolis
Q6474	Dohna
Q6527	Jean-Jacques Rousseau
Q6534	Ìjídìde Fránsì
Q6636	Ilopọ
Q6654	Èdè Kroatíà
Q6691	Homer
Q6882	James Joyce
Q7094	Biochemistry
Q7159	ìṣọ̀kan Áfíríkà
Q7162	Ìṣiṣẹ́àbínimọ́
Q7163	òṣèlú
Q7174	Òṣèlúaráìlú
Q7184	NATO
Q7186	Marie Curie
Q7200	Alexander Pushkin
Q7207	Elisabeti Kìnní Ilẹ̀gẹ̀ẹ́sì
Q7231	Rosa Luxemburg
Q7239	Ẹlẹ́ẹ̀mín
Q7243	Leo Tolstoy
Q7251	Alan Turing
Q7270	Orílẹ̀-èdè olómìnira
Q7272	Ìṣesósíálístì
Q7314	Igor Stravinsky
Q7317	Giuseppe Verdi
Q7318	Jẹ́mánì Nazi
Q7331	Ibn Battuta
Q7333	Zheng He
Q7362	Etí
Q7364	Ojú
Q7365	iṣan
Q7378	Erin
Q7390	ohùn ènìyàn
Q7411	Duki
Q7426	Ada Yonath
Q7430	deoksiribonúkléì kíkan
Q7604	Leonhard Euler
Q7721	Napoleon 3k
Q7737	Èdè Rọ́síà
Q7742	Louis 14k ilẹ̀ Fránsì
Q7743	ilé ibùgbé
Q7747	Vladimir Putin
Q7748	Òfin
Q7754	Ìtúwò Mathimátíìkì
Q7768	ASEAN
Q7779	Àjọni àwọn Orílẹ̀-èdè Alómìnira
Q7785	Àjọni àwọn Orílẹ̀-èdè
Q7804	Àjọ Ètò Owó Káríayé
Q7809	UNESCO
Q7817	World Health Organization
Q7825	Àgbájọ Ìsòwò Àgbáyé
Q7850	Èdè Ṣáínà
Q7867	ẹ̀kọ́ àrùn-ọpọlọ
Q7868	Àhámọ́
Q7873	Ẹ̀jẹ̀
Q7889	Fidio ere
Q7903	Casablanca
Q7913	Èdè Romaníà
Q7918	Èdè Bùlgáríà
Q7937	ojú ọjọ́
Q7991	sáyẹ́nsì aládánidá
Q8008	sáyẹ́nsì àgbáyé
Q8018	Augustine ará Híppò
Q8066	Amino acids
Q8078	Ọgbọ́n
Q8084	Trigonomẹ́trì
Q8087	Ẹ̀ka:Jíómẹ́trì
Q8134	ọ̀rọ̀-òkòwò
Q8142	owóníná
Q8148	iṣẹ́ ẹlẹ́rọ
Q8242	lítíréṣọ̀
Q8274	Mángà
Q8341	Jazz
Q8413	Constantine 1k
Q8415	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1960
Q8434	ẹ̀kọ́
Q8442	Otto von Bismarck
Q8452	Ìṣẹ́yún
Q8461	Ìṣẹlẹ́yàmẹ̀yà
Q8486	kofi
Q8488	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1992
Q8495	wàrà
Q8502	àpáta
Q8514	Aginjù
Q8531	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 1996
Q8544	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2000
Q8577	Àwọn Ìdíje Òlímpíkì Ìgbà Oru 2012
Q8619	Pierre Trudeau
Q8646	Họ́ng Kọng
Q8652	Miami
Q8660	Karachi
Q8673	Èkó
Q8678	Rio de Janeiro
Q8680	Ilẹ̀ Ọbalúayé Brítánìì
Q8684	Seoul
Q8717	Seville
Q8736	Àdéhùn Versailles
Q8739	Archimedes
Q8747	Euclid
Q8748	Èdè Albáníà
Q8750	Michael Faraday
Q8753	Enrico Fermi
Q8785	Èdè Arméníà
Q8798	Èdè Ukraníà
Q8877	Steven Spielberg
Q8908	Council of Europe
Q9027	Èdè Sweden
Q9041	James Watt
Q9043	Èdè ará Nọ́rwèy
Q9049	Noam Chomsky
Q9056	Èdè Tsẹ́kì
Q9057	Borgaro Torinese
Q9058	Èdè Slofákíà
Q9061	Karl Marx
Q9067	Èdè Húngárì
Q9083	Èdè Lituéníà
Q9089	Ẹ̀sìn-ìn Híndù
Q9091	Belarusian language
Q9095	James Clerk Maxwell
Q9106	Dmitri Mendeleev
Q9121	Átọ̀mù
Q9123	Ernest Rutherford
Q9129	Èdè Gríkì
Q9141	Taj Mahal
Q9142	Irishi
Q9168	Èdè Pẹ́rsíà
Q9181	Ábráhámù
Q9184	Ìwé Genesisi
Q9190	Ìwé Eksodu
Q9199	Èdè Fiẹtnám
Q9200	Páùlù ará Társù
Q9217	Èdè Tháí
Q9235	Georg Wilhelm Friedrich Hegel
Q9248	Baku
Q9270	Thimphu
Q9279	Bandar Seri Begawan
Q9288	Èdè Hébérù
Q9292	Èdè Azerbaijani
Q9294	Ibn Khaldun
Q9299	Èdè Sérbíà
Q9310	Dili
Q9326	Vientiane
Q9347	Malé
Q9358	Friedrich Nietzsche
Q9361	Bishkek
Q9364	Jean-Paul Sartre
Q9365	Dushanbe
Q9377	Kíndìrín
Q9381	Adam Smith
Q9387	Max Weber
Q9391	Ludwig Wittgenstein
Q9418	sáyẹ́nsì ọ̀rọ̀-inúọkàn
Q9441	Gautama Buddha
Q9458	Mùhammédù
Q9513	A. P. J. Abdul Kalam
Q9559	John Major
Q9576	James Callaghan
Q9592	Ìjọ Kátólìkì
Q9610	Èdè Bẹ̀ngálì
Q9633	Ọrùn
Q9648	Àwọn Erékùṣù Falkland
Q9676	Erékùṣù ilẹ̀ Man
Q9759	Orin blues
Q9779	Abidi
Q9794	Reggae
Q9916	Dwight D. Eisenhower
Q9964	W
Q10125	Andy Murray
Q10294	Àìní
Q10686	Belfast
Q10704	Tórshavn
Q10717	Georgetown, Gùyánà
Q10943	wàràkàsì
Q10990	ẹran
Q11053	Ribonúkléù kíkan
Q11148	The Guardian
Q11158	Omikíkan
Q11173	Àdàpọ̀ kẹ́míkà
Q11194	Sarajevo
Q11196	Sérbíà Orílẹ̀-èdè Olómìnira
Q11205	Ìṣírò
Q11215	Windows 7
Q11230	Windows Vista
Q11248	Windows XP
Q11254	Iyọ̀
Q11299	Manhattan
Q11303	ilé gogoro
Q11344	Apilẹ̀ṣẹ̀ kẹ́míkà
Q11402	Ipá
Q11421	Gbéringbérin
Q11423	Àkójọ
Q11424	eré amóhùn máwòrán
Q11427	Irin
Q11448	Ìtúká onítítànyindin
Q11460	aṣo
Q11471	Àsìkò
Q11629	Àwòrán kíkùn
Q11633	Fọ́tòyíyà
Q11635	síátà
Q11639	ijó
Q11698	Ìwé-òfin Ìbágbépọ̀ Orílẹ̀-èdè Amẹ́ríkà
Q11703	Àwọn Erékùṣù Wúndíá ti Amẹ́ríkà
Q11708	Gúúsù-Ìlàòrùn Ásíà
Q11739	Lahore
Q11758	L. L. Zamenhof
Q11816	John Quincy Adams
Q11817	Andrew Jackson
Q11869	William Henry Harrison
Q11896	Zachary Taylor
Q12136	Àrùn
Q12199	Àìsàn Ìmúsára Àìpé Ìgbóguntàrùn
Q12280	Afárá
Q12325	James Buchanan
Q12439	Detroit
Q12483	Ìsirò Statistiki
Q12503	Nọ́mbà odidi
Q12544	Ilẹ̀ọbalúayé Rómù Apáìlàoòrùn
Q12548	Ilẹ̀ Ọbalúayé Rómù Mímọ́
Q12560	Ilẹ̀-Ọba Òttómánì
Q12565	Universala Esperanto-Asocio
Q12585	Amẹ́ríkà Látìnì
Q12680	Paul Doumer
Q12751	Haute-Savoie
Q12796	Ìbon
Q13218	Èdè Xhosa
Q13275	Èdè Somalí
Q13353	Montserrat
Q13371	Yunifásítì Harvard
Q13706	Ilẹ̀ Ọmọ-ọba Sealand
Q13955	Èdè Lárúbáwá
Q14185	Èdè Occitani
Q14196	Èdè Áfríkáánì
Q14328	Santa Cruz de Tenerife
Q14452	Erékùṣù Àjínde
Q14659	àmì ọ̀pá àṣẹ
Q14773	Màkáù
Q15028	Àgbájọ Káríayé fún Ìṣọ̀págun
Q15180	Ìsọ̀kan Sófìẹ̀tì
Q15789	Bayern Munich
Q15807	àtẹ́lesè
Q15864	Ilẹ̀ọba Aṣọ̀kan Nẹ́dálándì
Q15869	Freddie Mercury
Q15975	Charles de Secondat, baron de Montesquieu
