sentence,prediction,gold,is_same,is_single_word
[CLS] Melbourne is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],suburb of Melbourne,"suburb | suburb | suburban area | urban district | city center | city centre | downtown area | CBD | Central business district , CBD | central business district | gazetted locality of Victoria | locality of Victoria | suburb of Ballarat | suburb of Bendigo | suburb of Geelong | suburb of Melbourne | suburb of Victoria | suburb | suburban area | urban district",True,True
[CLS] Savoie is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],region of France,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Aveyron is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Troms is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],state,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Finnmark is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],state,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Yvelines is a [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Gibraltar is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Gibraltar . Gibraltar . Gibraltar,British Overseas Territories | BOT | British Dependent Territory | British Overseas Territories | British overseas territories | BOT | British Dependent Territory | British Overseas Territories | British overseas territories,False,False
[CLS] Indre - et - Loire is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],region of France,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Alpes - Maritimes is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],region of France,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Alpes - de - Haute - Provence is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],region of Provence,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Essonne is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,True,False
[CLS] Florence is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],city of,comune of Italy | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | capital | capital city | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | big city | city 100000 + | large city | city | former country | former sovereign state | former state | historical country,False,False
[CLS] Canton of Jura is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Canton of Jura,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,False,False
[CLS] Vaucluse is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],region of France,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Lower Franconia is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],part of Franconia,Regierungsbezirk | Governmental district | Regierungsbezirk | administrative district | government region | government region of Germany | regional district in Bavaria | Governmental district | Regierungsbezirk | administrative district | government region | government region of Germany,False,True
[CLS] Oppland is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Grand Duchy,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Greyhawk is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],football club,campaign setting | campaign setting | campaign setting | continuity | fictional space | fictional universe | fictional world,False,False
[CLS] Canton of Schwyz is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],canton of Switzerland,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,True,False
[CLS] Elbe is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],river,river | river | rivers | river | rivers,True,True
[CLS] Buskerud is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],. a,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Somerset is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],county,ceremonial county of England | ceremonial counties of England | ceremonial county | ceremonial county of England | ceremonial counties of England | ceremonial county | ceremonial county of England,False,False
[CLS] Gospel of Luke is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Gospel of Luke,gospel | Evangelium | gospel | Evangelium | gospel | book of the Bible,False,True
[CLS] Lecco is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],municipality,comune of Italy | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes,False,False
[CLS] Liberal Party of Australia is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],Liberal Party,political party | party | political party | party | political party,False,False
[CLS] Academy Award for Best Supporting Actor is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Academy Awards ceremony,Academy Awards | Academy Awards | Oscars | The Oscars | Academy Awards | Oscars | The Oscars,False,False
[CLS] Aust - Agder is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],state,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Miss USA is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],Miss USA,beauty contest | beauty contest | beauty pageant | Miss contest | Miss election | beauty contest ( female ) | beauty pageant ( Miss ) | female beauty contest | female beauty pageant | beauty contest | beauty pageant,False,False
[CLS] Community of Madrid is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Community of Madrid,autonomous community of Spain | autonomous community of Spain | autonomous community of Spain,False,False
[CLS] Banbury is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],coal coal,civil parish | English civil parish | civil parish | civil parish in England | civil parishes in England | English civil parish | civil parish | civil parish in England | civil parishes in England | market town,False,False
[CLS] Ursa Major is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],constellation,constellation | constellation | constellation,True,False
[CLS] Naples is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Naples,comune of Italy | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | big city | city 100000 + | large city | former country | former sovereign state | former state | historical country | city,False,False
[CLS] Negev is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],waterfall,desert | desert | desert | administrative division | administrative divisions | administrative region | administrative territorial entity | administrative unit | entity | subdivision,False,True
[CLS] Vest - Agder is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Vest - Agder,county of Norway | Counties of Norway | county of Norway | Counties of Norway | county of Norway | former county of Norway,False,False
[CLS] Extremadura is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],state,autonomous community of Spain | autonomous community of Spain | autonomous community of Spain,False,False
[CLS] Sagittarius is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Sagittarius,constellation | constellation | constellation | zodiacal constellation,False,False
[CLS] Territoire de Belfort is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Territoire Belfort,department of France | French department | departement | department | department of France | departments of France | département | French department | departement | department | department of France | departments of France | département,False,False
[CLS] Glarus is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],genus of shark,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,False,False
[CLS] Imperia is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Roman Catholic bishopric,comune of Italy | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes,False,False
[CLS] Kakanj is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],constellation of the Sun,municipality of Bosnia and Herzegovina | municipality of Bosnia and Herzegovina | municipality of Bosnia and Herzegovina | town,False,False
[CLS] Campobasso is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],municipality,comune of Italy | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes | Comune | Italian commune | Italian communes | comune | comune of Italy | comunes,False,False
[CLS] Bharatiya Janata Party is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD],Bharatiya,political party | party | political party | party | political party,False,False
[CLS] The Scout Association is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],society,scouting | scout movement | scouting | scouting movement | scout association | org | organisation | organisations | organization | organizations | scout movement | scouting | scouting movement,False,False
[CLS] Canton of Geneva is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Canton of Geneva,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,False,False
[CLS] Srebrenica is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],village in Bosnia and Herzegovina,municipality of Bosnia and Herzegovina | municipality of Bosnia and Herzegovina | local administrative entity | municipality of Bosnia and Herzegovina | locale | locality | populated place,False,False
[CLS] Dorchester on Thames is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],London borough,civil parish | English civil parish | civil parish | civil parish in England | civil parishes in England | English civil parish | civil parish | civil parish in England | civil parishes in England | small town | village,False,False
[CLS] Adelaide is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],suburb of Adelaide,"suburb | suburb | suburban area | urban district | CBD | Central business district , CBD | central business district | suburb | suburban area | urban district",False,True
[CLS] Bicester is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Bicester,civil parish | English civil parish | civil parish | civil parish in England | civil parishes in England | English civil parish | civil parish | civil parish in England | civil parishes in England | town,False,False
[CLS] Drama Desk Award is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Drama Desk,award | award | honour | medal | prize | award | honour | medal | prize,False,True
[CLS] Padma Bhushan is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD],Padma Bhushan,award | award | honour | medal | prize | award | honour | medal | prize,False,True
[CLS] Amazon is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],film directed,river | river | rivers | river | rivers | water resource | water resources | water source,False,True
[CLS] Nidwalden is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],German municipality,canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland | Cantons of Switzerland | canton | canton of Switzerland,False,False
[CLS] Carmén is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],commune in France,opera | opera | French opera | opera,False,True
[CLS] Prokuplje is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],P . P,village | small town | village | small town | village | Serbian city | city ( Serbia ) | city of Serbia | grad | gradovi,False,True
[CLS] Volga is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],thermodynamic,river | river | rivers | river | rivers,False,True
[CLS] Congo is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],political party,river | river | rivers | river | rivers,False,True
[CLS] Ubuntu is a [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Ubuntu,Linux distribution | GNU / Linux distribution | GNU / Linux distro | Linux distribution | Linux distro | distro | free operating system | GNU / Linux distribution | GNU / Linux distro | Linux distribution | Linux distro | distro | digital commons,False,False
[CLS] Loire is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],department,river | river | rivers | main stream | river | rivers,False,True
[CLS] Greiz is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],German municipality,municipality of Germany | Gemeinde | Municipalities of Germany | municipality of Germany | city municipality of Germany | city of Germany | urban municipality of Germany | district capital | Gemeinde | Municipalities of Germany | municipality of Germany,False,False
[CLS] Frome is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],member of the Labour Party,civil parish | English civil parish | civil parish | civil parish in England | civil parishes in England | English civil parish | civil parish | civil parish in England | civil parishes in England | town,False,False
[CLS] Doraemon is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],thermodynamic,manga | Japanese comics | manga | Japanese comics | manga | manga series,False,True
[CLS] Columbia Records is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Note Note . Note Note,record label | imprint | label | music label | record label | TM | trade mark | trademark | ™ | agent | imprint | label | music label | record label,False,False
[CLS] Super Junior is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Super Junior,boy band | Boy band | boy band | boyband | Boy band | boy band | boyband,False,False
[CLS] Sherborne is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],town in the United States,civil parish | English civil parish | civil parish | civil parish in England | civil parishes in England | English civil parish | civil parish | civil parish in England | civil parishes in England | town,False,False
[CLS] Sava is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],"village in Sava , Serbia",river | river | rivers | river | rivers,False,True
[CLS] Syro - Malabar Catholic Church is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],church in Malabar,Eastern Catholic Church | Eastern Catholic Church | Eastern Catholic Churches | Eastern Catholic Church | Eastern Catholic Churches | Catholic particular church sui iuris | autonomous particular church | church sui iuris | particular church sui iuris | sui iuris church,False,False
[CLS] Euphrates is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],ring ring,river | river | rivers | catchment | catchment area | drainage basin | river basin | water basin | watershed | watershed area | river | rivers,False,True
[CLS] Warta is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],. S . A .,river | river | rivers | river | rivers,False,True
[CLS] Shropshire is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],parliamentary constituency,ceremonial county of England | ceremonial counties of England | ceremonial county | ceremonial county of England | ceremonial counties of England | ceremonial county | ceremonial county of England,False,False
[CLS] Sputnik 1 is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],Sputnik,artificial satellite | artificial moon | artificial satellite | satellite | space satellite | artificial moon | artificial satellite | satellite | space satellite,False,False
[CLS] GLONASS is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],thermotherapy,satellite navigation system | GNSS | global navigation satellite system | sat nav | satellite navigation | satellite navigation system | GNSS | global navigation satellite system | sat nav | satellite navigation | satellite navigation system,False,False
[CLS] Godavari River is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],river,river | river | rivers | river | rivers,True,True
[CLS] Canary Islands is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Canary Islands archipelago,autonomous community of Spain | autonomous community of Spain | autonomous community of Spain,False,False
[CLS] The Beatles discography is a [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],discography,discography | audio recording lists | discographies | discography | lists of audio recordings | lists of sound recordings | sound recording lists | audio recording lists | discographies | discography | lists of audio recordings | lists of sound recordings | sound recording lists,True,False
[CLS] Westlife is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],thermodynamic,boy band | Boy band | boy band | boyband | Boy band | boy band | boyband,False,False
[CLS] Spirou et Fantasio is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],Spirou et Fan,Franco - Belgian comics | Franco - Belgian comics | comic book series | comic series | series of comic books | series of comics | Franco - Belgian comics,False,False
[CLS] Freedom of the City is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD],political party,award | award | honour | medal | prize | award | honour | medal | prize,False,True
[CLS] lesbian is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],linguist,sexual orientation | sexual orientation | sexual orientation,False,False
[CLS] Kozluk is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],constellation of the Sun,village | small town | village | district of Turkey | ilçe | ilçeler | small town | village,False,True
[CLS] Republic of Bashkortostan is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP],republic of the Soviet Union,republic of Russia | autonomous republic in Russia | autonomous republic of Russia | republic in Russia | republic of Russia | republics in Russia | republics of Russia | autonomous republic in Russia | autonomous republic of Russia | republic in Russia | republic of Russia | republics in Russia | republics of Russia,False,False
[CLS] Atlantic Forest is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],part of the Atlantic Forest,biome | biome | biome,False,False
[CLS] stainless steel is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD],substantive,alloy | alloy | alloy,False,False
[CLS] Austrian Freedom Party is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],party,political party | party | political party | party | political party,True,False
[CLS] English Heritage is a [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],classifying language,non - departmental public body | NDPB | non - departmental public body | publisher | publishing company | publishing house | charitable organisation | charitable organization | charities | charity | charity organisation | non - profit charitable organisation | non - profit charitable organization | philanthropic organisation | philanthropic organization | public charity | NDPB | non - departmental public body | private company limited by guarantee,False,False
[CLS] Harz is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],ski resort,mountain range | Oceanic range | hill range | mountain barrier | mountain belt | mountain range | mountain system | Oceanic range | hill range | mountain barrier | mountain belt | mountain range | mountain system | Mittelgebirge,False,False
[CLS] Game Boy Advance is a [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],Game Boy Advance,handheld game console | Handheld video game console | Portable game console | handheld game console | Handheld video game console | Portable game console | handheld game console | video game console model,False,False
[CLS] Pyxis is a [MASK] [MASK] [MASK] [MASK] [MASK] . [SEP] [PAD] [PAD] [PAD] [PAD],genus of whistles,constellation | constellation | constellation,False,False
