Q2	পৃথিবী
Q431	প্রাণিবিজ্ঞান
Q432	ইসলাম
Q435	আলেকজান্দ্রিয়ার প্রাচীন গ্রন্থাগার
Q437	লিউব্লিয়ানা
Q440	সালবাদোর আইয়েন্দে
Q441	উদ্ভিদবিজ্ঞান
Q456	লিওঁ
Q458	ইউরোপীয় ইউনিয়ন
Q459	প্লোভডিভ
Q461	ইন্টারনেট আর্কাইভ
Q463	রোন্-আল্প
Q472	সফিয়া
Q482	কবিতা
Q490	মিলান
Q492	স্মৃতি
Q495	তুরিন
Q503	কলা
Q506	ফুল
Q514	শারীরস্থান
Q515	শহর
Q517	নেপোলিয়ন বোনাপার্ট
Q521	শারীরবিদ্যা
Q525	সূর্য
Q529	লুই পাস্তুর
Q532	গ্রাম
Q538	ওশেনিয়া
Q543	সেন্সর ব্যবস্থা
Q544	সৌরজগৎ
Q546	ত্রিয়েস্তে
Q548	ভিস্তুলা নদী
Q556	হাইড্রোজেন
Q567	আঙ্গেলা মের্কেল
Q568	লিথিয়াম
Q569	বেরিলিয়াম
Q574	পূর্ব তিমুর
Q580	উচ
Q582	ভিলারবানে
Q583	মোঁ ব্লঁ
Q584	রাইন নদী
Q585	অসলো
Q586	বন
Q588	কাটোভিসে
Q592	সমকামী পুরুষ
Q597	লিসবন
Q598	রেসঊ
Q607	মাইকেল ব্লুমবার্গ
Q612	দুবাই
Q613	দুবাই আমিরাত
Q615	লিওনেল মেসি
Q617	পাদোয়া
Q618	বোরন
Q619	নিকোলাউস কোপের্নিকুস
Q623	কার্বন
Q627	নাইট্রোজেন
Q628	বেরগামো
Q629	অক্সিজেন
Q633	নীল ইয়াং
Q634	গ্রহ
Q636	কেট বুশ
Q638	সঙ্গীত
Q641	ভেনিস
Q645	নেভা নদী
Q647	রেন্স
Q648	লিল
Q649	মস্কো
Q650	ফ্লুরিন
Q652	ইতালীয় ভাষা
Q655	চিউয়াউয়া
Q656	সেন্ট পিটার্সবার্গ
Q657	চাদ
Q658	সোডিয়াম
Q660	ম্যাগনেসিয়াম
Q663	অ্যালুমিনিয়াম
Q664	নিউজিল্যান্ড
Q668	ভারত
Q670	সিলিকন
Q671	ফ্র্যান্সিয়াম
Q672	টুভালু
Q674	ফসফরাস
Q676	গদ্য
Q677	লোহা
Q678	টোঙ্গা
Q682	গন্ধক
Q683	সামোয়া
Q685	সলোমন দ্বীপপুঞ্জ
Q686	ভানুয়াটু
Q688	ক্লোরিন
Q690	ডেলফট
Q691	পাপুয়া নিউগিনি
Q694	সাউথ হল্যান্ড
Q695	পালাউ
Q697	নাউরু
Q701	উত্তর হল্যান্ড
Q702	মাইক্রোনেশিয়া যুক্তরাজ্য
Q703	পটাশিয়াম
Q705	জিল্যান্ড
Q706	ক্যালসিয়াম
Q708	সীসা
Q709	মার্শাল দ্বীপপুঞ্জ
Q710	কিরিবাস
Q711	মঙ্গোলিয়া
Q712	ফিজি
Q716	টাইটানিয়াম
Q717	ভেনেজুয়েলা
Q718	দাবা
Q722	ভ্যানাডিয়াম
Q724	মেইন
Q725	ক্রোমিয়াম
Q726	ঘোড়া
Q727	আমস্টারডাম
Q730	সুরিনাম
Q731	ম্যাঙ্গানিজ
Q733	প্যারাগুয়ে
Q734	গায়ানা
Q735	শিল্প
Q736	ইকুয়েডর
Q739	কলম্বিয়া
Q740	কোবাল্ট
Q742	জ্যঁ রাসিন
Q743	টাংস্টেন
Q744	নিকেল
Q748	বৌদ্ধ ধর্ম
Q749	খ্রোনিঙেন
Q750	বলিভিয়া
Q751	অজমিয়াম
Q752	গ্রোনিনজেন
Q753	তামা
Q754	ত্রিনিদাদ ও টোবাগো
Q756	উদ্ভিদ
Q757	সেন্ট ভিনসেন্ট ও গ্রেনাডাইন দ্বীপপুঞ্জ
Q758	দস্তা
Q759	নিউ হ্যাম্প্শায়ার
Q760	সেন্ট লুসিয়া
Q761	বিয়ালিস্টক
Q762	লিওনার্দো দা ভিঞ্চি
Q763	সেন্ট কিট্স ও নেভিস
Q766	জ্যামাইকা
Q769	গ্রেনাডা
Q770	ফ্রাইসল্যান্ড
Q771	ম্যাসাচুসেট্স
Q772	ড্রেন্তে
Q773	ওভেরিসসেল
Q774	গুয়াতেমালা
Q775	গেল্ডারল্যান্ড
Q777	গুগল ক্রোম
Q778	বাহামা দ্বীপপুঞ্জ
Q779	কানেটিকাট
Q780	মুরগি
Q781	অ্যান্টিগুয়া ও বার্বুডা
Q782	হাওয়াই
Q783	হন্ডুরাস
Q784	ডোমিনিকা
Q785	জার্সি
Q786	ডোমিনিকান প্রজাতন্ত্র
Q787	শূকর
Q790	হাইতি
Q792	এল সালভাদোর
Q793	জোলে
Q794	ইরান
Q796	ইরাক
Q797	আলাস্কা
Q800	কোস্টা রিকা
Q801	ইসরায়েল
Q803	উত্রেক্ত
Q804	পানামা
Q805	ইয়েমেন
Q807	লোজান
Q808	ভাইরাস
Q809	পোলীয় ভাষা
Q810	জর্দান
Q811	নিকারাগুয়া
Q812	ফ্লোরিডা
Q813	কির্গিজস্তান
Q816	অ্যারিজোনা
Q817	কুয়েত
Q819	লাওস
Q822	লেবানন
Q824	অরেগন
Q826	মালদ্বীপ
Q828	আমেরিকা অঞ্চল
Q829	ইউটা
Q830	গরু
Q833	মালয়েশিয়া
Q834	ক্যান্টন অব ভ্যালাইস
Q836	মায়ানমার
Q837	নেপাল
Q842	ওমান
Q843	পাকিস্তান
Q846	কাতার
Q847	টেনিস
Q851	সৌদি আরব
Q854	শ্রীলঙ্কা
Q858	সিরিয়া
Q859	প্লেটো
Q861	গ্যালিয়াম
Q862	জোসেফ ব্রডস্কি
Q863	তাজিকিস্তান
Q865	তাইওয়ান
Q866	ইউটিউব
Q867	জার্মেনিয়াম
Q868	এরিস্টটল
Q869	থাইল্যান্ড
Q870	রেলগাড়ি
Q871	আর্সেনিক
Q874	তুর্কমেনিস্তান
Q876	সেলেনিয়াম
Q878	সংযুক্ত আরব আমিরাত
Q879	ব্রোমিন
Q880	প্লাটিনাম
Q881	ভিয়েতনাম
Q883	নোভোসিবিরস্ক
Q884	দক্ষিণ কোরিয়া
Q886	দ্য সিম্পসন্স
Q887	ইয়েকাতেরিনবুর্গ
Q889	আফগানিস্তান
Q891	নিঝনি নোভগরদ
Q894	সামারা
Q895	রুবিডিয়াম
Q898	ওমস্ক
Q900	কাজান
Q901	বিজ্ঞানী
Q902	বাংলাদেশ
Q905	ফ্রান্ৎস কাফকা
Q908	রোস্টব অন ডন
Q909	হোর্হে লুইস বোর্হেস
Q911	উফা
Q912	মালি
Q914	ভলগোগ্রাদ
Q916	অ্যাঙ্গোলা
Q917	ভূটান
Q919	ক্রাসনোইয়ার্সক
Q921	ব্রুনাই
Q923	আলেকজান্ডার
Q924	তানজানিয়া
Q925	পারদ
Q928	ফিলিপাইন
Q929	মধ্য আফ্রিকান প্রজাতন্ত্র
Q932	থ্যালিয়াম
Q935	আইজাক নিউটন
Q937	আলবার্ট আইনস্টাইন
Q938	স্ট্রনশিয়াম
Q941	ইট্রিয়াম
Q942	বিজমাথ
Q943	হলুদ
Q945	টোগো
Q948	তিউনিসিয়া
Q953	জাম্বিয়া
Q954	জিম্বাবুয়ে
Q956	বেইজিং
Q958	দক্ষিণ সুদান
Q959	ভ্লাদিভস্তক
Q960	তুভা প্রজাতন্ত্র
Q962	বেনিন
Q963	বতসোয়ানা
Q965	বুর্কিনা ফাসো
Q967	বুরুন্ডি
Q970	কোমোরোস
Q971	কঙ্গো প্রজাতন্ত্র
Q974	গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র
Q975	স্যান অ্যান্টোনিও
Q977	জিবুতি
Q979	পোলোনিয়াম
Q980	বাভারিয়া
Q983	বিষুবীয় গিনি
Q985	বাডেন-ভুর্টেমবার্গ
Q986	ইরিত্রিয়া
Q987	নয়াদিল্লি
Q989	পোপ দ্বিতীয় জন পল
Q994	তিবিলিসি
Q1000	গ্যাবন
Q1001	মোহনদাস করমচাঁদ গান্ধী
Q1005	গাম্বিয়া
Q1006	গিনি
Q1007	গিনি-বিসাউ
Q1008	কোত দিভোয়ার
Q1009	ক্যামেরুন
Q1010	মারিবো
Q1011	কেপ ভার্দ
Q1013	লেসোথো
Q1014	লাইবেরিয়া
Q1016	লিবিয়া
Q1017	আচেন
Q1019	মাদাগাস্কার
Q1020	মালাউই
Q1022	স্টুটগার্ট
Q1025	মৌরিতানিয়া
Q1027	মরিশাস
Q1028	মরক্কো
Q1029	মোজাম্বিক
Q1030	নামিবিয়া
Q1032	নাইজার
Q1033	নাইজেরিয়া
Q1035	চার্লস ডারউইন
Q1036	উগান্ডা
Q1037	রুয়ান্ডা
Q1038	জারকোনিয়াম
Q1039	সাঁউ তুমি ও প্রিন্সিপি
Q1040	কার্লসরুহে
Q1041	সেনেগাল
Q1042	সেশেল
Q1043	ক্যারোলাস লিনিয়াস
Q1044	সিয়েরা লিওন
Q1045	সোমালিয়া
Q1046	নাইওবিয়াম
Q1047	জওহরলাল নেহ্রু
Q1049	সুদান
Q1050	ইসোয়াতিনি
Q1053	মলিবডিনাম
Q1055	হামবুর্গ
Q1057	বিপাক
Q1061	গুজরাত
Q1063	বিবর্তন
Q1065	জাতিসংঘ
Q1069	ভূতত্ত্ব
Q1070	আহমেদাবাদ
Q1071	ভূগোল
Q1072	হৃৎপিণ্ড
Q1073	মস্তিষ্ক
Q1079	ব্রেকিং ব্যাড
Q1083	সালেনো
Q1084	বিশেষ্য
Q1085	প্রাগ
Q1088	নীল
Q1089	প্যালেডিয়াম
Q1090	রূপা
Q1093	লিম্বার্গ
Q1094	ইন্ডিয়াম
Q1095	লিমবার্গ
Q1096	টিন
Q1098	ইউরেনিয়াম
Q1099	অ্যান্টিমনি
Q1100	টেলুরিয়াম
Q1101	উত্তর ব্রাবান্ট
Q1103	আয়োডিন
Q1105	নেপচুনিয়াম
Q1106	জেনন
Q1107	অ্যানিমে
Q1108	সিজিয়াম
Q1112	বেরিয়াম
Q1114	ইস্ট ফ্লান্ডার্স
Q1115	থোরিয়াম
Q1116	এন্টওয়ার্প
Q1118	ফ্লেমিশ ব্র্যাবেন্ট
Q1119	হ্যাফনিয়াম
Q1123	ট্যানটালাম
Q1126	লাক্সেমবার্গ
Q1127	লিয়েজ
Q1137	লোরেন
Q1142	আল্জাস
Q1156	মুম্বই
Q1158	আন্তর্জাতিক অ্যাথলেটিকস ফেডারেশন
Q1159	অন্ধ্রপ্রদেশ
Q1162	অরুণাচল প্রদেশ
Q1164	আসাম
Q1165	বিহার
Q1166	মিশিগান
Q1168	ছত্তীসগঢ়
Q1171	গোয়া
Q1173	বুর্গোইন
Q1174	হরিয়ানা
Q1177	হিমাচল প্রদেশ
Q1179	আকিতেন
Q1180	জম্মু ও কাশ্মীর
Q1183	পুয়ের্তো রিকো
Q1184	ঝাড়খণ্ড
Q1185	কর্ণাটক
Q1186	কেরল
Q1188	মধ্যপ্রদেশ
Q1191	মহারাষ্ট্র
Q1192	জ্যাঁ ব্যাপ্তিস্তে লুলী
Q1193	মণিপুর
Q1194	শ্লেসভিগ-হোলস্টাইন
Q1195	মেঘালয়
Q1196	মেকলেনবুর্গ-ভোপোমান
Q1197	নিডারজাখসেন
Q1198	নর্থ রিনে-ভেস্টফালিয়া
Q1199	হেসে
Q1200	রিনেল্যান্ড-প্যালাটিনাটা
Q1202	জ্যাক্সোনি
Q1204	ইলিনয়
Q1205	থুরিনগিয়া
Q1206	জ্যাক্সোনি-আনহাল্ট
Q1207	নর্থ ডাকোটা
Q1208	ব্র্যান্ডেনবুর্গ
Q1209	ব্রেমেনের ফ্রি হেনসিয়াটিক শহর
Q1210	লোম্বার্ডি
Q1211	সাউথ ডাকোটা
Q1212	মন্টানা
Q1214	ওয়াইয়োমিং
Q1218	জেরুসালেম
Q1221	আইডাহো
Q1222	ভাল্লে দি অস্টা
Q1223	ওয়াশিংটন
Q1224	কার্লো আজেলিও চিয়াম্পি
Q1227	নেভাডা
Q1231	কসোভো
Q1239	ভারত মহাসাগর
Q1246	কসোভো
Q1252	হ্যাসিয়াম
Q1260	কার্ট ওয়াল্ডহেইম
Q1261	কলোরাডো
Q1273	তোসকানা
Q1276	লিওনার্ড কোহেন
Q1284	আবরুৎসো
Q1286	আল্পস পর্বতমালা
Q1288	কার্পেথীয় পর্বতমালা
Q1289	গ্রনোবল
Q1290	ব্লেইজ প্যাসকেল
Q1295	ডর্টমুন্ড
Q1296	জেন্ট
Q1297	শিকাগো
Q1299	দ্য বিটল্স
Q1301	নিহোনিয়াম
Q1308	কুমো
Q1310	আন্যাম
Q1321	স্পেনীয় ভাষা
Q1335	মোন্তেবিদেও
Q1337	লিট
Q1339	ইয়োহান জেবাস্টিয়ান বাখ
Q1341	তোগলিয়াত্তি
Q1342	পিটসবার্গ
Q1344	অপেরা
Q1345	ফিলাডেলফিয়া
Q1348	কলকাতা
Q1352	চেন্নাই
Q1353	দিল্লি
Q1354	ঢাকা
Q1355	বেঙ্গালুরু
Q1356	পশ্চিমবঙ্গ
Q1361	হায়দ্রাবাদ
Q1362	ইসলামাবাদ
Q1363	ত্রিপুরা
Q1364	ফল
Q1370	ভার্জিনিয়া
Q1371	পশ্চিম ভার্জিনিয়া
Q1382	পিরান
Q1384	নিউ ইয়র্ক
Q1387	রোড আইল্যান্ড
Q1391	মেরিল্যান্ড
Q1393	ডেলাওয়্যার
Q1394	ভ্লাদিমির লেনিন
Q1397	ওহাইও
Q1398	ভের্গিল
Q1400	পেন্সিল্ভেনিয়া
Q1402	জোভান্নি বোক্কাচ্চো
Q1406	মাইক্রোসফট উইন্ডোজ
Q1408	নিউ জার্সি
Q1410	জিব্রাল্টার
Q1412	ফিনীয় ভাষা
Q1415	ইন্ডিয়ানা
Q1418	নোকিয়া
Q1420	গাড়ি
Q1428	জর্জিয়া
Q1435	জাগরেব
Q1437	রাজস্থান
Q1438	কাম্পানিয়া
Q1439	টেক্সাস
Q1444	অর্গান
Q1445	তামিলনাড়ু
Q1449	জেনোয়া
Q1454	নর্থ ক্যারোলাইনা
Q1456	সাউথ ক্যারোলাইনা
Q1460	সিসিল
Q1461	ম্যানিলা
Q1467	সেবু শহর
Q1469	লোয়ার নদী
Q1471	সেন নদী
Q1475	কেসোন
Q1476	ল্য মঁস
Q1479	বর্দো
Q1482	ক্যাভিটে শহর
Q1486	বুয়েনোস আইরেস
Q1489	মেক্সিকো সিটি
Q1490	টোকিও
Q1491	লা পাজ
Q1492	বার্সেলোনা
Q1494	মিসিসিপি
Q1498	উত্তরপ্রদেশ
Q1499	উত্তরাখণ্ড
Q1502	মিজোরাম
Q1505	সিকিম
Q1508	মাকাাতি
Q1509	টেনেসী
Q1511	রিশার্ড ভাগনার
Q1515	আবিজান
Q1519	আবুধাবি
Q1520	নূরসুলতান
Q1522	নিউ মেক্সিকো
Q1523	দ্বিতীয় রামিসেস
Q1524	অ্যাথেন্স
Q1527	মিনেসোটা
Q1530	বাগদাদ
Q1533	কারাকাস
Q1537	উইসকনসিন
Q1538	পুনে
Q1546	আইওয়া
Q1553	নেব্রাস্কা
Q1555	গুয়াতেমালা সিটি
Q1558	ক্যান্সাস
Q1563	হাভানা
Q1566	তামাক
Q1568	হিন্দি ভাষা
Q1571	মারাঠি ভাষা
Q1575	ইন্টারনেট এক্সপ্লোরার
Q1581	মিসৌরি
Q1588	লুইজিয়ানা
Q1599	নাগাল্যান্ড
Q1603	কেন্টাকি
Q1612	আর্কানসাস
Q1617	উর্দু ভাষা
Q1624	পাসিগ
Q1640	ওসিজেক
Q1643	টাগুইগ
Q1644	লাবে নদী
Q1647	রিজেকা
Q1649	ওকলাহোমা
Q1653	দানিউব নদী
Q1663	স্পিলিট
Q1697	মস্কো ওব্লাস্ট
Q1698	সের্জ গ্যাঁসবুর
Q1707	কিল
Q1709	শোয়ারিন
Q1711	পোটসডাম
Q1715	হানোফার
Q1718	ডুসেলডোর্ফ
Q1720	মাইজ
Q1721	উইচবাডেন
Q1723	বাটানগাস শহর
Q1724	রচেস্টার, নিউ ইয়র্ক
Q1726	মিউনিখ
Q1729	এরফুর্ট
Q1731	ড্রেসডেন
Q1733	ম্যাগডেবার্গ
Q1734	ভলিবল
Q1735	ইন্সব্রুক
Q1741	ভিয়েনা
Q1748	কোপেনহেগেন
Q1754	স্টকহোম
Q1757	হেলসিঙ্কি
Q1761	ডাবলিন
Q1763	মোমান্সক
Q1764	রেইকিয়াভিক
Q1770	তাল্লিন
Q1773	রিগা
Q1779	লুইস আর্মস্ট্রং
Q1780	ব্রাতিস্লাভা
Q1781	বুদাপেস্ট
Q1792	গদান্সক
Q1794	ফ্রাঙ্কফুর্ট
Q1799	রোঁকল'
Q1800	কোচি
Q1823	আচে
Q1829	কালিনিনগ্রাদ
Q1834	ডেথ নোট
Q1835	জিনেদিন জিদান
Q1841	ক্যাথোলিক ধর্ম
Q1842	লুক্সেমবুর্গ
Q1844	ফাডুৎস
Q1845	বাইবেল
Q1846	হোলমিয়াম
Q1850	প্নম পেন
Q1854	হো চি মিন সিটি
Q1858	হ্যানয়
Q1860	ইংরেজি ভাষা
Q1861	ব্যাংকক
Q1863	আন্দরা লা ভেলিয়া
Q1865	কুয়ালালামপুর
Q1867	তাইপে
Q1874	ওডেস্যা
Q1880	কনসেপসিওন
Q1889	কূটনীতি
Q1890	বেঙ্কুলু
Q1891	বোলোনিয়া
Q1895	পেত্রোজাভস্ক
Q1897	কাগলিয়ারি
Q1899	কিয়েভ
Q1903	ক্যাটাানিয়া
Q1904	অন্টারিও
Q1914	কারেলিয়া প্রজাতন্ত্র
Q1930	অটোয়া
Q1943	আবু দিয়াবি
Q1948	ম্যানিটোবা
Q1951	এ্যালবার্টা
Q1952	নভা স্কশিয়া
Q1953	ইয়েরেভান
Q1957	ভোলোগদা
Q1960	দারুসসালাম
Q1963	খার্তুম
Q1965	নিউ ব্রান্সউইক
Q1974	ব্রিটিশ কলাম্বিয়া
Q1979	প্রিন্স এডওয়ার্ড দ্বীপ
Q1989	সাস্কাচুয়ান
Q1997	কার্বন ডাই অক্সাইড
Q2003	নিউফাউন্ডল্যান্ড এবং ল্যাব্রাডর
Q2007	উত্তর পশ্চিম অঞ্চল
Q2009	ইউকোন
Q2023	নুনাভুত
Q2025	কার্বন মনোক্সাইড
Q2028	ভেরোনা
Q2044	ফ্লোরেন্স
Q2051	জাম্বি
Q2066	এসেন
Q2073	কোমি রিপাবলিক
Q2079	লাইপ্ৎসিশ
Q2090	নুরেমবার্গ
Q2096	এডমন্টন
Q2100	দুইচবার্গ
Q2103	বোকাম
Q2107	উপপের্টাল
Q2110	লাম্পুং
Q2119	মানহাইম
Q2123	রেজিনা
Q2131	সান্তিয়াগো মেট্রোপলিটন অঞ্চল
Q2132	ভিক্টোরিয়া
Q2135	উইনিপেগ
Q2140	উত্তর সুমাত্রা
Q2141	হ্যালিফ্যাক্স
Q2145	কেবেক শহর
Q2161	কর্নেলিয়ুস তাকিতুস
Q2164	নেনেটস স্বায়ত্তশাসিত অক্রুগ
Q2184	রুশীয় সোভিয়েত যুক্তরাষ্ট্রীয় সমাজতান্ত্রিক প্রজাতন্ত্র
Q2185	জর্জ পোপিদু
Q2203	আরিকা
Q2256	বার্মিংহাম
Q2270	বেনজিন
Q2277	রোমান সাম্রাজ্য
Q2280	মিন্স্ক
Q2283	মাইক্রোসফট কর্পোরেশন
Q2306	পিংক ফ্লয়েড
Q2329	রসায়ন
Q2346	বিশ্লেষণী রসায়ন
Q2347	সি্মো স্মোলেনস্ক ওব্লাস্ট
Q2409	হাইড্রোক্লোরিক অ্যাসিড
Q2423	ইয়ারোস্লাভ
Q2449	মোগাদিশু
Q2467	নাসাউ
Q2471	সানা
Q2492	কনরাড আডেনাউয়ের
Q2494	পোপ ষোড়শ বেনেডিক্ট
Q2514	উইলি ব্র্যান্ট
Q2516	হেলমুট স্মিত
Q2518	হেলমুট কোল
Q2539	মেশিন লার্নিং
Q2598	ওয়াটফোর্ড
Q2599	পল ম্যাককার্টনি
Q2628	ওয়াল্টার উলব্রিচত
Q2630	ইভানোভ
Q2634	নেপলস
Q2643	জর্জ হ্যারিসন
Q2656	পালের্মো
Q2678	গোমেল
Q2683	ফার্মা
Q2684	ভ্লাদিমির
Q2704	পেস্কারা
Q2706	ব্রেমারহ্যাভেন
Q2736	ফুটবল
Q2743	গীতি নাট্য
Q2746	র্যাজান
Q2749	আউগ্সবুর্গ
Q2758	মনকানগ্লাদবা
Q2765	গেলচেনকিকেন
Q2766	আইফোন
Q2773	ব্রঞ্চউইগ
Q2792	তুলা ওব্লাস্ট
Q2795	চেমনিতয
Q2796	আইপ্যাড
Q2801	ব্রিয়ান্সক
Q2805	ক্রেফেল্ড
Q2807	মাদ্রিদ
Q2810	ব্রিয়ানস্ক ওব্লাস্ট
Q2811	ডুবোজাহাজ
Q2814	হাল্লে
Q2831	মাইকেল জ্যাকসন
Q2833	ফ্রাইবুর্গ ইম ব্রেইসগু
Q2837	কালুগা
Q2841	বোগোতা
Q2842	কালুগা ওব্লাস্ট
Q2843	লুবেক
Q2844	ব্রাসিলিয়া
Q2861	রসটক
Q2865	কাসেল
Q2868	লিমা
Q2871	হেগেন
Q2879	কানাডার প্রদেশ ও অধীনস্থ অঞ্চলসমূহ
Q2887	সান্তিয়াগো
Q2899	আউগ্সবুর্গ
Q2900	কিতো
Q2907	সুক্রি
Q2910	লুডউইগসফেন
Q2933	অ্যাসুনসিওন
Q2938	লেভারকোসেন
Q2966	হেইডেলবার্গ
Q2971	পাদেরবর্ন
Q2973	ডার্মস্টাড
Q2977	ক্যাথেড্রাল
Q2978	রেগেন্সবুর্গ
Q2999	উর্জবার্গ
Q3001	পারামারিবো
Q3004	ইঙ্গলসস্ট্যাড
Q3012	উল্ম
Q3014	উলফসবার্গ
