fact,label,sentence,langs,number of langs
"('Q746980', 'P176', 'Q26678')","('BMW X1', '[X] is produced by [Y] .', 'BMW')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__el']",8
"('Q327087', 'P36', 'Q846653')","('Medenine Governorate', 'The capital of [X] is [Y] .', 'Medenine')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__el']",8
"('Q134521', 'P1001', 'Q917')","('flag of Bhutan', '[X] is a legal term in [Y] .', 'Bhutan')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",8
"('Q5756', 'P36', 'Q2807')","('Community of Madrid', 'The capital of [X] is [Y] .', 'Madrid')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q977', 'P138', 'Q3604')","('Djibouti', '[X] is named after [Y] .', 'Djibouti')",,"['mbert_base__fr', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",8
"('Q128186', 'P36', 'Q134635')","('Saitama Prefecture', 'The capital of [X] is [Y] .', 'Saitama')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q796778', 'P176', 'Q26678')","('BMW X5', '[X] is produced by [Y] .', 'BMW')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__el']",8
"('Q5720', 'P36', 'Q8818')","('Valencian Community', 'The capital of [X] is [Y] .', 'Valencia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi']",8
"('Q575937', 'P176', 'Q40993')","('Porsche 959', '[X] is produced by [Y] .', 'Porsche')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr']",8
"('Q498806', 'P176', 'Q1418')","('Nokia 1100', '[X] is produced by [Y] .', 'Nokia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__vi']",8
"('Q188933', 'P36', 'Q5838')","('Kabul', 'The capital of [X] is [Y] .', 'Kabul')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",8
"('Q641556', 'P131', 'Q2028')","('Verona Arena', '[X] is located in [Y] .', 'Verona')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi']",8
"('Q615865', 'P176', 'Q40993')","('Porsche 924', '[X] is produced by [Y] .', 'Porsche')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr']",8
"('Q958', 'P47', 'Q1049')","('South Sudan', '[X] shares border with [Y] .', 'Sudan')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr', 'mbert_base__yo']",8
"('Q1514835', 'P176', 'Q40993')","('Porsche 917', '[X] is produced by [Y] .', 'Porsche')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr']",8
"('Q958', 'P47', 'Q114')","('South Sudan', '[X] shares border with [Y] .', 'Kenya')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr', 'mbert_base__yo']",8
"('Q856010', 'P36', 'Q23661')","('Wellington Region', 'The capital of [X] is [Y] .', 'Wellington')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q721441', 'P36', 'Q194165')","('Irbid Governorate', 'The capital of [X] is [Y] .', 'Irbid')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q276565', 'P36', 'Q180717')","('Sousse Governorate', 'The capital of [X] is [Y] .', 'Sousse')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q81863', 'P36', 'Q17139')","('Akita Prefecture', 'The capital of [X] is [Y] .', 'Akita')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",8
"('Q4948', 'P36', 'Q641')","('Republic of Venice', 'The capital of [X] is [Y] .', 'Venice')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__ko', 'mbert_base__vi']",8
"('Q8272', 'P138', 'Q159709')","('Epic of Gilgamesh', '[X] is named after [Y] .', 'Gilgamesh')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__el']",8
"('Q163271', 'P36', 'Q156732')","('Kherson Oblast', 'The capital of [X] is [Y] .', 'Kherson')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",8
"('Q276396', 'P176', 'Q27586')","('Ferrari 458', '[X] is produced by [Y] .', 'Ferrari')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el']",8
"('Q130871', 'P276', 'Q64')","('Berlin International Film Festival', '[X] is located in [Y] .', 'Berlin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el', 'mbert_base__mr']",8
"('Q35794', 'P159', 'Q350')","('University of Cambridge', 'The headquarter of [X] is in [Y] .', 'Cambridge')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q702482', 'P159', 'Q3923')","('University of Bayreuth', 'The headquarter of [X] is in [Y] .', 'Bayreuth')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__el']",7
"('Q991329', 'P47', 'Q24639')","('West Vancouver', '[X] shares border with [Y] .', 'Vancouver')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q173500', 'P36', 'Q1761')","('County Dublin', 'The capital of [X] is [Y] .', 'Dublin')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__el']",7
"('Q160302', 'P159', 'Q23436')","('University of Edinburgh', 'The headquarter of [X] is in [Y] .', 'Edinburgh')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi']",7
"('Q205854', 'P36', 'Q134674')","('arrondissement of Bayonne', 'The capital of [X] is [Y] .', 'Bayonne')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q1125433', 'P176', 'Q27597')","('Fiat 600', '[X] is produced by [Y] .', 'Fiat')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr']",7
"('Q274948', 'P1001', 'Q17')","('Prime Minister of Japan', '[X] is a legal term in [Y] .', 'Japan')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el']",7
"('Q239793', 'P176', 'Q27586')","('Ferrari F430', '[X] is produced by [Y] .', 'Ferrari')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__ko']",7
"('Q7895109', 'P159', 'Q5092')","('University of Baltimore', 'The headquarter of [X] is in [Y] .', 'Baltimore')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi']",7
"('Q580409', 'P138', 'Q170478')","('Bournemouth Airport', '[X] is named after [Y] .', 'Bournemouth')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__el']",7
"('Q593156', 'P1376', 'Q180330')","('Farah', '[X] is the capital of [Y] .', 'Farah')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q862559', 'P1001', 'Q833')","('Prime Minister of Malaysia', '[X] is a legal term in [Y] .', 'Malaysia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q111168', 'P36', 'Q16557')","('Dallas County', 'The capital of [X] is [Y] .', 'Dallas')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi']",7
"('Q851164', 'P159', 'Q1781')","('Corvinus University of Budapest', 'The headquarter of [X] is in [Y] .', 'Budapest')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi']",7
"('Q13775482', 'P176', 'Q1418')","('Nokia Lumia 1020', '[X] is produced by [Y] .', 'Nokia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__tr']",7
"('Q270532', 'P159', 'Q36405')","('University of Aberdeen', 'The headquarter of [X] is in [Y] .', 'Aberdeen')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__el']",7
"('Q102184', 'P1001', 'Q977')","('flag of Djibouti', '[X] is a legal term in [Y] .', 'Djibouti')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el']",7
"('Q324610', 'P176', 'Q248')","('Intel 8080', '[X] is produced by [Y] .', 'Intel')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__vi']",7
"('Q958', 'P47', 'Q1036')","('South Sudan', '[X] shares border with [Y] .', 'Uganda')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q218506', 'P159', 'Q2167')","('Lund University', 'The headquarter of [X] is in [Y] .', 'Lund')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q3306', 'P1376', 'Q804')","('Panama City', '[X] is the capital of [Y] .', 'Panama')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q1059262', 'P138', 'Q188693')","('Blantyre District', '[X] is named after [Y] .', 'Blantyre')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el']",7
"('Q483881', 'P176', 'Q2283')","('Windows 2000', '[X] is produced by [Y] .', 'Microsoft')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__vi', 'mbert_base__el']",7
"('Q178283', 'P36', 'Q133315')","('County Limerick', 'The capital of [X] is [Y] .', 'Limerick')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__mr']",7
"('Q80110', 'P1001', 'Q16')","('flag of Canada', '[X] is a legal term in [Y] .', 'Canada')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q1797336', 'P36', 'Q1538')","('Pune district', 'The capital of [X] is [Y] .', 'Pune')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__mr']",7
"('Q1345006', 'P36', 'Q330643')","('Moradabad district', 'The capital of [X] is [Y] .', 'Muradabad')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__mr']",7
"('Q131297', 'P276', 'Q1037')","('Genocide against the Tutsis', '[X] is located in [Y] .', 'Rwanda')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el']",7
"('Q54096', 'P159', 'Q365')","('University of Cologne', 'The headquarter of [X] is in [Y] .', 'Cologne')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",7
"('Q11215', 'P176', 'Q2283')","('Windows 7', '[X] is produced by [Y] .', 'Microsoft')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__tr', 'mbert_base__vi', 'mbert_base__el']",7
"('Q506250', 'P36', 'Q1754')","('Stockholm Municipality', 'The capital of [X] is [Y] .', 'Stockholm')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q2347975', 'P1001', 'Q1384')","('Governor of New York', '[X] is a legal term in [Y] .', 'New York')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q758778', 'P176', 'Q23317')","('Audi R8', '[X] is produced by [Y] .', 'Audi')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__ko']",7
"('Q131287', 'P36', 'Q169134')","('Nara Prefecture', 'The capital of [X] is [Y] .', 'Nara')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__mr']",7
"('Q500035', 'P176', 'Q53268')","('Toyota Camry', '[X] is produced by [Y] .', 'Toyota')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__vi']",7
"('Q858241', 'P176', 'Q1418')","('Nokia N900', '[X] is produced by [Y] .', 'Nokia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko']",7
"('Q131204', 'P1001', 'Q881')","('flag of Vietnam', '[X] is a legal term in [Y] .', 'Vietnam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q1065414', 'P159', 'Q727')","('Vrije Universiteit Amsterdam', 'The headquarter of [X] is in [Y] .', 'Amsterdam')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",7
"('Q16186', 'P36', 'Q13318')","('Province of Imperia', 'The capital of [X] is [Y] .', 'Imperia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi']",7
"('Q1335', 'P190', 'Q1486')","('Montevideo', '[X] and [Y] are twin cities .', 'Buenos Aires')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__tr', 'mbert_base__vi']",7
"('Q795477', 'P1001', 'Q35')","('Prime Minister of Denmark', '[X] is a legal term in [Y] .', 'Denmark')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q202712', 'P176', 'Q37156')","('IBM Personal Computer', '[X] is produced by [Y] .', 'IBM')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__ko', 'mbert_base__vi']",7
"('Q209633', 'P176', 'Q62621')","('Canon EF lens mount', '[X] is produced by [Y] .', 'Canon Inc.')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__vi']",7
"('Q49210', 'P159', 'Q60')","('New York University', 'The headquarter of [X] is in [Y] .', 'New York City')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__ko', 'mbert_base__el']",7
"('Q1863', 'P1376', 'Q228')","('Andorra la Vella', '[X] is the capital of [Y] .', 'Andorra')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",7
"('Q134635', 'P1376', 'Q128186')","('Saitama', '[X] is the capital of [Y] .', 'Saitama Prefecture')",,"['mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__mr']",7
"('Q1140003', 'P176', 'Q35907')","('Land Rover Discovery series', '[X] is produced by [Y] .', 'Land Rover')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__he', 'mbert_base__tr']",7
"('Q132633', 'P1001', 'Q184')","('flag of Belarus', '[X] is a legal term in [Y] .', 'Belarus')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el']",7
"('Q633782', 'P131', 'Q4656')","('Juraj Dobrila University of Pula', '[X] is located in [Y] .', 'Pula')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__vi', 'mbert_base__el']",7
"('Q622479', 'P176', 'Q26921')","('Alfa Romeo 8C Competizione', '[X] is produced by [Y] .', 'Alfa Romeo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__zh', 'mbert_base__tr', 'mbert_base__el']",7
"('Q280885', 'P176', 'Q1418')","('Nokia Lumia 900', '[X] is produced by [Y] .', 'Nokia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__ko']",7
"('Q1335', 'P190', 'Q1489')","('Montevideo', '[X] and [Y] are twin cities .', 'Mexico City')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__tr', 'mbert_base__vi']",7
"('Q178179', 'P1001', 'Q774')","('flag of Guatemala', '[X] is a legal term in [Y] .', 'Guatemala')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q1548690', 'P131', 'Q1345')","('Philadelphia Naval Shipyard', '[X] is located in [Y] .', 'Philadelphia')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__zh', 'mbert_base__vi']",7
"('Q1335', 'P190', 'Q2807')","('Montevideo', '[X] and [Y] are twin cities .', 'Madrid')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__tr', 'mbert_base__vi']",7
"('Q849464', 'P176', 'Q6742')","('Peugeot 104', '[X] is produced by [Y] .', 'Peugeot')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__he', 'mbert_base__tr']",7
"('Q172742', 'P176', 'Q8093')","('Nintendo Entertainment System', '[X] is produced by [Y] .', 'Nintendo')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__ru', 'mbert_base__he', 'mbert_base__tr', 'mbert_base__vi']",7
"('Q19607', 'P159', 'Q42448')","('Sheffield United F.C.', 'The headquarter of [X] is in [Y] .', 'Sheffield')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ko', 'mbert_base__vi', 'mbert_base__el']",7
"('Q46585', 'P1001', 'Q55')","('flag of the Netherlands', '[X] is a legal term in [Y] .', 'Netherlands')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__nl', 'mbert_base__es', 'mbert_base__ru', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
"('Q34713', 'P1376', 'Q43325')","('Salzburg', '[X] is the capital of [Y] .', 'Salzburg')",,"['init_confidence_iter_confidence_reprob', 'mbert_base__fr', 'mbert_base__nl', 'mbert_base__he', 'mbert_base__vi', 'mbert_base__el', 'mbert_base__mr']",7
