Q2	पृथ्वी
Q190	देव
Q191	एस्टोनिया
Q192	डेव्हिड कॅमेरॉन
Q193	शनी ग्रह
Q195	चॉकलेट
Q206	स्टीफन हार्पर
Q211	लात्व्हिया
Q212	युक्रेन
Q213	चेक प्रजासत्ताक
Q214	स्लोव्हाकिया
Q215	स्लोव्हेनिया
Q216	व्हिल्नियस
Q217	मोल्दोव्हा
Q218	रोमेनिया
Q219	बल्गेरिया
Q220	रोम
Q221	उत्तर मॅसिडोनिया
Q222	आल्बेनिया
Q223	ग्रीनलँड
Q224	क्रोएशिया
Q225	बॉस्निया आणि हर्झगोव्हिना
Q226	नूक
Q227	अझरबैजान	अझरबैजान प्रजासत्ताक
Q228	अँडोरा
Q229	सायप्रस
Q230	जॉर्जिया
Q231	वालोनी
Q232	कझाकस्तान
Q233	माल्टा
Q234	फ्लांडर्स
Q235	मोनॅको
Q236	माँटेनिग्रो
Q237	व्हॅटिकन सिटी
Q238	सान मारिनो
Q239	ब्रसेल्स
Q240	ब्रसेल्स	ब्रसेल्स-राजधानी प्रदेश
Q241	क्युबा
Q242	बेलीझ
Q243	आयफेल टॉवर
Q244	बार्बाडोस
Q248	इंटेल कॉर्पोरेशन
Q252	इंडोनेशिया
Q254	वोल्फगांग आमाडेउस मोझार्ट
Q256	तुर्की भाषा
Q258	दक्षिण आफ्रिका
Q262	अल्जीरिया
Q265	उझबेकिस्तान
Q268	पोझ्नान
Q269	ताश्कंद
Q270	वर्झावा
Q279	मोडेना
Q282	वाईन
Q283	पाणी
Q286	चामडे
Q287	लाकूड
Q288	तुर, फ्रान्स
Q289	दूरचित्रवाणी
Q290	कामजीवन
Q291	रतिचित्रण
Q294	इस्लेन्स्का भाषा
Q298	चिली
Q302	येशू ख्रिस्त
Q303	एल्व्हिस प्रेस्ली
Q307	गॅलेलियो गॅलिली
Q309	इतिहास
Q312	ॲपल
Q313	शुक्र ग्रह
Q315	भाषा
Q318	दीर्घिका
Q319	गुरू ग्रह
Q327	ब्रत्तान्य
Q332	नेपच्यून ग्रह
Q333	खगोलशास्त्र
Q334	सिंगापूर
Q336	विज्ञान
Q340	माँत्रियाल
Q345	मारिया
Q347	लिश्टनस्टाइन
Q350	केंब्रिज
Q352	ॲडॉल्फ हिटलर
Q361	पहिले महायुद्ध
Q362	दुसरे महायुद्ध
Q365	क्योल्न
Q368	ऑगुस्तो पिनोचे
Q376	घड्याळ
Q384	स्कोप्ये
Q385	गडिन्या
Q388	लिनक्स
Q392	Bob Dylan	बॉब डिलन
Q393	श्टेचिन
Q395	गणित
Q397	लॅटिन भाषा
Q398	बहरैन
Q399	आर्मेनिया
Q403	सर्बिया
Q405	चंद्र
Q406	इस्तंबूल
Q408	ऑस्ट्रेलिया
Q413	भौतिकशास्त्र
Q414	आर्जेन्टिना
Q419	पेरू
Q420	जीवशास्त्र
Q423	उत्तर कोरिया
Q424	कंबोडिया
Q428	कुराण
Q431	प्राणिशास्त्र
Q432	इस्लाम धर्म
Q437	लियुब्लियाना
Q440	साल्व्हादोर आयेंदे
Q441	वनस्पतीशास्त्र
Q456	ल्यों
Q458	युरोपियन संघ	🇪🇺
Q459	प्लॉव्हडिव्ह
Q463	रोन-आल्प
Q472	सोफिया
Q482	कविता
Q490	मिलान
Q492	मेमरी
Q495	तोरिनो
Q503	केळ
Q506	फूल
Q514	शरीररचनाशास्त्र
Q515	शहर
Q517	नेपोलियन बोनापार्ट
Q521	शरीरक्रियाशास्त्र
Q525	सूर्य
Q529	लुई पाश्चर
Q532	गाव
Q538	ओशनिया
Q543	परिनिरीक्षण
Q544	सूर्यमाला
Q546	त्रिएस्ते
Q548	व्हिस्चुला नदी
Q556	H	हायड्रोजन
Q567	आंगेला मेर्केल
Q568	Li	लिथियम
Q569	Be	बेरिलियम
Q574	पूर्व तिमोर
Q580	वूत्श
Q582	विलेबॅने
Q583	माँट ब्लॅंक
Q584	ऱ्हाइन नदी
Q585	ओस्लो
Q586	बॉन
Q588	कातोवित्सा
Q592	गे
Q597	लिस्बन
Q598	झेशुफ
Q607	मायकेल ब्लूमबर्ग
Q612	दुबई
Q615	लायोनेल मेस्सी
Q617	पादोव्हा
Q618	B	बोरॉन
Q619	निकोलस कोपर्निकस
Q621	व्हर्साय
Q623	C	कार्बन
Q627	N	नत्रवायू
Q628	बर्गमो
Q629	O	ऑक्सिजन
Q634	ग्रह
Q638	संगीत
Q641	व्हेनिस
Q645	नेव्हा नदी
Q647	ऱ्हेन
Q648	लील
Q649	मॉस्को
Q650	F	फ्लोरिन
Q652	इटालियन भाषा
Q655	चिवावा
Q656	सेंट पीटर्सबर्ग
Q657	चाड
Q658	Na	सोडियम
Q660	Mg	मॅग्नेशियम
Q663	Al	एल्युमिनियम
Q664	न्यू झीलँड
Q668	भरतवर्ष	भारत
Q670	Si	सिलिकॉन
Q671	फ्रान्सियम
Q672	तुवालू
Q674	м	स्फुरद
Q677	Fe	लोखंड
Q678	टोंगा
Q682	S	गंधक
Q683	सामोआ
Q685	सॉलोमन द्वीपसमूह
Q686	व्हानुआतू
Q688	Cl	क्लोरिन
Q690	डेल्फ़्ट
Q691	पापुआ न्यू गिनी
Q694	झाउड-हॉलंड
Q695	पलाउ
Q697	नौरू
Q701	नूर्द-हॉलंड
Q702	मायक्रोनेशिया	मायक्रोनेशियाची फेडरल राज्ये
Q703	K	पलाश
Q705	झीलंड
Q706	Ca	कॅल्शियम
Q708	शिसे
Q709	मार्शल द्वीपसमूह
Q710	किरिबाटी
Q711	मंगोलिया
Q712	फिजी
Q716	Ti	टायटॅनियम
Q717	व्हेनेझुएला
Q718	बुद्धिबळ
Q722	V	व्हेनेडियम
Q724	मेन
Q725	Cr	क्रोमियम
Q726	घोडा
Q727	ॲम्स्टरडॅम
Q730	सुरिनाम
Q731	Mn	मँगेनिझ
Q733	पेराग्वे
Q734	गयाना
Q735	कला
Q736	EC	ECU	Ecuador	República del Ecuador	ec	ecu	इक्वेडोर
Q739	कोलंबिया
Q740	Co	कोबाल्ट
Q743	टंग्स्टन
Q744	Ni	निकेल
Q748	बौद्ध	बौद्ध धर्म
Q749	ग्रोनिंगन
Q750	बोलिव्हिया
Q751	ओस्मियम
Q752	ग्रोनिंगन
Q753	Cu	तांबे
Q754	त्रिनिदाद व टोबॅगो
Q756	वनस्पती
Q757	सेंट व्हिन्सेंट आणि ग्रेनेडीन्स
Q758	Zn	जस्त
Q759	न्यू हॅम्पशायर
Q760	सेंट लुसिया
Q761	ब्याविस्तोक
Q762	लिओनार्दो दा विंची
Q763	सेंट किट्स आणि नेव्हिस
Q766	जमैका
Q769	ग्रेनेडा
Q770	फ्रीसलंड
Q771	मॅसेच्युसेट्स
Q772	द्रेंथ
Q773	ओव्हराईजल
Q774	ग्वातेमाला
Q775	गेल्डरलांड
Q777	Google Chrome	गूगल क्रोम
Q778	बहामास
Q779	कनेटिकट
Q780	कोंबडी
Q781	अँटिगा आणि बार्बुडा
Q782	हवाई
Q783	होन्डुरास
Q784	डॉमिनिका
Q785	जर्सी
Q786	डॉमिनिकन प्रजासत्ताक
Q790	हैती
Q792	एल साल्व्हाडोर
Q793	झ्वोला
Q794	इराण
Q796	इराक
Q797	अलास्का
Q800	कोस्टा रिका
Q801	इस्रायल
Q803	उट्रेख्त
Q804	पनामा
Q805	येमेनचे प्रजासत्ताक
Q807	लोझान
Q808	विषाणू
Q809	पोलिश भाषा
Q810	जॉर्डन
Q811	निकाराग्वा
Q812	फ्लोरिडा
Q813	किर्गिझस्तान
Q816	ॲरिझोना
Q817	कुवेत
Q819	लाओस
Q822	लेबेनॉन
Q824	ओरेगन
Q826	मालदीव
Q828	अमेरिका
Q829	युटा
Q830	गाय
Q833	मलेशिया
Q834	व्हाले
Q836	म्यानमार
Q837	नेपाळ
Q842	ओमान
Q843	पाकिस्तान
Q846	कतार
Q847	टेनिस
Q851	सौदी अरेबिया
Q854	श्रीलंका
Q858	सीरिया
Q859	प्लेटो
Q861	Ga	गॅलियम
Q862	जोसेफ ब्रॉडस्की
Q863	ताजिकिस्तान
Q865	चीनचे प्रजासत्ताक
Q866	YouTube	यूट्यूब
Q867	Ge	जर्मेनियम
Q868	ॲरिस्टॉटल
Q869	थायलंड
Q870	रेल्वे
Q871	As	आर्सेनिक
Q874	तुर्कमेनिस्तान
Q876	Se	सेलेनियम
Q878	संयुक्त अरब अमिराती
Q879	Br	ब्रोमिन
Q880	प्लॅटिनम
Q881	व्हियेतनाम
Q883	नोवोसिबिर्स्क
Q884	दक्षिण कोरिया
Q886	सिम्पसन्स
Q887	येकातेरिनबुर्ग
Q889	अफगाणिस्तान
Q891	निज्नी नॉवगोरोद
Q894	समारा
Q895	Rb	रुबिडियम
Q898	ओम्स्क
Q900	कझान
Q901	शास्त्रज्ञ
Q902	बांगलादेश
Q905	फ्रांत्स काफ्का
Q908	रोस्तोव दॉन	रोस्तोव-ऑन-दॉन
Q909	होर्हे लुइस बोर्गेस
Q911	उफा
Q912	माली
Q914	वोल्गोग्राद
Q916	अँगोला
Q917	भूतान
Q919	क्रास्नोयार्स्क
Q921	ब्रुनेई
Q924	टांझानिया
Q925	पारा
Q928	फिलिपाईन्स
Q929	मध्य आफ्रिकेचे प्रजासत्ताक
Q932	थालियम
Q935	आयझॅक न्यूटन
Q937	अल्बर्ट आइनस्टाइन
Q938	Sr	स्ट्राँशियम
Q941	Y	इट्रियम
Q942	बिस्मथ
Q945	टोगो
Q948	ट्युनिसिया
Q953	झांबिया
Q954	झिंबाब्वे
Q956	बीजिंग
Q958	दक्षिण सुदान
Q959	व्लादिवोस्तॉक
Q960	तुवा प्रजासत्ताक
Q962	बेनिन
Q963	बोत्स्वाना
Q965	बर्किना फासो
Q967	बुरुंडी
Q970	कोमोरोस
Q971	काँगोचे प्रजासत्ताक
Q974	काँगोचे लोकशाही प्रजासत्ताक
Q975	सॅन अँटोनियो
Q977	जिबूती
Q979	पोलोनियम
Q980	बायर्न
Q983	इक्वेटोरीयल गिनी
Q985	बाडेन व्युर्टेंबर्ग	बाडेन व्युर्टेनबर्ग	बाडेन-व्युर्टेंबर्ग	बाडेन-व्युर्टेंबुर्ग
Q986	इरिट्रिया
Q987	नवी दिल्ली
Q989	पोप जॉन पॉल दुसरा
Q994	त्बिलिसी
Q1000	गॅबन
Q1001	गांधी	गांधीजी	बापू	बापूजी	भारताचे राष्ट्रपिता	महात्मा गांधी	मोहनदास करमचंद गांधी	राष्ट्रपिता महात्मा गांधी
Q1005	गांबिया
Q1006	गिनी
Q1007	गिनी-बिसाउ
Q1008	कोत द'ईवोआर
Q1009	कामेरून
Q1010	मारिबोर
Q1011	केप व्हर्दे
Q1013	लेसोथो
Q1014	लायबेरिया
Q1016	लीबिया
Q1017	आखन
Q1019	मादागास्कर
Q1020	मलावी
Q1022	श्टुटगार्ट
Q1025	मॉरिटानिया
Q1027	मॉरिशस
Q1028	मोरोक्को
Q1029	मोझांबिक
Q1030	नामिबिया
Q1032	नायजर
Q1033	नायजेरिया
Q1035	चार्ल्स डार्विन
Q1036	युगांडा
Q1037	रवांडा
Q1038	Zr	झिर्कोनियम
Q1039	साओ टोमे आणि प्रिन्सिप
Q1040	कार्ल्सरुहे	कार्ल्सरूह
Q1041	सेनेगाल
Q1042	सेशेल्स
Q1043	कार्ल लिनेयस
Q1044	सियेरा लिओन
Q1045	सोमालिया
Q1046	Cb	Nb	नायोबियम
Q1047	जवाहरलाल नेहरू	पंडित नेहरू
Q1049	सुदान
Q1050	स्वाझीलँड
Q1053	Mo	मॉलिब्डेनम
Q1055	हांबुर्ग
Q1057	चयापचय
Q1061	गुजरात
Q1063	उत्क्रांती
Q1065	संयुक्त राष्ट्रे
Q1069	भूगर्भशास्त्र
Q1070	अमदाबाद
Q1071	भुगोल	भूगोल
Q1072	हृदय
Q1073	मेंदू
Q1083	सालेर्नो
Q1084	नाम
Q1085	प्राग	प्राहा
Q1088	निळा
Q1089	Pd	पॅलिडियम
Q1090	Ag	चांदी
Q1093	लिमबर्ग
Q1094	In	इंडियम
Q1095	लिमबर्ग
Q1096	Sn	टिन
Q1098	युरेनियम
Q1099	Sb	अँटिमनी
Q1100	Te	टेलरियम
Q1101	नूर्द-ब्राबांत
Q1103	I	आयोडिन
Q1105	नेप्चूनियम
Q1106	Xe	झेनॉन
Q1107	अॅनिमे
Q1108	Cs	सिझियम
Q1112	Ba	बेरियम
Q1114	पूर्व फ्लांडर्स
Q1115	थोरियम
Q1116	अँटवर्प
Q1118	फ्लाम्स ब्राबांत
Q1119	Hf	हाफ्नियम
Q1123	Ta	टांटालम
Q1126	लक्झेंबर्ग
Q1127	लीज
Q1137	लोरेन
Q1142	अल्सास
Q1156	मुंबई
Q1159	आंध्र प्रदेश
Q1162	अरुणाचल प्रदेश
Q1164	आसाम
Q1165	बिहार
Q1166	मिशिगन
Q1168	छत्तीसगड
Q1171	गोवा
Q1173	बूर्गान्य
Q1174	हरियाणा
Q1177	हिमाचल प्रदेश
Q1179	अॅकितेन
Q1180	जम्मू आणि काश्मीर
Q1183	पोर्तो रिको
Q1184	झारखंड
Q1185	कर्नाटक
Q1186	केरळ
Q1188	मध्य प्रदेश
Q1191	महाराष्ट्र
Q1193	मणिपूर
Q1194	श्लेस्विग-होल्श्टाइन
Q1195	मेघालय
Q1196	मेक्लेनबुर्ग-फोरपोमेर्न
Q1197	नीडर जाक्सन
Q1198	नोर्डऱ्हाइन-वेस्टफालन
Q1199	हेसेन
Q1200	र्हाइनलांड-फाल्त्स
Q1202	जाक्सन
Q1204	इलिनॉय
Q1205	थ्युरिंगेन
Q1206	जाक्सन-आनहाल्ट
Q1207	नॉर्थ डकोटा
Q1208	ब्रांडेनबुर्ग
Q1209	ब्रेमन	ब्रेमन चे फ्री हॅन्सियाटिक शहर (राज्य)
Q1210	लोंबार्दिया
Q1211	साउथ डकोटा
Q1212	मोंटाना
Q1214	वायोमिंग
Q1216	प्यिमाँत
Q1218	जेरुसलेम
Q1221	आयडाहो
Q1222	व्हाले दाओस्ता
Q1223	वॉशिंग्टन
Q1225	ब्रुस स्प्रिंग्स्टीन
Q1227	नेव्हाडा
Q1231	कोसोव्हो
Q1237	त्रेन्तिनो-आल्तो अदिजे
Q1239	हिंदी महासागर
Q1243	व्हेनेतो
Q1246	कोसोव्हो
Q1252	हासियम
Q1256	लिगुरिया
Q1260	कर्ट वाल्डहाइम
Q1261	कॉलोराडो
Q1263	एमिलिया-रोमान्या
Q1273	तोस्काना
Q1279	मार्के
Q1282	लात्सियो
Q1284	आब्रुत्सो
Q1286	आल्प्स
Q1289	ग्रेनोबल
Q1290	ब्लेझ पास्काल
Q1295	डॉर्टमुंड	डोर्टमुंड
Q1296	गेंट
Q1297	शिकागो
Q1299	बीटल्स
Q1301	अनुनट्रियम
Q1308	कोमो
Q1310	आर्नहेम
Q1321	स्पॅनिश भाषा
Q1335	मोन्तेविदेओ
Q1339	योहान सेबास्टियन बाख
Q1340	अँतोनियो विवाल्डी
Q1341	तोल्याटी
Q1342	पिट्सबर्ग
Q1344	ऑपेरा
Q1345	फिलाडेल्फिया
Q1348	कोलकाता
Q1352	चेन्नई	मद्रास
Q1353	दिल्ली
Q1354	ढाका
Q1355	बंगलोर	बंगळूर
Q1356	पश्चिम बंगाल
Q1361	हैदराबाद	हैद्राबाद
Q1362	इस्लामाबाद
Q1363	त्रिपुरा
Q1364	फळ
Q1370	व्हर्जिनिया
Q1371	वेस्ट व्हर्जिनिया
Q1382	पिरान
Q1384	न्यू यॉर्क
Q1387	र्होड आयलंड
Q1391	मेरीलँड
Q1393	डेलावेर
Q1394	व्लादिमिर इलिच लेनिन
Q1397	ओहायो
Q1398	व्हर्जिल
Q1400	पेनसिल्व्हेनिया
Q1406	मायक्रोसॉफ्ट विंडोज	विंडोज
Q1408	न्यू जर्सी
Q1410	जिब्राल्टर
Q1412	फिनिश भाषा
Q1415	इंडियाना
Q1418	नोकिया
Q1420	मोटारवाहन
Q1425	ट्राजान
Q1428	जॉर्जिया
Q1435	झाग्रेब
Q1437	राजस्थान
Q1438	कांपानिया
Q1439	टेक्सास
Q1445	तमिळनाडू
Q1447	पुलीया
Q1449	जेनोवा
Q1452	बाझिलिकाता
Q1454	नॉर्थ कॅरोलिना
Q1456	साउथ कॅरोलिना
Q1458	कालाब्रिया
Q1460	सिचिल्या
Q1461	मनिला
Q1462	सार्दिनिया
Q1467	सेबु शहर
Q1469	लाऊआर नदी
Q1471	सीन नदी
Q1475	केझॉन शहर	क्वेझॉन शहर
Q1476	ले मां
Q1479	बोर्दू
Q1482	क्वेट शहर
Q1486	बुएनोस आइरेस
Q1489	मेक्सिको शहर	मेक्सिको सिटी
Q1490	तोक्यो
Q1491	ला पाझ
Q1492	बार्सिलोना
Q1494	मिसिसिपी
Q1498	उत्तर प्रदेश
Q1499	उत्तराखंड
Q1502	मिझोरम
Q1505	सिक्किम
Q1508	मकाती
Q1509	टेनेसी
Q1511	रिचर्ड वॅग्नर
Q1515	आबिजान
Q1519	अबु धाबी
Q1520	अस्ताना
Q1522	न्यू मेक्सिको
Q1524	अथेन्स
Q1527	मिनेसोटा
Q1530	बगदाद
Q1533	केरकस
Q1537	विस्कॉन्सिन
Q1538	पुणे	महाराष्ट्र राज्याची सांस्कृतिक राजधानी
Q1546	आयोवा
Q1553	Nebraska	नेब्रास्का
Q1555	ग्वातेमाला शहर	ग्वातेमाला सिटी
Q1558	कॅन्सस
Q1563	हवाना
Q1566	तंबाखू
Q1568	हिंदी भाषा
Q1571	मराठी	मराठी भाषा
Q1575	Internet Explorer	इंटरनेट एक्सप्लोरर
Q1581	मिसूरी
Q1588	लुईझियाना
Q1599	नागालँड
Q1603	केंटकी
Q1612	आर्कान्सा
Q1617	उर्दू भाषा
Q1624	पासिग
Q1640	ओस्जेक
Q1643	टॅगउइग	टॅगूइग
Q1644	एल्ब नदी
Q1647	रियेका
Q1649	ओक्लाहोमा
Q1653	डॅन्यूब नदी
Q1663	स्प्लिट
Q1697	मॉस्को ओब्लास्त
Q1707	कील
Q1709	श्वेरिन
Q1711	पोट्सडाम
Q1715	हानोफर
Q1718	ड्युसेलडॉर्फ
Q1720	माइंत्स
Q1721	वीसबाडेन
Q1722	दुब्रोव्हनिक
Q1723	बटांगस शहर
Q1724	जारब्र्युकन
Q1726	म्युन्शेन
Q1729	एरफुर्ट
Q1731	ड्रेस्डेन
Q1733	माक्देबुर्ग
Q1734	व्हॉलीबॉल
Q1735	इन्सब्रुक
Q1741	व्हियेना
Q1748	कोपनहेगन
Q1754	स्टॉकहोम
Q1757	हेलसिंकी
Q1761	डब्लिन
Q1763	मुर्मान्स्क
Q1764	रेक्याविक
Q1770	तालिन
Q1773	रिगा
Q1780	ब्रातिस्लाव्हा
Q1781	बुडापेस्ट
Q1792	गदान्स्क
Q1794	फ्रांकफुर्ट
Q1799	व्रोत्सवाफ
Q1800	कोची
Q1803	गॉर्डियन दुसरा
Q1805	बॅल्बिनस
Q1823	आचे
Q1829	कालिनिनग्राद
Q1835	झिनेदिन झिदान
Q1841	कॅथलिक धर्म
Q1842	लक्झेंबर्ग
Q1844	फाडुट्स
Q1845	बायबल
Q1846	Ho	होल्मियम
Q1850	पनॉम पेन
Q1854	हो चि मिन्ह शहर	हो चि मिन्ह सिटी
Q1858	हनोई
Q1860	इंग्लिश भाषा
Q1861	बँकॉक
Q1863	अँडोरा ला व्हेल्या
Q1865	क्वालालंपूर
Q1867	ताइपेइ
Q1874	ओदेसा
Q1880	कन्सेप्सियान
Q1890	बेंकुलू	बेंकुलू प्रांत
Q1891	बोलोन्या
Q1895	पेट्रोझेवोडस्क
Q1897	काग्लियारी
Q1899	क्यीव
Q1903	कातानिया
Q1904	ऑन्टारियो
Q1910	योहान कबाये
Q1914	कॅरेलिया प्रजासत्ताक
Q1930	ओटावा
Q1943	अबौ दिएबी
Q1948	मॅनिटोबा
Q1951	आल्बर्टा
Q1952	नोव्हा स्कॉशिया
Q1953	येरेव्हान
Q1957	वोलोग्डा
Q1960	दार एस सलाम
Q1963	खार्टूम
Q1965	न्यू ब्रुन्सविक
Q1974	ब्रिटिश कोलंबिया
Q1979	प्रिन्स एडवर्ड आयलंड
Q1989	सास्काचेवान
Q1997	कार्बन डायॉक्साइड
Q2003	न्यू फाउंडलंड आणि लाब्राडोर
Q2007	नॉर्थवेस्ट टेरिटोरीज
Q2009	युकॉन
Q2023	नुनाव्हुत
Q2025	कार्बन मोनॉक्साईड
Q2028	व्हेरोना
Q2044	फ्लोरेन्स
Q2051	जांबी	जांबी प्रांत
Q2066	एसेन
Q2073	कोमी प्रजासत्ताक
Q2079	लाइपझिश
Q2090	न्युर्नबर्ग
Q2096	एडमंटन
Q2100	डुइसबुर्ग
Q2103	बोखुम
Q2107	वुपर्टाल
Q2110	लांपुंग	लांपुंग प्रांत
Q2119	मानहाइम
Q2123	रेजिना, कॅनडा
Q2131	सांतियागो महानगरीय प्रदेश
Q2132	व्हिक्टोरिया
Q2135	विनिपेग
Q2140	उत्तर सुमात्रा	उत्तर सुमात्रा प्रांत
Q2141	हॅलिफॅक्स
Q2145	क्वेबेक शहर	क्वेबेक सिटी
Q2164	नेनेत्स स्वायत्त ऑक्रूग
Q2184	रशियाचे सोव्हियेत साम्यवादी संघीय प्रजासत्ताक
Q2185	जोर्ज पाँपिदु
Q2203	एरिका
Q2256	बर्मिंगहॅम
Q2277	रोमन साम्राज्य
Q2280	मिन्स्क
Q2283	मायक्रोसॉफ्ट कॉर्पोरेशन
Q2306	पिंक फ्लॉइड
Q2329	रसायनशास्त्र
Q2331	लेड झेपेलिन
Q2347	स्मोलेन्स्क ओब्लास्त
Q2409	हायड्रोक्लोरिक आम्ल
Q2423	यारोस्लाव
Q2449	मोगादिशू
Q2462	हायड्रोजन आयोडाइड
Q2467	नासाउ
Q2468	हायड्रोजन फ्लोराइड
Q2471	साना
Q2492	कोन्राड आडेनाउअर
Q2494	पोप बेनेडिक्ट सोळावा
Q2514	विली ब्रांट
Q2516	हेल्मुट श्मिट
Q2518	हेल्मुट कोल
Q2539	यंत्र शिक्षण
Q2599	पॉल मॅकार्टनी
Q2604	पोप पायस बारावा
Q2630	इवानोवो
Q2634	नापोली
Q2643	जॉर्ज हॅरिसन
Q2656	पालेर्मो
Q2678	गोमल
Q2683	पार्मा
Q2684	व्लादिमीर
Q2704	पेस्कारा
Q2706	ब्रेमरहाफेन
Q2736	फुटबॉल
Q2742	म्युन्स्टर
Q2743	संगीत नाटक
Q2746	रायझन
Q2749	आउग्सबुर्ग
Q2751	सियेना
Q2758	म्योन्शनग्लाडबाख
Q2765	गेल्सनकर्शन
Q2766	आयफोन
Q2768	तोरिनो एफ.सी.
Q2773	ब्राउनश्वाइग
Q2790	उदिने
Q2792	तुला ओब्लास्त
Q2795	केम्निट्झ
Q2796	आयपॅड
Q2801	ब्रायान्स्क
Q2805	क्रेफेल्ड
Q2807	माद्रिद
Q2810	ब्र्यान्स्क ओब्लास्त
Q2811	पाणबुडी
Q2814	हाले
Q2831	मायकेल जॅक्सन
Q2833	फ्रायबुर्ग
Q2837	कालुगा
Q2841	बोगोता
Q2842	कालुगा ओब्लास्त
Q2843	ल्युबेक
Q2844	ब्राझिलिया
Q2861	रोस्टोक
Q2865	कासेल
Q2868	लिमा
Q2871	हगेन
Q2879	कॅनडाचे प्रांत व प्रदेश
Q2887	सान्तियागो, चिली
Q2895	बेलारूशियन सोव्हियेत साम्यवादी गणराज्य
Q2899	मुईहेइं अन डर रुहर
Q2900	क्वितो
Q2907	सुक्रे
Q2910	लुडविक्सहाफेन
Q2933	आसुन्सियोन
Q2938	लिव्हरकुसेन
Q2966	हायडेलबर्ग
Q2971	पेडरबर्न
Q2973	डार्मश्टाट
Q2977	प्रमुख चर्च
Q2978	रेगन्सबुर्ग
Q2999	व्युर्झबुर्ग
Q3001	पारामारिबो
Q3004	इंगोलश्टाट
Q3012	उल्म
Q3014	वोल्फ्सबुर्ग
Q3033	ग्यॉटिंगन
Q3037	काठमांडू
Q3042	ऑफेंबाच एम माईन
Q3043	बेल्मोपान
Q3044	शार्लमेन
Q3046	फॉर्झिहॅम
Q3068	लावार-अतलांतिक
Q3070	सान होजे, कोस्टा रिका
Q3083	एन, फ्रान्स
Q3085	रेउलिंजेन
Q3110	सान साल्व्हाडोर
Q3114	कॅनबेरा
Q3118	ओरियॉल
Q3125	ऑत-आल्प
Q3129	ओरियोल ओब्लास्त
Q3130	सिडनी
Q3131	आल्प-दा-ऑत-प्रोव्हाँस
Q3133	हिरवा
Q3138	ट्रायर
Q3139	आल्प-मरितीम
Q3141	मेलबर्न
Q3142	लाल
Q3150	जेना
Q3167	सिगण
Q3183	पर्थ
Q3184	आर्येज
Q3185	हिल्डेशाईम
Q3200	साल्झगिटर
Q3203	गॅलिलियन उपग्रह
Q3206	वेस्टर्न ऑस्ट्रेलिया
Q3207	ऑद
Q3224	न्यू साउथ वेल्स
Q3230	पृथ्वीचे वातावरण
Q3235	नॉर्दर्न टेरिटोरी
Q3238	तेगुसिगल्पा
Q3258	ऑस्ट्रेलियन कॅपिटल टेरिटोरी
Q3274	मानाग्वा
Q3306	पनामा शहर	पनामा सिटी
Q3323	बेल्गोरोद
Q3364	द्रोम
Q3368	एसोन
